Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,InSample2_RateOfReturn,OutSample2_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample2_AvgTrade,OutSample2_AvgTrade,Score_2,Pass2,Para3,InSample3_RateOfReturn,OutSample3_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample3_AvgTrade,OutSample3_AvgTrade,Score_3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,InSample5_RateOfReturn,OutSample5_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample5_AvgTrade,OutSample5_AvgTrade,Score_5,Pass5,Para6,InSample6_RateOfReturn,OutSample6_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample6_AvgTrade,OutSample6_AvgTrade,Score_6,Pass6,Para7,Pass7
2_20_2_50_4.csv,1.610282375,0.8736273902825813,19.0,17.0,0.08475170394736842,0.051389846487210664,0.6063576788866006,Yes,2_40_1_50_4.csv,1.102099484590384,0.17134565596488693,19.0,25.0,0.05800523603107284,0.006853826238595477,0.11815875096041242,No,2_80_0.75_125_10.csv,1.3102650367903417,0.36384574379960294,9.0,14.0,0.14558500408781574,0.025988981699971637,0.17851413930170504,No,2_20_1_75_4.csv,2.1213571354451806,-0.11369119839522285,27,37,0.07856878279426595,-0.0030727350917627797,-0.03910885446461355,No,2_120_1.5_100_4.csv,1.1836174816149099,0.17055603828567317,5.0,8.0,0.23672349632298198,0.021319504785709147,0.0900607887128413,No,2_100_1.75_175_14.csv,1.3089259316553081,-0.08963991597892555,2.0,5.0,0.6544629658276541,-0.017927983195785112,-0.02739342656786214,No,No Plateau,No
2_20_2_75_4.csv,1.50273725,0.2912699884896027,16.0,16.0,0.093921078125,0.01820437428060017,0.1938262916485252,No,2_40_1_50_8.csv,1.073011752784799,0.6436145829418204,17.0,19.0,0.06311833839910583,0.03387445173378002,0.5366816141386243,Yes,2_80_0.75_125_12.csv,1.3102650367903417,0.36384574379960294,9.0,14.0,0.14558500408781574,0.025988981699971637,0.17851413930170504,No,2_120_1.75_100_4.csv,2.0907864866329713,0.4486728381988714,10,8,0.20907864866329712,0.05608410477485892,0.2682440561646133,No,2_120_1.5_125_4.csv,1.1836174816149099,0.17055603828567317,5.0,8.0,0.23672349632298198,0.021319504785709147,0.0900607887128413,No,2_100_1.75_200_18.csv,1.3089259013853296,-0.059064860758523366,2.0,4.0,0.6544629506926648,-0.014766215189630841,-0.022562339356265625,No,,
2_20_1.75_50_8.csv,1.498033875,-0.03381989332532411,19.0,20.0,0.07884388815789474,-0.0016909946662662055,-0.02144737792331826,No,2_40_1_50_10.csv,1.0646187483512726,0.610009109694437,17.0,19.0,0.06262463225595721,0.03210574261549668,0.5126695592283115,Yes,2_80_0.75_125_14.csv,1.3102650367903417,0.36384574379960294,9.0,14.0,0.14558500408781574,0.025988981699971637,0.17851413930170504,No,2_120_1.75_125_4.csv,2.0907864866329713,0.4486728381988714,10,8,0.20907864866329712,0.05608410477485892,0.2682440561646133,No,2_120_1.5_150_4.csv,1.1836174816149099,0.17055603828567317,5.0,8.0,0.23672349632298198,0.021319504785709147,0.0900607887128413,No,2_100_1.75_125_18.csv,1.3089258773283297,-0.08963995468534548,2.0,5.0,0.6544629386641648,-0.017927990937069097,-0.02739343953327933,No,,
2_20_1.75_50_10.csv,1.479447375,-0.03381999974622832,19.0,20.0,0.07786565131578947,-0.0016909999873114159,-0.0217168926058738,No,2_40_1_50_12.csv,1.0646187483512726,0.610009109694437,17.0,19.0,0.06262463225595721,0.03210574261549668,0.5126695592283115,Yes,2_80_0.75_125_16.csv,1.3102650367903417,0.36384574379960294,9.0,14.0,0.14558500408781574,0.025988981699971637,0.17851413930170504,No,2_120_1.75_150_4.csv,2.0907864866329713,0.4486728381988714,10,8,0.20907864866329712,0.05608410477485892,0.2682440561646133,No,2_120_1.5_50_4.csv,1.1836174816149099,0.17055603828567317,5.0,8.0,0.23672349632298198,0.021319504785709147,0.0900607887128413,No,2_100_1.75_150_18.csv,1.3089258773283297,-0.08963995468534548,2.0,5.0,0.6544629386641648,-0.017927990937069097,-0.02739343953327933,No,,
1_20_1.25_50_10.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_40_1_50_14.csv,1.0646187483512726,0.610009109694437,17.0,19.0,0.06262463225595721,0.03210574261549668,0.5126695592283115,Yes,2_80_0.75_125_18.csv,1.3102650367903417,0.36384574379960294,9.0,14.0,0.14558500408781574,0.025988981699971637,0.17851413930170504,No,2_120_1.75_50_4.csv,2.0907864866329713,0.4486728381988714,10,8,0.20907864866329712,0.05608410477485892,0.2682440561646133,No,2_120_1.5_75_4.csv,1.1836174816149099,0.17055603828567317,5.0,8.0,0.23672349632298198,0.021319504785709147,0.0900607887128413,No,2_100_1.75_200_20.csv,1.3089258772194847,-0.059064822182789516,2.0,4.0,0.6544629386097424,-0.014766205545697379,-0.022562325037174487,No,,
1_20_1.25_50_12.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_40_1_50_16.csv,1.0646187483512726,0.610009109694437,17.0,19.0,0.06262463225595721,0.03210574261549668,0.5126695592283115,Yes,2_80_0.75_125_20.csv,1.3102650367903417,0.36384574379960294,9.0,14.0,0.14558500408781574,0.025988981699971637,0.17851413930170504,No,2_120_1.75_75_4.csv,2.0907864866329713,0.4486728381988714,10,8,0.20907864866329712,0.05608410477485892,0.2682440561646133,No,2_120_1.5_225_4.csv,1.183617312106789,0.17055600145916602,5.0,8.0,0.2367234624213578,0.021319500182395753,0.09006078216466748,No,2_100_1.75_100_18.csv,1.308925868980349,-0.08963981985025016,2.0,5.0,0.6544629344901745,-0.01792796397005003,-0.027393398503180146,No,,
1_20_1.25_50_14.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_40_1_50_18.csv,1.0646187483512726,0.610009109694437,17.0,19.0,0.06262463225595721,0.03210574261549668,0.5126695592283115,Yes,2_80_0.75_125_8.csv,1.3102650367903417,0.38620398199481637,9.0,14.0,0.14558500408781574,0.027585998713915455,0.18948379255651768,No,2_120_1.75_225_4.csv,2.0907864826686686,0.44867314155228866,10,8,0.20907864826686687,0.05608414269403608,0.2682442380364473,No,2_120_1.5_175_4.csv,1.183617285553901,0.17055579446613867,5.0,8.0,0.23672345711078022,0.021319474308267333,0.09006067488398664,No,2_100_1.75_50_18.csv,1.308925868980349,-0.08963981985025016,2.0,5.0,0.6544629344901745,-0.01792796397005003,-0.027393398503180146,No,,
1_20_1.25_50_16.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_40_1_50_20.csv,1.0646187483512726,0.610009109694437,17.0,19.0,0.06262463225595721,0.03210574261549668,0.5126695592283115,Yes,2_80_0.75_100_10.csv,1.3102645981259942,0.43041876328801226,9.0,14.0,0.14558495534733268,0.030744197377715162,0.2111770224084383,No,2_120_1.75_200_4.csv,2.0907864178034883,0.4486730353387131,10,8,0.20907864178034882,0.05608412941733914,0.26824418285756463,No,2_120_1.5_200_4.csv,1.183617285553901,0.17055579446613867,5.0,8.0,0.23672345711078022,0.021319474308267333,0.09006067488398664,No,2_100_1.75_75_18.csv,1.308925868980349,-0.08963981985025016,2.0,5.0,0.6544629344901745,-0.01792796397005003,-0.027393398503180146,No,,
1_20_1.25_50_18.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_40_1.5_150_6.csv,1.0555888786891183,0.5867102625461897,9.0,13.0,0.11728765318767981,0.045131558657399214,0.38479377352005834,No,2_80_0.75_100_12.csv,1.3102645981259942,0.43041876328801226,9.0,14.0,0.14558495534733268,0.030744197377715162,0.2111770224084383,No,2_120_1.75_175_4.csv,2.090786264901513,0.44867298754974827,10,8,0.20907862649015133,0.056084123443718534,0.26824417390344957,No,2_80_1.5_225_6.csv,1.1182603529855988,0.6778658427607068,5.0,7.0,0.22365207059711975,0.09683797753724384,0.4329849362838447,No,2_100_1.75_125_16.csv,1.3089258610927865,-0.08963988637491545,2.0,5.0,0.6544629305463933,-0.01792797727498309,-0.02739341899779642,No,,
1_20_1.25_50_20.csv,1.46393075,0.11865068317295344,55.0,45.0,0.02661692272727273,0.002636681848287854,0.09906035627425133,No,2_40_1.5_150_4.csv,1.0280471284838197,0.4956462498540103,10.0,17.0,0.10280471284838197,0.02915566175611825,0.28360238502993035,No,2_80_0.75_100_14.csv,1.3102645981259942,0.43041876328801226,9.0,14.0,0.14558495534733268,0.030744197377715162,0.2111770224084383,No,2_20_1_50_4.csv,1.659288996012203,-0.12379490484575922,30,38,0.055309633200406765,-0.003257760653835769,-0.0589004205114094,No,2_80_1.5_100_6.csv,1.1182603169543013,0.8948816152475929,5.0,7.0,0.22365206339086025,0.12784023074965614,0.5716031804555238,Yes,2_100_1.75_150_16.csv,1.3089258610927865,-0.08963988637491545,2.0,5.0,0.6544629305463933,-0.01792797727498309,-0.02739341899779642,No,,
