"Filename","Begin","End","Start_NetProfit","End_NetProfit","NetProfit","NetProfit_Percent","Number_of_Transactions","Window_GrossProfit","Window_GrossLoss","Window_Net","Window_MDD"
"2_20_0.75_50_6.csv","2008/1/2","2011/12/30","3919876.5","4459913.0","540036.5","0.109766271572","34","21670404.124","-18086896.562","3583507.562","-997869.0"
"2_20_0.75_50_10.csv","2008/1/2","2011/12/30","3867413.5","4287404.0","419990.5","0.0862861764261","33","21945922.0","-18514914.5","3431007.5","-966342.5"
"2_20_0.75_50_12.csv","2008/1/2","2011/12/30","3867413.5","4287404.0","419990.5","0.0862861764261","33","21945922.0","-18514914.5","3431007.5","-966342.5"
"2_20_0.75_50_14.csv","2008/1/2","2011/12/30","3867413.5","4287404.0","419990.5","0.0862861764261","33","21945922.0","-18514914.5","3431007.5","-966342.5"
"2_20_0.75_50_16.csv","2008/1/2","2011/12/30","3867413.5","4287404.0","419990.5","0.0862861764261","33","21945922.0","-18514914.5","3431007.5","-966342.5"
"2_20_0.75_50_18.csv","2008/1/2","2011/12/30","3867413.5","4287404.0","419990.5","0.0862861764261","33","21945922.0","-18514914.5","3431007.5","-966342.5"
"2_20_0.75_50_20.csv","2008/1/2","2011/12/30","3867413.5","4287404.0","419990.5","0.0862861764261","33","21945922.0","-18514914.5","3431007.5","-966342.5"
"2_20_0.75_50_8.csv","2008/1/2","2011/12/30","3867413.5","4287404.0","419990.5","0.0862861764261","33","21945922.0","-18514914.5","3431007.5","-966342.5"
"2_20_0.75_50_4.csv","2008/1/2","2011/12/30","4097397.5","5585860.5","1488463.0","0.292004498374","34","23313960.499","-18681711.249","4632249.25","-1203651.5"
"2_80_0.75_150_4.csv","2008/1/2","2011/12/30","6319798.0","8112943.5","1793145.5","0.244971992397","11","40294640.125","-34050472.0","6244168.125","-1792855.5"
"2_80_0.75_175_4.csv","2008/1/2","2011/12/30","5135677.0","6208578.0","1072901.0","0.174862692414","11","30232186.875","-25428303.5","4803883.375","-1418196.0"
"2_80_0.75_200_4.csv","2008/1/2","2011/12/30","5304441.0","6406851.5","1102410.5","0.174862529446","11","31063734.875","-26127720.125","4936014.75","-1457205.0"
"2_20_0.75_75_6.csv","2008/1/2","2011/12/30","2084851.0","2465607.25","380756.25","0.123427760368","27","12237853.09","-9996856.746","2240996.344","-691575.75"
"2_20_0.75_75_10.csv","2008/1/2","2011/12/30","1990175.0","2288172.25","297997.25","0.0996587992342","26","12194230.089","-10093084.73","2101145.359","-656168.25"
"2_20_0.75_75_12.csv","2008/1/2","2011/12/30","1990175.0","2288172.25","297997.25","0.0996587992342","26","12194230.089","-10093084.73","2101145.359","-656168.25"
"2_20_0.75_75_14.csv","2008/1/2","2011/12/30","1990175.0","2288172.25","297997.25","0.0996587992342","26","12194230.089","-10093084.73","2101145.359","-656168.25"
"2_20_0.75_75_16.csv","2008/1/2","2011/12/30","1990175.0","2288172.25","297997.25","0.0996587992342","26","12194230.089","-10093084.73","2101145.359","-656168.25"
"2_20_0.75_75_18.csv","2008/1/2","2011/12/30","1990175.0","2288172.25","297997.25","0.0996587992342","26","12194230.089","-10093084.73","2101145.359","-656168.25"
"2_20_0.75_75_20.csv","2008/1/2","2011/12/30","1990175.0","2288172.25","297997.25","0.0996587992342","26","12194230.089","-10093084.73","2101145.359","-656168.25"
"2_20_0.75_75_8.csv","2008/1/2","2011/12/30","1990175.0","2288172.25","297997.25","0.0996587992342","26","12194230.089","-10093084.73","2101145.359","-656168.25"
"2_20_0.75_75_4.csv","2008/1/2","2011/12/30","2334490.75","2746059.25","411568.5","0.123427692819","27","13110249.408","-10694370.908","2415878.5","-747541.5"
"2_20_1.25_50_4.csv","2008/1/2","2011/12/30","7349181.5","6243121.0","-1106060.5","-0.132475321084","27","30964448.25","-27125904.75","3838543.5","-2391331.0"
"2_20_1.25_75_4.csv","2008/1/2","2011/12/30","7063602.5","6410604.5","-652998.0","-0.0809809263291","23","28740660.0","-24638333.5","4102326.5","-1793071.5"
"2_20_1_50_10.csv","2008/1/2","2011/12/30","3836741.75","3154260.5","-682481.25","-0.141103512504","32","19357721.999","-17192304.312","2165417.687","-1533253.75"
"2_20_1_50_12.csv","2008/1/2","2011/12/30","3836741.75","3154260.5","-682481.25","-0.141103512504","32","19357721.999","-17192304.312","2165417.687","-1533253.75"
"2_20_1_50_14.csv","2008/1/2","2011/12/30","3836741.75","3154260.5","-682481.25","-0.141103512504","32","19357721.999","-17192304.312","2165417.687","-1533253.75"
"2_20_1_50_16.csv","2008/1/2","2011/12/30","3836741.75","3154260.5","-682481.25","-0.141103512504","32","19357721.999","-17192304.312","2165417.687","-1533253.75"
"2_20_1_50_18.csv","2008/1/2","2011/12/30","3836741.75","3154260.5","-682481.25","-0.141103512504","32","19357721.999","-17192304.312","2165417.687","-1533253.75"
"2_20_1_50_20.csv","2008/1/2","2011/12/30","3836741.75","3154260.5","-682481.25","-0.141103512504","32","19357721.999","-17192304.312","2165417.687","-1533253.75"
"2_20_1_50_8.csv","2008/1/2","2011/12/30","3836741.75","3154260.5","-682481.25","-0.141103512504","32","19357721.999","-17192304.312","2165417.687","-1533253.75"
"2_20_1_50_6.csv","2008/1/2","2011/12/30","4578638.5","3895040.25","-683598.25","-0.122538545919","33","21873133.125","-19271999.875","2601133.25","-1768435.75"
"2_20_1_50_4.csv","2008/1/2","2011/12/30","4683772.5","5100661.0","416888.5","0.0733471475151","33","23674946.875","-19922844.375","3752102.5","-1346365.0"
"2_20_1_75_10.csv","2008/1/2","2011/12/30","2010278.875","1680176.0","-330102.875","-0.109658569424","28","11545601.283","-10110822.252","1434779.031","-781952.625"
"2_20_1_75_12.csv","2008/1/2","2011/12/30","2010278.875","1680176.0","-330102.875","-0.109658569424","28","11545601.283","-10110822.252","1434779.031","-781952.625"
"2_20_1_75_14.csv","2008/1/2","2011/12/30","2010278.875","1680176.0","-330102.875","-0.109658569424","28","11545601.283","-10110822.252","1434779.031","-781952.625"
"2_20_1_75_16.csv","2008/1/2","2011/12/30","2010278.875","1680176.0","-330102.875","-0.109658569424","28","11545601.283","-10110822.252","1434779.031","-781952.625"
"2_20_1_75_18.csv","2008/1/2","2011/12/30","2010278.875","1680176.0","-330102.875","-0.109658569424","28","11545601.283","-10110822.252","1434779.031","-781952.625"
"2_20_1_75_20.csv","2008/1/2","2011/12/30","2010278.875","1680176.0","-330102.875","-0.109658569424","28","11545601.283","-10110822.252","1434779.031","-781952.625"
"2_20_1_75_8.csv","2008/1/2","2011/12/30","2010278.875","1680176.0","-330102.875","-0.109658569424","28","11545601.283","-10110822.252","1434779.031","-781952.625"
"2_20_1_75_6.csv","2008/1/2","2011/12/30","2543754.5","2223349.75","-320404.75","-0.0904139239894","29","13265438.247","-11508192.31","1757245.937","-940425.5"
"2_20_1_75_4.csv","2008/1/2","2011/12/30","2669972.25","2732902.75","62930.5","0.0171474048612","29","14176807.248","-11969646.186","2207161.062","-1089089.5"
"1_20_0.75_50_10.csv","2008/1/2","2011/12/30","3375441.5","3396054.5","20613.0","0.00471106744314","64","14339237.5","-11770083.188","2569154.312","-1076831.75"
"1_20_0.75_50_12.csv","2008/1/2","2011/12/30","3375441.5","3396054.5","20613.0","0.00471106744314","64","14339237.5","-11770083.188","2569154.312","-1076831.75"
"1_20_0.75_50_14.csv","2008/1/2","2011/12/30","3375441.5","3396054.5","20613.0","0.00471106744314","64","14339237.5","-11770083.188","2569154.312","-1076831.75"
"1_20_0.75_50_16.csv","2008/1/2","2011/12/30","3375441.5","3396054.5","20613.0","0.00471106744314","64","14339237.5","-11770083.188","2569154.312","-1076831.75"
"1_20_0.75_50_18.csv","2008/1/2","2011/12/30","3375441.5","3396054.5","20613.0","0.00471106744314","64","14339237.5","-11770083.188","2569154.312","-1076831.75"
"1_20_0.75_50_20.csv","2008/1/2","2011/12/30","3375441.5","3396054.5","20613.0","0.00471106744314","64","14339237.5","-11770083.188","2569154.312","-1076831.75"
"1_20_0.75_50_4.csv","2008/1/2","2011/12/30","3375441.5","3396054.5","20613.0","0.00471106744314","64","14339237.5","-11770083.188","2569154.312","-1076831.75"
"1_20_0.75_50_6.csv","2008/1/2","2011/12/30","3375441.5","3396054.5","20613.0","0.00471106744314","64","14339237.5","-11770083.188","2569154.312","-1076831.75"
"1_20_0.75_50_8.csv","2008/1/2","2011/12/30","3375441.5","3396054.5","20613.0","0.00471106744314","64","14339237.5","-11770083.188","2569154.312","-1076831.75"
"3_20_0.75_50_10.csv","2008/1/2","2011/12/30","3375441.5","3396054.5","20613.0","0.00471106744314","64","14339237.5","-11770083.188","2569154.312","-1076831.75"
