Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,Pass2,Para3,InSample3_RateOfReturn,OutSample3_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample3_AvgTrade,OutSample3_AvgTrade,Score_3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,InSample5_RateOfReturn,OutSample5_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample5_AvgTrade,OutSample5_AvgTrade,Score_5,Pass5,Para6,InSample6_RateOfReturn,OutSample6_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample6_AvgTrade,OutSample6_AvgTrade,Score_6,Pass6,Para7,Pass7
2_20_1.5_50_10.csv,3.0130765,0.12524449758184275,16,22,0.18831728125,0.00569293170826558,0.03023053259094128,No,No Plateau,No,1_40_0.75_75_4.csv,1.1031911956209446,0.7958663314891711,34.0,19.0,0.03244679987120425,0.04188770165732479,1.2909655751444107,Yes,1_20_0.75_75_10.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_60_1_100_4.csv,2.9783891176854733,-0.13503661145454107,15.0,22.0,0.19855927451236488,-0.006138027793388231,-0.03091282342999293,No,2_60_1.25_50_6.csv,1.0195945258667658,-0.11991631360025949,10.0,13.0,0.10195945258667657,-0.009224331815404576,-0.09047058984122042,No,No Plateau,No
2_20_1.5_50_12.csv,3.0130765,0.12524449758184275,16,22,0.18831728125,0.00569293170826558,0.03023053259094128,No,,,3_40_0.75_75_4.csv,1.1031911956209446,0.7958663314891711,34.0,19.0,0.03244679987120425,0.04188770165732479,1.2909655751444107,Yes,1_20_0.75_75_12.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_60_1_50_4.csv,2.770248854223512,-0.1317078371456777,17.0,22.0,0.16295581495432424,-0.005986719870258076,-0.03673830155699646,No,2_60_1.25_75_6.csv,1.0195945258667658,-0.11991631360025949,10.0,13.0,0.10195945258667657,-0.009224331815404576,-0.09047058984122042,No,,
2_20_1.5_50_14.csv,3.0130765,0.12524449758184275,16,22,0.18831728125,0.00569293170826558,0.03023053259094128,No,,,1_40_0.75_225_4.csv,1.0681236183711122,0.9547407686092931,23.0,15.0,0.04644015732048314,0.06364938457395287,1.3705678069673408,Yes,1_20_0.75_75_14.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_60_1_75_4.csv,2.770248854223512,-0.1317078371456777,17.0,22.0,0.16295581495432424,-0.005986719870258076,-0.03673830155699646,No,2_60_0.75_100_4.csv,1.0148088809014286,-0.02981395614026946,14.0,16.0,0.07248634863581634,-0.0018633722587668411,-0.025706526730001785,No,,
2_20_1.5_50_16.csv,3.0130765,0.12524449758184275,16,22,0.18831728125,0.00569293170826558,0.03023053259094128,No,,,3_40_0.75_225_4.csv,1.0681236183711122,0.9547407686092931,23.0,15.0,0.04644015732048314,0.06364938457395287,1.3705678069673408,Yes,1_20_0.75_75_16.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_60_1.25_100_4.csv,2.7489053875067566,0.1266894689629031,15.0,15.0,0.1832603591671171,0.008445964597526872,0.04608724241244614,No,2_60_0.75_50_4.csv,0.9415901866831479,-0.024234795125791,16.0,17.0,0.05884938666769674,-0.0014255761838700587,-0.02422414683639477,No,,
2_20_1.5_50_18.csv,3.0130765,0.12524449758184275,16,22,0.18831728125,0.00569293170826558,0.03023053259094128,No,,,1_40_0.75_225_10.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,1_20_0.75_75_18.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_60_1.25_50_4.csv,2.625550836304876,0.31196242238388117,16.0,15.0,0.16409692726905475,0.020797494825592077,0.12673908751193325,No,2_60_0.75_75_4.csv,0.9415901490432045,-0.024235168767006317,16.0,17.0,0.05884938431520028,-0.0014255981627650776,-0.024224521281811576,No,,
2_20_1.5_50_20.csv,3.0130765,0.12524449758184275,16,22,0.18831728125,0.00569293170826558,0.03023053259094128,No,,,1_40_0.75_225_12.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,1_20_0.75_75_20.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_60_1.25_75_4.csv,2.625550836304876,0.31196242238388117,16.0,15.0,0.16409692726905475,0.020797494825592077,0.12673908751193325,No,2_40_2_50_4.csv,0.8920144005233748,-0.2528105271153446,14.0,13.0,0.0637153143230982,-0.019446963624257275,-0.3052164747338824,No,,
2_20_1.5_50_8.csv,2.962117,0.1610375211029861,17,22,0.17424217647058823,0.007319887322863005,0.04200984785161123,No,,,1_40_0.75_225_14.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,1_20_0.75_75_4.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_60_0.75_100_4.csv,2.5173742303658018,1.0148088809014286,12.0,14.0,0.2097811858638168,0.07248634863581634,0.34553312460952595,No,2_40_2_75_4.csv,0.8920142095919834,-0.2528104535456593,14.0,13.0,0.06371530068514167,-0.019446957965050714,-0.3052164512438018,No,,
2_20_1.25_50_10.csv,2.85472475,0.13835008582649125,19,23,0.15024867105263157,0.006015221122890923,0.040035103676782695,No,,,1_40_0.75_225_16.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,1_20_0.75_75_6.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_80_1_100_4.csv,2.5116518337958866,0.32644985202119525,11.0,15.0,0.22833198489053516,0.021763323468079684,0.0953143882952415,No,2_60_0.75_100_6.csv,0.8642895376041123,0.01755657035555019,11.0,16.0,0.07857177614582839,0.001097285647221887,0.01396539191357131,No,,
2_20_1.25_50_12.csv,2.85472475,0.13835008582649125,19,23,0.15024867105263157,0.006015221122890923,0.040035103676782695,No,,,1_40_0.75_225_18.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,1_20_0.75_75_8.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_80_1_50_4.csv,2.5116512851062964,0.32644983746652945,11.0,15.0,0.2283319350096633,0.02176332249776863,0.0953144048678411,No,2_60_0.75_50_6.csv,0.8116474762063475,0.023407856654408702,12.0,17.0,0.06763728968386229,0.0013769327443769826,0.02035759786964834,No,,
2_20_1.25_50_14.csv,2.85472475,0.13835008582649125,19,23,0.15024867105263157,0.006015221122890923,0.040035103676782695,No,,,1_40_0.75_225_20.csv,1.0681234402720872,0.9547407803928271,23.0,15.0,0.04644014957704727,0.0636493853595218,1.3705680524117019,Yes,3_20_0.75_75_10.csv,1.8898799550138623,0.1332938103676735,23.0,69.0,0.08216869369625489,0.0019317943531546881,0.023510101794921634,No,2_80_1_75_4.csv,2.5116512851062964,0.32644983746652945,11.0,15.0,0.2283319350096633,0.02176332249776863,0.0953144048678411,No,2_60_0.75_75_6.csv,0.8116474762063475,0.023407856654408702,12.0,17.0,0.06763728968386229,0.0013769327443769826,0.02035759786964834,No,,
