Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window6_GrossProfit,Window6_GrossLoss,Score_6,Pass6,Para7,Pass7
,,,,,,,,,,,,,,,,,,1_60_1.25_200_4.csv,0.1499977577147983,-0.10200188073634804,2945854.16,-2975625.5039999997,0.9899949291468367,No,,,,,,,,,
,,,,,,,,,,,,,,,,,,1_60_1.25_200_6.csv,0.1499977577147983,-0.10200188073634804,2945854.16,-2975625.5039999997,0.9899949291468367,No,,,,,,,,,
,,,,,,,,,,,,,,,,,,1_60_1.25_200_8.csv,0.1499977577147983,-0.10200188073634804,2945854.16,-2975625.5039999997,0.9899949291468367,No,,,,,,,,,
,,,,,,,,,,,,,,,,,,3_60_1.25_200_10.csv,0.1499977577147983,-0.10200188073634804,2945854.16,-2975625.5039999997,0.9899949291468367,No,,,,,,,,,
,,,,,,,,,,,,,,,,,,3_60_1.25_200_12.csv,0.1499977577147983,-0.10200188073634804,2945854.16,-2975625.5039999997,0.9899949291468367,No,,,,,,,,,
,,,,,,,,,,,,,,,,,,3_60_1.25_200_14.csv,0.1499977577147983,-0.10200188073634804,2945854.16,-2975625.5039999997,0.9899949291468367,No,,,,,,,,,
,,,,,,,,,,,,,,,,,,3_60_1.25_200_16.csv,0.1499977577147983,-0.10200188073634804,2945854.16,-2975625.5039999997,0.9899949291468367,No,,,,,,,,,
,,,,,,,,,,,,,,,,,,3_60_1.25_200_18.csv,0.1499977577147983,-0.10200188073634804,2945854.16,-2975625.5039999997,0.9899949291468367,No,,,,,,,,,
,,,,,,,,,,,,,,,,,,3_60_1.25_200_20.csv,0.1499977577147983,-0.10200188073634804,2945854.16,-2975625.5039999997,0.9899949291468367,No,,,,,,,,,
,,,,,,,,,,,,,,,,,,3_60_1.25_200_4.csv,0.1499977577147983,-0.10200188073634804,2945854.16,-2975625.5039999997,0.9899949291468367,No,,,,,,,,,
,,,,,,,,,,,,,,,,,,3_60_1.25_200_6.csv,0.1499977577147983,-0.10200188073634804,2945854.16,-2975625.5039999997,0.9899949291468367,No,,,,,,,,,
,,,,,,,,,,,,,,,,,,3_60_1.25_200_8.csv,0.1499977577147983,-0.10200188073634804,2945854.16,-2975625.5039999997,0.9899949291468367,No,,,,,,,,,
