Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,Pass7
2_40_1.75_50_6.csv,1.198745125,-0.02693564690649677,No,No Plateau,No,1_20_1_50_10.csv,0.22535146518557242,-0.06700469293255246,No,2_20_1.75_75_4.csv,0.23117669976789817,0.1436904755841724,Yes,2_40_1.5_200_6.csv,0.5152323484971172,0.22665627716922493,Yes,2_80_1.25_100_16.csv,0.5490812884412838,0.01002574378893183,Yes,No Plateau,No
2_40_1.75_75_6.csv,1.12902575,-0.029259250400736993,No,,,1_20_1_50_12.csv,0.22535146518557242,-0.06700469293255246,No,2_20_1.75_100_4.csv,0.21158141711102918,0.13965698794073653,Yes,2_40_1.5_225_6.csv,0.5152323007973697,0.1598062741514371,Yes,2_80_1.25_100_18.csv,0.5490812884412838,0.01002574378893183,Yes,,
2_40_1.75_75_4.csv,0.99059075,-0.054064654902831244,No,,,1_20_1_50_14.csv,0.22535146518557242,-0.06700469293255246,No,2_120_1_200_6.csv,0.19486555335930592,0.14363656288056956,Yes,2_40_1_225_4.csv,0.5137950738027144,0.10038990571231407,Yes,2_80_1.25_100_20.csv,0.5490812884412838,0.01002574378893183,Yes,,
2_40_1.75_50_4.csv,0.9740559375,-0.052002195660800735,No,,,1_20_1_50_16.csv,0.22535146518557242,-0.06700469293255246,No,2_120_1_175_6.csv,0.194865546127656,0.14363655546139464,Yes,2_40_1_175_4.csv,0.506249210512934,0.05429548385221565,Yes,2_80_1.25_125_16.csv,0.5490812668775167,0.010025720791014775,Yes,,
2_40_2_50_6.csv,0.924695,-0.012286266809932108,No,,,1_20_1_50_18.csv,0.22535146518557242,-0.06700469293255246,No,2_120_1_100_6.csv,0.19486550984374496,0.1436365493367584,Yes,2_40_1_200_4.csv,0.5062492060176617,0.10038986433385319,Yes,2_80_1.25_125_18.csv,0.5490812668775167,0.010025720791014775,Yes,,
2_40_1.75_50_8.csv,0.9017441875,-0.05226803554482837,No,,,1_20_1_50_20.csv,0.22535146518557242,-0.06700469293255246,No,2_120_1_125_6.csv,0.19486550984374496,0.1436365493367584,Yes,2_40_1_150_4.csv,0.49845313226552257,0.05495794343052293,Yes,2_80_1.25_125_20.csv,0.5490812668775167,0.010025720791014775,Yes,,
2_40_1.5_75_14.csv,0.862769375,-0.032997948429980724,No,,,1_20_1_50_4.csv,0.22535146518557242,-0.06700469293255246,No,2_120_1_150_6.csv,0.19486550984374496,0.1436365493367584,Yes,2_40_1.25_225_6.csv,0.4834272547080076,0.2379645022149876,Yes,2_80_1.25_50_16.csv,0.5490812437875039,0.010025731783976108,Yes,,
2_40_1.5_75_16.csv,0.862769375,-0.032997948429980724,No,,,1_20_1_50_6.csv,0.22535146518557242,-0.06700469293255246,No,2_120_1_75_6.csv,0.19486550984374496,0.1436365493367584,Yes,2_40_1.25_200_6.csv,0.4834272190900777,0.16184472286415713,Yes,2_80_1.25_50_18.csv,0.5490812437875039,0.010025731783976108,Yes,,
2_40_1.5_75_18.csv,0.862769375,-0.032997948429980724,No,,,1_20_1_50_8.csv,0.22535146518557242,-0.06700469293255246,No,2_120_1_50_6.csv,0.19486549149265597,0.14363653270261506,Yes,2_40_1.25_175_6.csv,0.4834271956320024,0.1618447541296427,Yes,2_80_1.25_50_20.csv,0.5490812437875039,0.010025731783976108,Yes,,
2_40_1.5_75_20.csv,0.862769375,-0.032997948429980724,No,,,3_20_1_50_10.csv,0.22535146518557242,-0.06700469293255246,No,2_100_1_225_8.csv,0.18515787035539485,0.13678153489151113,Yes,2_40_2_225_6.csv,0.4813279317918083,0.15520448986426472,Yes,2_80_1.25_75_16.csv,0.5490812437875039,0.010025731783976108,Yes,,
