Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,Pass7
2_20_0.75_100_10.csv,0.23562403125000003,-0.0038698633486658595,-0.01642389075569243,No,No Plateau,No,No Plateau,No,2_120_0.75_225_4.csv,0.20291749901884576,0.493161453537791,2.430354483582459,Yes,2_100_0.75_175_4.csv,0.5503950662835877,0.007825356567893476,0.014217708419394712,No,2_100_0.75_100_6.csv,0.1860465502435543,0.02652064115477424,0.14254841661968987,No,No Plateau,No
2_20_0.75_100_12.csv,0.23562403125000003,-0.0038698633486658595,-0.01642389075569243,No,,,,,2_100_0.75_225_4.csv,0.15302068084679032,0.5503949661014853,3.5968665350048994,Yes,2_100_0.75_100_4.csv,0.5503950728441926,0.11041618997983862,0.2006126061580779,No,2_100_0.75_75_6.csv,0.1860465502435543,0.02652064115477424,0.14254841661968987,No,,
2_20_0.75_100_14.csv,0.23562403125000003,-0.0038698633486658595,-0.01642389075569243,No,,,,,2_100_0.75_225_6.csv,0.1485002278414028,0.4920354355205141,3.3133648525172936,Yes,2_100_0.75_75_4.csv,0.5503950728441926,0.11041618997983862,0.2006126061580779,No,2_100_0.75_50_6.csv,0.1860465444535205,0.02652063204010148,0.14254837206464244,No,,
2_20_0.75_100_16.csv,0.23562403125000003,-0.0038698633486658595,-0.01642389075569243,No,,,,,2_120_0.75_225_6.csv,0.14305998275919432,0.27421632102205695,1.916792632944962,Yes,2_100_0.75_200_4.csv,0.5503949740354419,0.007825371076966571,0.014217737163534977,No,2_100_0.75_125_6.csv,0.18604653446852826,0.026520639465716787,0.14254841962779496,No,,
2_20_0.75_100_18.csv,0.23562403125000003,-0.0038698633486658595,-0.01642389075569243,No,,,,,2_40_1.75_200_6.csv,0.13665378291950306,0.34914375762439387,2.5549512802734458,Yes,2_100_0.75_225_4.csv,0.5503949661014853,0.007825359570024578,0.014217716461784807,No,2_120_0.75_50_6.csv,0.18110451365195057,0.008149621311073352,0.044999548309079804,No,,
2_20_0.75_100_20.csv,0.23562403125000003,-0.0038698633486658595,-0.01642389075569243,No,,,,,2_40_1.75_225_6.csv,0.13665376383665753,0.3805857364927623,2.785036619610983,Yes,2_100_0.75_125_4.csv,0.5503949381507148,0.11041621386235795,0.2006126986439011,No,2_120_0.75_100_6.csv,0.16943204827837743,0.008149626760200696,0.048099676790844384,No,,
2_20_0.75_100_4.csv,0.23562403125000003,0.01629858399712107,0.06917199366573977,No,,,,,2_120_0.75_200_4.csv,0.1080099120899933,0.4931614114523865,4.565890314228633,Yes,2_100_0.75_150_4.csv,0.5503949173455835,0.026809803138121636,0.04871012121154494,No,2_120_0.75_125_6.csv,0.16943204827837743,0.008149626760200696,0.048099676790844384,No,,
2_20_0.75_100_6.csv,0.23562403125000003,-0.0038698633486658595,-0.01642389075569243,No,,,,,2_100_0.75_225_10.csv,0.10582310757550076,0.4999833188501086,4.724708339276368,Yes,2_100_1.25_200_12.csv,0.520008521506283,-0.03262105066994839,-0.06273176173239739,No,2_120_0.75_75_6.csv,0.16943204827837743,0.008149626760200696,0.048099676790844384,No,,
2_20_0.75_100_8.csv,0.23562403125000003,-0.0038698633486658595,-0.01642389075569243,No,,,,,2_100_0.75_225_12.csv,0.10582310757550076,0.4999833188501086,4.724708339276368,Yes,2_100_1.25_200_14.csv,0.520008521506283,-0.025518822196827946,-0.049073853872449696,No,2_120_0.75_150_6.csv,0.16943196458190893,0.00814961030627722,0.048099603438980565,No,,
2_20_0.75_150_10.csv,0.2356075625,-0.0339486510848942,-0.14408981920898314,No,,,,,2_100_0.75_225_14.csv,0.10582310757550076,0.4999833188501086,4.724708339276368,Yes,2_100_1.25_175_12.csv,0.5200084258478401,0.01023695982666469,0.019686142219664977,No,2_60_1.25_125_6.csv,0.13673796680437914,-0.017340118511472675,-0.1268127566667705,No,,
2_20_0.75_150_12.csv,0.2356075625,-0.0339486510848942,-0.14408981920898314,No,,,,,2_100_0.75_225_16.csv,0.10582310757550076,0.4999833188501086,4.724708339276368,Yes,2_100_1.25_175_14.csv,0.5200084258478401,0.01873945322530001,0.0360368261240124,No,2_60_1.25_50_6.csv,0.13629371239042146,-0.015661069015864226,-0.1149067608563054,No,,
2_20_0.75_150_14.csv,0.2356075625,-0.0339486510848942,-0.14408981920898314,No,,,,,2_100_0.75_225_18.csv,0.10582310757550076,0.4999833188501086,4.724708339276368,Yes,2_100_1.25_125_12.csv,0.5200085698162246,0.028014052492948777,0.053872290033314604,No,2_60_1.25_100_6.csv,0.13629370103809374,-0.015661066973668248,-0.11490675544345971,No,,
2_20_0.75_150_16.csv,0.2356075625,-0.0339486510848942,-0.14408981920898314,No,,,,,2_100_0.75_225_20.csv,0.10582310757550076,0.4999833188501086,4.724708339276368,Yes,2_100_1.25_125_14.csv,0.5200085698162246,0.03709735234121733,0.07133988648365516,No,2_60_1.25_75_6.csv,0.13629369841970895,-0.01566107517319553,-0.1149068178116945,No,,
2_20_0.75_150_18.csv,0.2356075625,-0.0339486510848942,-0.14408981920898314,No,,,,,2_80_1_200_8.csv,0.10219773967808243,0.3177827477911337,3.109489004278694,Yes,2_100_1.25_225_12.csv,0.520008538113558,-0.041787635049266046,-0.08035951717419798,No,2_40_0.75_50_4.csv,0.12947216638631381,-0.019739258717175783,-0.1524594765664041,No,,
2_20_0.75_150_20.csv,0.2356075625,-0.0339486510848942,-0.14408981920898314,No,,,,,2_80_1_225_10.csv,0.10219773332582016,0.3177827612704387,3.10948932944828,Yes,2_100_1.25_225_14.csv,0.520008538113558,-0.034984894578963206,-0.06727753876095648,No,2_60_1_125_6.csv,0.12251713854454527,-0.0002698938019271108,-0.0022029065087002643,No,,
2_20_0.75_150_4.csv,0.2356075625,-0.016244870748658807,-0.06894885111618099,No,,,,,2_80_1_200_10.csv,0.10219772889917088,0.31778278076186456,3.109489654857122,Yes,2_100_1.25_150_12.csv,0.5200085218644882,0.028014050422678932,0.053872291019836906,No,2_120_0.75_50_4.csv,0.12131985850587806,0.0032579816394779663,0.0268544793869844,No,,
2_20_0.75_150_6.csv,0.2356075625,-0.0339486510848942,-0.14408981920898314,No,,,,,2_80_1_225_8.csv,0.1021977249949797,0.3177827991743844,3.1094899538125236,Yes,2_100_1.25_150_14.csv,0.5200085218644882,0.03709735019823225,0.07133988894108864,No,2_80_0.75_125_4.csv,0.12026421469394952,0.012882178818174373,0.10711564409211143,No,,
