Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,InSample5_RateOfReturn,OutSample5_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample5_AvgTrade,OutSample5_AvgTrade,Score_5,Pass5,Para6,InSample6_RateOfReturn,OutSample6_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample6_AvgTrade,OutSample6_AvgTrade,Score_6,Pass6,Para7,Pass7
2_20_0.75_100_10.csv,0.942496125,-0.015479453394663438,26.0,24.0,0.03624985096153846,-0.0006449772247776433,-0.0177925483186668,No,No Plateau,No,No Plateau,No,2_120_0.75_225_4.csv,0.811669996075383,1.972645814151164,7.0,8.0,0.11595285658219757,0.2465807267688955,2.1265601731346515,Yes,2_100_0.75_175_4.csv,2.201580265134351,0.0313014262715739,8,9,0.27519753314179385,0.0034779362523971002,0.012637963039461967,No,2_100_0.75_100_6.csv,0.7441862009742172,0.10608256461909696,9.0,13.0,0.0826873556638019,0.008160197278392074,0.09868736535209299,No,No Plateau,No
2_20_0.75_100_12.csv,0.942496125,-0.015479453394663438,26.0,24.0,0.03624985096153846,-0.0006449772247776433,-0.0177925483186668,No,,,,,2_100_0.75_225_4.csv,0.6120827233871613,2.2015798644059412,9.0,8.0,0.06800919148746237,0.27519748305074265,4.046474851880512,Yes,2_100_0.75_100_4.csv,2.2015802913767706,0.4416647599193545,8,10,0.2751975364220963,0.04416647599193545,0.16049008492646233,No,2_100_0.75_75_6.csv,0.7441862009742172,0.10608256461909696,9.0,13.0,0.0826873556638019,0.008160197278392074,0.09868736535209299,No,,
2_20_0.75_100_14.csv,0.942496125,-0.015479453394663438,26.0,24.0,0.03624985096153846,-0.0006449772247776433,-0.0177925483186668,No,,,,,2_100_0.75_225_6.csv,0.5940009113656112,1.9681417420820564,7.0,6.0,0.08485727305223016,0.3280236236803427,3.865592327936843,Yes,2_100_0.75_75_4.csv,2.2015802913767706,0.4416647599193545,8,10,0.2751975364220963,0.04416647599193545,0.16049008492646233,No,2_100_0.75_50_6.csv,0.744186177814082,0.10608252816040593,9.0,13.0,0.08268735309045355,0.008160194473877379,0.09868733450629093,No,,
2_20_0.75_100_16.csv,0.942496125,-0.015479453394663438,26.0,24.0,0.03624985096153846,-0.0006449772247776433,-0.0177925483186668,No,,,,,2_120_0.75_225_6.csv,0.5722399310367773,1.0968652840882278,7.0,8.0,0.08174856157668246,0.13710816051102848,1.6771935538268419,Yes,2_100_0.75_200_4.csv,2.2015798961417676,0.031301484307866285,8,9,0.27519748701772095,0.003477942700874032,0.01263798858980887,No,2_100_0.75_125_6.csv,0.744186137874113,0.10608255786286715,9.0,13.0,0.08268734865267922,0.008160196758682087,0.09868736743462728,No,,
2_20_0.75_100_18.csv,0.942496125,-0.015479453394663438,26.0,24.0,0.03624985096153846,-0.0006449772247776433,-0.0177925483186668,No,,,,,2_40_1.75_200_6.csv,0.5466151316780122,1.3965750304975755,10.0,16.0,0.054661513167801226,0.08728593940609847,1.5968445501709034,Yes,2_100_0.75_225_4.csv,2.2015798644059412,0.031301438280098313,8,9,0.27519748305074265,0.0034779375866775906,0.012637970188253163,No,2_120_0.75_50_6.csv,0.7244180546078023,0.03259848524429341,6.0,11.0,0.12073634243463371,0.002963498658572128,0.024545208168588982,No,,
2_20_0.75_100_20.csv,0.942496125,-0.015479453394663438,26.0,24.0,0.03624985096153846,-0.0006449772247776433,-0.0177925483186668,No,,,,,2_40_1.75_225_6.csv,0.5466150553466301,1.5223429459710494,10.0,16.0,0.054661505534663014,0.09514643412319058,1.7406478872568645,Yes,2_100_0.75_125_4.csv,2.2015797526028593,0.4416648554494318,8,10,0.2751974690753574,0.04416648554494318,0.1604901589151209,No,2_120_0.75_100_6.csv,0.6777281931135097,0.032598507040802784,7.0,11.0,0.09681831330192996,0.0029635006400729803,0.030608885230537335,No,,
2_20_0.75_100_4.csv,0.942496125,0.06519433598848429,26.0,24.0,0.03624985096153846,0.0027164306661868454,0.0749363264712181,No,,,,,2_120_0.75_200_4.csv,0.4320396483599732,1.972645645809546,10.0,8.0,0.043203964835997324,0.24658070572619326,5.70736289278579,Yes,2_100_0.75_150_4.csv,2.201579669382334,0.10723921255248654,8,10,0.2751974586727918,0.010723921255248655,0.038968096969235956,No,2_120_0.75_125_6.csv,0.6777281931135097,0.032598507040802784,7.0,11.0,0.09681831330192996,0.0029635006400729803,0.030608885230537335,No,,
2_20_0.75_100_6.csv,0.942496125,-0.015479453394663438,26.0,24.0,0.03624985096153846,-0.0006449772247776433,-0.0177925483186668,No,,,,,2_100_0.75_225_10.csv,0.42329243030200303,1.9999332754004342,4.0,6.0,0.10582310757550076,0.33332221256673905,3.1498055595175782,Yes,2_100_1.25_200_12.csv,2.080034086025132,-0.13048420267979355,6,7,0.3466723476708553,-0.01864060038282765,-0.053770081484912045,No,2_120_0.75_75_6.csv,0.6777281931135097,0.032598507040802784,7.0,11.0,0.09681831330192996,0.0029635006400729803,0.030608885230537335,No,,
2_20_0.75_100_8.csv,0.942496125,-0.015479453394663438,26.0,24.0,0.03624985096153846,-0.0006449772247776433,-0.0177925483186668,No,,,,,2_100_0.75_225_12.csv,0.42329243030200303,1.9999332754004342,4.0,6.0,0.10582310757550076,0.33332221256673905,3.1498055595175782,Yes,2_100_1.25_200_14.csv,2.080034086025132,-0.1020752887873118,6,6,0.3466723476708553,-0.017012548131218632,-0.0490738538724497,No,2_120_0.75_150_6.csv,0.6777278583276357,0.03259844122510888,7.0,11.0,0.09681826547537653,0.0029634946568280803,0.030608838552078545,No,,
2_20_0.75_150_10.csv,0.94243025,-0.1357946043395768,25.0,23.0,0.03769721,-0.005904113232155513,-0.15661936870541646,No,,,,,2_100_0.75_225_14.csv,0.42329243030200303,1.9999332754004342,4.0,6.0,0.10582310757550076,0.33332221256673905,3.1498055595175782,Yes,2_100_1.25_175_12.csv,2.0800337033913605,0.04094783930665876,6,7,0.3466722838985601,0.00584969132952268,0.016873836188284266,No,2_60_1.25_125_6.csv,0.5469518672175165,-0.0693604740458907,14.0,15.0,0.039067990515536895,-0.00462403160305938,-0.11835857288898581,No,,
