AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,Pass7,Score_7,isExist8,Pass8,Score_8,isExist9,Pass9,Score_9,CountExist,CountPass,TotalExistPercent,ExistPassPercent
3_40_1_150_6.csv,Y,Yes,4.033108172158543,Y,No,1.4356793426121788,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
3_40_1_150_8.csv,Y,Yes,4.033108172158543,Y,No,1.4356793426121788,N,,,N,,,N,,,N,,,N,,,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_225_10.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_225_12.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_225_14.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_225_16.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_225_18.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_225_20.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_225_4.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_225_6.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
1_20_0.75_225_8.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_225_10.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_225_12.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_225_14.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_225_16.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_225_18.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_225_20.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
3_20_0.75_225_4.csv,Y,Yes,2.61256649215909,N,,,N,,,N,,,N,,,N,,,Y,No,0.6771599687673012,N,,,N,,,2,1,0.2222222222222222,0.5
