Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,OutSamplePass3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5
2_40_1.5_50_4.csv,0.21946349999999998,0.11435061691899295,Yes,Yes,2_100_0.75_100_4.csv,0.39935570777831775,-0.07140176472070864,No,No,2_40_1.5_100_8.csv,0.20778851348818045,0.27612380752810395,Yes,Yes,2_80_1_125_6.csv,0.4694895512167288,0.06001107378671894,No,No,2_60_0.75_50_4.csv,0.17166551170895644,0.011505729285773368,No,No
2_40_1.5_75_4.csv,0.20862472499999998,0.12237606277985258,Yes,,2_100_0.75_75_4.csv,0.39935570777831775,-0.07140176472070864,No,,2_40_1.5_100_10.csv,0.1768678599399136,0.2761238184443106,Yes,,2_80_1_150_6.csv,0.4694894727112727,0.0068184180507001625,No,,2_60_0.75_75_4.csv,0.1716655102361453,0.011505707508550114,No,
2_40_1.5_125_4.csv,0.18953204999999998,0.14257176014143125,Yes,,2_100_0.75_200_4.csv,0.3864470473189725,-0.02647669074470497,No,,2_40_1.5_100_12.csv,0.1768678599399136,0.2761238184443106,Yes,,2_80_1_100_6.csv,0.4694894418057921,0.07289237849306357,No,,2_60_1_100_4.csv,0.1630307305789252,0.039637797361435786,No,
2_40_1.5_150_4.csv,0.1858951,0.07665307229866355,No,,2_100_0.75_175_4.csv,0.3864470444415943,-0.018548503619701624,No,,2_40_1.5_100_14.csv,0.1768678560586482,0.276123802125569,Yes,,2_80_1_50_6.csv,0.4694894418057921,0.07289237849306357,No,,2_100_1.25_125_4.csv,0.16044647518362493,0.01650433224363343,No,
2_60_1_50_4.csv,0.18309706259999997,0.1399376103699731,Yes,,2_100_0.75_225_4.csv,0.38644702031347744,-0.026476705273225487,No,,2_40_1.5_100_16.csv,0.1768678560586482,0.276123802125569,Yes,,2_80_1_75_6.csv,0.4694894418057921,0.07289237849306357,No,,2_100_1.25_100_4.csv,0.1604464667553176,0.016504313536620994,No,
2_120_1.75_100_10.csv,0.1652923626,0.16092170550733004,Yes,,2_100_0.75_150_4.csv,0.37730975891926927,-0.0674469280806012,No,,2_40_1.5_100_18.csv,0.1768678560586482,0.276123802125569,Yes,,2_80_1_200_6.csv,0.4694893580063555,0.045291556344103374,No,,2_100_1.25_50_4.csv,0.1604464667553176,0.016504313536620994,No,
2_120_1.75_50_10.csv,0.1652923626,0.16092170550733004,Yes,,2_100_0.75_125_4.csv,0.3587367694204333,-0.07140177428511586,No,,2_40_1.5_100_20.csv,0.1768678560586482,0.276123802125569,Yes,,2_80_1_225_6.csv,0.4694893580063555,0.07040482022530727,No,,2_100_1.25_75_4.csv,0.1604464667553176,0.016504313536620994,No,
2_120_1.75_75_10.csv,0.1652923626,0.16092170550733004,Yes,,2_100_0.75_50_4.csv,0.34484452206460486,-0.06851189521644181,No,,2_40_1_100_8.csv,0.17658279178970473,0.3389485774076172,Yes,,2_80_1_175_6.csv,0.4694893320490468,0.024684859333505987,No,,2_100_1.25_150_4.csv,0.1604464638808331,0.016504311255228693,No,
2_60_1.25_50_4.csv,0.163585025,0.08060994811323707,No,,2_80_2_150_6.csv,0.3479601359831636,0.0005972929988199986,No,,2_40_1_100_14.csv,0.1765827879700656,0.338948671053009,Yes,,2_20_1.5_200_4.csv,0.4457103945208564,0.03658958032250179,No,,2_60_0.75_50_6.csv,0.14555129137194744,0.009436687457672498,No,
2_60_1.5_50_8.csv,0.15347215,0.1473994627299492,Yes,,2_80_2_125_6.csv,0.34796009959243795,-0.005803114143808166,No,,2_40_1_100_16.csv,0.1765827879700656,0.338948671053009,Yes,,2_20_1.5_150_4.csv,0.4457103393216849,0.02688673958272146,No,,2_60_0.75_75_6.csv,0.14555124868497085,0.009436734875956504,No,
2_60_1.5_75_8.csv,0.15347215,0.1473994627299492,Yes,,2_80_2_100_6.csv,0.3479600823301907,-0.005803093460414098,No,,2_40_1_100_18.csv,0.1765827879700656,0.338948671053009,Yes,,2_20_1.5_225_4.csv,0.44571033476887845,0.04312670644722562,No,,2_80_1.25_150_4.csv,0.14286261725049676,0.0061370412084009816,No,
2_60_1.5_50_10.csv,0.15343363759999998,0.11996094307238625,Yes,,2_80_2_50_6.csv,0.34796008184736027,-0.0058030947211806135,No,,2_40_1_100_20.csv,0.1765827879700656,0.338948671053009,Yes,,2_20_1.5_175_4.csv,0.44571027295730953,0.017148158892815346,No,,1_120_0.75_225_10.csv,0.1320771715388781,-0.03275430588633873,No,
2_60_1.5_75_10.csv,0.15343363759999998,0.11996094307238625,Yes,,2_80_2_75_6.csv,0.34796008184736027,-0.0058030947211806135,No,,2_40_1_100_10.csv,0.17658277991437246,0.3389486152957939,Yes,,2_20_1.5_125_4.csv,0.44304585087652193,0.0776334374511102,No,,1_120_0.75_225_12.csv,0.1320771715388781,-0.03275430588633873,No,
1_40_0.75_50_6.csv,0.15259489999999998,0.09886542601722259,No,,2_100_0.75_100_14.csv,0.34101331989686406,-0.0040989869243943395,No,,2_40_1_100_12.csv,0.17658277991437246,0.3389486152957939,Yes,,2_60_0.75_100_8.csv,0.44932557096745196,0.060775262973229105,No,,1_120_0.75_225_14.csv,0.1320771715388781,-0.03275430588633873,No,
