Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window_6_NetProfit,Window_6_MDD,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Window_7_NetProfit,Window_7_MDD,Score_7,Pass7
2_20_1_50_4.csv,0.35311415625,0.05488721330348997,2021625.125,-1224550.5,1.6509120081205308,Yes,2_60_0.75_100_8.csv,0.40402719946998594,0.06464771194092117,2939280.812,-1315948.5,2.233583466222272,Yes,2_120_1.25_100_4.csv,0.18343842365810345,-0.042468229798862854,1269467.5,-3576068.5,0.3549897044757392,No,2_40_1.25_75_4.csv,0.14241034960407853,0.18308751897885012,4883314.375,-2503540.0,1.9505637517275538,Yes,2_120_0.75_225_6.csv,0.5757725484566973,-0.024650323328641796,3306180.25,-2142330.75,1.543263219276482,Yes,2_40_1_50_4.csv,0.17120734919983818,-0.0307821948030724,4230358.0,-4101059.0,1.0315281979605755,No,1_20_2_200_10.csv,0.1151165755329503,-0.006987321880181125,500594.31200000003,-112318.43800000001,4.456920171913359,Yes
2_20_1_75_4.csv,0.34523803125,0.040068553389900646,1837221.0,-1154590.0,1.5912323855221333,Yes,2_60_0.75_100_10.csv,0.40402708323668846,0.06464773939811674,2862603.7189999996,-1281619.0,2.2335840206800928,Yes,2_120_1.25_125_4.csv,0.18343842365810345,-0.042468229798862854,1269467.5,-3576068.5,0.3549897044757392,No,2_60_1.5_225_6.csv,0.1294730536536872,0.3664317063845331,5400555.562000001,-1861166.0,2.901705469581972,Yes,2_120_0.75_150_6.csv,0.5757724719929975,-0.010907964748495527,5258933.125,-3128906.5,1.6807575186410972,Yes,2_40_1_75_4.csv,0.12977821645871213,-0.025964272714236864,4312902.0,-4980431.0,0.8659696319455084,No,1_20_2_200_12.csv,0.1151165755329503,-0.006987321880181125,500594.31200000003,-112318.43800000001,4.456920171913359,Yes
2_20_1_150_4.csv,0.33773325,0.026360657357038866,1669060.0,-986575.5,1.6917711822359263,Yes,2_60_0.75_100_12.csv,0.40402708323668846,0.06464773939811674,2862603.7189999996,-1281619.0,2.2335840206800928,Yes,2_120_1.25_150_4.csv,0.18343842365810345,-0.042468229798862854,1269467.5,-3576068.5,0.3549897044757392,No,2_60_1.5_200_6.csv,0.12250827661140468,0.3300584654221151,4538292.812,-1612558.5,2.8143430529807136,Yes,2_120_0.75_200_6.csv,0.5757724217935412,-0.010907931841740695,3635746.937,-2163160.0,1.6807572888736848,Yes,2_40_1.25_50_4.csv,0.11028250960379452,-0.010172416637238646,2172068.5,-3229964.0,0.6724745229358593,No,1_20_2_200_14.csv,0.1151165755329503,-0.006987321880181125,500594.31200000003,-112318.43800000001,4.456920171913359,Yes
1_20_0.75_50_10.csv,0.3334655625,0.18707032775178892,3190524.75,-1082171.5,2.9482616664733823,Yes,2_60_0.75_100_14.csv,0.40402708323668846,0.06464773939811674,2862603.7189999996,-1281619.0,2.2335840206800928,Yes,2_120_1.25_50_4.csv,0.18343842365810345,-0.042468229798862854,1269467.5,-3576068.5,0.3549897044757392,No,,,,,,,,2_120_0.75_100_6.csv,0.5757723316920439,-0.010907897055427954,5163317.25,-3072016.5,1.6807583064739398,Yes,2_80_1_175_4.csv,0.10328994558611793,0.04512814211674825,2233593.5,-1161156.25,1.9235942621847835,Yes,1_20_2_200_16.csv,0.1151165755329503,-0.006987321880181125,500594.31200000003,-112318.43800000001,4.456920171913359,Yes
1_20_0.75_50_12.csv,0.3334655625,0.18707032775178892,3190524.75,-1082171.5,2.9482616664733823,Yes,2_60_0.75_100_16.csv,0.40402708323668846,0.06464773939811674,2862603.7189999996,-1281619.0,2.2335840206800928,Yes,2_120_1.25_75_4.csv,0.18343842365810345,-0.042468229798862854,1269467.5,-3576068.5,0.3549897044757392,No,,,,,,,,2_120_0.75_125_6.csv,0.5757723316920439,-0.010907897055427954,5163317.25,-3072016.5,1.6807583064739398,Yes,2_40_1_50_10.csv,0.10304982442318458,-0.012311881264303885,2759142.0,-3203666.0,0.8612452109551995,No,1_20_2_200_18.csv,0.1151165755329503,-0.006987321880181125,500594.31200000003,-112318.43800000001,4.456920171913359,Yes
1_20_0.75_50_14.csv,0.3334655625,0.18707032775178892,3190524.75,-1082171.5,2.9482616664733823,Yes,2_60_0.75_100_18.csv,0.40402708323668846,0.06464773939811674,2862603.7189999996,-1281619.0,2.2335840206800928,Yes,2_120_1.25_200_4.csv,0.1834384219539487,-0.042468255827158394,820964.562,-2312644.75,0.3549894820637714,No,,,,,,,,2_120_0.75_75_6.csv,0.5757723316920439,-0.010907897055427954,5163317.25,-3072016.5,1.6807583064739398,Yes,2_40_1_50_12.csv,0.10304982442318458,-0.012311881264303885,2759142.0,-3203666.0,0.8612452109551995,No,1_20_2_200_20.csv,0.1151165755329503,-0.006987321880181125,500594.31200000003,-112318.43800000001,4.456920171913359,Yes
1_20_0.75_50_16.csv,0.3334655625,0.18707032775178892,3190524.75,-1082171.5,2.9482616664733823,Yes,2_60_0.75_100_20.csv,0.40402708323668846,0.06464773939811674,2862603.7189999996,-1281619.0,2.2335840206800928,Yes,2_120_1.25_175_4.csv,0.18343839429238162,-0.04246820821493861,801252.812,-2257115.0,0.35498980424125487,No,2_40_1_75_4.csv,0.10874926620213604,0.4197901665533027,8831214.5,-3038594.0,2.906348956129052,Yes,2_120_0.75_175_6.csv,0.5757722409927889,-0.01090788759234488,2194460.437,-1305637.0,1.680758462727389,Yes,2_40_1_50_14.csv,0.10304982442318458,-0.012311881264303885,2759142.0,-3203666.0,0.8612452109551995,No,1_20_2_200_4.csv,0.1151165755329503,-0.006987321880181125,500594.31200000003,-112318.43800000001,4.456920171913359,Yes
1_20_0.75_50_18.csv,0.3334655625,0.18707032775178892,3190524.75,-1082171.5,2.9482616664733823,Yes,2_60_1_100_10.csv,0.3897731011991079,0.06736646741974883,2758859.297,-1002836.75,2.7510552410449653,Yes,2_120_1_50_4.csv,0.18059659120044527,-0.07168925745823611,857718.25,-5138742.25,0.1669120979944071,No,,,,,,,,2_120_0.75_100_4.csv,0.5220819538394276,0.03365169382501782,6936562.125,-3143083.5,2.2069289998181723,Yes,2_40_1_50_16.csv,0.10304982442318458,-0.012311881264303885,2759142.0,-3203666.0,0.8612452109551995,No,1_20_2_200_6.csv,0.1151165755329503,-0.006987321880181125,500594.31200000003,-112318.43800000001,4.456920171913359,Yes
1_20_0.75_50_20.csv,0.3334655625,0.18707032775178892,3190524.75,-1082171.5,2.9482616664733823,Yes,2_60_1_100_12.csv,0.3897731011991079,0.06736646741974883,2758859.297,-1002836.75,2.7510552410449653,Yes,2_120_1_150_4.csv,0.18059655852981893,-0.07168927443570118,837040.5,-5014863.25,0.16691192925350457,No,,,,,,,,2_120_0.75_125_4.csv,0.5220819538394276,0.03365169382501782,6936562.125,-3143083.5,2.2069289998181723,Yes,2_40_1_50_18.csv,0.10304982442318458,-0.012311881264303885,2759142.0,-3203666.0,0.8612452109551995,No,1_20_2_200_8.csv,0.1151165755329503,-0.006987321880181125,500594.31200000003,-112318.43800000001,4.456920171913359,Yes
1_20_0.75_50_4.csv,0.3334655625,0.18707032775178892,3190524.75,-1082171.5,2.9482616664733823,Yes,2_60_1_100_14.csv,0.3897731011991079,0.06736646741974883,2758859.297,-1002836.75,2.7510552410449653,Yes,2_120_1_100_4.csv,0.18059653285403293,-0.07168925438738036,863198.25,-5171577.25,0.16691198995432197,No,,,,,,,,2_120_0.75_75_4.csv,0.5220819538394276,0.03365169382501782,6936562.125,-3143083.5,2.2069289998181723,Yes,2_40_1_50_20.csv,0.10304982442318458,-0.012311881264303885,2759142.0,-3203666.0,0.8612452109551995,No,3_20_2_200_10.csv,0.1151165755329503,-0.006987321880181125,500594.31200000003,-112318.43800000001,4.456920171913359,Yes
