AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,Pass7,Score_7,isExist8,Pass8,Score_8,isExist9,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_40_0.75_50_4.csv,Y,No,0.48231309692714175,Y,No,0.34123690568007103,Y,No,0.2229967975959703,N,,,Y,Yes,0.90449722238987,Y,Yes,0.6686610574021002,Y,No,0.3936888179170347,N,,,N,6,2,0.6666666666666666,0.3333333333333333
2_40_2_100_4.csv,Y,No,0.30726453062937953,Y,No,0.23653018755448157,N,,,N,,,N,,,Y,No,0.1822992478175918,N,,,N,,,N,3,0,0.3333333333333333,0.0
2_20_1.75_50_4.csv,Y,No,0.08698258997948767,N,,,Y,No,0.49467434616353395,Y,No,-0.3059882340690223,N,,,Y,No,0.20468548631939462,N,,,N,,,N,4,0,0.4444444444444444,0.0
2_60_1.25_50_8.csv,Y,Yes,0.5761942091431124,Y,No,0.11509306465827013,N,,,N,,,N,,,Y,No,0.3025713680271157,Y,No,0.13039951047305443,N,,,N,4,1,0.4444444444444444,0.25
2_60_1.25_75_8.csv,Y,Yes,0.5761942091431124,Y,No,0.11509306465827013,N,,,N,,,N,,,Y,No,0.3025713680271157,Y,No,0.13039951047305443,N,,,N,4,1,0.4444444444444444,0.25
2_20_2_50_4.csv,Y,No,0.2924253358679805,Y,No,0.21770081532114496,N,,,N,,,N,,,Y,No,-0.026618172631508577,N,,,N,,,N,3,0,0.3333333333333333,0.0
2_40_1_50_6.csv,Y,No,0.427522068482768,Y,No,0.30690156362288207,N,,,N,,,N,,,Y,No,0.3589319178742898,Y,No,0.3266661758176805,N,,,N,4,0,0.4444444444444444,0.0
2_40_1_50_8.csv,Y,No,0.40798101230814887,Y,No,0.2954250728950899,N,,,N,,,N,,,Y,No,0.35893215023061553,Y,Yes,0.5421888346304838,N,,,N,4,1,0.4444444444444444,0.25
2_60_1.75_125_10.csv,Y,No,0.394392302407977,Y,No,0.07378922708687476,N,,,N,,,N,,,Y,No,0.4449093926355492,Y,Yes,0.6430805184164435,N,,,N,4,1,0.4444444444444444,0.25
2_60_1.75_150_10.csv,Y,No,0.394392302407977,Y,No,0.07378922708687476,N,,,N,,,N,,,Y,No,0.4449093519547422,Y,Yes,0.7177123098196302,N,,,N,4,1,0.4444444444444444,0.25
2_60_1.75_175_10.csv,Y,No,0.394392302407977,Y,No,0.07378922708687476,N,,,N,,,N,,,Y,No,0.4449095208421571,Y,Yes,0.6366464955756271,N,,,N,4,1,0.4444444444444444,0.25
2_40_2_75_4.csv,Y,No,0.3327105653668722,Y,No,0.43743895924490445,Y,No,0.17193503817564335,N,,,N,,,Y,No,0.15207476635428327,N,,,N,,,N,4,0,0.4444444444444444,0.0
