"Filename","Begin","End","Start_NetProfit","End_NetProfit","NetProfit","NetProfit_Percent","Number_of_Transactions","Window_GrossProfit","Window_GrossLoss","Window_Net","Window_MDD"
"2_60_0.75_200_20.csv","2008/1/2","2011/12/30","806618.625","2178076.5","1371457.875","0.759129711175","11","13350880.733","-11093846.569","2257034.164","-1207444.0"
"1_60_0.75_100_4.csv","2008/1/2","2011/12/30","2238056.25","5968628.0","3730571.75","1.15210220638","30","25708709.937","-20390935.312","5317774.625","-1520589.0"
"3_60_0.75_100_4.csv","2008/1/2","2011/12/30","2238056.25","5968628.0","3730571.75","1.15210220638","30","25708709.937","-20390935.312","5317774.625","-1520589.0"
"1_60_0.75_100_10.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"1_60_0.75_100_12.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"1_60_0.75_100_14.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"1_60_0.75_100_16.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"1_60_0.75_100_18.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"1_60_0.75_100_20.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"1_60_0.75_100_6.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"1_60_0.75_100_8.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"3_60_0.75_100_10.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"3_60_0.75_100_12.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"3_60_0.75_100_14.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"3_60_0.75_100_16.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"3_60_0.75_100_18.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"3_60_0.75_100_20.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"3_60_0.75_100_6.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"3_60_0.75_100_8.csv","2008/1/2","2011/12/30","2075067.25","5617858.5","3542791.25","1.15210203939","30","24414653.393","-19364552.018","5050101.375","-1444049.5"
"2_60_2_125_4.csv","2008/1/2","2011/12/30","2023176.25","4569922.0","2546745.75","0.842407302584","12","11722498.065","-7694663.315","4027834.75","-745637.0"
"2_60_2_50_4.csv","2008/1/2","2011/12/30","4374517.5","8902050.0","4527532.5","0.842407248651","12","20839919.875","-13679349.375","7160570.5","-1325571.0"
"2_60_2_75_4.csv","2008/1/2","2011/12/30","4374517.5","8902050.0","4527532.5","0.842407248651","12","20839919.875","-13679349.375","7160570.5","-1325571.0"
"2_60_2_100_4.csv","2008/1/2","2011/12/30","2918367.0","6219229.0","3300862.0","0.842407564172","12","15193636.687","-9973121.687","5220515.0","-966426.5"
