Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,Pass3,Para4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Pass8,Para9,Pass9
2_20_0.75_100_10.csv,0.4236336666666667,0.029318484161132523,No,2_20_1.25_100_4.csv,0.13375481718344842,-0.081235851827922,No,No Plateau,No,No Plateau,No,2_40_1.75_200_6.csv,0.22933989273115393,0.0406112736445262,No,2_20_1_75_4.csv,0.31327989732859357,0.10551425260094066,Yes,2_100_0.75_50_6.csv,0.5461598678481115,0.15236653346481055,No,2_120_0.75_50_4.csv,0.23247785815864536,0.03248521996151255,No,No Plateau,No
2_20_0.75_100_12.csv,0.4236336666666667,0.029318484161132523,,2_40_0.75_75_10.csv,0.12348606568191962,0.008803287562735337,,,,,,2_40_1.75_225_6.csv,0.22933987553751511,0.06023517132766516,,2_20_1_50_4.csv,0.30705569525553,0.12965912594374335,,2_100_0.75_125_6.csv,0.5461598201381492,0.15236651802588475,,2_120_1_150_8.csv,0.2196801469698086,0.04158035986330583,,,
2_20_0.75_100_14.csv,0.4236336666666667,0.029318484161132523,,2_40_0.75_75_12.csv,0.12348606568191962,0.008803287562735337,,,,,,2_120_0.75_225_4.csv,0.10559737806333233,0.19442940992761626,,2_20_0.75_50_4.csv,0.24764152997738983,0.24596404950023615,,2_100_0.75_100_6.csv,0.546159785224894,0.15236657306308948,,2_120_1_100_8.csv,0.21968011818913652,0.04158035509131148,,,
2_20_0.75_100_16.csv,0.4236336666666667,0.029318484161132523,,2_40_0.75_75_14.csv,0.12348606568191962,0.008803287562735337,,,,,,2_120_0.75_225_6.csv,0.10313145855605005,0.06535707442337664,,2_20_0.75_75_4.csv,0.24215434605732006,0.16693367484827362,,2_100_0.75_75_6.csv,0.546159785224894,0.15236657306308948,,2_120_1_125_8.csv,0.21968011818913652,0.04158035509131148,,,
2_20_0.75_100_18.csv,0.4236336666666667,0.029318484161132523,,2_40_0.75_75_16.csv,0.12348606568191962,0.008803287562735337,,,,,,,,,,2_100_0.75_125_6.csv,0.25040375277397814,0.5461598201381492,,2_100_0.75_225_6.csv,0.5461597532172581,0.014114261405675625,,2_120_1_50_8.csv,0.21968011818913652,0.04158035509131148,,,
2_20_0.75_100_20.csv,0.4236336666666667,0.029318484161132523,,2_40_0.75_75_18.csv,0.12348606568191962,0.008803287562735337,,,,,,,,,,2_100_0.75_100_6.csv,0.2504036959469454,0.546159785224894,,2_100_0.75_200_6.csv,0.5461597415382572,0.014114258555442506,,2_120_1_75_8.csv,0.21968011818913652,0.04158035509131148,,,
2_20_0.75_100_4.csv,0.4236336666666667,0.05903499315910293,,2_40_0.75_75_20.csv,0.12348606568191962,0.008803287562735337,,,,,,,,,,2_100_0.75_75_6.csv,0.2504036959469454,0.546159785224894,,2_100_0.75_150_6.csv,0.5461597302586639,0.03969785534750226,,2_120_1_150_14.csv,0.2196800582034283,0.041580344244139984,,,
2_20_0.75_100_6.csv,0.4236336666666667,0.029318484161132523,,2_40_0.75_75_8.csv,0.12348606568191962,0.008803287562735337,,,,,,,,,,2_100_0.75_175_6.csv,0.2504036486568201,0.5461596842214524,,2_100_0.75_175_6.csv,0.5461596842214524,0.014114234825121814,,2_120_1_150_16.csv,0.2196800582034283,0.041580344244139984,,,
2_20_0.75_100_8.csv,0.4236336666666667,0.029318484161132523,,2_40_0.75_75_6.csv,0.12348606482500438,0.008803267339398454,,,,,,,,,,2_100_0.75_150_6.csv,0.25040356821508997,0.5461597302586639,,2_120_0.75_50_6.csv,0.5085345851601834,0.20963866739184506,,2_120_1_150_18.csv,0.2196800582034283,0.041580344244139984,,,
2_20_0.75_150_10.csv,0.4135048333333333,0.002301517501151335,,2_80_2_100_20.csv,0.11729825825078417,-0.05329202633521497,,,,,,,,,,2_100_0.75_225_6.csv,0.2504036044278597,0.5461597532172581,,2_120_1_200_6.csv,0.47741475192096616,0.0515757054585327,,2_120_1_150_20.csv,0.2196800582034283,0.041580344244139984,,,
2_20_0.75_150_12.csv,0.4135048333333333,0.002301517501151335,,2_80_2_125_20.csv,0.11729825825078417,-0.05329202633521497,,,,,,,,,,2_100_0.75_200_6.csv,0.2504035835010911,0.5461597415382572,,2_120_1_100_6.csv,0.47741464010340606,0.1695730693438366,,2_120_1_100_12.csv,0.21968003001327163,0.04158034793107813,,,
2_20_0.75_150_14.csv,0.4135048333333333,0.002301517501151335,,2_80_2_50_14.csv,0.11729825647561092,-0.05329203235673274,,,,,,,,,,2_100_0.75_175_4.csv,0.24538634654632124,0.46535984494232324,,2_120_1_125_6.csv,0.47741464010340606,0.1695730693438366,,2_120_1_125_12.csv,0.21968003001327163,0.04158034793107813,,,
2_20_0.75_150_16.csv,0.4135048333333333,0.002301517501151335,,2_80_2_75_14.csv,0.11729825647561092,-0.05329203235673274,,,,,,,,,,2_100_0.75_100_4.csv,0.24538634128432674,0.46535986387943246,,2_120_1_75_6.csv,0.47741464010340606,0.1695730693438366,,2_120_1_50_12.csv,0.21968003001327163,0.04158034793107813,,,
2_20_0.75_150_18.csv,0.4135048333333333,0.002301517501151335,,2_80_2_150_16.csv,0.11729825048708842,-0.053292023006210665,,,,,,,,,,2_100_0.75_75_4.csv,0.24538634128432674,0.46535986387943246,,2_120_1_150_6.csv,0.4774146378002696,0.16957306024401256,,2_120_1_75_12.csv,0.21968003001327163,0.04158034793107813,,,
2_20_0.75_150_20.csv,0.4135048333333333,0.002301517501151335,,2_80_2_50_20.csv,0.11729824896836272,-0.05329202345648533,,,,,,,,,,2_100_0.75_200_4.csv,0.24538631619522908,0.465359811075866,,2_120_1_175_6.csv,0.4774146378002696,0.122365510391819,,2_120_1_100_14.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_150_4.csv,0.4135048333333333,0.029804222051080975,,2_80_2_75_20.csv,0.11729824896836272,-0.05329202345648533,,,,,,,,,,2_100_0.75_225_4.csv,0.24538627598700807,0.4653598065262765,,2_120_1_225_6.csv,0.4774146577470215,0.051575698309561366,,2_120_1_100_16.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_150_6.csv,0.4135048333333333,0.002301517501151335,,2_80_2_200_14.csv,0.1172982469610636,-0.05329202525869633,,,,,,,,,,2_100_0.75_125_4.csv,0.24538624897380285,0.46535983570851835,,2_120_1_50_6.csv,0.47741455056107396,0.16957305211819604,,2_120_1_100_18.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_150_8.csv,0.4135048333333333,0.002301517501151335,,2_80_2_100_18.csv,0.11729824507277178,-0.05329202195849207,,,,,,,,,,2_100_0.75_150_4.csv,0.24538623140601978,0.46535978176985326,,2_100_0.75_100_4.csv,0.46535986387943246,0.15236651129716247,,2_120_1_100_20.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_75_10.csv,0.4104445,0.00032758811416282386,,2_80_2_125_18.csv,0.11729824507277178,-0.05329202195849207,,,,,,,,,,2_20_1_75_6.csv,0.2223281154346592,0.14315190948121412,,2_100_0.75_75_4.csv,0.46535986387943246,0.15236651129716247,,2_120_1_125_14.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_75_12.csv,0.4104445,0.00032758811416282386,,2_80_2_150_20.csv,0.11729824452455687,-0.053292025836145465,,,,,,,,,,2_20_1_50_6.csv,0.21697946556367875,0.14013407543697945,,2_100_0.75_175_4.csv,0.46535984494232324,0.01411425740306695,,2_120_1_125_16.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_75_14.csv,0.4104445,0.00032758811416282386,,2_80_2_50_18.csv,0.11729824227595514,-0.053292018478746137,,,,,,,,,,2_20_1.75_50_6.csv,0.20713849490706726,0.11400463408325043,,2_100_0.75_125_4.csv,0.46535983570851835,0.15236651697359188,,2_120_1_125_18.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_75_16.csv,0.4104445,0.00032758811416282386,,2_80_2_75_18.csv,0.11729824227595514,-0.053292018478746137,,,,,,,,,,2_20_0.75_50_6.csv,0.2064700769446275,0.17305793850904527,,2_100_0.75_200_4.csv,0.465359811075866,0.014114266472549248,,2_120_1_125_20.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_75_18.csv,0.4104445,0.00032758811416282386,,2_80_2_225_16.csv,0.11729824111168047,-0.05329202328552507,,,,,,,,,,2_20_0.75_75_6.csv,0.20137174701452304,0.1430224366817722,,2_100_0.75_225_4.csv,0.4653598065262765,0.014114254122814394,,2_120_1_50_14.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_75_20.csv,0.4104445,0.00032758811416282386,,2_80_2_225_20.csv,0.1172982403870829,-0.05329201704301256,,,,,,,,,,2_60_1_50_4.csv,0.21313071981259185,0.07428778750665069,,2_100_0.75_150_4.csv,0.46535978176985326,0.03969785002299533,,2_120_1_50_16.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_75_8.csv,0.4104445,0.00032758811416282386,,2_80_2_50_16.csv,0.11729824031122463,-0.05329201093166043,,,,,,,,,,2_60_1_75_4.csv,0.21313069554101066,0.07428778077914962,,2_80_0.75_100_4.csv,0.4303031377143927,0.12604875387433392,,2_120_1_50_18.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_125_10.csv,0.40602974999999997,0.005690107675634182,,2_80_2_75_16.csv,0.11729824031122463,-0.05329201093166043,,,,,,,,,,2_20_1.75_75_6.csv,0.19257244655962588,0.1278588308407638,,2_80_0.75_50_4.csv,0.4303031648621957,0.12604875479269315,,2_120_1_50_20.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_125_12.csv,0.40602974999999997,0.005690107675634182,,2_80_2_200_16.csv,0.11729823933269518,-0.05329201839185624,,,,,,,,,,2_20_1.25_50_4.csv,0.1906224560364834,0.07018399870949643,,2_80_0.75_75_4.csv,0.4303031648621957,0.12604875479269315,,2_120_1_75_14.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_125_14.csv,0.40602974999999997,0.005690107675634182,,2_80_2_200_20.csv,0.11729823771269718,-0.05329202834082417,,,,,,,,,,2_100_0.75_50_4.csv,0.19992799193611055,0.38828315673797176,,2_80_0.75_150_4.csv,0.43030313965071443,0.0331663506487827,,2_120_1_75_16.csv,0.21968002831511607,0.04158034479203306,,,
2_20_0.75_125_16.csv,0.40602974999999997,0.005690107675634182,,2_80_2_175_12.csv,0.11729823745936063,-0.053292024040180574,,,,,,,,,,2_100_0.75_125_12.csv,0.1997200987946948,0.31779434479167856,,2_80_0.75_175_4.csv,0.430302963256876,-0.0008184766834365381,,2_120_1_75_18.csv,0.21968002831511607,0.04158034479203306,,,
