AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,Pass7,Score_7,isExist8,Pass8,Score_8,isExist9,Pass9,Score_9,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_20_1_150_4.csv,Y,No,0.10930304722213435,N,,,N,,,N,,,N,,,N,,,Y,No,-0.06663058419080091,N,,,N,,,2,0,0.2222222222222222,0.0
2_20_1_50_4.csv,Y,No,0.28273407141207846,Y,No,-0.3198981439648803,N,,,N,,,N,,,N,,,Y,No,0.26357132913475567,N,,,N,,,3,0,0.3333333333333333,0.0
2_20_1_125_4.csv,Y,No,0.1568964011515288,N,,,N,,,N,,,N,,,N,,,Y,No,-0.07155830942443514,N,,,N,,,2,0,0.2222222222222222,0.0
2_20_1_75_4.csv,Y,No,0.27711272296347,Y,No,-0.42160080459381244,N,,,N,,,N,,,N,,,Y,No,0.09660858165407955,N,,,N,,,3,0,0.3333333333333333,0.0
2_120_1.25_100_4.csv,Y,No,0.06383793408811703,N,,,Y,No,0.24387279476976229,N,,,N,,,Y,Yes,2.8575367784033356,Y,No,0.2641746364949138,N,,,N,,,4,1,0.4444444444444444,0.25
2_120_1.25_125_4.csv,Y,No,0.06383793408811703,N,,,Y,No,0.24387279476976229,N,,,N,,,Y,Yes,2.8575367784033356,Y,No,0.2641746364949138,N,,,N,,,4,1,0.4444444444444444,0.25
2_120_1.25_150_4.csv,Y,No,0.06383793408811703,N,,,Y,No,0.24387279476976229,N,,,N,,,Y,Yes,2.8575367784033356,Y,No,0.2641746364949138,N,,,N,,,4,1,0.4444444444444444,0.25
2_120_1.25_50_4.csv,Y,No,0.06383793408811703,N,,,Y,No,0.24387279476976229,N,,,N,,,Y,Yes,2.8575367784033356,Y,No,0.2641746364949138,N,,,N,,,4,1,0.4444444444444444,0.25
2_120_1.25_75_4.csv,Y,No,0.06383793408811703,N,,,Y,No,0.24387279476976229,N,,,N,,,Y,Yes,2.8575367784033356,Y,No,0.2641746364949138,N,,,N,,,4,1,0.4444444444444444,0.25
2_120_1_100_4.csv,Y,No,0.428919372298008,Y,Yes,1.2431154471385106,Y,No,0.45847706982330416,N,,,N,,,Y,Yes,0.5853896220110961,N,,,Y,No,0.29948918402260816,N,,,5,2,0.5555555555555556,0.4
2_120_1_125_4.csv,Y,No,0.428919372298008,Y,Yes,1.2431154471385106,Y,No,0.45847706982330416,N,,,N,,,Y,Yes,0.5853896220110961,N,,,Y,No,0.29948918402260816,N,,,5,2,0.5555555555555556,0.4
