Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window3_GrossProfit,Window3_GrossLoss,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window6_GrossProfit,Window6_GrossLoss,Score_6,Pass6,Para7,Pass7
2_40_1.75_50_6.csv,1.198745125,-0.02693564690649677,32390105.298,-28079744.298,1.1535042824555568,No,No Plateau,No,1_20_1_50_10.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_20_1.75_75_4.csv,0.23117669976789817,0.1436904755841724,24382998.625,-18270931.125,1.3345241388183493,No,2_40_1.5_200_6.csv,0.5152323484971172,0.22665627716922493,23307453.297,-17270162.577999998,1.349579263758104,No,2_80_1.25_100_16.csv,0.5490812884412838,0.01002574378893183,21429902.876,-18252564.282,1.1740762856610438,No,No Plateau,No
2_40_1.75_75_6.csv,1.12902575,-0.029259250400736993,29750663.485,-25748512.985,1.155432296316742,No,,,1_20_1_50_12.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_20_1.75_100_4.csv,0.21158141711102918,0.13965698794073653,24733821.75,-18607638.75,1.3292294676561258,No,2_40_1.5_225_6.csv,0.5152323007973697,0.1598062741514371,22006397.751,-16481732.095,1.3351993360986614,No,2_80_1.25_100_18.csv,0.5490812884412838,0.01002574378893183,21429902.876,-18252564.282,1.1740762856610438,No,,
2_40_1.75_75_4.csv,0.99059075,-0.054064654902831244,21014963.299000002,-18020640.049000002,1.1661607602093,No,,,1_20_1_50_14.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_120_1_200_6.csv,0.19486555335930592,0.14363656288056956,10599419.913999999,-9278430.008,1.142372136758161,No,2_40_1_225_4.csv,0.5137950738027144,0.10038990571231407,12487995.027999999,-10178632.652999999,1.2268833598508293,No,2_80_1.25_100_20.csv,0.5490812884412838,0.01002574378893183,21429902.876,-18252564.282,1.1740762856610438,No,,
2_40_1.75_50_4.csv,0.9740559375,-0.052002195660800735,21576107.823000003,-18593536.823,1.1604090189183693,No,,,1_20_1_50_16.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_120_1_175_6.csv,0.194865546127656,0.14363655546139464,9885997.74,-8653920.646,1.1423721275477017,No,2_40_1_175_4.csv,0.506249210512934,0.05429548385221565,12919807.476,-10662557.71,1.2116987150168492,No,2_80_1.25_125_16.csv,0.5490812668775167,0.010025720791014775,20905088.907,-17805562.907,1.1740762713422257,No,,
2_40_2_50_6.csv,0.924695,-0.012286266809932108,23763592.790999997,-20174981.540999997,1.1778743263138631,No,,,1_20_1_50_18.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_120_1_100_6.csv,0.19486550984374496,0.1436365493367584,10975881.329000002,-9607973.673,1.1423721278342018,No,2_40_1_200_4.csv,0.5062492060176617,0.10038986433385319,13079947.291,-10673162.447,1.2254987550270533,No,2_80_1.25_125_18.csv,0.5490812668775167,0.010025720791014775,20905088.907,-17805562.907,1.1740762713422257,No,,
2_40_1.75_50_8.csv,0.9017441875,-0.05226803554482837,29537056.735999998,-26794789.485999998,1.102343302657138,No,,,1_20_1_50_20.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_120_1_125_6.csv,0.19486550984374496,0.1436365493367584,10975881.329000002,-9607973.673,1.1423721278342018,No,2_40_1_150_4.csv,0.49845313226552257,0.05495794343052293,14374565.92,-11957518.264,1.202136229494786,No,2_80_1.25_125_20.csv,0.5490812668775167,0.010025720791014775,20905088.907,-17805562.907,1.1740762713422257,No,,
2_40_1.5_75_14.csv,0.862769375,-0.032997948429980724,32951361.391,-29983368.641,1.0989879684813497,No,,,1_20_1_50_4.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_120_1_150_6.csv,0.19486550984374496,0.1436365493367584,10975881.329000002,-9607973.673,1.1423721278342018,No,2_40_1.25_225_6.csv,0.4834272547080076,0.2379645022149876,17167608.659,-12861134.12,1.3348440735333846,No,2_80_1.25_50_16.csv,0.5490812437875039,0.010025731783976108,34348633.625,-29255878.875,1.1740762864024539,No,,
2_40_1.5_75_16.csv,0.862769375,-0.032997948429980724,32951361.391,-29983368.641,1.0989879684813497,No,,,1_20_1_50_6.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_120_1_75_6.csv,0.19486550984374496,0.1436365493367584,10975881.329000002,-9607973.673,1.1423721278342018,No,2_40_1.25_200_6.csv,0.4834272190900777,0.16184472286415713,13814057.642,-10580162.673,1.3056564505622135,No,2_80_1.25_50_18.csv,0.5490812437875039,0.010025731783976108,34348633.625,-29255878.875,1.1740762864024539,No,,
2_40_1.5_75_18.csv,0.862769375,-0.032997948429980724,32951361.391,-29983368.641,1.0989879684813497,No,,,1_20_1_50_8.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_120_1_50_6.csv,0.19486549149265597,0.14363653270261506,10648939.37,-9321778.026,1.1423721247489829,No,2_40_1.25_175_6.csv,0.4834271956320024,0.1618447541296427,12671355.247000001,-9704968.809,1.3056564628264538,No,2_80_1.25_50_20.csv,0.5490812437875039,0.010025731783976108,34348633.625,-29255878.875,1.1740762864024539,No,,
2_40_1.5_75_20.csv,0.862769375,-0.032997948429980724,32951361.391,-29983368.641,1.0989879684813497,No,,,3_20_1_50_10.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_100_1_225_8.csv,0.18515787035539485,0.13678153489151113,13838441.649,-12167244.665,1.1373521310709998,No,2_40_2_225_6.csv,0.4813279317918083,0.15520448986426472,7705033.265,-5195946.452,1.4828931237415302,No,2_80_1.25_75_16.csv,0.5490812437875039,0.010025731783976108,34348633.625,-29255878.875,1.1740762864024539,No,,
2_40_1.75_75_8.csv,0.846317625,-0.05432772285707926,27161726.86,-24636658.11,1.1024923404272544,No,,,3_20_1_50_12.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_100_1_200_8.csv,0.18515785261973944,0.13678151498165336,13252614.181,-11652164.736,1.137352112784273,No,2_40_1_225_6.csv,0.47416737483438576,0.16020451627657817,14371130.762,-11661781.012,1.2323272703553663,No,2_80_1.25_75_18.csv,0.5490812437875039,0.010025731783976108,34348633.625,-29255878.875,1.1740762864024539,No,,
2_40_2_75_6.csv,0.831955875,-0.012286275150783208,21663833.133,-18437480.883,1.1749887780480255,No,,,3_20_1_50_14.csv,0.22535146518557242,-0.06700469293255246,29429150.75,-27960623.0,1.0525212814464113,No,2_120_1_200_12.csv,0.17987431163026743,0.12179946623072552,11346055.281,-10124151.624,1.1206919554724362,No,2_40_1_125_4.csv,0.4673631710426187,0.058724916986549774,13709466.14,-11358547.906,1.2069734840628845,No,2_80_1.25_75_20.csv,0.5490812437875039,0.010025731783976108,34348633.625,-29255878.875,1.1740762864024539,No,,
