Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Score_8,Pass8,Para9,Pass9
2_40_1_50_4.csv,0.581113625,0.32706661301553835,0.562827300797737,Yes,2_20_2_50_10.csv,0.47286577003863206,0.019084002486024883,0.04035818131742918,No,2_40_1.75_50_6.csv,0.233747818933771,0.32796516283122906,1.4030726118738808,Yes,2_40_0.75_50_4.csv,1.1816192286081377,-0.16024710188058708,-0.1356165319595777,No,No Plateau,No,2_80_1.25_225_16.csv,0.416963689491462,0.06161830753820802,0.1477785934150742,No,2_80_1_125_6.csv,0.33856797391574467,0.1911000033001749,0.5644361487886378,Yes,2_100_1.5_100_8.csv,0.37267807115942103,-0.06079092825155483,-0.16311914479548276,No,No Plateau,No
2_40_0.75_50_4.csv,0.5752647083333333,0.38062924445305757,0.6616593003868134,Yes,2_20_2_50_12.csv,0.47286577003863206,0.019084002486024883,0.04035818131742918,No,2_40_2_75_6.csv,0.18218924647413834,0.284361111949267,1.5608007467643372,Yes,2_40_0.75_75_4.csv,0.9494869786329159,-0.15730903765989063,-0.16567793050346652,No,,,2_80_1.25_225_18.csv,0.416963689491462,0.06161830753820802,0.1477785934150742,No,2_80_1_225_6.csv,0.3385678889479969,0.015263936872822195,0.045083829184895605,No,2_100_1.5_125_8.csv,0.37267807115942103,-0.06079092825155483,-0.16311914479548276,No,,
2_40_1_50_6.csv,0.4143743333333333,0.27888413460459666,0.6730246353850665,Yes,2_20_2_50_14.csv,0.47286577003863206,0.019084002486024883,0.04035818131742918,No,2_40_2_100_6.csv,0.18218921638148267,0.14452247883155864,0.7932548462634894,Yes,2_20_0.75_50_4.csv,0.9348939576852813,-0.07231127370749546,-0.07734703290470728,No,,,2_80_1.25_225_20.csv,0.416963689491462,0.06161830753820802,0.1477785934150742,No,2_80_1_175_6.csv,0.3385678769755404,0.0403183299825267,0.11908492424826075,No,2_100_1.5_50_8.csv,0.37267807115942103,-0.06079092825155483,-0.16311914479548276,No,,
2_40_1_75_4.csv,0.37902070833333334,0.3400155989069964,0.8970897669474209,Yes,2_20_2_50_16.csv,0.47286577003863206,0.019084002486024883,0.04035818131742918,No,2_40_2_50_6.csv,0.18218920477196765,0.2239184472750874,1.2290434417085747,Yes,2_20_1.25_75_6.csv,0.929072284712948,-0.11567627186905924,-0.12450728944605134,No,,,2_80_1.25_225_12.csv,0.4169636842262903,0.055009596848532336,0.13192898789401064,No,2_80_1_200_6.csv,0.3385678440475115,0.015263882758115632,0.04508367532970331,No,2_100_1.5_75_8.csv,0.37267807115942103,-0.06079092825155483,-0.16311914479548276,No,,
2_40_1.25_75_8.csv,0.37017604166666673,0.3452634831230532,0.932700780873208,Yes,2_20_2_50_18.csv,0.47286577003863206,0.019084002486024883,0.04035818131742918,No,2_40_2_100_4.csv,0.17168091101984156,0.1523032840620947,0.8871299852578989,Yes,2_20_1_75_4.csv,0.896506887654881,-0.1248535186330995,-0.13926665857492337,No,,,2_80_1.25_200_16.csv,0.4169636753412006,0.06161832318162741,0.14777863594761642,No,2_80_1_150_6.csv,0.3385678434579705,0.19110000017929174,0.5644363570606337,Yes,2_100_1.5_150_8.csv,0.3726778460144684,-0.06079091648924169,-0.1631192117786406,No,,
2_40_1.25_75_4.csv,0.35192920833333335,0.2941506624093365,0.8358233856245564,Yes,2_20_2_50_20.csv,0.47286577003863206,0.019084002486024883,0.04035818131742918,No,2_40_2_50_4.csv,0.17168089708530188,0.25321798250850014,1.4749339431904618,Yes,2_20_1.25_75_4.csv,0.8823614039732757,-0.08001801336378384,-0.09068621202543824,No,,,2_80_1.25_200_18.csv,0.4169636753412006,0.06161832318162741,0.14777863594761642,No,2_80_1_100_6.csv,0.3385678486134885,0.13946230536746043,0.41191833760526864,No,2_120_1.75_100_8.csv,0.3712919430651483,-0.05053965024395336,-0.13611835965717545,No,,
2_40_1_50_10.csv,0.34973499999999996,0.30977578296623975,0.8857443005882734,Yes,2_20_2_50_8.csv,0.47286577003863206,0.019084002486024883,0.04035818131742918,No,2_40_2_75_4.csv,0.17168088747653276,0.29441890350395217,1.7149195104446124,Yes,2_20_0.75_50_6.csv,0.8676730270703634,-0.0909451395596096,-0.10481498988931283,No,,,2_80_1.25_200_20.csv,0.4169636753412006,0.06161832318162741,0.14777863594761642,No,2_80_1_50_6.csv,0.3385678486134885,0.13946230536746043,0.41191833760526864,No,2_120_1.75_125_8.csv,0.3712919430651483,-0.05053965024395336,-0.13611835965717545,No,,
2_40_0.75_50_6.csv,0.34737641666666663,0.29932218214558814,0.8616652362811662,Yes,2_40_0.75_75_4.csv,0.46660150308931075,0.13338119605690113,0.28585676465635185,No,2_40_1.75_100_6.csv,0.20551137163061167,0.1876409682735154,0.9130442115426258,Yes,2_20_1.25_75_10.csv,0.8645643120181594,-0.09357794975595661,-0.1082371183440557,No,,,2_80_1.25_100_16.csv,0.4169636573186616,0.06161834168779659,0.14777868671826525,No,2_80_1_75_6.csv,0.3385678486134885,0.13946230536746043,0.41191833760526864,No,2_120_1.75_50_8.csv,0.3712919430651483,-0.05053965024395336,-0.13611835965717545,No,,
2_40_1.5_50_10.csv,0.34299418766666667,0.4387995138888403,1.2793205531380039,Yes,2_40_1.5_75_10.csv,0.4539393706115501,0.08747794118933061,0.19270842507333028,No,2_40_1.75_75_6.csv,0.2055113912114599,0.3996932605320331,1.944871562475925,Yes,2_20_1.25_75_12.csv,0.8645643120181594,-0.09357794975595661,-0.1082371183440557,No,,,2_80_1.25_100_18.csv,0.4169636573186616,0.06161834168779659,0.14777868671826525,No,2_80_0.75_50_4.csv,0.324748477378334,0.08960604297267777,0.27592444372968117,No,2_120_1.75_75_8.csv,0.3712919430651483,-0.05053965024395336,-0.13611835965717545,No,,
2_40_1.25_75_10.csv,0.33240770833333333,0.3452634392063731,1.0386745871132093,Yes,2_40_1.75_75_10.csv,0.4496703456578831,0.11155438836981196,0.24808037587313897,No,2_40_1.5_50_6.csv,0.1667677602375936,0.28192559759713315,1.6905281764021685,Yes,2_20_1.25_75_14.csv,0.8645643120181594,-0.09357794975595661,-0.1082371183440557,No,,,2_80_1.25_100_20.csv,0.4169636573186616,0.06161834168779659,0.14777868671826525,No,2_80_0.75_75_4.csv,0.324748477378334,0.08960604297267777,0.27592444372968117,No,2_120_1.75_150_8.csv,0.37129187855568285,-0.05053965382887841,-0.13611839296209907,No,,
2_40_1.25_75_12.csv,0.33240770833333333,0.3452634392063731,1.0386745871132093,Yes,2_40_1.75_50_10.csv,0.44967032562039244,0.13486727996291042,0.29992479440763486,No,2_40_1.5_75_6.csv,0.160722772313211,0.40282158571219845,2.5063130750830607,Yes,2_20_1.25_75_16.csv,0.8645643120181594,-0.09357794975595661,-0.1082371183440557,No,,,2_80_1.25_50_16.csv,0.4169636573186616,0.06161834168779659,0.14777868671826525,No,2_80_0.75_100_4.csv,0.32474843200840514,0.08960608668761914,0.2759246168902209,No,2_100_0.75_150_6.csv,0.3144161941036201,-0.04906787345751604,-0.1560602614550606,No,,
2_40_1.25_75_14.csv,0.33240770833333333,0.3452634392063731,1.0386745871132093,Yes,2_40_1.75_100_10.csv,0.44524395949557793,0.11155435639957334,0.2505465914146361,No,2_40_1.5_100_6.csv,0.1597870289066575,0.21170447470576403,1.3249165226636455,Yes,2_20_1.25_75_18.csv,0.8645643120181594,-0.09357794975595661,-0.1082371183440557,No,,,2_80_1.25_50_18.csv,0.4169636573186616,0.06161834168779659,0.14777868671826525,No,2_80_0.75_125_4.csv,0.3247484109756217,0.14006982627514927,0.4313179727480301,No,2_100_0.75_150_8.csv,0.31441619089822725,-0.049067884009875,-0.1560602966078095,No,,
2_40_1.25_75_16.csv,0.33240770833333333,0.3452634392063731,1.0386745871132093,Yes,2_40_1.5_50_10.csv,0.4387995138888403,0.09262674300606497,0.21109126166791928,No,2_40_0.75_50_6.csv,0.16632089688750437,0.790870249142013,4.755086486077209,Yes,2_20_1.25_75_20.csv,0.8645643120181594,-0.09357794975595661,-0.1082371183440557,No,,,2_80_1.25_50_20.csv,0.4169636573186616,0.06161834168779659,0.14777868671826525,No,2_80_0.75_150_4.csv,0.32474839184101034,0.18914722759295344,0.5824423841506066,Yes,2_100_0.75_150_10.csv,0.3144161819703106,-0.04906787252700304,-0.156060264517926,No,,
2_40_1.25_75_18.csv,0.33240770833333333,0.3452634392063731,1.0386745871132093,Yes,2_20_2_100_10.csv,0.4311128356099992,0.0431501629017456,0.10009018367706606,No,2_40_2_125_6.csv,0.13342902919163174,0.1445224924236426,1.0831413021530596,Yes,2_20_0.75_50_10.csv,0.859577741820682,-0.10764493880750078,-0.1252300211723686,No,,,2_80_1.25_75_16.csv,0.4169636573186616,0.06161834168779659,0.14777868671826525,No,2_80_0.75_200_4.csv,0.32474836623673087,-0.05421058470712037,-0.1669310467526806,No,2_100_0.75_150_12.csv,0.31441617503901614,-0.04906783243393924,-0.15606014044236233,No,,
2_40_1.25_75_20.csv,0.33240770833333333,0.3452634392063731,1.0386745871132093,Yes,2_20_2_100_12.csv,0.4311128356099992,0.0431501629017456,0.10009018367706606,No,2_20_1_125_6.csv,0.13215164327062653,0.42376213294213677,3.2066353656634914,Yes,2_20_0.75_50_12.csv,0.859577741820682,-0.10764493880750078,-0.1252300211723686,No,,,2_80_1.25_75_18.csv,0.4169636573186616,0.06161834168779659,0.14777868671826525,No,2_80_0.75_225_4.csv,0.32474837305969884,-0.0804290195835797,-0.24766565826272624,No,2_100_0.75_150_14.csv,0.3144161479405515,-0.04906789891500209,-0.15606036533556045,No,,
2_40_1.5_75_10.csv,0.33240770833333333,0.4539393706115501,1.365610240771994,Yes,2_20_2_100_14.csv,0.4311128356099992,0.0431501629017456,0.10009018367706606,No,2_40_2_225_6.csv,0.157685487036307,0.26461437946253563,1.6781149897555778,Yes,2_20_0.75_50_14.csv,0.859577741820682,-0.10764493880750078,-0.1252300211723686,No,,,2_80_1.25_75_20.csv,0.4169636573186616,0.06161834168779659,0.14777868671826525,No,2_80_0.75_175_4.csv,0.3247483598027834,0.0375401205142648,0.11559756772001116,No,2_100_0.75_150_16.csv,0.3144161479405515,-0.04906789891500209,-0.15606036533556045,No,,
2_40_1.5_75_12.csv,0.33240770833333333,0.41762607687277475,1.2563670047446245,Yes,2_20_2_100_16.csv,0.4311128356099992,0.0431501629017456,0.10009018367706606,No,2_40_1_50_4.csv,0.125691189307882,0.6772654677644582,5.388328899533989,Yes,2_20_0.75_50_16.csv,0.859577741820682,-0.10764493880750078,-0.1252300211723686,No,,,2_80_1.25_225_14.csv,0.41696365074656216,0.055009541842581194,0.13192886656687722,No,2_100_1_200_6.csv,0.299463511899179,0.09822529459750515,0.3280042165222949,No,2_100_0.75_150_18.csv,0.3144161479405515,-0.04906789891500209,-0.15606036533556045,No,,
2_40_1.5_75_14.csv,0.33240770833333333,0.41762607687277475,1.2563670047446245,Yes,2_20_2_100_18.csv,0.4311128356099992,0.0431501629017456,0.10009018367706606,No,2_40_2_125_4.csv,0.12391458626922738,0.1523032765627578,1.2290988587239497,Yes,2_20_0.75_50_18.csv,0.859577741820682,-0.10764493880750078,-0.1252300211723686,No,,,2_80_1.25_175_16.csv,0.416963645211322,0.06161832362871682,0.1477786476983813,No,2_100_1_100_6.csv,0.2994635102136106,0.2746394888685474,0.9171050211514719,Yes,2_100_0.75_150_20.csv,0.3144161479405515,-0.04906789891500209,-0.15606036533556045,No,,
2_40_1.5_75_16.csv,0.33240770833333333,0.41762607687277475,1.2563670047446245,Yes,2_20_2_100_20.csv,0.4311128356099992,0.0431501629017456,0.10009018367706606,No,2_40_1.75_225_6.csv,0.15241216913025132,0.2915607399264416,1.9129754637720169,Yes,2_20_0.75_50_20.csv,0.859577741820682,-0.10764493880750078,-0.1252300211723686,No,,,2_80_1.25_175_18.csv,0.416963645211322,0.06161832362871682,0.1477786476983813,No,2_100_1_125_6.csv,0.2994635102136106,0.2746394888685474,0.9171050211514719,Yes,2_120_1.75_175_8.csv,0.3115028750974445,-0.050539646050632325,-0.1622445572446883,No,,
2_40_1.5_75_18.csv,0.33240770833333333,0.41762607687277475,1.2563670047446245,Yes,2_20_2_100_8.csv,0.4311128356099992,0.0431501629017456,0.10009018367706606,No,2_40_1.5_200_6.csv,0.12106032363720123,0.27848927719676503,2.3004174186032547,Yes,2_20_0.75_50_8.csv,0.859577741820682,-0.10764493880750078,-0.1252300211723686,No,,,2_80_1.25_175_20.csv,0.416963645211322,0.06161832362871682,0.1477786476983813,No,2_100_1_50_6.csv,0.2994635102136106,0.2746394888685474,0.9171050211514719,Yes,2_20_0.75_125_10.csv,0.3074469998373811,-0.012932216426462854,-0.042063238324989774,No,,
2_40_1.5_75_20.csv,0.33240770833333333,0.41762607687277475,1.2563670047446245,Yes,2_40_1.5_75_8.csv,0.43069886751089315,0.09681301664330583,0.22478121942323717,No,2_40_1.5_175_6.csv,0.12106029507756981,0.11965073582511968,0.98835655198472,Yes,2_20_0.75_100_4.csv,0.8574140891323533,-0.07238207578016241,-0.08441904174143944,No,,,2_80_1.25_100_14.csv,0.4169636264295694,0.05500957547876431,0.13192895493021176,No,2_100_1_75_6.csv,0.2994635102136106,0.2746394888685474,0.9171050211514719,Yes,2_20_0.75_125_12.csv,0.3074469998373811,-0.012932216426462854,-0.042063238324989774,No,,
2_40_1_50_12.csv,0.30803604166666665,0.3097757954740719,1.0056478904156543,Yes,2_20_1.75_100_10.csv,0.42923101539449704,0.035533813544236216,0.08278482278727656,No,2_40_1_225_4.csv,0.1514889912140454,0.7911582296105968,5.222546029716013,Yes,2_40_0.75_225_4.csv,0.846055660031823,-0.10768618188123741,-0.12728025704264773,No,,,2_80_1.25_50_14.csv,0.4169636264295694,0.05500957547876431,0.13192895493021176,No,2_100_1_175_6.csv,0.2994634671217073,0.09822530297418938,0.3280042935396486,No,2_20_0.75_125_14.csv,0.3074469998373811,-0.012932216426462854,-0.042063238324989774,No,,
2_40_1_50_14.csv,0.30803604166666665,0.3097757954740719,1.0056478904156543,Yes,2_20_1.75_100_12.csv,0.42923101539449704,0.035533813544236216,0.08278482278727656,No,2_40_1_200_4.csv,0.15148897829634486,0.7632783546934647,5.038507509109533,Yes,2_20_1.25_50_6.csv,0.8336202550671893,-0.1553701790434533,-0.1863800430700074,No,,,2_80_1.25_75_14.csv,0.4169636264295694,0.05500957547876431,0.13192895493021176,No,2_100_1_150_6.csv,0.29946348423019464,0.27463946559190844,0.9171050229977147,Yes,2_20_0.75_125_16.csv,0.3074469998373811,-0.012932216426462854,-0.042063238324989774,No,,
2_40_1_50_16.csv,0.30803604166666665,0.3097757954740719,1.0056478904156543,Yes,2_20_1.75_100_14.csv,0.42923101539449704,0.035533813544236216,0.08278482278727656,No,2_40_1_175_4.csv,0.15148896816372534,0.4290964591985904,2.832526119887714,Yes,2_20_0.75_200_4.csv,0.816977615327876,-0.05431264405651504,-0.0664799659593095,No,,,2_80_1.25_200_12.csv,0.4169636421584737,0.055009559227101074,0.13192891097731205,No,2_100_1_225_6.csv,0.2994634413207759,0.09822527921985333,0.3280042424765882,No,2_20_0.75_125_18.csv,0.3074469998373811,-0.012932216426462854,-0.042063238324989774,No,,
