Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,InSample2_RateOfReturn,OutSample2_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample2_AvgTrade,OutSample2_AvgTrade,Score_2,Pass2,Para3,InSample3_RateOfReturn,OutSample3_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample3_AvgTrade,OutSample3_AvgTrade,Score_3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,InSample5_RateOfReturn,OutSample5_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample5_AvgTrade,OutSample5_AvgTrade,Score_5,Pass5,Para6,InSample6_RateOfReturn,OutSample6_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample6_AvgTrade,OutSample6_AvgTrade,Score_6,Pass6,Para7,InSample7_RateOfReturn,OutSample7_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample7_AvgTrade,OutSample7_AvgTrade,Score_7,Pass7,Para8,InSample8_RateOfReturn,OutSample8_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample8_AvgTrade,OutSample8_AvgTrade,Score_8,Pass8,Para9,Pass9
2_20_2_50_4.csv,1.3903535,0.42783149019590616,16.0,11.0,0.08689709375,0.03889377183599147,0.4475842649915029,No,2_40_1.25_75_4.csv,1.0379107211576548,0.3663259171979939,8,16,0.12973884014470685,0.02289536982487462,0.17647274940440197,No,2_40_1.5_125_4.csv,1.383953921263855,0.04354936463513105,12.0,14.0,0.11532949343865458,0.0031106689025093607,0.02697201565498916,No,2_80_1.25_125_4.csv,0.8956405766988428,0.37546788675359233,14.0,7.0,0.0639743269070602,0.053638269536227474,0.8384342927773416,Yes,2_120_1.75_225_4.csv,0.8508613969557969,0.5984036652390635,9.0,4.0,0.09454015521731077,0.14960091630976588,1.5824060788338246,Yes,2_80_1.5_125_4.csv,1.024426159951414,0.6314681038180776,6.0,4.0,0.17073769332523567,0.1578670259545194,0.9246173055284335,Yes,2_120_1.5_100_4.csv,0.8972868050578087,0.17055603828567317,3.0,8.0,0.29909560168593624,0.021319504785709147,0.07127990069240664,No,2_100_1.75_175_14.csv,1.3089259316553081,-0.08083866095312509,2.0,4.0,0.6544629658276541,-0.02020966523828127,-0.030879769052666723,No,No Plateau,No
2_20_2_75_4.csv,1.3282485,0.4280185298089959,14.0,10.0,0.09487489285714286,0.04280185298089959,0.45113993483342485,No,2_40_1.25_50_4.csv,1.0074031601634608,0.9114710049841993,9,16,0.11193368446260675,0.05696693781151246,0.5089347150950184,Yes,2_40_1.5_125_6.csv,1.2909912421244774,0.14847340406129597,11.0,10.0,0.11736284019313431,0.014847340406129598,0.12650801890697735,No,2_80_1.25_100_4.csv,0.895640571965378,0.25192274649849444,14.0,8.0,0.06397432656895558,0.031490343312311805,0.49223407265365304,No,2_120_1.75_100_4.csv,0.8508612435864364,0.5984035576596698,9.0,4.0,0.09454013817627072,0.14960088941491745,1.582406079584796,Yes,2_80_1.5_150_4.csv,1.0244261513993236,0.6314680902213273,6.0,4.0,0.17073769189988727,0.15786702255533183,0.9246172933384726,Yes,2_120_1.5_125_4.csv,0.8972868050578087,0.17055603828567317,3.0,8.0,0.29909560168593624,0.021319504785709147,0.07127990069240664,No,2_100_1.75_200_18.csv,1.3089259013853296,-0.04996800646596012,2.0,3.0,0.6544629506926648,-0.01665600215532004,-0.02544987785434119,No,,
2_20_1.75_50_4.csv,0.9898686879999999,0.5807864704688492,17.0,14.0,0.05822756988235294,0.04148474789063209,0.7124588571092831,Yes,2_40_1.25_125_4.csv,0.9793659108229239,1.035564247429117,6,14,0.16322765180382065,0.07396887481636549,0.4531638726584567,No,2_40_1.5_50_4.csv,1.2386220373043113,0.057369778747014245,14.0,16.0,0.08847300266459367,0.0035856111716883903,0.04052774364719656,No,2_80_1.25_50_4.csv,0.895640571965378,0.25192274649849444,14.0,8.0,0.06397432656895558,0.031490343312311805,0.49223407265365304,No,2_120_1.75_125_4.csv,0.8508612435864364,0.5984035576596698,9.0,4.0,0.09454013817627072,0.14960088941491745,1.582406079584796,Yes,2_80_1.5_200_4.csv,1.0244259097749793,0.6314681793157072,6.0,4.0,0.1707376516291632,0.1578670448289268,0.9246176418767258,Yes,2_120_1.5_150_4.csv,0.8972868050578087,0.17055603828567317,3.0,8.0,0.29909560168593624,0.021319504785709147,0.07127990069240664,No,2_100_1.75_125_18.csv,1.3089258773283297,-0.08083866475629706,2.0,4.0,0.6544629386641648,-0.020209666189074264,-0.030879771787115325,No,,
1_20_1.25_50_10.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_1.25_100_4.csv,0.9793655768778232,0.38322748697712794,6,14,0.16322759614630386,0.02737339192693771,0.1677007600014059,No,2_40_1.5_50_6.csv,1.15132674448173,0.18390153588495364,13.0,12.0,0.08856359572936384,0.015325127990412803,0.17304094153137073,No,2_80_1.25_75_4.csv,0.895640571965378,0.25192274649849444,14.0,8.0,0.06397432656895558,0.031490343312311805,0.49223407265365304,No,2_120_1.75_150_4.csv,0.8508612435864364,0.5984035576596698,9.0,4.0,0.09454013817627072,0.14960088941491745,1.582406079584796,Yes,2_80_1.5_100_4.csv,1.0244258057971645,0.6314683280911038,6.0,4.0,0.1707376342995274,0.15786708202277594,0.9246179535662742,Yes,2_120_1.5_50_4.csv,0.8972868050578087,0.17055603828567317,3.0,8.0,0.29909560168593624,0.021319504785709147,0.07127990069240664,No,2_100_1.75_150_18.csv,1.3089258773283297,-0.08083866475629706,2.0,4.0,0.6544629386641648,-0.020209666189074264,-0.030879771787115325,No,,
1_20_1.25_50_12.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_1.75_125_8.csv,0.8896569507732378,0.7740085286675407,4,11,0.22241423769330945,0.07036441169704916,0.3163664899639913,No,2_20_2_125_4.csv,1.1256760903550773,0.0124451835787304,15.0,17.0,0.07504507269033849,0.0007320696222782589,0.009755065802907905,No,2_80_1.25_150_4.csv,0.8956404610812774,0.375467720049806,14.0,7.0,0.06397431864866267,0.05363824572140086,0.8384340287541635,Yes,2_120_1.75_50_4.csv,0.8508612435864364,0.5984035576596698,9.0,4.0,0.09454013817627072,0.14960088941491745,1.582406079584796,Yes,2_80_1.5_225_4.csv,1.0244258601832534,0.631468240970637,6.0,4.0,0.17073764336387556,0.15786706024265926,0.9246177769141012,Yes,2_120_1.5_75_4.csv,0.8972868050578087,0.17055603828567317,3.0,8.0,0.29909560168593624,0.021319504785709147,0.07127990069240664,No,2_100_1.75_200_20.csv,1.3089258772194847,-0.04996793914397572,2.0,3.0,0.6544629386097424,-0.016655979714658573,-0.025449844035539144,No,,
1_20_1.25_50_14.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_1.75_125_10.csv,0.8896568396429958,0.7740082966891264,4,11,0.22241420991074895,0.0703643906081024,0.31636643466412706,No,2_40_1.5_75_4.csv,1.1005791099794975,-0.10481900918693009,14.0,16.0,0.0786127935699641,-0.0065511880741831304,-0.08333488452299663,No,2_80_1.25_175_4.csv,0.7270102088572594,0.3754677154133452,14.0,7.0,0.051929300632661386,0.053638245059049315,1.0329090591548054,Yes,2_120_1.75_75_4.csv,0.8508612435864364,0.5984035576596698,9.0,4.0,0.09454013817627072,0.14960088941491745,1.582406079584796,Yes,2_80_1.5_50_4.csv,1.0244257611169627,0.6314682084153106,6.0,4.0,0.17073762685282712,0.15786705210382765,0.9246178186598922,Yes,2_120_1.5_225_4.csv,0.8972867148237462,0.17055600145916602,3.0,8.0,0.2990955716079154,0.021319500182395753,0.07127989246976717,No,2_100_1.75_100_18.csv,1.308925868980349,-0.08083857887241115,2.0,4.0,0.6544629344901745,-0.020209644718102788,-0.030879739177049146,No,,
1_20_1.25_50_16.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_1.75_175_8.csv,0.8624285202072481,0.631851486430063,4,9,0.21560713005181203,0.07020572071445144,0.3256187339332446,No,2_40_1.5_225_4.csv,1.0616838092309662,-0.01395582642157038,11.0,13.0,0.09651670993008783,-0.0010735251093515678,-0.011122686528883744,No,2_80_1.25_200_4.csv,0.7270100676218805,0.3754677767245802,14.0,7.0,0.05192929054442003,0.053638253817797174,1.0329094284836282,Yes,2_120_1.75_200_4.csv,0.8508613245219613,0.5984034811483149,9.0,4.0,0.0945401471691068,0.14960087028707872,1.5824057267383258,Yes,2_80_1.5_75_4.csv,1.0244257611169627,0.6314682084153106,6.0,4.0,0.17073762685282712,0.15786705210382765,0.9246178186598922,Yes,2_120_1.5_175_4.csv,0.8972866238148413,0.17055579446613867,3.0,8.0,0.29909554127161375,0.021319474308267333,0.07127981319155392,No,2_100_1.75_50_18.csv,1.308925868980349,-0.08083857887241115,2.0,4.0,0.6544629344901745,-0.020209644718102788,-0.030879739177049146,No,,
1_20_1.25_50_18.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_1.75_150_8.csv,0.8624285062252646,0.6318517058467147,4,9,0.21560712655631614,0.07020574509407941,0.32561885228660015,No,2_40_1.5_175_4.csv,1.0616837781447725,-0.013955790476699372,11.0,13.0,0.09651670710407023,-0.0010735223443614902,-0.011122658206769866,No,2_80_1.25_225_4.csv,0.6225590131836247,0.3754676962179817,13.0,7.0,0.047889154860278824,0.05363824231685453,1.1200498833890307,Yes,2_120_1.75_175_4.csv,0.8508612489367293,0.5984034906616327,9.0,4.0,0.0945401387707477,0.14960087266540817,1.5824058924662503,Yes,2_80_1.5_175_4.csv,1.0244256443897204,0.6314682992087851,6.0,4.0,0.17073760739828672,0.15786707480219628,0.9246180569576168,Yes,2_120_1.5_200_4.csv,0.8972866238148413,0.17055579446613867,3.0,8.0,0.29909554127161375,0.021319474308267333,0.07127981319155392,No,2_100_1.75_75_18.csv,1.308925868980349,-0.08083857887241115,2.0,4.0,0.6544629344901745,-0.020209644718102788,-0.030879739177049146,No,,
1_20_1.25_50_20.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_1.75_150_10.csv,0.8624284844444005,0.6318515424907085,4,9,0.21560712111110011,0.07020572694341205,0.32561877632620384,No,2_40_1.5_200_4.csv,1.0616837429331507,-0.01395575144964067,11.0,13.0,0.0965167039030137,-0.0010735193422800515,-0.011122627471393904,No,2_80_1.25_100_6.csv,0.4739186306647982,-0.20625651520834976,6.0,6.0,0.07898643844413304,-0.03437608586805829,-0.4352150387483597,No,2_60_1.5_125_4.csv,0.8251229726901489,0.43295994047208386,7.0,9.0,0.11787471038430698,0.04810666005245376,0.4081168886490715,No,2_80_1.5_175_6.csv,1.011460714085339,0.7047215687606966,5.0,2.0,0.2022921428170678,0.3523607843803483,1.7418411781765895,Yes,2_100_1.75_200_6.csv,0.8831220265724233,0.7859971727753862,1.0,8.0,0.8831220265724233,0.09824964659692327,0.11125262833523719,No,2_100_1.75_125_16.csv,1.3089258610927865,-0.08083859466211907,2.0,4.0,0.6544629305463933,-0.020209648665529767,-0.030879745394681534,No,,
1_20_1.25_50_4.csv,0.94937225,0.29254584392488403,38.0,37.0,0.024983480263157897,0.00790664443040227,0.31647490049902577,No,2_40_1.75_175_10.csv,0.8624284671398178,0.6318515414962572,4,9,0.21560711678495445,0.07020572683291747,0.3256187823472466,No,2_40_1.5_150_4.csv,1.061683720666971,-0.013955877843074015,11.0,13.0,0.09651670187881554,-0.0010735290648518473,-0.011122728439267943,No,2_80_1.25_50_6.csv,0.4739186306647982,-0.20625651520834976,6.0,6.0,0.07898643844413304,-0.03437608586805829,-0.4352150387483597,No,2_60_1.5_200_4.csv,0.825122971185053,0.4329598822111099,7.0,9.0,0.11787471016929328,0.04810665357901221,0.4081168344755272,No,2_80_1.5_225_6.csv,1.0114607700615965,0.7047218394705944,5.0,2.0,0.20229215401231931,0.3523609197352972,1.741841750885894,Yes,2_100_2_100_6.csv,0.8831220066693476,0.5784270984326838,1.0,6.0,0.8831220066693476,0.0964045164054473,0.109163304364968,No,2_100_1.75_150_16.csv,1.3089258610927865,-0.08083859466211907,2.0,4.0,0.6544629305463933,-0.020209648665529767,-0.030879745394681534,No,,
