Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,Pass7
2_20_1.5_50_10.csv,0.753269125,0.03131112439546069,0.3501785506955194,No,No Plateau,No,1_40_0.75_75_4.csv,0.27579779890523615,0.1989665828722928,0.42112004488928506,No,1_20_0.75_75_10.csv,0.4724699887534656,0.03332345259191837,0.04475365880703138,No,2_60_1_100_4.csv,0.7445972794213683,-0.03375915286363527,-0.13244148338214837,No,2_60_1.25_50_6.csv,0.25489863146669145,-0.029979078400064873,-0.8576518949057306,No,No Plateau,No
2_20_1.5_50_12.csv,0.753269125,0.03131112439546069,0.3501785506955194,No,,,3_40_0.75_75_4.csv,0.27579779890523615,0.1989665828722928,0.42112004488928506,No,1_20_0.75_75_12.csv,0.4724699887534656,0.03332345259191837,0.04475365880703138,No,2_60_1_50_4.csv,0.692562213555878,-0.03292695928641942,-0.1291766813217185,No,2_60_1.25_75_6.csv,0.25489863146669145,-0.029979078400064873,-0.8576518949057306,No,,
2_20_1.5_50_14.csv,0.753269125,0.03131112439546069,0.3501785506955194,No,,,1_40_0.75_225_4.csv,0.26703090459277806,0.23868519215232326,0.5051859331479291,Yes,1_20_0.75_75_14.csv,0.4724699887534656,0.03332345259191837,0.04475365880703138,No,2_60_1_75_4.csv,0.692562213555878,-0.03292695928641942,-0.1291766813217185,No,2_60_0.75_100_4.csv,0.25370222022535716,-0.007453489035067365,-0.21323200497620293,No,,
2_20_1.5_50_16.csv,0.753269125,0.03131112439546069,0.3501785506955194,No,,,3_40_0.75_225_4.csv,0.26703090459277806,0.23868519215232326,0.5051859331479291,Yes,1_20_0.75_75_16.csv,0.4724699887534656,0.03332345259191837,0.04475365880703138,No,2_60_1.25_100_4.csv,0.6872263468766892,0.03167236724072577,0.12425475593329754,No,2_60_0.75_50_4.csv,0.235397546670787,-0.00605869878144775,-0.17332936060370885,No,,
2_20_1.5_50_18.csv,0.753269125,0.03131112439546069,0.3501785506955194,No,,,1_40_0.75_225_10.csv,0.2670308600680218,0.23868519509820676,0.5051859393829992,Yes,1_20_0.75_75_18.csv,0.4724699887534656,0.03332345259191837,0.04475365880703138,No,2_60_1.25_50_4.csv,0.656387709076219,0.07799060559597029,0.3059671413179565,No,2_60_0.75_75_4.csv,0.2353975372608011,-0.006058792191751579,-0.17333203291814808,No,,
2_20_1.5_50_20.csv,0.753269125,0.03131112439546069,0.3501785506955194,No,,,1_40_0.75_225_12.csv,0.2670308600680218,0.23868519509820676,0.5051859393829992,Yes,1_20_0.75_75_20.csv,0.4724699887534656,0.03332345259191837,0.04475365880703138,No,2_60_1.25_75_4.csv,0.656387709076219,0.07799060559597029,0.3059671413179565,No,2_40_2_50_4.csv,0.2230036001308437,-0.06320263177883614,-1.8081228577070156,No,,
2_20_1.5_50_8.csv,0.74052925,0.04025938027574653,0.4502543970891235,No,,,1_40_0.75_225_14.csv,0.2670308600680218,0.23868519509820676,0.5051859393829992,Yes,1_20_0.75_75_4.csv,0.4724699887534656,0.03332345259191837,0.04475365880703138,No,2_60_0.75_100_4.csv,0.6293435575914504,0.25370222022535716,0.9953063253605761,Yes,2_40_2_75_4.csv,0.22300355239799585,-0.06320261338641482,-1.8081223315302337,No,,
2_20_1.25_50_10.csv,0.7136811875,0.03458752145662281,0.3868212454735819,No,,,1_40_0.75_225_16.csv,0.2670308600680218,0.23868519509820676,0.5051859393829992,Yes,1_20_0.75_75_6.csv,0.4724699887534656,0.03332345259191837,0.04475365880703138,No,2_80_1_100_4.csv,0.6279129584489717,0.08161246300529881,0.32017615212541667,No,2_60_0.75_100_6.csv,0.21607238440102805,0.004389142588887548,0.12556611674769508,No,,
2_20_1.25_50_12.csv,0.7136811875,0.03458752145662281,0.3868212454735819,No,,,1_40_0.75_225_18.csv,0.2670308600680218,0.23868519509820676,0.5051859393829992,Yes,1_20_0.75_75_8.csv,0.4724699887534656,0.03332345259191837,0.04475365880703138,No,2_80_1_50_4.csv,0.6279128212765741,0.08161245936663236,0.32017613785046184,No,2_60_0.75_50_6.csv,0.20291186905158687,0.0058519641636021755,0.16741502480019446,No,,
2_20_1.25_50_14.csv,0.7136811875,0.03458752145662281,0.3868212454735819,No,,,1_40_0.75_225_20.csv,0.2670308600680218,0.23868519509820676,0.5051859393829992,Yes,3_20_0.75_75_10.csv,0.4724699887534656,0.03332345259191837,0.04475365880703138,No,2_80_1_75_4.csv,0.6279128212765741,0.08161245936663236,0.32017613785046184,No,2_60_0.75_75_6.csv,0.20291186905158687,0.0058519641636021755,0.16741502480019446,No,,
2_20_1.25_50_16.csv,0.7136811875,0.03458752145662281,0.3868212454735819,No,,,1_40_0.75_225_6.csv,0.2670308600680218,0.23868519509820676,0.5051859393829992,Yes,3_20_0.75_75_12.csv,0.4724699887534656,0.03332345259191837,0.04475365880703138,No,2_80_0.75_50_4.csv,0.6006509816555771,0.12822863679059107,0.5030573763866615,Yes,2_60_1.25_175_6.csv,0.19438274019452398,-0.013982959011553844,-0.40002935155679653,No,,
