Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Score_8,Pass8,Para9,Pass9
2_40_0.75_50_4.csv,0.276502625,0.24253919923684392,0.48231309692714175,No,2_80_0.75_150_6.csv,0.5028667079173715,0.006714658223284715,0.022773226238129912,No,2_20_2_50_6.csv,0.2948487909912948,0.05731679651943744,0.2753012600435009,No,2_20_1.5_50_4.csv,0.20819663705991925,0.002681430147276538,0.014720607915576944,No,2_60_1.25_200_6.csv,0.18215485139298193,0.22407991359524992,0.5344380068386808,Yes,2_80_0.75_150_4.csv,0.41928139602223896,0.32249404730406805,0.8702383900840536,Yes,2_20_0.75_50_4.csv,0.37058126943011427,0.04274968421148808,0.36034837311837514,No,2_120_1_100_12.csv,0.11863432000971291,-0.008133967335758526,-0.1866825350857161,No,No Plateau,No
2_40_2_100_4.csv,0.26172704166666666,0.15451310297715587,0.30726453062937953,No,2_80_0.75_125_6.csv,0.4893795570254017,0.006714655239985315,0.022773216120064346,No,2_20_2_125_4.csv,0.2788195744077748,-0.023273767100595165,-0.11178743052361562,No,2_20_1.5_150_4.csv,0.15530119016942892,-0.010446333296537515,-0.057348641645560666,No,2_60_1.25_225_6.csv,0.1678189568579706,0.22407989368977693,0.5344379593634693,Yes,2_80_0.75_175_4.csv,0.4192813781122145,0.3224940596618559,0.870238423431092,Yes,2_20_0.75_75_10.csv,0.33335889720652967,0.006283617302215701,0.05296626896587509,No,2_120_1_100_14.csv,0.11863432000971291,-0.008133967335758526,-0.1866825350857161,No,,
2_20_1.75_50_4.csv,0.23756170833333334,0.043740648669050204,0.08698258997948767,No,2_80_0.75_100_6.csv,0.47324801179916703,0.006714653875001619,0.022773211490628047,No,2_20_2_225_6.csv,0.2744328877871693,-0.01954561813746137,-0.09388056605270015,No,2_20_1.75_50_6.csv,0.1395349513057061,-0.06591245305141533,-0.3618484632572803,No,2_60_1_100_6.csv,0.16348426039912772,0.0854217445775068,0.20373368670226666,No,2_80_0.75_225_4.csv,0.41928130064193436,0.2662803242856635,0.7185477147704624,Yes,2_20_0.75_75_12.csv,0.33335889720652967,0.006283617302215701,0.05296626896587509,No,2_120_1_50_12.csv,0.11863432000971291,-0.008133967335758526,-0.1866825350857161,No,,
2_60_1.25_50_8.csv,0.227666021,0.28974888507244423,0.5761942091431124,Yes,2_80_0.75_50_6.csv,0.47324801179916703,0.006714653875001619,0.022773211490628047,No,2_20_2_150_6.csv,0.26493769441053955,-0.007516101928837912,-0.036100976629472904,No,2_20_1.75_50_10.csv,0.136622002524771,-0.05749366654215286,-0.31563071805378373,No,2_60_1_125_6.csv,0.1477499490026621,0.21250662997751857,0.5068353425480685,Yes,2_80_0.75_200_4.csv,0.4192812167526597,0.322494152131924,0.8702386729581882,Yes,2_20_0.75_75_14.csv,0.33335889720652967,0.006283617302215701,0.05296626896587509,No,2_120_1_50_14.csv,0.11863432000971291,-0.008133967335758526,-0.1866825350857161,No,,
2_60_1.25_75_8.csv,0.227666021,0.28974888507244423,0.5761942091431124,Yes,2_80_0.75_75_6.csv,0.47324801179916703,0.006714653875001619,0.022773211490628047,No,2_20_2_200_6.csv,0.2630015601576616,-0.04480169750416594,-0.21518934280986768,No,2_20_1.75_50_12.csv,0.136622002524771,-0.05749366654215286,-0.31563071805378373,No,2_60_1.25_200_10.csv,0.1476451633031448,0.22349381950899855,0.5330401530540623,Yes,2_20_0.75_225_10.csv,0.38079771835058007,0.18237075447662246,0.49212080998354646,No,2_20_0.75_75_16.csv,0.33335889720652967,0.006283617302215701,0.05296626896587509,No,2_120_1_75_12.csv,0.11863432000971291,-0.008133967335758526,-0.1866825350857161,No,,
2_20_2_50_4.csv,0.22203510433333332,0.14705096595935688,0.2924253358679805,No,2_100_1.25_200_6.csv,0.45060593637005075,-0.007443334507635356,-0.025244582087684878,No,2_20_2_175_6.csv,0.26300154299272605,-0.02048774546012727,-0.09840574636286237,No,2_20_1.75_50_14.csv,0.136622002524771,-0.05749366654215286,-0.31563071805378373,No,2_60_1.25_200_12.csv,0.14764516194473293,0.22349378599395026,0.5330400731195634,Yes,2_20_0.75_225_12.csv,0.38079771835058007,0.18237075447662246,0.49212080998354646,No,2_20_0.75_75_18.csv,0.33335889720652967,0.006283617302215701,0.05296626896587509,No,2_120_1_75_14.csv,0.11863432000971291,-0.008133967335758526,-0.1866825350857161,No,,
2_40_1_50_6.csv,0.21865329166666664,0.21498661513965328,0.427522068482768,No,2_100_1.25_100_6.csv,0.4506059263280851,-0.007443316379995247,-0.025244520606543825,No,2_20_2_75_6.csv,0.26104878320113,-0.009179808643180232,-0.04409201211321541,No,2_20_1.75_50_16.csv,0.136622002524771,-0.05749366654215286,-0.31563071805378373,No,2_60_1.25_200_14.csv,0.14764514763269565,0.2234938385749054,0.5330401985268809,Yes,2_20_0.75_225_14.csv,0.38079771835058007,0.18237075447662246,0.49212080998354646,No,2_20_0.75_75_20.csv,0.33335889720652967,0.006283617302215701,0.05296626896587509,No,2_120_1_125_12.csv,0.1186342938072329,-0.00813397677445302,-0.1866827517130203,No,,
2_40_1_50_8.csv,0.21814618766666666,0.20516006855190788,0.40798101230814887,No,2_100_1.25_125_6.csv,0.4506059263280851,-0.007443316379995247,-0.025244520606543825,No,2_20_2_125_6.csv,0.21644456338883855,-0.03372383695132305,-0.16198069972477128,No,2_20_1.75_50_18.csv,0.136622002524771,-0.05749366654215286,-0.31563071805378373,No,2_60_1.25_200_16.csv,0.14764514763269565,0.2234938385749054,0.5330401985268809,Yes,2_20_0.75_225_16.csv,0.38079771835058007,0.18237075447662246,0.49212080998354646,No,2_20_0.75_75_8.csv,0.33335889720652967,0.006283617302215701,0.05296626896587509,No,2_120_1_125_14.csv,0.1186342938072329,-0.00813397677445302,-0.1866827517130203,No,,
2_60_1.75_125_10.csv,0.21552820833333333,0.19832675873957384,0.394392302407977,No,2_100_1.25_150_6.csv,0.4506059263280851,-0.007443316379995247,-0.025244520606543825,No,1_40_1.25_225_10.csv,0.24384189037154025,-0.013908622462442583,-0.06680522153887755,No,2_20_1.75_50_20.csv,0.136622002524771,-0.05749366654215286,-0.31563071805378373,No,2_60_1.25_200_18.csv,0.14764514763269565,0.2234938385749054,0.5330401985268809,Yes,2_20_0.75_225_18.csv,0.38079771835058007,0.18237075447662246,0.49212080998354646,No,2_20_0.75_75_6.csv,0.3333588635240604,0.013624415418563462,0.11484379408465702,No,2_120_1_100_8.csv,0.11863429290812638,-0.008133971389494272,-0.18668262812293085,No,,
2_60_1.75_150_10.csv,0.21552820833333333,0.19832675873957384,0.394392302407977,No,2_100_1.25_175_6.csv,0.4506059263280851,-0.007443316379995247,-0.025244520606543825,No,1_40_1.25_225_12.csv,0.24384189037154025,-0.013908622462442583,-0.06680522153887755,No,2_20_1.75_50_8.csv,0.136622002524771,-0.05749366654215286,-0.31563071805378373,No,2_60_1.25_200_20.csv,0.14764514763269565,0.2234938385749054,0.5330401985268809,Yes,2_20_0.75_225_20.csv,0.38079771835058007,0.18237075447662246,0.49212080998354646,No,2_20_0.75_75_4.csv,0.33011669730250254,0.0136243814240518,0.11484350753594447,No,2_120_1_50_8.csv,0.11863429290812638,-0.008133971389494272,-0.18668262812293085,No,,
