AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_120_1.75_125_16.csv,N,,,N,,,N,,,Y,Yes,0.7749885567899858,Y,Yes,0.6034813795300992,Y,No,-0.5114026763412037,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1.75_125_18.csv,N,,,N,,,N,,,Y,Yes,0.7749885517016061,Y,Yes,0.6034813650437739,Y,No,-0.5114025600416346,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1.75_125_20.csv,N,,,N,,,N,,,Y,Yes,0.7749884061088647,Y,Yes,0.603481238540181,Y,No,-0.5114025248159283,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1.75_150_14.csv,N,,,N,,,N,,,Y,Yes,0.7749883909078458,Y,Yes,0.6034813579727679,Y,No,-0.5114024161830767,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1.75_150_16.csv,N,,,N,,,N,,,Y,Yes,0.7749885567899858,Y,Yes,0.6034813795300992,Y,No,-0.5114026763412037,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1.75_150_18.csv,N,,,N,,,N,,,Y,Yes,0.7749885517016061,Y,Yes,0.6034813650437739,Y,No,-0.5114025600416346,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1.75_150_20.csv,N,,,N,,,N,,,Y,Yes,0.7749884061088647,Y,Yes,0.603481238540181,Y,No,-0.5114025248159283,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1.75_50_14.csv,N,,,N,,,N,,,Y,Yes,0.7749883909078458,Y,Yes,0.6034813579727679,Y,No,-0.5114024161830767,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1.75_50_16.csv,N,,,N,,,N,,,Y,Yes,0.7749885567899858,Y,Yes,0.6034813795300992,Y,No,-0.5114026763412037,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1.75_50_18.csv,N,,,N,,,N,,,Y,Yes,0.7749885517016061,Y,Yes,0.6034813650437739,Y,No,-0.5114025600416346,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1.75_50_20.csv,N,,,N,,,N,,,Y,Yes,0.7749884061088647,Y,Yes,0.603481238540181,Y,No,-0.5114025248159283,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1.75_75_14.csv,N,,,N,,,N,,,Y,Yes,0.7749883909078458,Y,Yes,0.6034813579727679,Y,No,-0.5114024161830767,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1.75_75_16.csv,N,,,N,,,N,,,Y,Yes,0.7749885567899858,Y,Yes,0.6034813795300992,Y,No,-0.5114026763412037,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1.75_75_18.csv,N,,,N,,,N,,,Y,Yes,0.7749885517016061,Y,Yes,0.6034813650437739,Y,No,-0.5114025600416346,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1.75_75_20.csv,N,,,N,,,N,,,Y,Yes,0.7749884061088647,Y,Yes,0.603481238540181,Y,No,-0.5114025248159283,N,3,2,0.42857142857142855,0.6666666666666666
2_80_1_175_6.csv,N,,,Y,Yes,0.5228861725681545,Y,No,0.38445051959977394,Y,Yes,0.6885520987691047,Y,No,0.3958477560915553,Y,No,-0.4467716942734323,N,5,2,0.7142857142857143,0.4
2_120_1_150_4.csv,N,,,N,,,Y,Yes,0.5334601194574364,Y,Yes,0.5899614060517663,Y,Yes,0.5148368116841192,Y,No,-0.9947922014266969,N,4,3,0.5714285714285714,0.75
2_120_1.25_150_4.csv,N,,,N,,,Y,No,0.44332553571789574,Y,Yes,0.7826252412356081,Y,No,0.16763203120206674,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_80_1.25_175_10.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
1_80_1.25_175_12.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
1_80_1.25_175_14.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
1_80_1.25_175_16.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
1_80_1.25_175_18.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
1_80_1.25_175_20.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
1_80_1.25_175_4.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
1_80_1.25_175_6.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
1_80_1.25_175_8.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
3_80_1.25_175_10.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
3_80_1.25_175_12.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
3_80_1.25_175_14.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
3_80_1.25_175_16.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
3_80_1.25_175_18.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
3_80_1.25_175_20.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
3_80_1.25_175_4.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
3_80_1.25_175_6.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
3_80_1.25_175_8.csv,N,,,N,,,N,,,Y,No,0.39574546352038137,Y,No,0.17906362741508045,N,,,N,2,0,0.2857142857142857,0.0
2_100_2_150_20.csv,N,,,N,,,N,,,Y,Yes,0.536518618090335,Y,Yes,0.7279574822380038,Y,No,-0.12637255598485655,N,3,2,0.42857142857142855,0.6666666666666666
2_120_1_225_6.csv,N,,,N,,,N,,,Y,Yes,0.8335412521461729,Y,Yes,0.5576626588946195,Y,No,-0.6561441210370662,N,3,2,0.42857142857142855,0.6666666666666666
2_80_1_125_10.csv,N,,,Y,Yes,0.7023301253076881,Y,No,0.3466112097467976,Y,Yes,0.7063357509905954,Y,No,0.4457962583897108,Y,No,-0.5681343313146201,N,5,2,0.7142857142857143,0.4
2_80_1_125_12.csv,N,,,Y,Yes,0.9209560881470211,Y,No,0.346611215670252,Y,Yes,0.706335776868362,Y,No,0.44579616123922466,Y,No,-0.5681344460376045,N,5,2,0.7142857142857143,0.4
2_80_1_125_14.csv,N,,,Y,Yes,0.9209560881470211,Y,No,0.346611215670252,Y,Yes,0.706335776868362,Y,No,0.44579616123922466,Y,No,-0.5681344460376045,N,5,2,0.7142857142857143,0.4
2_80_1_125_16.csv,N,,,Y,Yes,0.9209560881470211,Y,No,0.346611215670252,Y,Yes,0.706335776868362,Y,No,0.44579616123922466,Y,No,-0.5681344460376045,N,5,2,0.7142857142857143,0.4
2_80_1_125_18.csv,N,,,Y,Yes,0.9209560881470211,Y,No,0.346611215670252,Y,Yes,0.706335776868362,Y,No,0.44579616123922466,Y,No,-0.5681344460376045,N,5,2,0.7142857142857143,0.4
2_80_1_125_20.csv,N,,,Y,Yes,0.9209560881470211,Y,No,0.346611215670252,Y,Yes,0.706335776868362,Y,No,0.44579616123922466,Y,No,-0.5681344460376045,N,5,2,0.7142857142857143,0.4
2_80_1_125_8.csv,N,,,Y,Yes,0.6499895344761285,Y,No,0.3600211998608402,Y,Yes,0.7063357664182557,Y,No,0.44579613515918,Y,No,-0.568134600008556,N,5,2,0.7142857142857143,0.4
2_120_0.75_100_8.csv,N,,,N,,,Y,No,0.44607555637574936,Y,Yes,0.8367972423341385,Y,No,0.4335016830313439,Y,No,-0.8633061333707841,N,4,1,0.5714285714285714,0.25
2_120_0.75_125_8.csv,N,,,N,,,Y,No,0.44607555637574936,Y,Yes,0.8367972423341385,Y,No,0.4335016830313439,Y,No,-0.8633061333707841,N,4,1,0.5714285714285714,0.25
2_120_0.75_75_8.csv,N,,,N,,,Y,No,0.44607555637574936,Y,Yes,0.8367972423341385,Y,No,0.4335016830313439,Y,No,-0.8633061333707841,N,4,1,0.5714285714285714,0.25
1_120_0.75_100_10.csv,N,,,N,,,Y,No,0.3630765706649194,Y,Yes,0.5248080764988287,Y,No,0.28793662954688437,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_120_0.75_100_12.csv,N,,,N,,,Y,No,0.3630765706649194,Y,Yes,0.5248080764988287,Y,No,0.28793662954688437,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_120_0.75_100_14.csv,N,,,N,,,Y,No,0.3630765706649194,Y,Yes,0.5248080764988287,Y,No,0.28793662954688437,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_120_0.75_100_16.csv,N,,,N,,,Y,No,0.3630765706649194,Y,Yes,0.5248080764988287,Y,No,0.28793662954688437,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_120_0.75_100_18.csv,N,,,N,,,Y,No,0.3630765706649194,Y,Yes,0.5248080764988287,Y,No,0.28793662954688437,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_120_0.75_100_20.csv,N,,,N,,,Y,No,0.3630765706649194,Y,Yes,0.5248080764988287,Y,No,0.28793662954688437,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_120_0.75_100_4.csv,N,,,N,,,Y,No,0.3993054784344758,Y,Yes,0.5248079976205576,Y,No,0.28793652122493324,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_120_0.75_100_6.csv,N,,,N,,,Y,No,0.3630765706649194,Y,Yes,0.5248080764988287,Y,No,0.28793662954688437,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_120_0.75_100_8.csv,N,,,N,,,Y,No,0.3630765706649194,Y,Yes,0.5248080764988287,Y,No,0.28793662954688437,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_120_0.75_125_10.csv,N,,,N,,,Y,No,0.3630765706649194,Y,Yes,0.5248080764988287,Y,No,0.28793662954688437,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_120_0.75_125_12.csv,N,,,N,,,Y,No,0.3630765706649194,Y,Yes,0.5248080764988287,Y,No,0.28793662954688437,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_120_0.75_125_14.csv,N,,,N,,,Y,No,0.3630765706649194,Y,Yes,0.5248080764988287,Y,No,0.28793662954688437,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_120_0.75_125_16.csv,N,,,N,,,Y,No,0.3630765706649194,Y,Yes,0.5248080764988287,Y,No,0.28793662954688437,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_120_0.75_125_18.csv,N,,,N,,,Y,No,0.3630765706649194,Y,Yes,0.5248080764988287,Y,No,0.28793662954688437,N,,,N,3,1,0.42857142857142855,0.3333333333333333
1_120_0.75_125_20.csv,N,,,N,,,Y,No,0.3630765706649194,Y,Yes,0.5248080764988287,Y,No,0.28793662954688437,N,,,N,3,1,0.42857142857142855,0.3333333333333333
