AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,Pass7,Score_7,CountExist,CountPass,TotalExistPercent,ExistPassPercent
2_40_1.25_50_6.csv,N,,,Y,No,0.3335649486330751,N,,,N,,,Y,No,0.03907644472259068,N,,,N,,,2,0,0.2857142857142857,0.0
2_80_1_100_4.csv,N,,,N,,,Y,No,-0.14581362064600872,N,,,Y,No,0.40304075961633945,N,,,N,,,2,0,0.2857142857142857,0.0
2_80_1_50_4.csv,N,,,N,,,Y,No,-0.14581362064600872,N,,,Y,No,0.36235659388472036,N,,,N,,,2,0,0.2857142857142857,0.0
2_80_1_75_4.csv,N,,,N,,,Y,No,-0.14581362064600872,N,,,Y,No,0.36235659388472036,N,,,N,,,2,0,0.2857142857142857,0.0
2_60_1.75_125_6.csv,N,,,Y,Yes,0.8034101294618358,Y,No,-0.15162360391372662,N,,,Y,No,-0.012590319479413893,N,,,N,,,3,1,0.42857142857142855,0.3333333333333333
1_80_1.5_150_10.csv,N,,,Y,No,0.3604493850779311,N,,,N,,,N,,,N,,,N,,,1,0,0.14285714285714285,0.0
1_80_1.5_150_12.csv,N,,,Y,No,0.3604493850779311,N,,,N,,,N,,,N,,,N,,,1,0,0.14285714285714285,0.0
1_80_1.5_150_14.csv,N,,,Y,No,0.3604493850779311,N,,,N,,,N,,,N,,,N,,,1,0,0.14285714285714285,0.0
1_80_1.5_150_16.csv,N,,,Y,No,0.3604493850779311,N,,,N,,,N,,,N,,,N,,,1,0,0.14285714285714285,0.0
1_80_1.5_150_18.csv,N,,,Y,No,0.3604493850779311,N,,,N,,,N,,,N,,,N,,,1,0,0.14285714285714285,0.0
1_80_1.5_150_20.csv,N,,,Y,No,0.3604493850779311,N,,,N,,,N,,,N,,,N,,,1,0,0.14285714285714285,0.0
1_80_1.5_150_4.csv,N,,,Y,No,0.3604493850779311,N,,,N,,,N,,,N,,,N,,,1,0,0.14285714285714285,0.0
1_80_1.5_150_6.csv,N,,,Y,No,0.3604493850779311,N,,,N,,,N,,,N,,,N,,,1,0,0.14285714285714285,0.0
1_80_1.5_150_8.csv,N,,,Y,No,0.3604493850779311,N,,,N,,,N,,,N,,,N,,,1,0,0.14285714285714285,0.0
