Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Score_7,Pass7
2_20_1_50_4.csv,0.35311415625,0.05488721330348997,0.1418948995423283,No,2_60_0.75_100_8.csv,0.40402719946998594,0.06464771194092117,0.3524218680675617,No,2_120_1.25_100_4.csv,0.18343842365810345,-0.042468229798862854,-0.2982102769704177,No,2_40_1.25_75_4.csv,0.14241034960407853,0.18308751897885012,0.31798584262022095,No,2_120_0.75_225_6.csv,0.5757725484566973,-0.024650323328641796,-0.14397935277814458,No,2_40_1_50_4.csv,0.17120734919983818,-0.0307821948030724,-0.2674001955022384,No,1_20_2_200_10.csv,0.1151165755329503,-0.006987321880181125,-0.08309129771271503,No
2_20_1_75_4.csv,0.34523803125,0.040068553389900646,0.10358557149967132,No,2_60_0.75_100_10.csv,0.40402708323668846,0.06464773939811674,0.3524220177482831,No,2_120_1.25_125_4.csv,0.18343842365810345,-0.042468229798862854,-0.2982102769704177,No,2_60_1.5_225_6.csv,0.1294730536536872,0.3664317063845331,0.6364174661786275,Yes,2_120_0.75_150_6.csv,0.5757724719929975,-0.010907964748495527,-0.06371201236092414,No,2_40_1_75_4.csv,0.12977821645871213,-0.025964272714236864,-0.22554764675738456,No,1_20_2_200_12.csv,0.1151165755329503,-0.006987321880181125,-0.08309129771271503,No
2_20_1_150_4.csv,0.33773325,0.026360657357038866,0.06814779986851571,No,2_60_0.75_100_12.csv,0.40402708323668846,0.06464773939811674,0.3524220177482831,No,2_120_1.25_150_4.csv,0.18343842365810345,-0.042468229798862854,-0.2982102769704177,No,2_60_1.5_200_6.csv,0.12250827661140468,0.3300584654221151,0.5732445325959787,Yes,2_120_0.75_200_6.csv,0.5757724217935412,-0.010907931841740695,-0.063711820156822,No,2_40_1.25_50_4.csv,0.11028250960379452,-0.010172416637238646,-0.08836621998299941,No,1_20_2_200_14.csv,0.1151165755329503,-0.006987321880181125,-0.08309129771271503,No
1_20_0.75_50_10.csv,0.3334655625,0.18707032775178892,0.4836158326515498,No,2_60_0.75_100_14.csv,0.40402708323668846,0.06464773939811674,0.3524220177482831,No,2_120_1.25_50_4.csv,0.18343842365810345,-0.042468229798862854,-0.2982102769704177,No,,,,,,2_120_0.75_100_6.csv,0.5757723316920439,-0.010907897055427954,-0.06371161697446502,No,2_80_1_175_4.csv,0.10328994558611793,0.04512814211674825,0.3920212350636816,No,1_20_2_200_16.csv,0.1151165755329503,-0.006987321880181125,-0.08309129771271503,No
1_20_0.75_50_12.csv,0.3334655625,0.18707032775178892,0.4836158326515498,No,2_60_0.75_100_16.csv,0.40402708323668846,0.06464773939811674,0.3524220177482831,No,2_120_1.25_75_4.csv,0.18343842365810345,-0.042468229798862854,-0.2982102769704177,No,,,,,,2_120_0.75_125_6.csv,0.5757723316920439,-0.010907897055427954,-0.06371161697446502,No,2_40_1_50_10.csv,0.10304982442318458,-0.012311881264303885,-0.10695142039535815,No,1_20_2_200_18.csv,0.1151165755329503,-0.006987321880181125,-0.08309129771271503,No
1_20_0.75_50_14.csv,0.3334655625,0.18707032775178892,0.4836158326515498,No,2_60_0.75_100_18.csv,0.40402708323668846,0.06464773939811674,0.3524220177482831,No,2_120_1.25_200_4.csv,0.1834384219539487,-0.042468255827158394,-0.2982104597401083,No,,,,,,2_120_0.75_75_6.csv,0.5757723316920439,-0.010907897055427954,-0.06371161697446502,No,2_40_1_50_12.csv,0.10304982442318458,-0.012311881264303885,-0.10695142039535815,No,1_20_2_200_20.csv,0.1151165755329503,-0.006987321880181125,-0.08309129771271503,No
1_20_0.75_50_16.csv,0.3334655625,0.18707032775178892,0.4836158326515498,No,2_60_0.75_100_20.csv,0.40402708323668846,0.06464773939811674,0.3524220177482831,No,2_120_1.25_175_4.csv,0.18343839429238162,-0.04246820821493861,-0.29821012540893144,No,2_40_1_75_4.csv,0.10874926620213604,0.4197901665533027,0.7290902764953358,Yes,2_120_0.75_175_6.csv,0.5757722409927889,-0.01090788759234488,-0.0637115617018198,No,2_40_1_50_14.csv,0.10304982442318458,-0.012311881264303885,-0.10695142039535815,No,1_20_2_200_4.csv,0.1151165755329503,-0.006987321880181125,-0.08309129771271503,No
1_20_0.75_50_18.csv,0.3334655625,0.18707032775178892,0.4836158326515498,No,2_60_1_100_10.csv,0.3897731011991079,0.06736646741974883,0.3672429476680737,No,2_120_1_50_4.csv,0.18059659120044527,-0.07168925745823611,-0.5033992098016906,No,,,,,,2_120_0.75_100_4.csv,0.5220819538394276,0.03365169382501782,0.19655519451887501,No,2_40_1_50_16.csv,0.10304982442318458,-0.012311881264303885,-0.10695142039535815,No,1_20_2_200_6.csv,0.1151165755329503,-0.006987321880181125,-0.08309129771271503,No
1_20_0.75_50_20.csv,0.3334655625,0.18707032775178892,0.4836158326515498,No,2_60_1_100_12.csv,0.3897731011991079,0.06736646741974883,0.3672429476680737,No,2_120_1_150_4.csv,0.18059655852981893,-0.07168927443570118,-0.5033993290167976,No,,,,,,2_120_0.75_125_4.csv,0.5220819538394276,0.03365169382501782,0.19655519451887501,No,2_40_1_50_18.csv,0.10304982442318458,-0.012311881264303885,-0.10695142039535815,No,1_20_2_200_8.csv,0.1151165755329503,-0.006987321880181125,-0.08309129771271503,No
1_20_0.75_50_4.csv,0.3334655625,0.18707032775178892,0.4836158326515498,No,2_60_1_100_14.csv,0.3897731011991079,0.06736646741974883,0.3672429476680737,No,2_120_1_100_4.csv,0.18059653285403293,-0.07168925438738036,-0.5033991882382596,No,,,,,,2_120_0.75_75_4.csv,0.5220819538394276,0.03365169382501782,0.19655519451887501,No,2_40_1_50_20.csv,0.10304982442318458,-0.012311881264303885,-0.10695142039535815,No,3_20_2_200_10.csv,0.1151165755329503,-0.006987321880181125,-0.08309129771271503,No
