Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Score_8,Pass8,Para9,Pass9
2_20_1.5_50_10.csv,0.8313726666666666,0.19708874552414468,0.23706425941853354,No,2_20_1_100_6.csv,0.32904684662023254,0.06027824989989121,0.18319048038002014,No,2_60_0.75_100_4.csv,0.23200345457462104,-0.010089534972299686,-0.043488727315715514,No,1_40_0.75_50_4.csv,0.16288685539781372,0.1290954221580998,0.7925465921901057,Yes,1_20_0.75_75_10.csv,0.29444051376559593,0.2548056316034004,0.8653891692576353,Yes,2_80_0.75_50_8.csv,0.6041409528884898,0.254402648842582,0.42109816860824323,No,2_60_0.75_50_4.csv,0.6963670480673272,0.1294063815924082,0.18583070803186072,No,2_60_1.25_50_6.csv,0.3756749560366543,-0.015642515396919285,-0.041638430099112216,No,No Plateau,No
2_20_1.5_50_12.csv,0.8313726666666666,0.19708874552414468,0.23706425941853354,No,2_20_1_100_10.csv,0.32904681618531395,0.060278168100985574,0.18319024873055714,No,2_60_0.75_125_4.csv,0.21709199578677235,-0.06478162524604428,-0.2984063277472135,No,3_40_0.75_50_4.csv,0.16288685539781372,0.1290954221580998,0.7925465921901057,Yes,1_20_0.75_75_12.csv,0.29444051376559593,0.2548056316034004,0.8653891692576353,Yes,2_80_0.75_75_8.csv,0.6041409528884898,0.254402648842582,0.42109816860824323,No,2_60_0.75_75_4.csv,0.69636689845142,0.12940640577336887,0.18583078268243752,No,2_60_1.25_75_6.csv,0.3756749560366543,-0.015642515396919285,-0.041638430099112216,No,,
2_20_1.5_50_14.csv,0.8313726666666666,0.19708874552414468,0.23706425941853354,No,2_20_1_100_12.csv,0.32904681618531395,0.060278168100985574,0.18319024873055714,No,2_60_0.75_150_4.csv,0.20175131558084503,-0.03709338953667294,-0.18385698963042954,No,1_40_0.75_50_10.csv,0.14934237539245918,0.1290953910592403,0.8644257245807729,Yes,1_20_0.75_75_14.csv,0.29444051376559593,0.2548056316034004,0.8653891692576353,Yes,2_80_0.75_50_6.csv,0.6041409308163022,0.4110101818165043,0.6803216945773831,Yes,2_60_0.75_225_4.csv,0.553026070880879,0.0003035299643110168,0.0005488529027710101,No,2_80_1.5_150_6.csv,0.3603671297270734,0.021241164784216712,0.05894312503003218,No,,
2_20_1.5_50_16.csv,0.8313726666666666,0.19708874552414468,0.23706425941853354,No,2_20_1_100_14.csv,0.32904681618531395,0.060278168100985574,0.18319024873055714,No,2_60_0.75_200_4.csv,0.17451527231776987,-0.012854233091675651,-0.07365678041214493,No,1_40_0.75_50_12.csv,0.14934237539245918,0.1290953910592403,0.8644257245807729,Yes,1_20_0.75_75_16.csv,0.29444051376559593,0.2548056316034004,0.8653891692576353,Yes,2_80_0.75_75_6.csv,0.6041409308163022,0.4110101818165043,0.6803216945773831,Yes,2_60_0.75_200_4.csv,0.5530259536111655,0.05203872643383238,0.09409816319474401,No,2_60_1.25_175_6.csv,0.35016458937899,-0.01864394534873846,-0.053243377298096105,No,,
2_20_1.5_50_18.csv,0.8313726666666666,0.19708874552414468,0.23706425941853354,No,2_20_1_100_16.csv,0.32904681618531395,0.060278168100985574,0.18319024873055714,No,2_60_0.75_175_4.csv,0.1745152354570637,-0.01821662328862058,-0.10438414297130205,No,1_40_0.75_50_14.csv,0.14934237539245918,0.1290953910592403,0.8644257245807729,Yes,1_20_0.75_75_18.csv,0.29444051376559593,0.2548056316034004,0.8653891692576353,Yes,2_80_0.75_50_12.csv,0.5545390078766227,0.18141321536003616,0.3271423881517062,No,2_60_0.75_100_4.csv,0.5453307156183271,0.22451242285224376,0.41169957316209255,No,2_80_1.5_175_6.csv,0.3255495078041697,0.021241196098750754,0.06524720692106878,No,,
2_20_1.5_50_20.csv,0.8313726666666666,0.19708874552414468,0.23706425941853354,No,2_20_1_100_18.csv,0.32904681618531395,0.060278168100985574,0.18319024873055714,No,2_60_1_175_8.csv,0.17266835212024373,-0.07029212498610567,-0.4070932751889313,No,1_40_0.75_50_16.csv,0.14934237539245918,0.1290953910592403,0.8644257245807729,Yes,1_20_0.75_75_20.csv,0.29444051376559593,0.2548056316034004,0.8653891692576353,Yes,2_80_0.75_75_12.csv,0.5545390078766227,0.18141321536003616,0.3271423881517062,No,2_60_0.75_50_6.csv,0.534971111357705,0.1355180017903941,0.25331835479202325,No,2_80_1.5_200_6.csv,0.3255494593924318,0.02124119526663611,0.06524721406780476,No,,
2_20_1.25_50_10.csv,0.8259490833333334,0.20817195177275252,0.25203969103352014,No,2_20_1_100_20.csv,0.32904681618531395,0.060278168100985574,0.18319024873055714,No,2_60_1_200_8.csv,0.17266835212024373,-0.0467720534014017,-0.2708779740298345,No,1_40_0.75_50_18.csv,0.14934237539245918,0.1290953910592403,0.8644257245807729,Yes,1_20_0.75_75_4.csv,0.29444051376559593,0.2548056316034004,0.8653891692576353,Yes,2_60_1_100_4.csv,0.547103090777503,0.16114928323495414,0.29455012401034064,No,2_60_0.75_75_6.csv,0.534971111357705,0.1355180017903941,0.25331835479202325,No,2_60_1.25_100_6.csv,0.333576335109771,-0.015642559340393478,-0.046893492415299574,No,,
2_20_1.25_50_12.csv,0.8259490833333334,0.20817195177275252,0.25203969103352014,No,2_20_1_100_8.csv,0.32904681618531395,0.060278168100985574,0.18319024873055714,No,2_60_1_175_12.csv,0.17266834114016602,-0.07029212812516675,-0.40709331925593756,No,1_40_0.75_50_20.csv,0.14934237539245918,0.1290953910592403,0.8644257245807729,Yes,1_20_0.75_75_6.csv,0.29444051376559593,0.2548056316034004,0.8653891692576353,Yes,2_80_0.75_50_10.csv,0.5396586024167791,0.1814132139467199,0.33616292436419687,No,2_40_1.75_50_6.csv,0.4594775843012027,0.1065826142197187,0.23196477447711633,No,2_80_1.5_100_6.csv,0.3027244453390298,0.019420196650437472,0.06415139890235239,No,,
2_20_1.25_50_14.csv,0.8259490833333334,0.20817195177275252,0.25203969103352014,No,2_20_0.75_100_10.csv,0.3229816615010305,0.0327038359490541,0.10125601496092915,No,2_60_1_175_14.csv,0.17266834114016602,-0.07029212812516675,-0.40709331925593756,No,1_40_0.75_50_6.csv,0.14934237539245918,0.1290953910592403,0.8644257245807729,Yes,1_20_0.75_75_8.csv,0.29444051376559593,0.2548056316034004,0.8653891692576353,Yes,2_80_0.75_75_10.csv,0.5396586024167791,0.1814132139467199,0.33616292436419687,No,2_40_0.75_50_10.csv,0.43217367486648345,-0.0510599288754754,-0.1181467818261951,No,2_80_1.5_125_6.csv,0.30272440397628586,0.01942016753485782,0.06415131148917586,No,,
2_20_1.25_50_16.csv,0.8259490833333334,0.20817195177275252,0.25203969103352014,No,2_20_0.75_100_12.csv,0.3229816615010305,0.0327038359490541,0.10125601496092915,No,2_60_1_175_16.csv,0.17266834114016602,-0.07029212812516675,-0.40709331925593756,No,1_40_0.75_50_8.csv,0.14934237539245918,0.1290953910592403,0.8644257245807729,Yes,3_20_0.75_75_10.csv,0.29444051376559593,0.2548056316034004,0.8653891692576353,Yes,2_80_0.75_50_14.csv,0.5214711901567691,0.18141317096560974,0.34788723593928894,No,2_40_0.75_50_12.csv,0.43217367486648345,-0.0510599288754754,-0.1181467818261951,No,2_80_1.5_50_6.csv,0.3027243763496307,0.019420155545416855,0.06415127773849173,No,,
