Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window2_GrossProfit,Window2_GrossLoss,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window3_GrossProfit,Window3_GrossLoss,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window6_GrossProfit,Window6_GrossLoss,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Window7_GrossProfit,Window7_GrossLoss,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Window8_GrossProfit,Window8_GrossLoss,Score_8,Pass8,Para9,Pass9
2_20_1.5_50_10.csv,0.8313726666666666,0.19708874552414468,18305500.12,-13745428.12,1.3317519076299242,No,2_20_1_100_6.csv,0.32904684662023254,0.06027824989989121,13383091.625,-10674512.625,1.2537426386715245,No,2_60_0.75_100_4.csv,0.23200345457462104,-0.010089534972299686,15790281.625,-13754439.375,1.1480134663794686,No,1_40_0.75_50_4.csv,0.16288685539781372,0.1290954221580998,23300622.25,-20036246.25,1.1629235316470519,No,1_20_0.75_75_10.csv,0.29444051376559593,0.2548056316034004,19311447.062,-14740768.187,1.3100706026318842,No,2_80_0.75_50_8.csv,0.6041409528884898,0.254402648842582,38035570.594000004,-32168999.25,1.182367231831124,No,2_60_0.75_50_4.csv,0.6963670480673272,0.1294063815924082,169555000.5,-139028900.0,1.219566582919091,No,2_60_1.25_50_6.csv,0.3756749560366543,-0.015642515396919285,70109943.5,-60962402.0,1.1500521829832098,No,No Plateau,No
2_20_1.5_50_12.csv,0.8313726666666666,0.19708874552414468,18305500.12,-13745428.12,1.3317519076299242,No,2_20_1_100_10.csv,0.32904681618531395,0.060278168100985574,13641285.75,-10880452.25,1.2537425317040476,No,2_60_0.75_125_4.csv,0.21709199578677235,-0.06478162524604428,14647997.625,-13551983.375,1.0808748225017653,No,3_40_0.75_50_4.csv,0.16288685539781372,0.1290954221580998,23300622.25,-20036246.25,1.1629235316470519,No,1_20_0.75_75_12.csv,0.29444051376559593,0.2548056316034004,19311447.062,-14740768.187,1.3100706026318842,No,2_80_0.75_75_8.csv,0.6041409528884898,0.254402648842582,38035570.594000004,-32168999.25,1.182367231831124,No,2_60_0.75_75_4.csv,0.69636689845142,0.12940640577336887,171825804.5,-140890875.5,1.219566589321109,No,2_60_1.25_75_6.csv,0.3756749560366543,-0.015642515396919285,70109943.5,-60962402.0,1.1500521829832098,No,,
2_20_1.5_50_14.csv,0.8313726666666666,0.19708874552414468,18305500.12,-13745428.12,1.3317519076299242,No,2_20_1_100_12.csv,0.32904681618531395,0.060278168100985574,13641285.75,-10880452.25,1.2537425317040476,No,2_60_0.75_150_4.csv,0.20175131558084503,-0.03709338953667294,14596722.625,-13123151.875,1.1122878683441282,No,1_40_0.75_50_10.csv,0.14934237539245918,0.1290953910592403,21947790.125,-18993474.875,1.1555436943183364,No,1_20_0.75_75_14.csv,0.29444051376559593,0.2548056316034004,19311447.062,-14740768.187,1.3100706026318842,No,2_80_0.75_50_6.csv,0.6041409308163022,0.4110101818165043,50145229.375,-40242568.125,1.2460742867910595,No,2_60_0.75_225_4.csv,0.553026070880879,0.0003035299643110168,59783790.5,-50557925.5,1.1824810830104173,No,2_80_1.5_150_6.csv,0.3603671297270734,0.021241164784216712,25305595.5,-21380075.75,1.1836064472316006,No,,
2_20_1.5_50_16.csv,0.8313726666666666,0.19708874552414468,18305500.12,-13745428.12,1.3317519076299242,No,2_20_1_100_14.csv,0.32904681618531395,0.060278168100985574,13641285.75,-10880452.25,1.2537425317040476,No,2_60_0.75_200_4.csv,0.17451527231776987,-0.012854233091675651,6865355.592999999,-6008424.281,1.1426216378743108,No,1_40_0.75_50_12.csv,0.14934237539245918,0.1290953910592403,21947790.125,-18993474.875,1.1555436943183364,No,1_20_0.75_75_16.csv,0.29444051376559593,0.2548056316034004,19311447.062,-14740768.187,1.3100706026318842,No,2_80_0.75_75_6.csv,0.6041409308163022,0.4110101818165043,50145229.375,-40242568.125,1.2460742867910595,No,2_60_0.75_200_4.csv,0.5530259536111655,0.05203872643383238,56378871.25,-46745292.75,1.2060866010941818,No,2_60_1.25_175_6.csv,0.35016458937899,-0.01864394534873846,34144545.0,-29608801.25,1.1531890369928435,No,,
2_20_1.5_50_18.csv,0.8313726666666666,0.19708874552414468,18305500.12,-13745428.12,1.3317519076299242,No,2_20_1_100_16.csv,0.32904681618531395,0.060278168100985574,13641285.75,-10880452.25,1.2537425317040476,No,2_60_0.75_175_4.csv,0.1745152354570637,-0.01821662328862058,7035312.217999999,-6214353.967999999,1.1321067731621688,No,1_40_0.75_50_14.csv,0.14934237539245918,0.1290953910592403,21947790.125,-18993474.875,1.1555436943183364,No,1_20_0.75_75_18.csv,0.29444051376559593,0.2548056316034004,19311447.062,-14740768.187,1.3100706026318842,No,2_80_0.75_50_12.csv,0.5545390078766227,0.18141321536003616,32881045.374,-28588493.124,1.1501496504688598,No,2_60_0.75_100_4.csv,0.5453307156183271,0.22451242285224376,163103759.0,-130443591.0,1.2503777130759917,No,2_80_1.5_175_6.csv,0.3255495078041697,0.021241196098750754,20808004.125,-17662276.875,1.1781042881539587,No,,
2_20_1.5_50_20.csv,0.8313726666666666,0.19708874552414468,18305500.12,-13745428.12,1.3317519076299242,No,2_20_1_100_18.csv,0.32904681618531395,0.060278168100985574,13641285.75,-10880452.25,1.2537425317040476,No,2_60_1_175_8.csv,0.17266835212024373,-0.07029212498610567,7400346.438999999,-7049380.313999999,1.0497868052746402,No,1_40_0.75_50_16.csv,0.14934237539245918,0.1290953910592403,21947790.125,-18993474.875,1.1555436943183364,No,1_20_0.75_75_20.csv,0.29444051376559593,0.2548056316034004,19311447.062,-14740768.187,1.3100706026318842,No,2_80_0.75_75_12.csv,0.5545390078766227,0.18141321536003616,32881045.374,-28588493.124,1.1501496504688598,No,2_60_0.75_50_6.csv,0.534971111357705,0.1355180017903941,139333663.5,-117103517.5,1.1898332900205153,No,2_80_1.5_200_6.csv,0.3255494593924318,0.02124119526663611,30116859.75,-25563832.0,1.1781042744295926,No,,
2_20_1.25_50_10.csv,0.8259490833333334,0.20817195177275252,18379614.447,-13729796.447,1.3386662007662902,No,2_20_1_100_20.csv,0.32904681618531395,0.060278168100985574,13641285.75,-10880452.25,1.2537425317040476,No,2_60_1_200_8.csv,0.17266835212024373,-0.0467720534014017,7599072.003,-7058144.003,1.0766388444001826,No,1_40_0.75_50_18.csv,0.14934237539245918,0.1290953910592403,21947790.125,-18993474.875,1.1555436943183364,No,1_20_0.75_75_4.csv,0.29444051376559593,0.2548056316034004,19311447.062,-14740768.187,1.3100706026318842,No,2_60_1_100_4.csv,0.547103090777503,0.16114928323495414,27652229.686,-23309206.936,1.186322201434164,No,2_60_0.75_75_6.csv,0.534971111357705,0.1355180017903941,139333663.5,-117103517.5,1.1898332900205153,No,2_60_1.25_100_6.csv,0.333576335109771,-0.015642559340393478,47195577.5,-41484645.5,1.1376637532071956,No,,
2_20_1.25_50_12.csv,0.8259490833333334,0.20817195177275252,18379614.447,-13729796.447,1.3386662007662902,No,2_20_1_100_8.csv,0.32904681618531395,0.060278168100985574,13641285.75,-10880452.25,1.2537425317040476,No,2_60_1_175_12.csv,0.17266834114016602,-0.07029212812516675,8441805.876,-8041447.938999999,1.0497867971088037,No,1_40_0.75_50_20.csv,0.14934237539245918,0.1290953910592403,21947790.125,-18993474.875,1.1555436943183364,No,1_20_0.75_75_6.csv,0.29444051376559593,0.2548056316034004,19311447.062,-14740768.187,1.3100706026318842,No,2_80_0.75_50_10.csv,0.5396586024167791,0.1814132139467199,33757685.5,-29371834.438,1.1493216595394455,No,2_40_1.75_50_6.csv,0.4594775843012027,0.1065826142197187,33803042.25,-26536857.75,1.2738148038646362,No,2_80_1.5_100_6.csv,0.3027244453390298,0.019420196650437472,26116356.75,-22505533.25,1.1604415882925148,No,,
2_20_1.25_50_14.csv,0.8259490833333334,0.20817195177275252,18379614.447,-13729796.447,1.3386662007662902,No,2_20_0.75_100_10.csv,0.3229816615010305,0.0327038359490541,14037703.0,-11545346.375,1.2158754310218778,No,2_60_1_175_14.csv,0.17266834114016602,-0.07029212812516675,8441805.876,-8041447.938999999,1.0497867971088037,No,1_40_0.75_50_6.csv,0.14934237539245918,0.1290953910592403,21947790.125,-18993474.875,1.1555436943183364,No,1_20_0.75_75_8.csv,0.29444051376559593,0.2548056316034004,19311447.062,-14740768.187,1.3100706026318842,No,2_80_0.75_75_10.csv,0.5396586024167791,0.1814132139467199,33757685.5,-29371834.438,1.1493216595394455,No,2_40_0.75_50_10.csv,0.43217367486648345,-0.0510599288754754,124648140.5,-115996467.5,1.074585659257253,No,2_80_1.5_125_6.csv,0.30272440397628586,0.01942016753485782,19806104.125,-17067731.75,1.1604414936390126,No,,
2_20_1.25_50_16.csv,0.8259490833333334,0.20817195177275252,18379614.447,-13729796.447,1.3386662007662902,No,2_20_0.75_100_12.csv,0.3229816615010305,0.0327038359490541,14037703.0,-11545346.375,1.2158754310218778,No,2_60_1_175_16.csv,0.17266834114016602,-0.07029212812516675,8441805.876,-8041447.938999999,1.0497867971088037,No,1_40_0.75_50_8.csv,0.14934237539245918,0.1290953910592403,21947790.125,-18993474.875,1.1555436943183364,No,3_20_0.75_75_10.csv,0.29444051376559593,0.2548056316034004,19311447.062,-14740768.187,1.3100706026318842,No,2_80_0.75_50_14.csv,0.5214711901567691,0.18141317096560974,31780143.061,-27698814.311,1.147346695211397,No,2_40_0.75_50_12.csv,0.43217367486648345,-0.0510599288754754,124648140.5,-115996467.5,1.074585659257253,No,2_80_1.5_50_6.csv,0.3027243763496307,0.019420155545416855,29818156.25,-25695527.25,1.1604415025186923,No,,
