Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,Pass7
2_20_1.5_50_10.csv,0.753269125,0.03131112439546069,0.04156698231254426,No,No Plateau,No,1_40_0.75_75_4.csv,0.27579779890523615,0.1989665828722928,0.7214219390512885,Yes,1_20_0.75_75_10.csv,0.4724699887534656,0.03332345259191837,0.07053030538476492,No,2_60_1_100_4.csv,0.7445972794213683,-0.03375915286363527,-0.04533880769732296,No,2_60_1.25_50_6.csv,0.25489863146669145,-0.029979078400064873,-0.11761176679358654,No,No Plateau,No
2_20_1.5_50_12.csv,0.753269125,0.03131112439546069,0.04156698231254426,No,,,3_40_0.75_75_4.csv,0.27579779890523615,0.1989665828722928,0.7214219390512885,Yes,1_20_0.75_75_12.csv,0.4724699887534656,0.03332345259191837,0.07053030538476492,No,2_60_1_50_4.csv,0.692562213555878,-0.03292695928641942,-0.047543684367877766,No,2_60_1.25_75_6.csv,0.25489863146669145,-0.029979078400064873,-0.11761176679358654,No,,
2_20_1.5_50_14.csv,0.753269125,0.03131112439546069,0.04156698231254426,No,,,1_40_0.75_225_4.csv,0.26703090459277806,0.23868519215232326,0.8938485697613091,Yes,1_20_0.75_75_14.csv,0.4724699887534656,0.03332345259191837,0.07053030538476492,No,2_60_1_75_4.csv,0.692562213555878,-0.03292695928641942,-0.047543684367877766,No,2_60_0.75_100_4.csv,0.25370222022535716,-0.007453489035067365,-0.029378887691430614,No,,
2_20_1.5_50_16.csv,0.753269125,0.03131112439546069,0.04156698231254426,No,,,3_40_0.75_225_4.csv,0.26703090459277806,0.23868519215232326,0.8938485697613091,Yes,1_20_0.75_75_16.csv,0.4724699887534656,0.03332345259191837,0.07053030538476492,No,2_60_1.25_100_4.csv,0.6872263468766892,0.03167236724072577,0.04608724241244614,No,2_60_0.75_50_4.csv,0.235397546670787,-0.00605869878144775,-0.025738156013669442,No,,
2_20_1.5_50_18.csv,0.753269125,0.03131112439546069,0.04156698231254426,No,,,1_40_0.75_225_10.csv,0.2670308600680218,0.23868519509820676,0.8938487298337188,Yes,1_20_0.75_75_18.csv,0.4724699887534656,0.03332345259191837,0.07053030538476492,No,2_60_1.25_50_4.csv,0.656387709076219,0.07799060559597029,0.11881789454243744,No,2_60_0.75_75_4.csv,0.2353975372608011,-0.006058792191751579,-0.025738553861924803,No,,
2_20_1.5_50_20.csv,0.753269125,0.03131112439546069,0.04156698231254426,No,,,1_40_0.75_225_12.csv,0.2670308600680218,0.23868519509820676,0.8938487298337188,Yes,1_20_0.75_75_20.csv,0.4724699887534656,0.03332345259191837,0.07053030538476492,No,2_60_1.25_75_4.csv,0.656387709076219,0.07799060559597029,0.11881789454243744,No,2_40_2_50_4.csv,0.2230036001308437,-0.06320263177883614,-0.2834152979671765,No,,
2_20_1.5_50_8.csv,0.74052925,0.04025938027574653,0.054365685455026284,No,,,1_40_0.75_225_14.csv,0.2670308600680218,0.23868519509820676,0.8938487298337188,Yes,1_20_0.75_75_4.csv,0.4724699887534656,0.03332345259191837,0.07053030538476492,No,2_60_0.75_100_4.csv,0.6293435575914504,0.25370222022535716,0.40312197871111355,No,2_40_2_75_4.csv,0.22300355239799585,-0.06320261338641482,-0.2834152761549588,No,,
2_20_1.25_50_10.csv,0.7136811875,0.03458752145662281,0.048463546556105366,No,,,1_40_0.75_225_16.csv,0.2670308600680218,0.23868519509820676,0.8938487298337188,Yes,1_20_0.75_75_6.csv,0.4724699887534656,0.03332345259191837,0.07053030538476492,No,2_80_1_100_4.csv,0.6279129584489717,0.08161246300529881,0.1299741658571475,No,2_60_0.75_100_6.csv,0.21607238440102805,0.004389142588887548,0.020313297328830998,No,,
2_20_1.25_50_12.csv,0.7136811875,0.03458752145662281,0.048463546556105366,No,,,1_40_0.75_225_18.csv,0.2670308600680218,0.23868519509820676,0.8938487298337188,Yes,1_20_0.75_75_8.csv,0.4724699887534656,0.03332345259191837,0.07053030538476492,No,2_80_1_50_4.csv,0.6279128212765741,0.08161245936663236,0.12997418845614694,No,2_60_0.75_50_6.csv,0.20291186905158687,0.0058519641636021755,0.028839930315335147,No,,
2_20_1.25_50_14.csv,0.7136811875,0.03458752145662281,0.048463546556105366,No,,,1_40_0.75_225_20.csv,0.2670308600680218,0.23868519509820676,0.8938487298337188,Yes,3_20_0.75_75_10.csv,0.4724699887534656,0.03332345259191837,0.07053030538476492,No,2_80_1_75_4.csv,0.6279128212765741,0.08161245936663236,0.12997418845614694,No,2_60_0.75_75_6.csv,0.20291186905158687,0.0058519641636021755,0.028839930315335147,No,,
2_20_1.25_50_16.csv,0.7136811875,0.03458752145662281,0.048463546556105366,No,,,1_40_0.75_225_6.csv,0.2670308600680218,0.23868519509820676,0.8938487298337188,Yes,3_20_0.75_75_12.csv,0.4724699887534656,0.03332345259191837,0.07053030538476492,No,2_80_0.75_50_4.csv,0.6006509816555771,0.12822863679059107,0.2134827723699941,No,2_60_1.25_175_6.csv,0.19438274019452398,-0.013982959011553844,-0.07193518826599896,No,,
