Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window_6_NetProfit,Window_6_MDD,Score_6,Pass6,Para7,Pass7
2_40_0.75_50_4.csv,0.6477998125,0.19044563230338668,5452891.0,-1153236.0,4.728339212442206,Yes,2_40_0.75_75_6.csv,0.2666918832760447,0.48086418163179623,9850696.812,-2826143.5,3.4855614415899265,Yes,2_40_0.75_50_4.csv,1.193179034017466,-0.09007399268760208,17376537.0,-20950948.0,0.8293914432893442,No,2_80_0.75_125_6.csv,0.14565734059796762,0.18453998628825108,4936163.75,-1702611.5,2.8991720953370748,Yes,2_100_0.75_50_4.csv,0.3560427602872151,0.24756360968787194,7181835.187000001,-1876518.0,3.8272135876128024,Yes,2_100_0.75_150_6.csv,0.30852890395794613,-0.042293995132659586,3175611.0,-2178721.5,1.4575571040171955,No,No Plateau,No
2_40_1_50_4.csv,0.568792,0.1872040663618811,4841713.5,-1459244.5,3.3179590534691066,Yes,2_40_0.75_75_4.csv,0.26669188187273785,0.8449517916741274,18940428.75,-2693840.0,7.031014741038814,Yes,2_40_0.75_75_4.csv,0.8449517916741274,-0.08735932959120224,8990666.5,-11734023.0,0.7662049494874861,No,2_60_0.75_200_6.csv,0.12159712695501845,0.2511029142120494,5115531.5,-1746461.75,2.929083044618641,Yes,2_100_0.75_125_4.csv,0.3560427131426823,0.24756355592600904,7677463.187000001,-2006021.0,3.8272097784619405,Yes,2_100_0.75_150_8.csv,0.3038548057854997,-0.042293991228226066,2508786.625,-1738362.0,1.4431899828689307,No,,
2_40_1.5_50_10.csv,0.44836865625,0.19361395470213894,4055596.75,-1247900.0,3.2499372946550205,Yes,2_40_1.75_75_6.csv,0.2641182656337094,0.3779214504725261,9108136.875,-3032531.5,3.003476427202817,Yes,2_40_0.75_50_6.csv,0.8209425317963647,-0.09476777584535226,7592572.5,-11306624.0,0.6715154320157812,No,2_80_0.75_150_6.csv,0.11189508859651853,0.08389687631639159,2504527.75,-1602801.5,1.5625938395989771,Yes,2_100_0.75_150_4.csv,0.3560427107482435,0.29914572916032045,15256800.25,-2830582.0,5.3899870238700025,Yes,2_100_0.75_150_12.csv,0.3038547883877885,-0.04229396957012999,2464415.125,-1707616.0,1.4431904626098608,No,,
2_40_1.5_75_10.csv,0.43743715625,0.21534179907178652,4220205.0,-1252452.25,3.3695536097284347,Yes,2_40_1.75_50_6.csv,0.26411822103926824,0.3461625791347569,8596985.625,-2992533.5,2.872811824830031,Yes,2_40_1.25_75_4.csv,0.8088980487545592,-0.09307480073067183,4259546.0,-6035473.5,0.7057517525344118,No,,,,,,,,2_100_0.75_100_4.csv,0.35604270396181825,0.24756361163230062,7410110.687000001,-1936164.0,3.8272123058790477,Yes,2_100_0.75_150_10.csv,0.3038547873750923,-0.042293999646886175,2542410.0,-1761661.0,1.4431891266253836,No,,
2_40_1.5_75_12.csv,0.40572878125,0.21534185668309508,3979421.25,-1194682.5,3.330944623362274,Yes,2_40_1.75_100_6.csv,0.2612119001198714,0.1962742839649389,4426252.937,-1636804.0,2.7042046188792304,Yes,2_20_0.75_50_4.csv,0.7903737981224876,-0.024349817577025583,5054140.187,-3264197.25,1.5483562419519836,Yes,,,,,,,,2_100_0.75_75_4.csv,0.35604270396181825,0.24756361163230062,7410110.687000001,-1936164.0,3.8272123058790477,Yes,2_100_0.75_150_14.csv,0.3038547560464099,-0.04229400351507369,2564823.75,-1777191.5,1.4431892961450694,No,,
2_40_1.5_75_14.csv,0.40572878125,0.21534185668309508,3979421.25,-1194682.5,3.330944623362274,Yes,2_40_1.75_50_8.csv,0.24236861537914953,0.21019613095681877,6391984.125,-4293031.75,1.4889207667751352,No,2_40_1_225_4.csv,0.7853328084085964,-0.06908683900996876,2380664.062,-2352485.625,1.011978154808066,No,,,,,,,,2_100_0.75_225_4.csv,0.3560426157845985,0.026233367165051757,2858846.937,-1223774.0,2.3360905992446317,Yes,2_100_0.75_150_16.csv,0.3038547560464099,-0.04229400351507369,2564823.75,-1777191.5,1.4431892961450694,No,,
2_40_1.5_75_16.csv,0.40572878125,0.21534185668309508,3979421.25,-1194682.5,3.330944623362274,Yes,2_40_1.75_75_8.csv,0.2423685667592198,0.2347118181622007,6814212.875,-3561243.25,1.9134365154640869,Yes,2_80_1.75_150_4.csv,0.7779446906162808,-0.05626207680126445,1506532.063,-1231343.875,1.2234860574589694,No,,,,,,,,2_100_0.75_175_4.csv,0.35604257254469274,0.15374347242960604,7785751.375,-1520281.5,5.121256408763772,Yes,2_100_0.75_150_18.csv,0.3038547560464099,-0.04229400351507369,2564823.75,-1777191.5,1.4431892961450694,No,,
2_40_1.5_75_18.csv,0.40572878125,0.21534185668309508,3979421.25,-1194682.5,3.330944623362274,Yes,2_40_1.75_100_8.csv,0.23958519349313756,0.11060682348900247,3380152.687,-2018475.125,1.6746070561558195,Yes,2_80_1.75_175_4.csv,0.7779446642145043,-0.05626208557471428,1330676.001,-1087610.25,1.2234860796870937,No,,,,,,,,2_100_0.75_200_4.csv,0.35604252990832236,0.054870308040991064,4007888.25,-1166147.5,3.4368621893885636,Yes,2_100_0.75_150_20.csv,0.3038547560464099,-0.04229400351507369,2564823.75,-1777191.5,1.4431892961450694,No,,
2_40_1.5_75_20.csv,0.40572878125,0.21534185668309508,3979421.25,-1194682.5,3.330944623362274,Yes,2_40_1.75_75_10.csv,0.23847948729252869,0.2657093512695902,7647654.75,-3687729.25,2.0738113433897025,Yes,2_80_1.75_100_4.csv,0.777944634921834,-0.07323802541192986,1612470.656,-1378480.75,1.1697447759063737,No,,,,,,,,2_20_2_100_6.csv,0.3525281965418524,0.053611450758267634,3263224.562,-1562992.0,2.08780631122872,Yes,2_100_1.5_100_8.csv,0.3020269485404194,-0.04304175990554513,2665726.0,-2435282.0,1.0946272341355128,No,,
2_40_1.75_50_12.csv,0.39388065625,0.2289429336263128,4032359.25,-896056.5,4.500117180110853,Yes,2_40_1.75_50_10.csv,0.23847945410050303,0.23962587014568354,7183454.0,-4445509.25,1.6158900130508107,Yes,2_80_1.75_50_4.csv,0.7779446130481256,-0.07323803202296929,1926194.0590000001,-1646679.375,1.1697444494924825,No,,,,,,,,2_80_0.75_125_4.csv,0.33148175399130214,0.12900684699076173,8849427.25,-3472461.0,2.548459795516782,Yes,2_100_1.5_125_8.csv,0.3020269485404194,-0.04304175990554513,2665726.0,-2435282.0,1.0946272341355128,No,,
2_40_1.75_50_14.csv,0.39388065625,0.2289429336263128,4032359.25,-896056.5,4.500117180110853,Yes,2_40_1.75_75_12.csv,0.2384794295706697,0.2657093462027546,7750833.75,-3737483.0,2.07381110496021,Yes,2_80_1.75_75_4.csv,0.7779446130481256,-0.07323803202296929,1926194.0590000001,-1646679.375,1.1697444494924825,No,,,,,,,,2_80_0.75_200_4.csv,0.3314817507696826,-0.026534169339186932,3754787.5,-3584796.5,1.0474199860438382,No,2_100_1.5_50_8.csv,0.3020269485404194,-0.04304175990554513,2665726.0,-2435282.0,1.0946272341355128,No,,
2_40_1.75_50_16.csv,0.39388065625,0.2289429336263128,4032359.25,-896056.5,4.500117180110853,Yes,2_40_1.75_75_14.csv,0.2384794295706697,0.2657093462027546,7750833.75,-3737483.0,2.07381110496021,Yes,2_80_1.75_125_4.csv,0.7779446063551915,-0.07323802988311609,1595710.375,-1364153.0,1.169744431159848,No,,,,,,,,2_20_2_200_6.csv,0.3228340892366221,0.018689470817320888,4464846.875,-2370479.5,1.883520559869849,Yes,2_100_1.5_75_8.csv,0.3020269485404194,-0.04304175990554513,2665726.0,-2435282.0,1.0946272341355128,No,,
2_40_1.75_50_18.csv,0.39388065625,0.2289429336263128,4032359.25,-896056.5,4.500117180110853,Yes,2_40_1.75_75_16.csv,0.2384794295706697,0.2657093462027546,7750833.75,-3737483.0,2.07381110496021,Yes,2_40_1_200_4.csv,0.7596634613559715,-0.06539497262742232,2239783.961,-2120013.125,1.0564953275937856,No,,,,,,,,2_20_2_225_6.csv,0.32283396714389584,-0.008085546500908392,4214683.0,-2420852.5,1.7409912417216662,Yes,2_100_1.5_150_8.csv,0.3020268182155546,-0.04304176564649804,2468097.75,-2254738.0,1.094627291507927,No,,
2_40_1.75_50_20.csv,0.39388065625,0.2289429336263128,4032359.25,-896056.5,4.500117180110853,Yes,2_40_1.75_75_18.csv,0.2384794295706697,0.2657093462027546,7750833.75,-3737483.0,2.07381110496021,Yes,2_60_1.25_100_4.csv,0.7571129490530195,-0.03699520657373625,5233428.375,-4475600.5,1.1693242895562284,No,,,,,,,,2_80_0.75_175_4.csv,0.3192338211617259,0.046921498152328926,4996858.0,-2792028.5,1.7896873187361806,Yes,2_100_0.75_150_4.csv,0.29914572916032045,-0.04229400219500447,7054911.0,-4938798.0,1.428467210037746,No,,
2_40_1.75_75_12.csv,0.3893780625,0.22894293947187705,3997168.5,-889790.5,4.492258009048197,Yes,2_40_1.75_75_20.csv,0.2384794295706697,0.2657093462027546,7750833.75,-3737483.0,2.07381110496021,Yes,2_40_0.75_225_4.csv,0.7566679997555259,-0.0493435204822691,2562525.484,-1997673.25,1.2827550671762762,No,,,,,,,,2_20_2_125_6.csv,0.2883842382383837,0.04582323628581666,3050902.312,-1583408.0,1.926794807150147,Yes,2_80_0.75_150_10.csv,0.2968969905220254,-0.01417962303483019,4600837.5,-1939571.0,2.3720902715084935,Yes,,
2_40_1.75_75_14.csv,0.3893780625,0.22894293947187705,3997168.5,-889790.5,4.492258009048197,Yes,2_40_1.75_50_12.csv,0.23847942560784147,0.23962591452508086,7280371.375,-4505485.25,1.6158906246558016,Yes,2_40_1_75_4.csv,0.7331081990620206,-0.08365638206287627,7250377.25,-9232820.0,0.7852830716942386,No,,,,,,,,2_80_1.25_125_6.csv,0.29398683696394434,0.13630658584884794,6513576.875,-2539199.5,2.5652087892266833,Yes,2_80_0.75_150_12.csv,0.29689694759028123,-0.0141795963053499,4158583.0,-1753131.0,2.3720891365220282,Yes,,
2_40_1.75_75_16.csv,0.3893780625,0.22894293947187705,3997168.5,-889790.5,4.492258009048197,Yes,2_40_1.75_50_14.csv,0.23847942560784147,0.23962591452508086,7280371.375,-4505485.25,1.6158906246558016,Yes,2_20_0.75_100_4.csv,0.7268142200658555,-0.032260558296481515,3362228.062,-1653399.5,2.033524300690789,Yes,,,,,,,,2_80_1.25_100_6.csv,0.29398680898677493,0.09826938769175284,5593629.25,-2286276.0,2.4466115420885317,Yes,2_80_0.75_150_14.csv,0.2968969359324421,-0.014179613102552075,4198858.75,-1770109.0,2.3720905040311075,Yes,,
2_40_1.75_75_18.csv,0.3893780625,0.22894293947187705,3997168.5,-889790.5,4.492258009048197,Yes,2_40_1.75_50_16.csv,0.23847942560784147,0.23962591452508086,7280371.375,-4505485.25,1.6158906246558016,Yes,2_20_1.25_75_4.csv,0.7255601402492754,-0.03182935091352741,3833680.625,-2680223.25,1.4303586930678256,No,,,,,,,,2_80_1.25_50_6.csv,0.29398680898677493,0.09826938769175284,5593629.25,-2286276.0,2.4466115420885317,Yes,2_80_0.75_150_16.csv,0.2968969359324421,-0.014179613102552075,4198858.75,-1770109.0,2.3720905040311075,Yes,,
2_40_1.75_75_20.csv,0.3893780625,0.22894293947187705,3997168.5,-889790.5,4.492258009048197,Yes,2_40_1.75_50_18.csv,0.23847942560784147,0.23962591452508086,7280371.375,-4505485.25,1.6158906246558016,Yes,2_60_1.25_125_4.csv,0.7215063936370926,0.03701456656976235,4292114.812,-1499835.25,2.8617241873732464,Yes,,,,,,,,2_80_1.25_75_6.csv,0.29398680898677493,0.09826938769175284,5593629.25,-2286276.0,2.4466115420885317,Yes,2_80_0.75_150_18.csv,0.2968969359324421,-0.014179613102552075,4198858.75,-1770109.0,2.3720905040311075,Yes,,
2_40_1.25_75_8.csv,0.3890669375,0.18667719597555507,3553961.5,-1092604.0,3.252744361177517,Yes,2_40_1.75_50_20.csv,0.23847942560784147,0.23962591452508086,7280371.375,-4505485.25,1.6158906246558016,Yes,2_20_1.25_75_6.csv,0.7214936184770225,-0.07268282596800968,2534896.187,-3046347.0,0.8321101263250706,No,,,,,,,,2_80_1.25_225_6.csv,0.29398678414733503,0.02381884716605987,2991377.875,-1445516.25,2.069418365238025,Yes,2_80_0.75_150_20.csv,0.2968969359324421,-0.014179613102552075,4198858.75,-1770109.0,2.3720905040311075,Yes,,
