Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,InSample2_RateOfReturn,OutSample2_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample2_AvgTrade,OutSample2_AvgTrade,Score_2,Pass2,Para3,InSample3_RateOfReturn,OutSample3_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample3_AvgTrade,OutSample3_AvgTrade,Score_3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,InSample5_RateOfReturn,OutSample5_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample5_AvgTrade,OutSample5_AvgTrade,Score_5,Pass5
2_40_0.75_50_4.csv,2.442266,2.5407917342820108,26.0,26.0,0.09393330769230769,0.09772275901084657,1.0403419342045506,Yes,2_40_0.75_50_6.csv,2.7008299285159283,0.16774981922166612,25.0,25.0,0.10803319714063714,0.006709992768866645,0.062110471100208266,No,2_20_0.75_100_4.csv,1.6965809431344896,-0.06187592744698653,27,41,0.06283633122720332,-0.0015091689621216226,-0.02401745825460077,No,2_100_0.75_50_4.csv,2.2789447579143425,0.8464644893565033,19.0,13.0,0.11994446094286013,0.06511265302742333,0.5428566898011413,Yes,2_80_0.75_150_10.csv,1.0581791956117341,0.018238733276481543,8.0,15.0,0.13227239945146677,0.0012159155517654362,0.009192511489984564,No
2_40_1_50_4.csv,2.18157425,2.278192548861621,24.0,26.0,0.09089892708333334,0.08762279034083156,0.9639584663139278,Yes,2_40_0.75_50_4.csv,2.5407917342820108,0.586987472542421,26.0,26.0,0.09772275901084657,0.022576441251631576,0.23102541803108265,No,2_20_0.75_100_6.csv,1.3321103791956481,0.08940392816435817,25,37,0.05328441516782592,0.0024163223828204913,0.04534763823924842,No,2_100_0.75_100_4.csv,2.1648511603537535,0.8464645501140998,20.0,13.0,0.10824255801768767,0.0651126577010846,0.6015439665648393,Yes,2_80_0.75_150_14.csv,1.0581789804602062,0.018238742669826842,8.0,15.0,0.13227237255752577,0.001215916177988456,0.009192518093373197,No
2_40_1.5_50_10.csv,1.790902875,1.1380873026618672,14.0,19.0,0.12792163392857142,0.05989933171904564,0.4682502081898992,No,2_40_0.75_75_4.csv,2.2879433342634807,0.49660660654065536,21.0,23.0,0.10894968258397528,0.021591591588724146,0.198179481359039,No,2_20_0.75_50_4.csv,1.3265375824892238,-0.1270831841180995,36,42,0.03684826618025622,-0.003025790098049988,-0.08211485672753975,No,2_100_0.75_75_4.csv,2.1648511603537535,0.8464645501140998,20.0,13.0,0.10824255801768767,0.0651126577010846,0.6015439665648393,Yes,2_80_0.75_150_16.csv,1.0581789804602062,0.018238742669826842,8.0,15.0,0.13227237255752577,0.001215916177988456,0.009192518093373197,No
2_40_1.5_75_10.csv,1.747217125,1.2644507940012204,13.0,15.0,0.1344013173076923,0.08429671960008137,0.6272015876681942,Yes,2_40_1_50_4.csv,2.278192548861621,0.28929828367967864,26.0,28.0,0.08762279034083156,0.010332081559988522,0.11791545920643719,No,2_20_0.75_175_4.csv,1.2986505306186575,-0.25558049507810776,22,47,0.059029569573575344,-0.005437882874002293,-0.09212133703981076,No,2_100_0.75_150_4.csv,2.1648509971671817,0.970245258270335,20.0,12.0,0.10824254985835909,0.08085377152252791,0.7469684669136971,Yes,2_80_0.75_150_18.csv,1.0581789804602062,0.018238742669826842,8.0,15.0,0.13227237255752577,0.001215916177988456,0.009192518093373197,No
2_40_1.75_50_12.csv,1.64479375,1.263459296211661,11.0,15.0,0.14952670454545455,0.08423061974744407,0.5633148941755675,Yes,2_40_0.75_75_6.csv,2.218523891781369,-0.009442809646581613,20.0,22.0,0.11092619458906845,-0.00042921862029916423,-0.0038694072386529234,No,2_60_1.25_125_4.csv,1.2723375429974357,0.77522940965302,19,23,0.0669651338419703,0.03370562650665304,0.5033309809578562,Yes,2_100_0.75_125_4.csv,2.1648510314073275,0.846464464002854,20.0,13.0,0.10824255157036637,0.06511265107714262,0.6015439411996322,Yes,2_80_0.75_150_20.csv,1.0581789804602062,0.018238742669826842,8.0,15.0,0.13227237255752577,0.001215916177988456,0.009192518093373197,No
2_40_1.75_50_14.csv,1.64479375,1.263459296211661,11.0,15.0,0.14952670454545455,0.08423061974744407,0.5633148941755675,Yes,2_40_0.75_50_8.csv,2.181932782194115,0.024737982365959865,25.0,24.0,0.0872773112877646,0.0010307492652483277,0.011810048339479821,No,2_20_0.75_200_4.csv,1.2419573412492955,-0.3532348664192518,21,50,0.059140825773775975,-0.007064697328385035,-0.11945550701995168,No,2_100_0.75_175_4.csv,2.0610847682070674,0.5226101200276022,20.0,11.0,0.10305423841035337,0.0475100109116002,0.4610194752244862,No,2_80_0.75_150_12.csv,1.0581789320523542,0.018238883952171544,8.0,15.0,0.13227236650654428,0.0012159255968114363,0.00919258972168822,No
2_40_1.75_50_16.csv,1.64479375,1.263459296211661,11.0,15.0,0.14952670454545455,0.08423061974744407,0.5633148941755675,Yes,2_40_0.75_50_10.csv,2.1819326354032356,0.024737945306311897,25.0,24.0,0.08727730541612942,0.001030747721096329,0.011810031441527983,No,2_60_0.75_200_6.csv,1.1993072277601011,1.8489319098050592,12,20,0.09994226898000842,0.09244659549025296,0.9249999668182955,Yes,2_80_0.75_100_14.csv,2.1412063529513228,0.5227663962605742,12.0,13.0,0.17843386274594356,0.04021279971235186,0.22536529273934602,No,2_80_0.75_150_8.csv,1.0581787178930087,0.018238665757817414,8.0,15.0,0.13227233973662608,0.001215911050521161,0.009192481609852981,No
2_40_1.75_50_18.csv,1.64479375,1.263459296211661,11.0,15.0,0.14952670454545455,0.08423061974744407,0.5633148941755675,Yes,2_40_0.75_50_12.csv,2.1819326354032356,0.024737945306311897,25.0,24.0,0.08727730541612942,0.001030747721096329,0.011810031441527983,No,2_20_1_100_10.csv,1.195561005750351,0.2724738395860606,18,33,0.06642005587501949,0.008256783017759412,0.12431159397540915,No,2_80_0.75_100_16.csv,2.1412063529513228,0.5227663962605742,12.0,13.0,0.17843386274594356,0.04021279971235186,0.22536529273934602,No,2_20_0.75_125_10.csv,1.0339801563884903,-0.22649714677549895,28.0,33.0,0.036927862728160364,-0.006863549902287847,-0.1858637190246555,No
2_40_1.75_50_20.csv,1.64479375,1.263459296211661,11.0,15.0,0.14952670454545455,0.08423061974744407,0.5633148941755675,Yes,2_40_0.75_50_14.csv,2.1819326354032356,0.024737945306311897,25.0,24.0,0.08727730541612942,0.001030747721096329,0.011810031441527983,No,2_20_1_100_12.csv,1.195561005750351,0.2724738395860606,18,33,0.06642005587501949,0.008256783017759412,0.12431159397540915,No,2_80_0.75_100_18.csv,2.1412063529513228,0.5227663962605742,12.0,13.0,0.17843386274594356,0.04021279971235186,0.22536529273934602,No,2_20_0.75_125_12.csv,1.0339801563884903,-0.22649714677549895,28.0,33.0,0.036927862728160364,-0.006863549902287847,-0.1858637190246555,No
2_40_1.75_75_12.csv,1.626299,1.2613971219575533,11.0,14.0,0.14784536363636364,0.09009979442553952,0.6094191404415391,Yes,2_40_0.75_50_16.csv,2.1819326354032356,0.024737945306311897,25.0,24.0,0.08727730541612942,0.001030747721096329,0.011810031441527983,No,2_20_1_100_14.csv,1.195561005750351,0.2724738395860606,18,33,0.06642005587501949,0.008256783017759412,0.12431159397540915,No,2_80_0.75_100_20.csv,2.1412063529513228,0.5227663962605742,12.0,13.0,0.17843386274594356,0.04021279971235186,0.22536529273934602,No,2_20_0.75_125_14.csv,1.0339801563884903,-0.22649714677549895,28.0,33.0,0.036927862728160364,-0.006863549902287847,-0.1858637190246555,No
2_40_1.75_75_14.csv,1.626299,1.2613971219575533,11.0,14.0,0.14784536363636364,0.09009979442553952,0.6094191404415391,Yes,2_40_0.75_50_18.csv,2.1819326354032356,0.024737945306311897,25.0,24.0,0.08727730541612942,0.001030747721096329,0.011810031441527983,No,2_20_1_100_16.csv,1.195561005750351,0.2724738395860606,18,33,0.06642005587501949,0.008256783017759412,0.12431159397540915,No,2_80_0.75_50_14.csv,2.1412064142943006,0.5227665083089884,12.0,13.0,0.1784338678578584,0.040212808331460646,0.22536533458712243,No,2_20_0.75_125_16.csv,1.0339801563884903,-0.22649714677549895,28.0,33.0,0.036927862728160364,-0.006863549902287847,-0.1858637190246555,No
2_40_1.75_75_16.csv,1.626299,1.2613971219575533,11.0,14.0,0.14784536363636364,0.09009979442553952,0.6094191404415391,Yes,2_40_0.75_50_20.csv,2.1819326354032356,0.024737945306311897,25.0,24.0,0.08727730541612942,0.001030747721096329,0.011810031441527983,No,2_20_1_100_18.csv,1.195561005750351,0.2724738395860606,18,33,0.06642005587501949,0.008256783017759412,0.12431159397540915,No,2_80_0.75_50_16.csv,2.1412064142943006,0.5227665083089884,12.0,13.0,0.1784338678578584,0.040212808331460646,0.22536533458712243,No,2_20_0.75_125_18.csv,1.0339801563884903,-0.22649714677549895,28.0,33.0,0.036927862728160364,-0.006863549902287847,-0.1858637190246555,No
2_40_1.75_75_18.csv,1.626299,1.2613971219575533,11.0,14.0,0.14784536363636364,0.09009979442553952,0.6094191404415391,Yes,2_40_1_50_6.csv,2.105765713186881,0.27087432122975436,25.0,23.0,0.08423062852747525,0.011777144401293668,0.13982021275612438,No,2_20_1_100_20.csv,1.195561005750351,0.2724738395860606,18,33,0.06642005587501949,0.008256783017759412,0.12431159397540915,No,2_80_0.75_50_18.csv,2.1412064142943006,0.5227665083089884,12.0,13.0,0.1784338678578584,0.040212808331460646,0.22536533458712243,No,2_20_0.75_125_20.csv,1.0339801563884903,-0.22649714677549895,28.0,33.0,0.036927862728160364,-0.006863549902287847,-0.1858637190246555,No
2_40_1.75_75_20.csv,1.626299,1.2613971219575533,11.0,14.0,0.14784536363636364,0.09009979442553952,0.6094191404415391,Yes,2_40_1_75_4.csv,2.009879378021425,0.32791573310998573,22.0,26.0,0.09135815354642841,0.012612143581153297,0.13805164718816015,No,2_60_1.25_125_6.csv,1.1954474260151369,1.1132074211358833,14,20,0.08538910185822406,0.05566037105679417,0.6518439689084675,Yes,2_80_0.75_50_20.csv,2.1412064142943006,0.5227665083089884,12.0,13.0,0.1784338678578584,0.040212808331460646,0.22536533458712243,No,2_20_0.75_125_8.csv,1.0339801563884903,-0.22649714677549895,28.0,33.0,0.036927862728160364,-0.006863549902287847,-0.1858637190246555,No
