Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,OutSamplePass3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,OutSamplePass6,Pass6,Para7,Pass7
2_100_1.75_50_10.csv,0.1440955,0.07378269908562772,No,,2_20_2_75_16.csv,0.12747487795884688,0.5748082611912562,Yes,,2_80_0.75_50_18.csv,0.5661929761073133,-0.005340255135691405,No,,,,,,,2_20_2_175_14.csv,0.1676075303313827,-0.014012291446813938,No,,2_80_1.5_50_20.csv,0.18550164406012778,-0.02058505598749669,No,,,
2_100_1.75_75_10.csv,0.1440955,0.07378269908562772,No,,2_20_2_75_18.csv,0.12747487795884688,0.5748082611912562,Yes,,2_80_0.75_50_20.csv,0.5661929761073133,-0.005340255135691405,No,,,,,,,2_20_2_175_16.csv,0.1676075303313827,-0.014012291446813938,No,,2_80_1.5_75_20.csv,0.18550164406012778,-0.02058505598749669,No,,,
2_40_1.5_100_12.csv,0.14248545325,0.19454147876743205,Yes,,2_20_2_75_20.csv,0.12747487795884688,0.5748082611912562,Yes,,2_80_0.75_75_12.csv,0.5661929761073133,-0.007687105406077083,No,,,,,,,2_20_2_175_18.csv,0.1676075303313827,-0.014012291446813938,No,,2_100_1.25_100_6.csv,0.18537439402391906,-0.031221788807013883,No,,,
2_40_1.5_100_14.csv,0.14248545325,0.19454147876743205,Yes,,2_20_2_75_8.csv,0.12747487795884688,0.6115144036337036,Yes,,2_80_0.75_75_14.csv,0.5661929761073133,-0.005340255135691405,No,,,,,,,2_20_2_175_20.csv,0.1676075303313827,-0.014012291446813938,No,,2_100_1.25_125_6.csv,0.18537439402391906,-0.031221788807013883,No,,,
2_40_1.5_100_16.csv,0.14248545325,0.19454147876743205,Yes,,2_20_1_125_10.csv,0.12737539238696738,0.3411920551829387,Yes,,2_80_0.75_75_16.csv,0.5661929761073133,-0.005340255135691405,No,,,,,,,2_60_0.75_225_4.csv,0.16700337203617677,0.018655357564343923,No,,2_100_1.25_50_6.csv,0.18537439402391906,-0.031221788807013883,No,,,
2_40_1.5_100_18.csv,0.14248545325,0.19454147876743205,Yes,,2_20_1_125_12.csv,0.12737539238696738,0.3411920551829387,Yes,,2_80_0.75_75_18.csv,0.5661929761073133,-0.005340255135691405,No,,,,,,,2_60_0.75_200_4.csv,0.167003299139858,0.018655352380661284,No,,2_100_1.25_75_6.csv,0.18537439402391906,-0.031221788807013883,No,,,
2_40_1.5_100_20.csv,0.14248545325,0.19454147876743205,Yes,,2_20_1_125_14.csv,0.12737539238696738,0.3411920551829387,Yes,,2_80_0.75_75_20.csv,0.5661929761073133,-0.005340255135691405,No,,,,,,,2_100_1_150_6.csv,0.1813653210732165,0.2717646055841222,Yes,,2_100_1.25_150_6.csv,0.18537432680453433,-0.03418149035646265,No,,,
2_40_2_50_6.csv,0.14204857825,0.11861541261691846,Yes,,2_20_1_125_16.csv,0.12737539238696738,0.3411920551829387,Yes,,2_80_0.75_100_12.csv,0.5661929621127532,-0.007687086679393181,No,,,,,,,2_100_1_175_6.csv,0.1813653197252839,0.12036529409971264,Yes,,2_120_0.75_100_16.csv,0.18535604293915814,-0.03597909515838648,No,,,
2_60_1.75_50_12.csv,0.142034,0.07515125649178388,No,,2_20_1_125_18.csv,0.12737539238696738,0.3411920551829387,Yes,,2_80_0.75_100_14.csv,0.5661929621127532,-0.005340242282111947,No,,,,,,,2_100_1_225_6.csv,0.1813653159657871,0.12036526335021867,Yes,,2_120_0.75_100_18.csv,0.18535604293915814,-0.03597909515838648,No,,,
2_60_1.75_50_14.csv,0.142034,0.07762576077585108,No,,2_20_1_125_20.csv,0.12737539238696738,0.3411920551829387,Yes,,2_80_0.75_100_16.csv,0.5661929621127532,-0.005340242282111947,No,,,,,,,2_100_1_200_6.csv,0.1813653123422624,0.12036529709961752,Yes,,2_120_0.75_100_20.csv,0.18535604293915814,-0.03597909515838648,No,,,
