Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,InSample2_RateOfReturn,OutSample2_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample2_AvgTrade,OutSample2_AvgTrade,Score_2,Pass2,Para3,InSample3_RateOfReturn,OutSample3_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample3_AvgTrade,OutSample3_AvgTrade,Score_3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,InSample5_RateOfReturn,OutSample5_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample5_AvgTrade,OutSample5_AvgTrade,Score_5,Pass5
2_20_2_50_6.csv,2.69961825,0.8196519330068717,21.0,23.0,0.12855325,0.035637040565516157,0.2772161774635504,No,2_60_0.75_100_4.csv,1.4532091153055637,-0.17689932140437245,15.0,19.0,0.09688060768703759,-0.009310490600230129,-0.09610272708349095,No,1_40_0.75_200_10.csv,1.1189030525682617,1.332310060687884,15.0,55.0,0.07459353683788411,0.024223819285234253,0.3247442112562708,No,2_80_0.75_50_6.csv,4.662879122651614,0.6389975121225412,9,15,0.5180976802946238,0.04259983414150274,0.08222355698886304,No,2_60_0.75_100_4.csv,1.0447321516060732,-0.0013595526914859692,20.0,22.0,0.052236607580303664,-6.17978496129986e-05,-0.0011830371931790627,No
2_20_1.25_50_10.csv,2.6275975,0.7704273971960781,24.0,30.0,0.10948322916666665,0.02568091323986927,0.23456481358231712,No,2_60_1.5_125_6.csv,1.3989174203468349,-0.3236433245171177,10.0,14.0,0.1398917420346835,-0.023117380322651263,-0.1652519297166215,No,1_40_0.75_200_12.csv,1.1189030525682617,1.332310060687884,15.0,55.0,0.07459353683788411,0.024223819285234253,0.3247442112562708,No,2_80_0.75_75_6.csv,4.662879122651614,0.6389975121225412,9,15,0.5180976802946238,0.04259983414150274,0.08222355698886304,No,2_60_0.75_50_4.csv,0.9704263740791529,0.09042236363319535,22.0,23.0,0.04411028973087058,0.003931407114486754,0.08912675791688031,No
2_20_1.25_50_12.csv,2.6275975,0.7704273971960781,24.0,30.0,0.10948322916666665,0.02568091323986927,0.23456481358231712,No,2_60_1_100_12.csv,1.394119124400836,-0.3038813840501351,10.0,14.0,0.1394119124400836,-0.02170581314643822,-0.15569554112362483,No,1_40_0.75_200_14.csv,1.1189030525682617,1.332310060687884,15.0,55.0,0.07459353683788411,0.024223819285234253,0.3247442112562708,No,2_80_0.75_50_8.csv,4.5939834475391175,0.3180809714171871,9,14,0.5104426052821242,0.022720069386941936,0.044510527044239266,No,2_60_0.75_75_4.csv,0.9704262228870707,0.011173205098394002,22.0,23.0,0.044110282858503214,0.0004857915260171305,0.011013112919167864,No
2_20_1.25_50_14.csv,2.6275975,0.7704273971960781,24.0,30.0,0.10948322916666665,0.02568091323986927,0.23456481358231712,No,2_60_1_100_14.csv,1.394119124400836,-0.3038813840501351,10.0,14.0,0.1394119124400836,-0.02170581314643822,-0.15569554112362483,No,1_40_0.75_200_16.csv,1.1189030525682617,1.332310060687884,15.0,55.0,0.07459353683788411,0.024223819285234253,0.3247442112562708,No,2_80_0.75_75_8.csv,4.5939834475391175,0.3180809714171871,9,14,0.5104426052821242,0.022720069386941936,0.044510527044239266,No,2_60_1.25_50_6.csv,0.9054987628673841,-0.1324942352574508,15.0,17.0,0.06036658419115894,-0.007793778544555929,-0.12910749629092608,No
2_20_1.25_50_16.csv,2.6275975,0.7704273971960781,24.0,30.0,0.10948322916666665,0.02568091323986927,0.23456481358231712,No,2_60_1_100_16.csv,1.394119124400836,-0.3038813840501351,10.0,14.0,0.1394119124400836,-0.02170581314643822,-0.15569554112362483,No,1_40_0.75_200_18.csv,1.1189030525682617,1.332310060687884,15.0,55.0,0.07459353683788411,0.024223819285234253,0.3247442112562708,No,2_60_1_100_4.csv,4.464813012090695,-0.19892226707909,19,28,0.2349901585310892,-0.0071043666813960715,-0.030232613679675287,No,2_60_1.25_75_6.csv,0.9054987628673841,-0.1324942352574508,15.0,17.0,0.06036658419115894,-0.007793778544555929,-0.12910749629092608,No
2_20_1.25_50_18.csv,2.6275975,0.7704273971960781,24.0,30.0,0.10948322916666665,0.02568091323986927,0.23456481358231712,No,2_60_1_100_18.csv,1.394119124400836,-0.3038813840501351,10.0,14.0,0.1394119124400836,-0.02170581314643822,-0.15569554112362483,No,1_40_0.75_200_20.csv,1.1189030525682617,1.332310060687884,15.0,55.0,0.07459353683788411,0.024223819285234253,0.3247442112562708,No,2_60_1_50_4.csv,4.178906087225073,-0.1958394431926939,21,28,0.19899552796309872,-0.006994265828310496,-0.03514785432568865,No,2_60_0.75_100_6.csv,0.891977466238845,-0.0037720597694625374,17.0,21.0,0.05246926271993206,-0.00017962189378393036,-0.0034233736948565026,No
2_20_1.25_50_20.csv,2.6275975,0.7704273971960781,24.0,30.0,0.10948322916666665,0.02568091323986927,0.23456481358231712,No,2_60_1_100_20.csv,1.394119124400836,-0.3038813840501351,10.0,14.0,0.1394119124400836,-0.02170581314643822,-0.15569554112362483,No,1_40_0.75_200_6.csv,1.1189030525682617,1.332310060687884,15.0,55.0,0.07459353683788411,0.024223819285234253,0.3247442112562708,No,2_60_1_75_4.csv,4.178906087225073,-0.1958394431926939,21,28,0.19899552796309872,-0.006994265828310496,-0.03514785432568865,No,2_60_0.75_50_6.csv,0.8385535236825538,0.08778841290535659,18.0,22.0,0.04658630687125299,0.003990382404788936,0.0856556931163668,No
2_20_1.5_50_10.csv,2.6072005,0.7776796715347539,21.0,28.0,0.12415240476190476,0.027774273983384067,0.2237111237325497,No,2_60_1_100_10.csv,1.3941189729420107,-0.3187498663266055,10.0,15.0,0.13941189729420106,-0.02124999108844037,-0.15242595144944115,No,1_40_0.75_200_8.csv,1.1189030525682617,1.332310060687884,15.0,55.0,0.07459353683788411,0.024223819285234253,0.3247442112562708,No,2_80_0.75_50_4.csv,4.028638490072022,0.5608882130866967,13,17,0.3098952684670786,0.03299342429921745,0.10646636995273283,No,2_60_0.75_75_6.csv,0.8385535236825538,0.00873066061538872,18.0,22.0,0.04658630687125299,0.00039684820979039636,0.00851855913127296,No
2_20_1.5_50_12.csv,2.6072005,0.7776796715347539,21.0,28.0,0.12415240476190476,0.027774273983384067,0.2237111237325497,No,2_60_1_100_8.csv,1.3941188658543875,-0.3187498641741992,10.0,15.0,0.13941188658543874,-0.021249990944946614,-0.15242596212858459,No,3_40_0.75_200_10.csv,1.1189030525682617,1.332310060687884,15.0,55.0,0.07459353683788411,0.024223819285234253,0.3247442112562708,No,2_80_0.75_75_4.csv,4.028638490072022,0.5608882130866967,13,17,0.3098952684670786,0.03299342429921745,0.10646636995273283,No,2_100_0.75_150_4.csv,0.8019147783529296,-0.13959946666300307,11.0,20.0,0.07290134348662997,-0.006979973333150154,-0.09574546914118633,No
2_20_1.5_50_14.csv,2.6072005,0.7776796715347539,21.0,28.0,0.12415240476190476,0.027774273983384067,0.2237111237325497,No,2_60_1.25_125_6.csv,1.314194043769788,-0.31998845348785043,10.0,16.0,0.1314194043769788,-0.019999278342990652,-0.152179036557055,No,3_40_0.75_200_12.csv,1.1189030525682617,1.332310060687884,15.0,55.0,0.07459353683788411,0.024223819285234253,0.3247442112562708,No,2_80_1_100_6.csv,3.832521822288173,0.14638176473827322,9,16,0.42583575803201923,0.009148860296142076,0.02148448110234594,No,2_100_0.75_150_6.csv,0.7447111561374583,-0.08549215412255659,11.0,15.0,0.06770101419431439,-0.005699476941503773,-0.08418599055466472,No
