AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,CountExist,CountPass,TotalExistPercent,ExistPassPercent
1_60_1_200_8.csv,N,,,Y,Yes,1.965767204485894,N,,,Y,Yes,1.5391542069862711,N,2,2,0.4,1.0
3_60_1_200_10.csv,N,,,Y,Yes,1.965767204485894,N,,,Y,Yes,1.5391542069862711,N,2,2,0.4,1.0
3_60_1_200_12.csv,N,,,Y,Yes,1.965767204485894,N,,,Y,Yes,1.5391542069862711,N,2,2,0.4,1.0
3_60_1_200_14.csv,N,,,Y,Yes,1.965767204485894,N,,,Y,Yes,1.5391542069862711,N,2,2,0.4,1.0
3_60_1_200_16.csv,N,,,Y,Yes,1.965767204485894,N,,,Y,Yes,1.5391542069862711,N,2,2,0.4,1.0
3_60_1_200_18.csv,N,,,Y,Yes,1.965767204485894,N,,,Y,Yes,1.5391542069862711,N,2,2,0.4,1.0
3_60_1_200_20.csv,N,,,Y,Yes,1.965767204485894,N,,,Y,Yes,1.5391542069862711,N,2,2,0.4,1.0
3_60_1_200_4.csv,N,,,Y,Yes,1.965767204485894,N,,,Y,Yes,1.5391542069862711,N,2,2,0.4,1.0
3_60_1_200_6.csv,N,,,Y,Yes,1.965767204485894,N,,,Y,Yes,1.5391542069862711,N,2,2,0.4,1.0
3_60_1_200_8.csv,N,,,Y,Yes,1.965767204485894,N,,,Y,Yes,1.5391542069862711,N,2,2,0.4,1.0
2_100_1.25_225_16.csv,N,,,N,,,N,,,Y,Yes,3.043076756673051,N,1,1,0.2,1.0
2_100_1.25_225_18.csv,N,,,N,,,N,,,Y,Yes,3.043076756673051,N,1,1,0.2,1.0
2_100_1.25_225_20.csv,N,,,N,,,N,,,Y,Yes,3.043076756673051,N,1,1,0.2,1.0
2_100_1.25_225_14.csv,N,,,N,,,N,,,Y,Yes,3.043078146626301,N,1,1,0.2,1.0
2_40_1.75_225_12.csv,N,,,Y,No,1.1361179986678147,N,,,Y,Yes,1.556953495680162,N,2,1,0.4,0.5
2_40_1.75_225_14.csv,N,,,Y,No,1.1035525955399779,N,,,Y,Yes,1.5569533394810533,N,2,1,0.4,0.5
2_100_0.75_125_4.csv,N,,,N,,,N,,,Y,Yes,2.241841236117863,N,1,1,0.2,1.0
1_100_1.25_200_10.csv,N,,,Y,No,0.8599154772250235,N,,,Y,Yes,2.2194459613977777,N,2,1,0.4,0.5
1_100_1.25_200_12.csv,N,,,Y,No,0.8599154772250235,N,,,Y,Yes,2.2194459613977777,N,2,1,0.4,0.5
1_100_1.25_200_14.csv,N,,,Y,No,0.8599154772250235,N,,,Y,Yes,2.2194459613977777,N,2,1,0.4,0.5
1_100_1.25_200_16.csv,N,,,Y,No,0.8599154772250235,N,,,Y,Yes,2.2194459613977777,N,2,1,0.4,0.5
1_100_1.25_200_18.csv,N,,,Y,No,0.8599154772250235,N,,,Y,Yes,2.2194459613977777,N,2,1,0.4,0.5
1_100_1.25_200_20.csv,N,,,Y,No,0.8599154772250235,N,,,Y,Yes,2.2194459613977777,N,2,1,0.4,0.5
1_100_1.25_200_4.csv,N,,,Y,No,0.8599154772250235,N,,,Y,Yes,2.2194459613977777,N,2,1,0.4,0.5
1_100_1.25_200_6.csv,N,,,Y,No,0.8599154772250235,N,,,Y,Yes,2.2194459613977777,N,2,1,0.4,0.5
