Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window_6_NetProfit,Window_6_MDD,Score_6,Pass6,Para7,Pass7
2_40_1.75_50_6.csv,1.198745125,-0.02693564690649677,4310361.0,-1884718.0,2.2870058013984056,Yes,No Plateau,No,1_20_1_50_10.csv,0.22535146518557242,-0.06700469293255246,1468527.75,-4902835.0,0.29952624348973605,No,2_20_1.75_75_4.csv,0.23117669976789817,0.1436904755841724,6112067.5,-2037030.0,3.0004798652940803,Yes,2_40_1.5_200_6.csv,0.5152323484971172,0.22665627716922493,6037290.719,-1991989.0,3.0307851694964176,Yes,2_80_1.25_100_16.csv,0.5490812884412838,0.01002574378893183,3177338.5939999996,-1493310.5,2.127714627333029,Yes,No Plateau,No
2_40_1.75_75_6.csv,1.12902575,-0.029259250400736993,4002150.5,-1794018.0,2.2308307385990553,Yes,,,1_20_1_50_12.csv,0.22535146518557242,-0.06700469293255246,1468527.75,-4902835.0,0.29952624348973605,No,2_20_1.75_100_4.csv,0.21158141711102918,0.13965698794073653,6126183.0,-2096701.0,2.921820040148786,Yes,2_40_1.5_225_6.csv,0.5152323007973697,0.1598062741514371,5524665.656,-1886483.0,2.928553109675518,Yes,2_80_1.25_100_18.csv,0.5490812884412838,0.01002574378893183,3177338.5939999996,-1493310.5,2.127714627333029,Yes,,
2_40_1.75_75_4.csv,0.99059075,-0.054064654902831244,2994323.25,-1742884.75,1.7180271099394266,Yes,,,1_20_1_50_14.csv,0.22535146518557242,-0.06700469293255246,1468527.75,-4902835.0,0.29952624348973605,No,2_120_1_200_6.csv,0.19486555335930592,0.14363656288056956,1320989.906,-674560.25,1.9582978777655518,Yes,2_40_1_225_4.csv,0.5137950738027144,0.10038990571231407,2309362.375,-1161698.5,1.9879188748199297,Yes,2_80_1.25_100_20.csv,0.5490812884412838,0.01002574378893183,3177338.5939999996,-1493310.5,2.127714627333029,Yes,,
2_40_1.75_50_4.csv,0.9740559375,-0.052002195660800735,2982571.0,-1678855.25,1.7765504202938283,Yes,,,1_20_1_50_16.csv,0.22535146518557242,-0.06700469293255246,1468527.75,-4902835.0,0.29952624348973605,No,2_120_1_175_6.csv,0.194865546127656,0.14363655546139464,1232077.094,-629157.14,1.9582978808759923,Yes,2_40_1_175_4.csv,0.506249210512934,0.05429548385221565,2257249.766,-1194812.625,1.889208164334554,Yes,2_80_1.25_125_16.csv,0.5490812668775167,0.010025720791014775,3099526.0,-1456740.0,2.1277139365981577,Yes,,
2_40_2_50_6.csv,0.924695,-0.012286266809932108,3588611.25,-1948067.0,1.84213954140181,Yes,,,1_20_1_50_18.csv,0.22535146518557242,-0.06700469293255246,1468527.75,-4902835.0,0.29952624348973605,No,2_120_1_100_6.csv,0.19486550984374496,0.1436365493367584,1367907.656,-698518.688,1.9582978658976122,Yes,2_40_1_200_4.csv,0.5062492060176617,0.10038986433385319,2406784.844,-1214398.0,1.9818748416911096,Yes,2_80_1.25_125_18.csv,0.5490812668775167,0.010025720791014775,3099526.0,-1456740.0,2.1277139365981577,Yes,,
2_40_1.75_50_8.csv,0.9017441875,-0.05226803554482837,2742267.25,-1842696.25,1.4881819236349996,No,,,1_20_1_50_20.csv,0.22535146518557242,-0.06700469293255246,1468527.75,-4902835.0,0.29952624348973605,No,2_120_1_125_6.csv,0.19486550984374496,0.1436365493367584,1367907.656,-698518.688,1.9582978658976122,Yes,2_40_1_150_4.csv,0.49845313226552257,0.05495794343052293,2417047.656,-1283331.0,1.8834171823169548,Yes,2_80_1.25_125_20.csv,0.5490812668775167,0.010025720791014775,3099526.0,-1456740.0,2.1277139365981577,Yes,,
2_40_1.5_75_14.csv,0.862769375,-0.032997948429980724,2967992.75,-2138949.25,1.3875938150472715,No,,,1_20_1_50_4.csv,0.22535146518557242,-0.06700469293255246,1468527.75,-4902835.0,0.29952624348973605,No,2_120_1_150_6.csv,0.19486550984374496,0.1436365493367584,1367907.656,-698518.688,1.9582978658976122,Yes,2_40_1.25_225_6.csv,0.4834272547080076,0.2379645022149876,4306474.539,-1245629.25,3.4572683155923,Yes,2_80_1.25_50_16.csv,0.5490812437875039,0.010025731783976108,5092754.75,-2393533.0,2.127714449727662,Yes,,
2_40_1.5_75_16.csv,0.862769375,-0.032997948429980724,2967992.75,-2138949.25,1.3875938150472715,No,,,1_20_1_50_6.csv,0.22535146518557242,-0.06700469293255246,1468527.75,-4902835.0,0.29952624348973605,No,2_120_1_75_6.csv,0.19486550984374496,0.1436365493367584,1367907.656,-698518.688,1.9582978658976122,Yes,2_40_1.25_200_6.csv,0.4834272190900777,0.16184472286415713,3233894.9689999996,-973459.25,3.322065067438621,Yes,2_80_1.25_50_18.csv,0.5490812437875039,0.010025731783976108,5092754.75,-2393533.0,2.127714449727662,Yes,,
2_40_1.5_75_18.csv,0.862769375,-0.032997948429980724,2967992.75,-2138949.25,1.3875938150472715,No,,,1_20_1_50_8.csv,0.22535146518557242,-0.06700469293255246,1468527.75,-4902835.0,0.29952624348973605,No,2_120_1_50_6.csv,0.19486549149265597,0.14363653270261506,1327161.344,-677711.75,1.9582976744906666,Yes,2_40_1.25_175_6.csv,0.4834271956320024,0.1618447541296427,2966386.438,-892934.5,3.3220649868495395,Yes,2_80_1.25_50_20.csv,0.5490812437875039,0.010025731783976108,5092754.75,-2393533.0,2.127714449727662,Yes,,
2_40_1.5_75_20.csv,0.862769375,-0.032997948429980724,2967992.75,-2138949.25,1.3875938150472715,No,,,3_20_1_50_10.csv,0.22535146518557242,-0.06700469293255246,1468527.75,-4902835.0,0.29952624348973605,No,2_100_1_225_8.csv,0.18515787035539485,0.13678153489151113,1671196.9840000002,-880249.125,1.8985500087830252,Yes,2_40_2_225_6.csv,0.4813279317918083,0.15520448986426472,2509086.813,-507514.0,4.943877041815595,Yes,2_80_1.25_75_16.csv,0.5490812437875039,0.010025731783976108,5092754.75,-2393533.0,2.127714449727662,Yes,,
