Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window_6_NetProfit,Window_6_MDD,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Window_7_NetProfit,Window_7_MDD,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Window_8_NetProfit,Window_8_MDD,Score_8,Pass8,Para9,Pass9
2_40_1_50_4.csv,0.581113625,0.32706661301553835,4435106.5,-1142410.0,3.882237112770371,Yes,2_20_2_50_10.csv,0.47286577003863206,0.019084002486024883,1987500.187,-1000480.125,1.986546396411423,Yes,2_40_1.75_50_6.csv,0.233747818933771,0.32796516283122906,7599451.25,-2992533.5,2.5394707360836564,Yes,2_40_0.75_50_4.csv,1.1816192286081377,-0.16024710188058708,11146522.0,-20950948.0,0.532029481434444,No,No Plateau,No,2_80_1.25_225_16.csv,0.416963689491462,0.06161830753820802,1833632.7340000002,-1029197.25,1.7816144903224336,Yes,2_80_1_125_6.csv,0.33856797391574467,0.1911000033001749,8617106.5,-2747177.0,3.136713251457769,Yes,2_100_1.5_100_8.csv,0.37267807115942103,-0.06079092825155483,2456245.25,-2421225.0,1.0144638561058967,No,No Plateau,No
2_40_0.75_50_4.csv,0.5752647083333333,0.38062924445305757,4838345.0,-1153236.0,4.1954508877627825,Yes,2_20_2_50_12.csv,0.47286577003863206,0.019084002486024883,1987500.187,-1000480.125,1.986546396411423,Yes,2_40_2_75_6.csv,0.18218924647413834,0.284361111949267,3368731.625,-1139217.125,2.957058449239867,Yes,2_40_0.75_75_4.csv,0.9494869786329159,-0.15730903765989063,5711309.0,-11328425.0,0.5041573740391978,No,,,2_80_1.25_225_18.csv,0.416963689491462,0.06161830753820802,1833632.7340000002,-1029197.25,1.7816144903224336,Yes,2_80_1_225_6.csv,0.3385678889479969,0.015263936872822195,4134932.75,-1807612.5,2.2875105975423384,Yes,2_100_1.5_125_8.csv,0.37267807115942103,-0.06079092825155483,2456245.25,-2421225.0,1.0144638561058967,No,,
2_40_1_50_6.csv,0.4143743333333333,0.27888413460459666,3119837.25,-1123448.625,2.7770181747296188,Yes,2_20_2_50_14.csv,0.47286577003863206,0.019084002486024883,1987500.187,-1000480.125,1.986546396411423,Yes,2_40_2_100_6.csv,0.18218921638148267,0.14452247883155864,1734656.562,-882832.437,1.9648763336048558,Yes,2_20_0.75_50_4.csv,0.9348939576852813,-0.07231127370749546,3969977.625,-3264197.25,1.21621866601352,No,,,2_80_1.25_225_20.csv,0.416963689491462,0.06161830753820802,1833632.7340000002,-1029197.25,1.7816144903224336,Yes,2_80_1_175_6.csv,0.3385678769755404,0.0403183299825267,4038172.0,-1581267.5,2.5537564011149283,Yes,2_100_1.5_50_8.csv,0.37267807115942103,-0.06079092825155483,2456245.25,-2421225.0,1.0144638561058967,No,,
2_40_1_75_4.csv,0.37902070833333334,0.3400155989069964,3316965.5,-889937.375,3.7271897924278097,Yes,2_20_2_50_16.csv,0.47286577003863206,0.019084002486024883,1987500.187,-1000480.125,1.986546396411423,Yes,2_40_2_50_6.csv,0.18218920477196765,0.2239184472750874,3074717.625,-1516187.375,2.0279272045778645,Yes,2_20_1.25_75_6.csv,0.929072284712948,-0.11567627186905924,2181484.062,-3046347.0,0.7160983505818608,No,,,2_80_1.25_225_12.csv,0.4169636842262903,0.055009596848532336,1963199.031,-1119122.5,1.7542306860955794,Yes,2_80_1_200_6.csv,0.3385678440475115,0.015263882758115632,4363467.75,-1907519.5,2.287508856397012,Yes,2_100_1.5_75_8.csv,0.37267807115942103,-0.06079092825155483,2456245.25,-2421225.0,1.0144638561058967,No,,
2_40_1.25_75_8.csv,0.37017604166666673,0.3452634831230532,3296593.0,-873382.875,3.774510692117704,Yes,2_20_2_50_18.csv,0.47286577003863206,0.019084002486024883,1987500.187,-1000480.125,1.986546396411423,Yes,2_40_2_100_4.csv,0.17168091101984156,0.1523032840620947,1116667.251,-410803.06200000003,2.7182544491355323,Yes,2_20_1_75_4.csv,0.896506887654881,-0.1248535186330995,1940585.094,-2682084.25,0.7235362177754111,No,,,2_80_1.25_200_16.csv,0.4169636753412006,0.06161832318162741,1351166.625,-758394.437,1.7816146309628058,Yes,2_80_1_150_6.csv,0.3385678434579705,0.19110000017929174,5106849.875,-1628090.0,3.1367122671351093,Yes,2_100_1.5_150_8.csv,0.3726778460144684,-0.06079091648924169,2274147.25,-2241723.0,1.014463985960799,No,,
2_40_1.25_75_4.csv,0.35192920833333335,0.2941506624093365,2869921.5,-739401.625,3.881410863818429,Yes,2_20_2_50_20.csv,0.47286577003863206,0.019084002486024883,1987500.187,-1000480.125,1.986546396411423,Yes,2_40_2_50_4.csv,0.17168089708530188,0.25321798250850014,2057671.1090000002,-662561.875,3.10562860110235,Yes,2_20_1.25_75_4.csv,0.8823614039732757,-0.08001801336378384,3021038.0,-2680223.25,1.1271590901989228,No,,,2_80_1.25_200_18.csv,0.4169636753412006,0.06161832318162741,1351166.625,-758394.437,1.7816146309628058,Yes,2_80_1_100_6.csv,0.3385678486134885,0.13946230536746043,7625819.5,-2559917.0,2.9789323247589667,Yes,2_120_1.75_100_8.csv,0.3712919430651483,-0.05053965024395336,1867145.625,-1387642.0,1.3455528335118137,No,,
2_40_1_50_10.csv,0.34973499999999996,0.30977578296623975,2953587.25,-1078113.625,2.7395880930453873,Yes,2_20_2_50_8.csv,0.47286577003863206,0.019084002486024883,1987500.187,-1000480.125,1.986546396411423,Yes,2_40_2_75_4.csv,0.17168088747653276,0.29441890350395217,2130930.812,-660143.75,3.2279799846624315,Yes,2_20_0.75_50_6.csv,0.8676730270703634,-0.0909451395596096,3078269.75,-2968591.75,1.0369461378446532,No,,,2_80_1.25_200_20.csv,0.4169636753412006,0.06161832318162741,1351166.625,-758394.437,1.7816146309628058,Yes,2_80_1_50_6.csv,0.3385678486134885,0.13946230536746043,7625819.5,-2559917.0,2.9789323247589667,Yes,2_120_1.75_125_8.csv,0.3712919430651483,-0.05053965024395336,1867145.625,-1387642.0,1.3455528335118137,No,,
2_40_0.75_50_6.csv,0.34737641666666663,0.29932218214558814,2875893.0,-1149967.875,2.5008463823391587,Yes,2_40_0.75_75_4.csv,0.46660150308931075,0.13338119605690113,3886152.625,-1264882.0,3.0723440012586156,Yes,2_40_1.75_100_6.csv,0.20551137163061167,0.1876409682735154,3683422.0,-1636804.0,2.250374510326221,Yes,2_20_1.25_75_10.csv,0.8645643120181594,-0.09357794975595661,2944994.5,-3068613.0,0.9597151872849394,No,,,2_80_1.25_100_16.csv,0.4169636573186616,0.06161834168779659,2379839.187,-1335776.75,1.7816144703821204,Yes,2_80_1_75_6.csv,0.3385678486134885,0.13946230536746043,7625819.5,-2559917.0,2.9789323247589667,Yes,2_120_1.75_50_8.csv,0.3712919430651483,-0.05053965024395336,1867145.625,-1387642.0,1.3455528335118137,No,,
2_40_1.5_50_10.csv,0.34299418766666667,0.4387995138888403,3699932.25,-721969.437,5.124776840103274,Yes,2_40_1.5_75_10.csv,0.4539393706115501,0.08747794118933061,3957775.375,-1252452.25,3.1600209708593683,Yes,2_40_1.75_75_6.csv,0.2055113912114599,0.3996932605320331,8117578.0,-3032531.5,2.676832210976209,Yes,2_20_1.25_75_12.csv,0.8645643120181594,-0.09357794975595661,2944994.5,-3068613.0,0.9597151872849394,No,,,2_80_1.25_100_18.csv,0.4169636573186616,0.06161834168779659,2379839.187,-1335776.75,1.7816144703821204,Yes,2_80_0.75_50_4.csv,0.324748477378334,0.08960604297267777,5691327.5,-2937515.0,1.9374632980597546,Yes,2_120_1.75_75_8.csv,0.3712919430651483,-0.05053965024395336,1867145.625,-1387642.0,1.3455528335118137,No,,
2_40_1.25_75_10.csv,0.33240770833333333,0.3452634392063731,3065927.5,-826494.875,3.709554157852461,Yes,2_40_1.75_75_10.csv,0.4496703456578831,0.11155438836981196,3835283.375,-877945.25,4.368476707402882,Yes,2_40_1.5_50_6.csv,0.1667677602375936,0.28192559759713315,3354875.062,-1873351.875,1.7908408488394632,Yes,2_20_1.25_75_14.csv,0.8645643120181594,-0.09357794975595661,2944994.5,-3068613.0,0.9597151872849394,No,,,2_80_1.25_100_20.csv,0.4169636573186616,0.06161834168779659,2379839.187,-1335776.75,1.7816144703821204,Yes,2_80_0.75_75_4.csv,0.324748477378334,0.08960604297267777,5691327.5,-2937515.0,1.9374632980597546,Yes,2_120_1.75_150_8.csv,0.37129187855568285,-0.05053965382887841,1752518.5,-1302452.5,1.3455527168937063,No,,
