Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,OutSamplePass3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,OutSamplePass6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,OutSamplePass7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,OutSamplePass8,Pass8,Para9,Pass9
2_40_1_50_4.csv,0.581113625,0.32706661301553835,Yes,Yes,2_20_2_50_10.csv,0.47286577003863206,0.019084002486024883,No,No,2_40_1.75_50_6.csv,0.233747818933771,0.32796516283122906,Yes,Yes,2_40_0.75_50_4.csv,1.1816192286081377,-0.16024710188058708,No,No,No Plateau,No,2_80_1.25_225_16.csv,0.416963689491462,0.06161830753820802,No,No,2_80_1_125_6.csv,0.33856797391574467,0.1911000033001749,Yes,Yes,2_100_1.5_100_8.csv,0.37267807115942103,-0.06079092825155483,No,No,No Plateau,No
2_40_0.75_50_4.csv,0.5752647083333333,0.38062924445305757,Yes,,2_20_2_50_12.csv,0.47286577003863206,0.019084002486024883,No,,2_40_2_75_6.csv,0.18218924647413834,0.284361111949267,Yes,,2_40_0.75_75_4.csv,0.9494869786329159,-0.15730903765989063,No,,,,2_80_1.25_225_18.csv,0.416963689491462,0.06161830753820802,No,,2_80_1_225_6.csv,0.3385678889479969,0.015263936872822195,No,,2_100_1.5_125_8.csv,0.37267807115942103,-0.06079092825155483,No,,,
2_40_1_50_6.csv,0.4143743333333333,0.27888413460459666,Yes,,2_20_2_50_14.csv,0.47286577003863206,0.019084002486024883,No,,2_40_2_100_6.csv,0.18218921638148267,0.14452247883155864,Yes,,2_20_0.75_50_4.csv,0.9348939576852813,-0.07231127370749546,No,,,,2_80_1.25_225_20.csv,0.416963689491462,0.06161830753820802,No,,2_80_1_175_6.csv,0.3385678769755404,0.0403183299825267,No,,2_100_1.5_50_8.csv,0.37267807115942103,-0.06079092825155483,No,,,
2_40_1_75_4.csv,0.37902070833333334,0.3400155989069964,Yes,,2_20_2_50_16.csv,0.47286577003863206,0.019084002486024883,No,,2_40_2_50_6.csv,0.18218920477196765,0.2239184472750874,Yes,,2_20_1.25_75_6.csv,0.929072284712948,-0.11567627186905924,No,,,,2_80_1.25_225_12.csv,0.4169636842262903,0.055009596848532336,No,,2_80_1_200_6.csv,0.3385678440475115,0.015263882758115632,No,,2_100_1.5_75_8.csv,0.37267807115942103,-0.06079092825155483,No,,,
2_40_1.25_75_8.csv,0.37017604166666673,0.3452634831230532,Yes,,2_20_2_50_18.csv,0.47286577003863206,0.019084002486024883,No,,2_40_2_100_4.csv,0.17168091101984156,0.1523032840620947,Yes,,2_20_1_75_4.csv,0.896506887654881,-0.1248535186330995,No,,,,2_80_1.25_200_16.csv,0.4169636753412006,0.06161832318162741,No,,2_80_1_150_6.csv,0.3385678434579705,0.19110000017929174,Yes,,2_100_1.5_150_8.csv,0.3726778460144684,-0.06079091648924169,No,,,
2_40_1.25_75_4.csv,0.35192920833333335,0.2941506624093365,Yes,,2_20_2_50_20.csv,0.47286577003863206,0.019084002486024883,No,,2_40_2_50_4.csv,0.17168089708530188,0.25321798250850014,Yes,,2_20_1.25_75_4.csv,0.8823614039732757,-0.08001801336378384,No,,,,2_80_1.25_200_18.csv,0.4169636753412006,0.06161832318162741,No,,2_80_1_100_6.csv,0.3385678486134885,0.13946230536746043,Yes,,2_120_1.75_100_8.csv,0.3712919430651483,-0.05053965024395336,No,,,
2_40_1_50_10.csv,0.34973499999999996,0.30977578296623975,Yes,,2_20_2_50_8.csv,0.47286577003863206,0.019084002486024883,No,,2_40_2_75_4.csv,0.17168088747653276,0.29441890350395217,Yes,,2_20_0.75_50_6.csv,0.8676730270703634,-0.0909451395596096,No,,,,2_80_1.25_200_20.csv,0.4169636753412006,0.06161832318162741,No,,2_80_1_50_6.csv,0.3385678486134885,0.13946230536746043,Yes,,2_120_1.75_125_8.csv,0.3712919430651483,-0.05053965024395336,No,,,
2_40_0.75_50_6.csv,0.34737641666666663,0.29932218214558814,Yes,,2_40_0.75_75_4.csv,0.46660150308931075,0.13338119605690113,Yes,,2_40_1.75_100_6.csv,0.20551137163061167,0.1876409682735154,Yes,,2_20_1.25_75_10.csv,0.8645643120181594,-0.09357794975595661,No,,,,2_80_1.25_100_16.csv,0.4169636573186616,0.06161834168779659,No,,2_80_1_75_6.csv,0.3385678486134885,0.13946230536746043,Yes,,2_120_1.75_50_8.csv,0.3712919430651483,-0.05053965024395336,No,,,
2_40_1.5_50_10.csv,0.34299418766666667,0.4387995138888403,Yes,,2_40_1.5_75_10.csv,0.4539393706115501,0.08747794118933061,No,,2_40_1.75_75_6.csv,0.2055113912114599,0.3996932605320331,Yes,,2_20_1.25_75_12.csv,0.8645643120181594,-0.09357794975595661,No,,,,2_80_1.25_100_18.csv,0.4169636573186616,0.06161834168779659,No,,2_80_0.75_50_4.csv,0.324748477378334,0.08960604297267777,No,,2_120_1.75_75_8.csv,0.3712919430651483,-0.05053965024395336,No,,,
2_40_1.25_75_10.csv,0.33240770833333333,0.3452634392063731,Yes,,2_40_1.75_75_10.csv,0.4496703456578831,0.11155438836981196,Yes,,2_40_1.5_50_6.csv,0.1667677602375936,0.28192559759713315,Yes,,2_20_1.25_75_14.csv,0.8645643120181594,-0.09357794975595661,No,,,,2_80_1.25_100_20.csv,0.4169636573186616,0.06161834168779659,No,,2_80_0.75_75_4.csv,0.324748477378334,0.08960604297267777,No,,2_120_1.75_150_8.csv,0.37129187855568285,-0.05053965382887841,No,,,
