Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Score_6,Pass6,Para7,Pass7
2_40_1.25_50_8.csv,0.48743834374999995,0.04483043222215145,0.21422324787771466,No,2_120_0.75_200_4.csv,0.20926968789002226,0.020167636267437762,0.040494143341686044,No,2_20_1.25_50_4.csv,0.4980383483420838,0.0844775422821216,0.4308726145569946,No,2_20_0.75_50_4.csv,0.19606152590830556,0.17243172395993828,0.6145792691648693,Yes,2_100_1.75_225_4.csv,0.2805687282517158,0.03711685324370939,0.16052538907571348,No,2_100_0.75_150_4.csv,0.2312210763506954,-0.039723447668359016,-1.2907191580380242,No,No Plateau,No
2_40_1.25_50_6.csv,0.47739353124999995,-0.04903287392617983,-0.23430471187950236,No,2_120_0.75_225_4.csv,0.20926967347147424,0.031097919868876917,0.06244081399027317,No,2_20_1.5_150_4.csv,0.47472958898957474,0.017095722590893953,0.0871957030411676,No,1_80_0.75_150_4.csv,0.17064631874455022,0.09086508597171786,0.3238603480069351,No,2_100_1.75_125_4.csv,0.28056869064512796,0.04462800223517363,0.1930100963956908,No,2_100_0.75_50_4.csv,0.23122107625978955,-0.038514543819057286,-1.2514386964943367,No,,
2_40_1.25_50_4.csv,0.47566106250000006,-0.08093243875821159,-0.3867375135607442,No,2_120_0.75_200_6.csv,0.19805813859288635,0.01799931278220643,0.036140415375862454,No,2_20_1_50_4.csv,0.46587426436562995,0.02789399459395934,0.142271638786555,No,3_80_0.75_150_4.csv,0.17064631874455022,0.09086508597171786,0.3238603480069351,No,2_100_1.75_150_4.csv,0.2805686758238189,0.04462801325781722,0.1930101440671391,No,2_100_0.75_100_4.csv,0.23122106279802396,-0.03851457150986506,-1.251439596241418,No,,
2_60_1.25_50_4.csv,0.45227534375,0.040814219903331186,0.19503168526148265,No,2_120_0.75_225_6.csv,0.19805810128657553,0.028841836465263143,0.05791087485783056,No,2_20_1.25_150_4.csv,0.47158466668734295,0.17278062365239105,0.8812571607406872,Yes,2_20_1.25_150_4.csv,0.17278062365239105,0.07041232051678117,0.2509628245290867,No,2_100_1.75_100_4.csv,0.2805686826556583,0.044627976313654144,0.19300998428861174,No,2_100_0.75_125_4.csv,0.23122106279802396,-0.03851457150986506,-1.251439596241418,No,,
2_40_1.25_50_10.csv,0.45199556249999995,0.03683930872426277,0.17603748108816836,No,2_120_1.25_225_14.csv,0.19657233228063759,0.16317834230035394,0.32764212403205645,No,2_20_1.5_50_4.csv,0.44825863144625044,-0.046068429152853675,-0.23496924722707763,No,2_20_1_225_10.csv,0.160522423872714,0.09072261313824008,0.3233525478883504,No,2_100_1.75_50_4.csv,0.2805686826556583,0.044627976313654144,0.19300998428861174,No,2_100_0.75_75_4.csv,0.23122106279802396,-0.03851457150986506,-1.251439596241418,No,,
2_40_1.25_50_12.csv,0.40276471875,0.031371683451603516,0.1499103084059343,No,2_120_1.25_225_16.csv,0.19657233228063759,0.16317834230035394,0.32764212403205645,No,2_20_1.25_50_6.csv,0.44188266089262057,0.049430033015413426,0.25211490518820595,No,2_20_1_225_12.csv,0.160522423872714,0.09072261313824008,0.3233525478883504,No,2_100_1.75_75_4.csv,0.2805686826556583,0.044627976313654144,0.19300998428861174,No,2_100_0.75_200_4.csv,0.17698241523215413,-0.03874348185833841,-1.2588774947520012,No,,
2_40_1.25_50_14.csv,0.40276471875,0.031371683451603516,0.1499103084059343,No,2_120_1.25_225_18.csv,0.19657233228063759,0.16317834230035394,0.32764212403205645,No,2_20_1_125_4.csv,0.4181689022444143,0.048623733227095386,0.24800242169822553,No,2_20_1_225_14.csv,0.160522423872714,0.09072261313824008,0.3233525478883504,No,2_100_1.75_200_4.csv,0.2805686603110101,0.058805040382526805,0.2543238761388807,No,2_100_0.75_225_4.csv,0.17698240838328128,-0.03874346192264467,-1.2588768469889455,No,,
2_40_1.25_50_16.csv,0.40276471875,0.031371683451603516,0.1499103084059343,No,2_120_1.25_225_20.csv,0.19657233228063759,0.16317834230035394,0.32764212403205645,No,2_20_1.25_150_6.csv,0.41741510650034414,0.15600203825205822,0.7956789968321565,Yes,2_20_1_225_16.csv,0.160522423872714,0.09072261313824008,0.3233525478883504,No,2_100_1.75_175_4.csv,0.2805686273050053,0.04462800623158542,0.1930101136796333,No,2_100_0.75_175_4.csv,0.17698239868180526,-0.039723428134897355,-1.2907185233445455,No,,
2_40_1.25_50_18.csv,0.40276471875,0.031371683451603516,0.1499103084059343,No,2_120_1_225_8.csv,0.1869955099604922,0.09053915939288947,0.18179154214571816,No,2_20_1.25_50_10.csv,0.3969385984111087,0.01409254443922154,0.07187817382292722,No,2_20_1_225_18.csv,0.160522423872714,0.09072261313824008,0.3233525478883504,No,2_120_1.75_225_4.csv,0.24766527369158692,-0.01368317345604787,-0.059177881497667756,No,2_120_1_100_4.csv,0.17488030540516492,-0.06344579082852675,-2.061520399813664,No,,
2_40_1.25_50_20.csv,0.40276471875,0.031371683451603516,0.1499103084059343,No,2_120_1_225_10.csv,0.1869955094171794,0.11009779762828567,0.22106289203371066,No,2_20_1.25_50_12.csv,0.3969385984111087,0.01409254443922154,0.07187817382292722,No,2_20_1_225_20.csv,0.160522423872714,0.09072261313824008,0.3233525478883504,No,2_120_1.75_175_4.csv,0.24766527644294506,-0.013683205446625038,-0.05917801985260353,No,2_120_1_125_4.csv,0.17488030540516492,-0.06344579082852675,-2.061520399813664,No,,
2_40_1.75_50_6.csv,0.38183575000000003,-0.026318845522748595,-0.12576520655290874,No,2_120_1_225_12.csv,0.1869955094171794,0.11009779762828567,0.22106289203371066,No,2_20_1.25_50_14.csv,0.3969385984111087,0.01409254443922154,0.07187817382292722,No,2_20_1_225_8.csv,0.160522423872714,0.09072261313824008,0.3233525478883504,No,2_120_1.75_100_4.csv,0.24766527941860833,-0.013683200576737227,-0.05917799879099493,No,2_120_1_150_4.csv,0.17488030540516492,-0.06344579082852675,-2.061520399813664,No,,
2_40_1.25_75_8.csv,0.367145625,-0.00806964877617013,-0.038561001631597216,No,2_120_1_225_14.csv,0.1869955094171794,0.11009779762828567,0.22106289203371066,No,2_20_1.25_50_16.csv,0.3969385984111087,0.01409254443922154,0.07187817382292722,No,2_20_1.25_225_4.csv,0.15892348597442635,0.07041236737636981,0.25096299154552126,No,2_120_1.75_125_4.csv,0.24766527941860833,-0.013683200576737227,-0.05917799879099493,No,2_120_1_75_4.csv,0.17488030540516492,-0.06344579082852675,-2.061520399813664,No,,
2_80_1.5_50_4.csv,0.36134353125,0.0310647890126015,0.1484438062952066,No,2_120_1_225_16.csv,0.1869955094171794,0.11009779762828567,0.22106289203371066,No,2_20_1.25_50_18.csv,0.3969385984111087,0.01409254443922154,0.07187817382292722,No,2_20_1.25_150_6.csv,0.15600203825205822,0.0712206359748262,0.2538438136652586,No,2_120_1.75_50_4.csv,0.24766527941860833,-0.013683200576737227,-0.05917799879099493,No,2_120_1_50_4.csv,0.17488029483425546,-0.06344578468421191,-2.0615202001687356,No,,
2_80_1.5_75_4.csv,0.36134353125,0.0310647890126015,0.1484438062952066,No,2_120_1_225_18.csv,0.1869955094171794,0.11009779762828567,0.22106289203371066,No,2_20_1.25_50_20.csv,0.3969385984111087,0.01409254443922154,0.07187817382292722,No,2_20_1_225_4.csv,0.15360245539705483,0.08069428731245906,0.2876096983974551,No,2_120_1.75_75_4.csv,0.24766527941860833,-0.013683200576737227,-0.05917799879099493,No,2_120_1_175_4.csv,0.1748802515318057,-0.07035231362224315,-2.2859314670427717,No,,
2_40_1.25_75_6.csv,0.35873928125,-0.08509151367500978,-0.4066117483757947,No,2_120_1_225_20.csv,0.1869955094171794,0.11009779762828567,0.22106289203371066,No,2_20_1.25_50_8.csv,0.3969385984111087,0.01409254443922154,0.07187817382292722,No,1_80_0.75_125_4.csv,0.13309586644844756,0.09086503667510956,0.3238601723045017,No,2_120_1.75_200_4.csv,0.24766525181955742,-0.013683208972538297,-0.05917803510170329,No,2_120_0.75_50_4.csv,0.17426763294152214,-0.04244919601271903,-1.3792858815870033,No,,
2_40_1.25_75_4.csv,0.35728940625,-0.11126748104705639,-0.5316942084108366,No,2_120_0.75_225_10.csv,0.1842868613081359,0.11436317475183194,0.22962724684241503,No,2_20_1_100_4.csv,0.4020628474841943,0.0558194280540997,0.2847036296158445,No,3_80_0.75_125_4.csv,0.13309586644844756,0.09086503667510956,0.3238601723045017,No,2_120_1.75_150_4.csv,0.24766520513457407,-0.013683237099241678,-0.05917815674590556,No,2_120_0.75_100_4.csv,0.17426760727764062,-0.042449218707677955,-1.3792866190058326,No,,
1_40_1_50_10.csv,0.3536554375,0.010382125585508372,0.04961122506650656,No,2_120_0.75_225_12.csv,0.1842868613081359,0.11436317475183194,0.22962724684241503,No,2_20_1_75_4.csv,0.3923940251587402,0.06433062169452645,0.32811445997125904,No,1_80_0.75_100_4.csv,0.13309584592432558,0.09086500744832854,0.3238600681347276,No,2_80_1.75_225_4.csv,0.23737320925557598,0.014472382858444034,0.06259110582328666,No,2_120_0.75_125_4.csv,0.17426760727764062,-0.042449218707677955,-1.3792866190058326,No,,
1_40_1_50_12.csv,0.3536554375,0.010382125585508372,0.04961122506650656,No,2_120_0.75_225_14.csv,0.1842868613081359,0.11436317475183194,0.22962724684241503,No,2_20_1_50_6.csv,0.3889755020657276,-0.00034134156311890046,-0.0017409920765313054,No,1_80_0.75_50_4.csv,0.13309584592432558,0.09086500744832854,0.3238600681347276,No,2_80_1.75_150_4.csv,0.23737317572780559,0.03616773273023336,0.1564205707414356,No,2_120_0.75_150_4.csv,0.17426760727764062,-0.04363557731845472,-1.4178345265292938,No,,
1_40_1_50_14.csv,0.3536554375,0.010382125585508372,0.04961122506650656,No,2_120_0.75_225_16.csv,0.1842868613081359,0.11436317475183194,0.22962724684241503,No,2_20_1.5_150_6.csv,0.37583093296968184,0.0031109224481447296,0.015867072510700207,No,1_80_0.75_75_4.csv,0.13309584592432558,0.09086500744832854,0.3238600681347276,No,2_80_1.75_175_4.csv,0.23737317556283433,0.017269852789776184,0.07468978633928139,No,2_120_0.75_75_4.csv,0.17426760727764062,-0.042449218707677955,-1.3792866190058326,No,,
