Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window2_GrossProfit,Window2_GrossLoss,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window3_GrossProfit,Window3_GrossLoss,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window6_GrossProfit,Window6_GrossLoss,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Window7_GrossProfit,Window7_GrossLoss,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Window8_GrossProfit,Window8_GrossLoss,Score_8,Pass8,Para9,InSample9_Annual_RateOfReturn,OutSample9_Annual_RateOfReturn,Window9_GrossProfit,Window9_GrossLoss,Score_9,Pass9
2_40_1.5_50_4.csv,0.23956245833333334,0.2026796515761532,8309881.456,-6546165.206,1.2694273967273901,No,2_40_1_125_6.csv,0.6053506048454739,-0.013145193513203195,8797774.873,-7349404.42,1.1970731735837719,No,1_40_1.5_100_10.csv,0.15443372770230096,0.04137605666553586,6046601.657000001,-5008545.72,1.207256955418189,No,2_100_0.75_175_10.csv,0.26910481552963583,-0.10351958861891747,9899150.622000001,-9508155.809,1.0411220452056436,No,2_100_1.5_150_4.csv,0.1185418180267249,0.001652063033183168,5231675.8719999995,-4655388.9969999995,1.1237891990060052,No,2_20_1.5_200_4.csv,0.24946271015419938,0.2148484282726852,12265232.625,-8737810.5,1.4036963407480627,No,2_60_1.5_150_4.csv,0.4532279441616202,-0.0217644684187476,7662269.272000001,-6352708.288,1.2061421561688432,No,2_100_1.25_150_4.csv,0.36835313537050285,-0.05829078976121396,15945470.75,-14067080.5,1.1335309234919073,No,2_20_1.75_125_4.csv,0.14088896438163823,0.1076966979758203,15698908.75,-11278461.75,1.3919370476208779,No
2_40_1.5_75_4.csv,0.21713483333333333,0.21010365722026308,7793650.168,-6101347.293,1.2773654397515706,No,2_40_1_125_4.csv,0.6041259410883522,-0.002508980572592672,9302926.401,-7662089.167,1.2141501094854068,No,1_40_1.5_100_12.csv,0.15443372770230096,0.04137605666553586,6046601.657000001,-5008545.72,1.207256955418189,No,2_100_0.75_175_12.csv,0.26910481552963583,-0.10351958861891747,9899150.622000001,-9508155.809,1.0411220452056436,No,2_100_1.5_175_4.csv,0.11854181221577259,0.0016520497479874411,3848757.046,-3424803.421,1.1237891852129167,No,2_20_1.5_175_4.csv,0.2494626539517044,0.21484833420376792,10609878.249,-7558529.062000001,1.4036961638925822,No,2_60_1.5_125_4.csv,0.4532279215475256,-0.02176448814699696,8180189.842999999,-6782110.967999999,1.206142140934666,No,2_100_1.25_100_4.csv,0.368353123842617,-0.05829080001441568,24202143.0,-21351110.0,1.1335309030771703,No,1_20_0.75_75_10.csv,0.11580964847009641,0.025177872748611475,12838254.5,-10560203.0,1.215720426965277,No
2_120_1.75_100_10.csv,0.17555472933333333,0.37147414285627206,10306689.975,-8078676.975,1.2757893411129984,No,2_40_1_100_6.csv,0.6030161216643772,0.013099695515127442,9846378.173,-8105505.376,1.2147765890273343,No,1_40_1.5_100_14.csv,0.15443372770230096,0.04137605666553586,6046601.657000001,-5008545.72,1.207256955418189,No,2_100_0.75_175_14.csv,0.26910481552963583,-0.10351958861891747,9899150.622000001,-9508155.809,1.0411220452056436,No,2_100_1.5_200_4.csv,0.11854179393407586,0.0016520459701452684,5467532.124,-4865264.999,1.123789171838284,No,2_20_1.5_150_4.csv,0.2494626494977153,0.23943308928397322,13140017.687,-9055310.625,1.4510841462161328,No,2_60_1.5_175_4.csv,0.4532278699216735,-0.03780342177054974,5124604.565,-4275896.518,1.1984865731495704,No,2_100_1.25_50_4.csv,0.368353123842617,-0.05829080001441568,24202143.0,-21351110.0,1.1335309030771703,No,1_20_0.75_75_12.csv,0.11580964847009641,0.025177872748611475,12838254.5,-10560203.0,1.215720426965277,No
2_120_1.75_50_10.csv,0.17555472933333333,0.37147414285627206,10306689.975,-8078676.975,1.2757893411129984,No,2_40_1_100_4.csv,0.6017944754103907,0.024607754563238757,10428388.519,-8460100.011,1.2326554657085365,No,1_40_1.5_100_16.csv,0.15443372770230096,0.04137605666553586,6046601.657000001,-5008545.72,1.207256955418189,No,2_100_0.75_175_16.csv,0.26910481552963583,-0.10351958861891747,9899150.622000001,-9508155.809,1.0411220452056436,No,2_100_1.5_125_4.csv,0.11854179622840101,0.0016520656982229542,5842126.937000001,-5198596.687,1.1237892240437233,No,2_20_1.5_225_4.csv,0.24946261557203703,0.21484838941337892,10345586.873,-7370247.061000001,1.4036960752298449,No,2_60_1.5_200_4.csv,0.4532278755845778,-0.03780339123069292,6127175.753,-5112427.268999999,1.1984866347445344,No,2_100_1.25_75_4.csv,0.368353123842617,-0.05829080001441568,24202143.0,-21351110.0,1.1335309030771703,No,1_20_0.75_75_14.csv,0.11580964847009641,0.025177872748611475,12838254.5,-10560203.0,1.215720426965277,No
2_120_1.75_75_10.csv,0.17555472933333333,0.37147414285627206,10306689.975,-8078676.975,1.2757893411129984,No,2_100_1_200_6.csv,0.5907451323697974,0.02767412562658094,8163544.647000001,-6777388.802999999,1.2045265343765466,No,1_40_1.5_100_18.csv,0.15443372770230096,0.04137605666553586,6046601.657000001,-5008545.72,1.207256955418189,No,2_100_0.75_175_18.csv,0.26910481552963583,-0.10351958861891747,9899150.622000001,-9508155.809,1.0411220452056436,No,2_100_1.5_100_4.csv,0.11854181305293524,0.0016520542234602189,6940271.375,-6175776.875,1.1237892034433319,No,2_20_1.5_100_4.csv,0.2470577698562499,0.20713161247193523,18064262.75,-12602066.75,1.4334365234178752,No,2_60_1.5_225_4.csv,0.4532278630730803,-0.01801059936577027,6976373.597,-5704241.035,1.2230152187108623,No,2_100_1.25_125_4.csv,0.36835312165320255,-0.05829077406399834,21425708.5,-18901741.5,1.1335309235924107,No,1_20_0.75_75_16.csv,0.11580964847009641,0.025177872748611475,12838254.5,-10560203.0,1.215720426965277,No
2_40_1.5_125_4.csv,0.1657865,0.2380072777000669,5831753.834,-4265246.959,1.3672722564620907,No,2_100_1_175_6.csv,0.5907451321682673,0.01808092920329815,7678344.617000001,-6419160.397999999,1.1961602672200435,No,1_40_1.5_100_20.csv,0.15443372770230096,0.04137605666553586,6046601.657000001,-5008545.72,1.207256955418189,No,2_100_0.75_175_20.csv,0.26910481552963583,-0.10351958861891747,9899150.622000001,-9508155.809,1.0411220452056436,No,2_100_1.5_50_4.csv,0.11854181305293524,0.0016520542234602189,6940271.375,-6175776.875,1.1237892034433319,No,2_20_1.5_125_4.csv,0.24705775370451363,0.29633942612840675,11149804.187,-7138288.0,1.561971748267932,Yes,2_60_1.5_50_4.csv,0.4532278760213025,-0.020032145948147114,14586974.25,-12109991.625,1.20454040776432,No,2_60_0.75_50_4.csv,0.3433184561950957,-0.047809661516959805,43526468.75,-39810275.5,1.093347589367976,No,1_20_0.75_75_18.csv,0.11580964847009641,0.025177872748611475,12838254.5,-10560203.0,1.215720426965277,No
2_120_1.75_100_4.csv,0.16402650000000002,0.35716464281338,7028501.256,-4937667.631,1.4234455984589134,No,2_40_1_150_6.csv,0.5893580578341643,-0.00808474950571573,8974548.111,-7477437.017000001,1.2002171453395472,No,1_40_1.5_100_4.csv,0.15443372770230096,0.04137605666553586,6046601.657000001,-5008545.72,1.207256955418189,No,2_100_0.75_175_8.csv,0.26910477923804316,-0.10351958824540788,9952948.999,-9559829.311,1.0411220404895365,No,2_100_1.5_75_4.csv,0.11854181305293524,0.0016520542234602189,6940271.375,-6175776.875,1.1237892034433319,No,2_20_1.5_50_4.csv,0.24296653723426762,0.21484840752183507,14877925.875,-10599617.0,1.4036286287513973,No,2_60_1.5_75_4.csv,0.4532278760213025,-0.020032145948147114,14586974.25,-12109991.625,1.20454040776432,No,2_60_0.75_75_4.csv,0.3433184238689545,-0.047809666113700286,37424560.5,-34229334.5,1.09334759342166,No,1_20_0.75_75_20.csv,0.11580964847009641,0.025177872748611475,12838254.5,-10560203.0,1.215720426965277,No
2_120_1.75_50_4.csv,0.16402650000000002,0.35716464281338,7028501.256,-4937667.631,1.4234455984589134,No,2_40_1_150_4.csv,0.5881542006272764,0.0027195322028574494,9487482.91,-7791356.371,1.2176933589269652,No,1_40_1.5_100_6.csv,0.15443372770230096,0.04137605666553586,6046601.657000001,-5008545.72,1.207256955418189,No,2_100_0.75_175_6.csv,0.26892866282085937,-0.10351957858972344,11752050.500999998,-11280110.625999998,1.0418382310819014,No,2_40_2_50_14.csv,0.11057855393064792,0.08349838579299743,8416831.561,-7281937.561000001,1.1558505535776866,No,2_20_1.5_75_4.csv,0.24058848183371048,0.15881179552306687,13913109.625,-10214145.625,1.362141302444961,No,2_60_1.5_100_4.csv,0.45322785022354123,-0.020032108893592505,11656888.809,-9677457.309,1.2045404528066619,No,2_60_0.75_50_6.csv,0.3101990513888043,-0.047809677692201,45795545.5,-42216720.5,1.0847726909531024,No,1_20_0.75_75_4.csv,0.11580964847009641,0.025177872748611475,12838254.5,-10560203.0,1.215720426965277,No
2_120_1.75_75_4.csv,0.16402650000000002,0.35716464281338,7028501.256,-4937667.631,1.4234455984589134,No,2_40_1_125_14.csv,0.5835839922175324,-0.026095615232487115,6795506.596,-5750920.971,1.181637972468671,No,1_40_1.5_100_8.csv,0.15443372770230096,0.04137605666553586,6046601.657000001,-5008545.72,1.207256955418189,No,2_100_0.75_200_10.csv,0.2628359907081307,-0.10351956975485119,9141684.999,-8750192.374,1.0447410306273113,No,2_40_2_50_16.csv,0.11057851464405466,0.08349842605196393,8346980.56,-7221504.685,1.155850605115269,No,2_20_1.75_200_10.csv,0.21384920830950377,0.143658320449184,8810684.933,-6800115.307999999,1.2956669900339286,No,2_60_2_100_4.csv,0.44302430886506305,-0.05179080560481859,5498932.391,-4524015.0819999995,1.2154982446630138,No,2_60_0.75_75_6.csv,0.31019896753440496,-0.04780966839815402,39375538.5,-36298424.0,1.0847726749789468,No,1_20_0.75_75_6.csv,0.11580964847009641,0.025177872748611475,12838254.5,-10560203.0,1.215720426965277,No
2_40_1.5_150_4.csv,0.15394969799999997,0.24642195979407067,5592048.735,-4049504.485,1.380921728995196,No,2_40_1_125_16.csv,0.5835839922175324,-0.026095615232487115,6795506.596,-5750920.971,1.181637972468671,No,3_40_1.5_100_10.csv,0.15443372770230096,0.04137605666553586,6046601.657000001,-5008545.72,1.207256955418189,No,2_100_0.75_200_12.csv,0.2628359907081307,-0.10351956975485119,9141684.999,-8750192.374,1.0447410306273113,No,2_40_2_50_18.csv,0.11057851464405466,0.08349842605196393,8346980.56,-7221504.685,1.155850605115269,No,2_20_1.75_150_6.csv,0.21384918069116907,0.18913574723714371,6447109.579,-4713269.376,1.3678635920596276,No,2_60_2_50_4.csv,0.44302430652260216,-0.05179082739983462,6701823.862000001,-5513643.55,1.215498209346522,No,2_80_1.25_100_6.csv,0.29358696884530344,-0.08574284188197626,36466489.0,-34065707.5,1.0704750224254111,No,1_20_0.75_75_8.csv,0.11580964847009641,0.025177872748611475,12838254.5,-10560203.0,1.215720426965277,No
