Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,Pass3,Para4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,OutSamplePass6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,OutSamplePass7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,OutSamplePass8,Pass8,Para9,Pass9
2_20_0.75_100_10.csv,0.4236336666666667,0.029318484161132523,No,No,2_20_1.25_100_4.csv,0.13375481718344842,-0.081235851827922,No,No,No Plateau,No,No Plateau,No,2_40_1.75_200_6.csv,0.22933989273115393,0.0406112736445262,No,No,2_20_1_75_4.csv,0.31327989732859357,0.10551425260094066,Yes,Yes,2_100_0.75_50_6.csv,0.5461598678481115,0.15236653346481055,Yes,No,2_120_0.75_50_4.csv,0.23247785815864536,0.03248521996151255,No,No,No Plateau,No
2_20_0.75_100_12.csv,0.4236336666666667,0.029318484161132523,No,,2_40_0.75_75_10.csv,0.12348606568191962,0.008803287562735337,No,,,,,,2_40_1.75_225_6.csv,0.22933987553751511,0.06023517132766516,No,,2_20_1_50_4.csv,0.30705569525553,0.12965912594374335,Yes,,2_100_0.75_125_6.csv,0.5461598201381492,0.15236651802588475,Yes,,2_120_1_150_8.csv,0.2196801469698086,0.04158035986330583,No,,,
2_20_0.75_100_14.csv,0.4236336666666667,0.029318484161132523,No,,2_40_0.75_75_12.csv,0.12348606568191962,0.008803287562735337,No,,,,,,2_120_0.75_225_4.csv,0.10559737806333233,0.19442940992761626,Yes,,2_20_0.75_50_4.csv,0.24764152997738983,0.24596404950023615,Yes,,2_100_0.75_100_6.csv,0.546159785224894,0.15236657306308948,Yes,,2_120_1_100_8.csv,0.21968011818913652,0.04158035509131148,No,,,
2_20_0.75_100_16.csv,0.4236336666666667,0.029318484161132523,No,,2_40_0.75_75_14.csv,0.12348606568191962,0.008803287562735337,No,,,,,,2_120_0.75_225_6.csv,0.10313145855605005,0.06535707442337664,No,,2_20_0.75_75_4.csv,0.24215434605732006,0.16693367484827362,Yes,,2_100_0.75_75_6.csv,0.546159785224894,0.15236657306308948,Yes,,2_120_1_125_8.csv,0.21968011818913652,0.04158035509131148,No,,,
2_20_0.75_100_18.csv,0.4236336666666667,0.029318484161132523,No,,2_40_0.75_75_16.csv,0.12348606568191962,0.008803287562735337,No,,,,,,,,,,,2_100_0.75_125_6.csv,0.25040375277397814,0.5461598201381492,Yes,,2_100_0.75_225_6.csv,0.5461597532172581,0.014114261405675625,No,,2_120_1_50_8.csv,0.21968011818913652,0.04158035509131148,No,,,
2_20_0.75_100_20.csv,0.4236336666666667,0.029318484161132523,No,,2_40_0.75_75_18.csv,0.12348606568191962,0.008803287562735337,No,,,,,,,,,,,2_100_0.75_100_6.csv,0.2504036959469454,0.546159785224894,Yes,,2_100_0.75_200_6.csv,0.5461597415382572,0.014114258555442506,No,,2_120_1_75_8.csv,0.21968011818913652,0.04158035509131148,No,,,
2_20_0.75_100_4.csv,0.4236336666666667,0.05903499315910293,No,,2_40_0.75_75_20.csv,0.12348606568191962,0.008803287562735337,No,,,,,,,,,,,2_100_0.75_75_6.csv,0.2504036959469454,0.546159785224894,Yes,,2_100_0.75_150_6.csv,0.5461597302586639,0.03969785534750226,No,,2_120_1_150_14.csv,0.2196800582034283,0.041580344244139984,No,,,
2_20_0.75_100_6.csv,0.4236336666666667,0.029318484161132523,No,,2_40_0.75_75_8.csv,0.12348606568191962,0.008803287562735337,No,,,,,,,,,,,2_100_0.75_175_6.csv,0.2504036486568201,0.5461596842214524,Yes,,2_100_0.75_175_6.csv,0.5461596842214524,0.014114234825121814,No,,2_120_1_150_16.csv,0.2196800582034283,0.041580344244139984,No,,,
2_20_0.75_100_8.csv,0.4236336666666667,0.029318484161132523,No,,2_40_0.75_75_6.csv,0.12348606482500438,0.008803267339398454,No,,,,,,,,,,,2_100_0.75_150_6.csv,0.25040356821508997,0.5461597302586639,Yes,,2_120_0.75_50_6.csv,0.5085345851601834,0.20963866739184506,Yes,,2_120_1_150_18.csv,0.2196800582034283,0.041580344244139984,No,,,
2_20_0.75_150_10.csv,0.4135048333333333,0.002301517501151335,No,,2_80_2_100_20.csv,0.11729825825078417,-0.05329202633521497,No,,,,,,,,,,,2_100_0.75_225_6.csv,0.2504036044278597,0.5461597532172581,Yes,,2_120_1_200_6.csv,0.47741475192096616,0.0515757054585327,No,,2_120_1_150_20.csv,0.2196800582034283,0.041580344244139984,No,,,
2_20_0.75_150_12.csv,0.4135048333333333,0.002301517501151335,No,,2_80_2_125_20.csv,0.11729825825078417,-0.05329202633521497,No,,,,,,,,,,,2_100_0.75_200_6.csv,0.2504035835010911,0.5461597415382572,Yes,,2_120_1_100_6.csv,0.47741464010340606,0.1695730693438366,Yes,,2_120_1_100_12.csv,0.21968003001327163,0.04158034793107813,No,,,
2_20_0.75_150_14.csv,0.4135048333333333,0.002301517501151335,No,,2_80_2_50_14.csv,0.11729825647561092,-0.05329203235673274,No,,,,,,,,,,,2_100_0.75_175_4.csv,0.24538634654632124,0.46535984494232324,Yes,,2_120_1_125_6.csv,0.47741464010340606,0.1695730693438366,Yes,,2_120_1_125_12.csv,0.21968003001327163,0.04158034793107813,No,,,
2_20_0.75_150_16.csv,0.4135048333333333,0.002301517501151335,No,,2_80_2_75_14.csv,0.11729825647561092,-0.05329203235673274,No,,,,,,,,,,,2_100_0.75_100_4.csv,0.24538634128432674,0.46535986387943246,Yes,,2_120_1_75_6.csv,0.47741464010340606,0.1695730693438366,Yes,,2_120_1_50_12.csv,0.21968003001327163,0.04158034793107813,No,,,
2_20_0.75_150_18.csv,0.4135048333333333,0.002301517501151335,No,,2_80_2_150_16.csv,0.11729825048708842,-0.053292023006210665,No,,,,,,,,,,,2_100_0.75_75_4.csv,0.24538634128432674,0.46535986387943246,Yes,,2_120_1_150_6.csv,0.4774146378002696,0.16957306024401256,Yes,,2_120_1_75_12.csv,0.21968003001327163,0.04158034793107813,No,,,
2_20_0.75_150_20.csv,0.4135048333333333,0.002301517501151335,No,,2_80_2_50_20.csv,0.11729824896836272,-0.05329202345648533,No,,,,,,,,,,,2_100_0.75_200_4.csv,0.24538631619522908,0.465359811075866,Yes,,2_120_1_175_6.csv,0.4774146378002696,0.122365510391819,Yes,,2_120_1_100_14.csv,0.21968002831511607,0.04158034479203306,No,,,
2_20_0.75_150_4.csv,0.4135048333333333,0.029804222051080975,No,,2_80_2_75_20.csv,0.11729824896836272,-0.05329202345648533,No,,,,,,,,,,,2_100_0.75_225_4.csv,0.24538627598700807,0.4653598065262765,Yes,,2_120_1_225_6.csv,0.4774146577470215,0.051575698309561366,No,,2_120_1_100_16.csv,0.21968002831511607,0.04158034479203306,No,,,
2_20_0.75_150_6.csv,0.4135048333333333,0.002301517501151335,No,,2_80_2_200_14.csv,0.1172982469610636,-0.05329202525869633,No,,,,,,,,,,,2_100_0.75_125_4.csv,0.24538624897380285,0.46535983570851835,Yes,,2_120_1_50_6.csv,0.47741455056107396,0.16957305211819604,Yes,,2_120_1_100_18.csv,0.21968002831511607,0.04158034479203306,No,,,
