Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window_6_NetProfit,Window_6_MDD,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Window_7_NetProfit,Window_7_MDD,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Window_8_NetProfit,Window_8_MDD,Score_8,Pass8,Para9,Pass9
2_40_0.75_50_4.csv,0.276502625,0.24253919923684392,2160690.0,-910656.437,2.3726730655064814,Yes,2_80_0.75_150_6.csv,0.5028667079173715,0.006714658223284715,1079511.594,-540278.188,1.9980662147330666,Yes,2_20_2_50_6.csv,0.2948487909912948,0.05731679651943744,1703273.562,-627484.0,2.7144493915382704,Yes,2_20_1.5_50_4.csv,0.20819663705991925,0.002681430147276538,928486.375,-589273.937,1.5756447327824037,Yes,2_60_1.25_200_6.csv,0.18215485139298193,0.22407991359524992,3814861.25,-1012818.5,3.766579352569093,Yes,2_80_0.75_150_4.csv,0.41928139602223896,0.32249404730406805,6079131.125,-1397944.5,4.348621225663823,Yes,2_20_0.75_50_4.csv,0.37058126943011427,0.04274968421148808,3821680.5,-1203651.5,3.1750722696727416,Yes,2_120_1_100_12.csv,0.11863432000971291,-0.008133967335758526,880637.875,-695387.0,1.2663996810409168,No,No Plateau,No
2_40_2_100_4.csv,0.26172704166666666,0.15451310297715587,1612682.75,-554456.312,2.908583985964254,Yes,2_80_0.75_125_6.csv,0.4893795570254017,0.006714655239985315,877431.875,-443806.985,1.9770573800229847,Yes,2_20_2_125_4.csv,0.2788195744077748,-0.023273767100595165,1028509.312,-669979.625,1.53513520952223,Yes,2_20_1.5_150_4.csv,0.15530119016942892,-0.010446333296537515,613138.156,-583950.125,1.0499837738710989,No,2_60_1.25_225_6.csv,0.1678189568579706,0.22407989368977693,3794362.0,-1025879.0,3.698644771946789,Yes,2_80_0.75_175_4.csv,0.4192813781122145,0.3224940596618559,5095712.312,-1171800.0,4.348619484553678,Yes,2_20_0.75_75_10.csv,0.33335889720652967,0.006283617302215701,1674567.0,-656168.25,2.552039054007871,Yes,2_120_1_100_14.csv,0.11863432000971291,-0.008133967335758526,880637.875,-695387.0,1.2663996810409168,No,,
2_20_1.75_50_4.csv,0.23756170833333334,0.043740648669050204,937427.0,-748510.531,1.2523898611654938,No,2_80_0.75_100_6.csv,0.47324801179916703,0.006714653875001619,1018889.469,-522237.81299999997,1.9510066939561117,Yes,2_20_2_225_6.csv,0.2744328877871693,-0.01954561813746137,864856.437,-500383.625,1.728386769251292,Yes,2_20_1.75_50_6.csv,0.1395349513057061,-0.06591245305141533,298966.25,-1133308.125,0.26379961760178855,No,2_60_1_100_6.csv,0.16348426039912772,0.0854217445775068,2303948.875,-693052.75,3.3243485073827355,Yes,2_80_0.75_225_4.csv,0.41928130064193436,0.2662803242856635,3736353.5310000004,-883259.75,4.230186568560382,Yes,2_20_0.75_75_12.csv,0.33335889720652967,0.006283617302215701,1674567.0,-656168.25,2.552039054007871,Yes,2_120_1_50_12.csv,0.11863432000971291,-0.008133967335758526,880637.875,-695387.0,1.2663996810409168,No,,
2_60_1.25_50_8.csv,0.227666021,0.28974888507244423,2145938.5,-705197.5,3.0430319165907425,Yes,2_80_0.75_50_6.csv,0.47324801179916703,0.006714653875001619,1018889.469,-522237.81299999997,1.9510066939561117,Yes,2_20_2_150_6.csv,0.26493769441053955,-0.007516101928837912,1155932.625,-563899.125,2.049892567221132,Yes,2_20_1.75_50_10.csv,0.136622002524771,-0.05749366654215286,315645.312,-985153.125,0.32040228467021303,No,2_60_1_125_6.csv,0.1477499490026621,0.21250662997751857,3728523.375,-893571.0,4.172610094777024,Yes,2_80_0.75_200_4.csv,0.4192812167526597,0.322494152131924,5235871.937,-1204030.5,4.348620684442794,Yes,2_20_0.75_75_14.csv,0.33335889720652967,0.006283617302215701,1674567.0,-656168.25,2.552039054007871,Yes,2_120_1_50_14.csv,0.11863432000971291,-0.008133967335758526,880637.875,-695387.0,1.2663996810409168,No,,
2_60_1.25_75_8.csv,0.227666021,0.28974888507244423,2145938.5,-705197.5,3.0430319165907425,Yes,2_80_0.75_75_6.csv,0.47324801179916703,0.006714653875001619,1018889.469,-522237.81299999997,1.9510066939561117,Yes,2_20_2_200_6.csv,0.2630015601576616,-0.04480169750416594,618940.157,-610404.437,1.01398371224487,No,2_20_1.75_50_12.csv,0.136622002524771,-0.05749366654215286,315645.312,-985153.125,0.32040228467021303,No,2_60_1.25_200_10.csv,0.1476451633031448,0.22349381950899855,3164479.5,-880609.5,3.5935105174313926,Yes,2_20_0.75_225_10.csv,0.38079771835058007,0.18237075447662246,2083577.711,-580342.625,3.590254482858294,Yes,2_20_0.75_75_16.csv,0.33335889720652967,0.006283617302215701,1674567.0,-656168.25,2.552039054007871,Yes,2_120_1_75_12.csv,0.11863432000971291,-0.008133967335758526,880637.875,-695387.0,1.2663996810409168,No,,
2_20_2_50_4.csv,0.22203510433333332,0.14705096595935688,1401112.5,-589432.562,2.377053102132488,Yes,2_100_1.25_200_6.csv,0.45060593637005075,-0.007443334507635356,866438.1259999999,-450914.859,1.921511586292613,Yes,2_20_2_175_6.csv,0.26300154299272605,-0.02048774546012727,1025469.375,-656647.5,1.5616740717051385,Yes,2_20_1.75_50_14.csv,0.136622002524771,-0.05749366654215286,315645.312,-985153.125,0.32040228467021303,No,2_60_1.25_200_12.csv,0.14764516194473293,0.22349378599395026,3021360.375,-840782.5,3.593510063541998,Yes,2_20_0.75_225_12.csv,0.38079771835058007,0.18237075447662246,2083577.711,-580342.625,3.590254482858294,Yes,2_20_0.75_75_18.csv,0.33335889720652967,0.006283617302215701,1674567.0,-656168.25,2.552039054007871,Yes,2_120_1_75_14.csv,0.11863432000971291,-0.008133967335758526,880637.875,-695387.0,1.2663996810409168,No,,
2_40_1_50_6.csv,0.21865329166666664,0.21498661513965328,1723987.5,-677829.5,2.5433940246035323,Yes,2_100_1.25_100_6.csv,0.4506059263280851,-0.007443316379995247,895993.532,-466296.156,1.921511726980653,Yes,2_20_2_75_6.csv,0.26104878320113,-0.009179808643180232,979851.375,-712680.0,1.374882661222428,No,2_20_1.75_50_16.csv,0.136622002524771,-0.05749366654215286,315645.312,-985153.125,0.32040228467021303,No,2_60_1.25_200_14.csv,0.14764514763269565,0.2234938385749054,3058206.625,-851036.25,3.5935092365336962,Yes,2_20_0.75_225_14.csv,0.38079771835058007,0.18237075447662246,2083577.711,-580342.625,3.590254482858294,Yes,2_20_0.75_75_20.csv,0.33335889720652967,0.006283617302215701,1674567.0,-656168.25,2.552039054007871,Yes,2_120_1_125_12.csv,0.1186342938072329,-0.00813397677445302,983472.125,-776589.75,1.2663985392544777,No,,
2_40_1_50_8.csv,0.21814618766666666,0.20516006855190788,1672712.75,-677206.875,2.470017378367578,Yes,2_100_1.25_125_6.csv,0.4506059263280851,-0.007443316379995247,895993.532,-466296.156,1.921511726980653,Yes,2_20_2_125_6.csv,0.21644456338883855,-0.03372383695132305,651828.437,-628039.0,1.0378789167551696,No,2_20_1.75_50_18.csv,0.136622002524771,-0.05749366654215286,315645.312,-985153.125,0.32040228467021303,No,2_60_1.25_200_16.csv,0.14764514763269565,0.2234938385749054,3058206.625,-851036.25,3.5935092365336962,Yes,2_20_0.75_225_16.csv,0.38079771835058007,0.18237075447662246,2083577.711,-580342.625,3.590254482858294,Yes,2_20_0.75_75_8.csv,0.33335889720652967,0.006283617302215701,1674567.0,-656168.25,2.552039054007871,Yes,2_120_1_125_14.csv,0.1186342938072329,-0.00813397677445302,983472.125,-776589.75,1.2663985392544777,No,,
2_60_1.75_125_10.csv,0.21552820833333333,0.19832675873957384,1626270.0,-668599.625,2.432352545815442,Yes,2_100_1.25_150_6.csv,0.4506059263280851,-0.007443316379995247,895993.532,-466296.156,1.921511726980653,Yes,1_40_1.25_225_10.csv,0.24384189037154025,-0.013908622462442583,689123.829,-417501.56200000003,1.6505898222244255,Yes,2_20_1.75_50_20.csv,0.136622002524771,-0.05749366654215286,315645.312,-985153.125,0.32040228467021303,No,2_60_1.25_200_18.csv,0.14764514763269565,0.2234938385749054,3058206.625,-851036.25,3.5935092365336962,Yes,2_20_0.75_225_18.csv,0.38079771835058007,0.18237075447662246,2083577.711,-580342.625,3.590254482858294,Yes,2_20_0.75_75_6.csv,0.3333588635240604,0.013624415418563462,1800911.5,-691575.75,2.6040697638689614,Yes,2_120_1_100_8.csv,0.11863429290812638,-0.008133971389494272,875117.375,-691028.0,1.2663992993048039,No,,
2_60_1.75_150_10.csv,0.21552820833333333,0.19832675873957384,1626270.0,-668599.625,2.432352545815442,Yes,2_100_1.25_175_6.csv,0.4506059263280851,-0.007443316379995247,895993.532,-466296.156,1.921511726980653,Yes,1_40_1.25_225_12.csv,0.24384189037154025,-0.013908622462442583,689123.829,-417501.56200000003,1.6505898222244255,Yes,2_20_1.75_50_8.csv,0.136622002524771,-0.05749366654215286,315645.312,-985153.125,0.32040228467021303,No,2_60_1.25_200_20.csv,0.14764514763269565,0.2234938385749054,3058206.625,-851036.25,3.5935092365336962,Yes,2_20_0.75_225_20.csv,0.38079771835058007,0.18237075447662246,2083577.711,-580342.625,3.590254482858294,Yes,2_20_0.75_75_4.csv,0.33011669730250254,0.0136243814240518,1937855.5,-747541.5,2.59230490882446,Yes,2_120_1_50_8.csv,0.11863429290812638,-0.008133971389494272,875117.375,-691028.0,1.2663992993048039,No,,
