Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window_6_NetProfit,Window_6_MDD,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Window_7_NetProfit,Window_7_MDD,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Window_8_NetProfit,Window_8_MDD,Score_8,Pass8,Para9,InSample9_Annual_RateOfReturn,OutSample9_Annual_RateOfReturn,Window_9_NetProfit,Window_9_MDD,Score_9,Pass9
,,,,,,,3_120_1_75_8.csv,0.43300641247152516,-0.02398893800652882,760926.7509999999,-650692.137,1.169411320241603,No,,,,,,,,,,,,,,,,,,,,,,1_100_1_50_14.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_120_0.75_225_14.csv,0.327707401471923,0.2086789428754977,5257461.625,-2158880.0,2.4352727455903063,Yes,2_80_1.5_150_6.csv,0.12125414597878273,-0.06974832228903546,361590.0,-2289695.25,0.15792057916877802,No,,,,,,,
,,,,,,,2_60_0.75_100_4.csv,0.432152201744593,0.014272987263947427,1465194.844,-1014445.562,1.4443306756760201,No,,,,,,,,,,,,,,,,,,,,,,1_100_1_50_16.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_120_0.75_225_16.csv,0.327707401471923,0.2086789428754977,5257461.625,-2158880.0,2.4352727455903063,Yes,2_20_1.75_75_4.csv,0.1212295264862655,0.08132436265071118,2425781.75,-1063862.25,2.2801652657569154,Yes,,,,,,,
,,,,,,,2_100_1.5_200_8.csv,0.43203346958102223,-0.024374840416034868,714400.25,-650436.1020000001,1.098340402390518,No,,,,,,,,,,,,,,,,,,,,,,1_100_1_50_18.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_120_0.75_225_18.csv,0.327707401471923,0.2086789428754977,5257461.625,-2158880.0,2.4352727455903063,Yes,2_20_1.75_75_12.csv,0.12122952426290762,0.079902684409636,3774533.5,-1669319.0,2.261121750845704,Yes,,,,,,,
,,,,,,,2_100_1.5_150_8.csv,0.43203344865175924,-0.02437485023809998,767543.563,-698821.25,1.0983403309501536,No,,,,,,,,,,,,,,,,,,,,,,1_100_1_50_20.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_120_0.75_225_20.csv,0.327707401471923,0.2086789428754977,5257461.625,-2158880.0,2.4352727455903063,Yes,2_20_1.75_75_14.csv,0.12122952426290762,0.079902684409636,3774533.5,-1669319.0,2.261121750845704,Yes,,,,,,,
,,,,,,,2_100_1.5_100_8.csv,0.4320334302861061,-0.022431700767242466,1023854.0,-913214.656,1.1211537104371658,No,,,,,,,,,,,,,,,,,,,,,,1_100_1_50_4.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_120_0.75_50_10.csv,0.32770739258181997,0.2568831238916178,4278771.125,-1694779.0,2.5246779226081983,Yes,2_20_1.75_75_16.csv,0.12122952426290762,0.079902684409636,3774533.5,-1669319.0,2.261121750845704,Yes,,,,,,,
,,,,,,,2_100_1.5_50_8.csv,0.4320334302861061,-0.022431700767242466,1023854.0,-913214.656,1.1211537104371658,No,,,,,,,,,,,,,,,,,,,,,,1_100_1_50_6.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_120_0.75_225_6.csv,0.32770740030739637,0.2086789043717211,5375889.5,-2207510.0,2.43527299989581,Yes,2_20_1.75_75_18.csv,0.12122952426290762,0.079902684409636,3774533.5,-1669319.0,2.261121750845704,Yes,,,,,,,
,,,,,,,2_100_1.5_75_8.csv,0.4320334302861061,-0.022431700767242466,1023854.0,-913214.656,1.1211537104371658,No,,,,,,,,,,,,,,,,,,,,,,1_100_1_50_8.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_120_0.75_100_12.csv,0.3277073977248347,0.25688311612258535,4721510.312,-1870143.5,2.524678085932978,Yes,2_20_1.75_75_20.csv,0.12122952426290762,0.079902684409636,3774533.5,-1669319.0,2.261121750845704,Yes,,,,,,,
,,,,,,,2_100_1.5_125_8.csv,0.4320334035484399,-0.022431717351894868,861851.781,-768718.782,1.121153536482734,No,,,,,,,,,,,,,,,,,,,,,,1_100_1_75_10.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_120_0.75_125_12.csv,0.3277073977248347,0.25688311612258535,4721510.312,-1870143.5,2.524678085932978,Yes,2_20_1.75_75_8.csv,0.12122950984468758,0.07990265256242517,3131404.0,-1384889.0,2.2611227325800116,Yes,,,,,,,
,,,,,,,2_100_1.5_175_8.csv,0.43203339835829435,-0.024374858001774843,564654.3910000001,-514097.906,1.0983401885321042,No,,,,,,,,,,,,,,,,,,,,,,1_100_1_75_12.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_120_0.75_150_12.csv,0.3277073977248347,0.25688311612258535,4721510.312,-1870143.5,2.524678085932978,Yes,2_20_1.75_75_6.csv,0.12122950605753444,0.07990272403215429,2639463.75,-1167324.5,2.2611225498993637,Yes,,,,,,,
,,,,,,,2_100_1.25_225_8.csv,0.4315553389811483,-0.007787676076108658,900626.188,-714446.797,1.2605923797010177,No,,,,,,,,,,,,,,,,,,,,,,1_100_1_75_14.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_120_0.75_75_12.csv,0.3277073977248347,0.25688311612258535,4721510.312,-1870143.5,2.524678085932978,Yes,2_20_1.75_75_10.csv,0.12122946875075066,0.07990265135218645,2985016.5,-1320149.0,2.2611209037767708,Yes,,,,,,,
,,,,,,,1_80_0.75_175_10.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,1_100_1_75_16.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_120_0.75_225_8.csv,0.3277073706879987,0.20867890431203312,4874729.375,-2001718.0,2.4352727881749576,Yes,2_120_1.5_225_12.csv,0.12118686270781633,-0.12009967979309233,-505342.25,-2532188.0,-0.19956742943256978,No,,,,,,,
,,,,,,,1_80_0.75_175_12.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,1_100_1_75_18.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_120_0.75_200_8.csv,0.327707415951028,0.20867892527730397,4896682.5,-2010733.0,2.4352723608753624,Yes,2_120_1.5_225_10.csv,0.12118685306144014,-0.12009970441572212,-530616.0,-2658828.5,-0.19956759151633888,No,,,,,,,
,,,,,,,1_80_0.75_175_14.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,1_100_1_75_20.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_40_0.75_100_10.csv,0.32748608159417436,0.11619530638477996,5894496.5,-1451659.5,4.060522801662511,Yes,2_100_1.5_225_16.csv,0.12116233129432055,-0.0889069438357752,-861.5,-2576734.5,-0.00033433789938389075,No,,,,,,,
,,,,,,,1_80_0.75_175_16.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,1_100_1_75_4.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_40_0.75_100_12.csv,0.32748608159417436,0.11619530638477996,5894496.5,-1451659.5,4.060522801662511,Yes,2_100_1.5_225_18.csv,0.12116233129432055,-0.0889069438357752,-861.5,-2576734.5,-0.00033433789938389075,No,,,,,,,
,,,,,,,1_80_0.75_175_18.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,1_100_1_75_6.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_40_0.75_100_14.csv,0.32748608159417436,0.11619530638477996,5894496.5,-1451659.5,4.060522801662511,Yes,2_100_1.5_225_20.csv,0.12116232969465335,-0.08890694479608344,-853.75,-2553451.0,-0.00033435143262980176,No,,,,,,,
,,,,,,,1_80_0.75_175_20.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,1_100_1_75_8.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_40_0.75_100_16.csv,0.32748608159417436,0.11619530638477996,5894496.5,-1451659.5,4.060522801662511,Yes,2_120_1_175_8.csv,0.12105706862314694,-0.12269552344579177,-465492.875,-3118444.0,-0.1492708783611314,No,,,,,,,
,,,,,,,1_80_0.75_175_6.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,3_100_1_100_10.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_40_0.75_100_18.csv,0.32748608159417436,0.11619530638477996,5894496.5,-1451659.5,4.060522801662511,Yes,2_120_1_100_8.csv,0.1210570604872314,-0.1226955400373325,-430251.5,-2882352.625,-0.14927094494553733,No,,,,,,,
,,,,,,,1_80_0.75_175_8.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,3_100_1_100_12.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_40_0.75_100_20.csv,0.32748608159417436,0.11619530638477996,5894496.5,-1451659.5,4.060522801662511,Yes,2_120_1_125_8.csv,0.1210570604872314,-0.1226955400373325,-430251.5,-2882352.625,-0.14927094494553733,No,,,,,,,
,,,,,,,3_80_0.75_175_10.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,3_100_1_100_14.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_40_0.75_100_8.csv,0.32748608159417436,0.11619530638477996,5894496.5,-1451659.5,4.060522801662511,Yes,2_120_1_150_8.csv,0.1210570604872314,-0.1226955400373325,-430251.5,-2882352.625,-0.14927094494553733,No,,,,,,,
,,,,,,,3_80_0.75_175_12.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,3_100_1_100_16.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_40_0.75_100_6.csv,0.32748597047387484,0.11619527964026602,5437416.5,-1339093.0,4.060521935369687,Yes,2_120_1_50_8.csv,0.1210570604872314,-0.1226955400373325,-430251.5,-2882352.625,-0.14927094494553733,No,,,,,,,
,,,,,,,3_80_0.75_175_14.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,3_100_1_100_18.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_150_8.csv,0.32692540188430474,0.051308461092103255,3483626.25,-1793572.75,1.9422832165575665,Yes,2_120_1_75_8.csv,0.1210570604872314,-0.1226955400373325,-430251.5,-2882352.625,-0.14927094494553733,No,,,,,,,
,,,,,,,3_80_0.75_175_16.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,3_100_1_100_20.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_225_8.csv,0.32692538332079507,0.0228645683763618,2249673.125,-1596808.0,1.4088563715863147,No,2_120_1.25_175_6.csv,0.12005171297735409,-0.08702033223529537,15475.375,-1485094.875,0.010420462194376638,No,,,,,,,
,,,,,,,3_80_0.75_175_18.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,3_100_1_100_4.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.5_225_14.csv,0.3269253772516844,0.12874521385062124,4373054.625,-1935227.0,2.2597114576222843,Yes,2_120_1.25_100_6.csv,0.12005170679309775,-0.08702032049929936,18530.75,-1778291.75,0.01042053420087002,No,,,,,,,
,,,,,,,3_80_0.75_175_20.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,3_100_1_100_6.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_125_8.csv,0.3269253875938143,0.051308427404736526,3634463.0,-1871233.0,1.9422824415772915,Yes,2_120_1.25_125_6.csv,0.12005170679309775,-0.08702032049929936,18530.75,-1778291.75,0.01042053420087002,No,,,,,,,
,,,,,,,3_80_0.75_175_6.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,3_100_1_100_8.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_200_8.csv,0.3269253650416481,0.052202673818954756,2495136.062,-1271414.75,1.9624878994049737,Yes,2_120_1.25_50_6.csv,0.12005170679309775,-0.08702032049929936,18530.75,-1778291.75,0.01042053420087002,No,,,,,,,
,,,,,,,3_80_0.75_175_8.csv,0.4314502892607355,0.06899521274542227,1151880.876,-376767.719,3.0572706150550015,Yes,,,,,,,,,,,,,,,,,,,,,,3_100_1_50_10.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_200_12.csv,0.3269253634413132,0.1606281475234827,3976259.625,-1369257.5,2.9039531461394223,Yes,2_120_1.25_75_6.csv,0.12005170679309775,-0.08702032049929936,18530.75,-1778291.75,0.01042053420087002,No,,,,,,,
,,,,,,,2_60_1.25_50_4.csv,0.4313360644789792,-0.07131008425991806,1167702.687,-1324406.0,0.8816803057370625,No,,,,,,,,,,,,,,,,,,,,,,3_100_1_50_12.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_150_12.csv,0.32692537777732583,0.1594824389677085,6021554.75,-2093654.5,2.8760976321546847,Yes,2_120_1.25_150_6.csv,0.12005170416142749,-0.08702031490025985,15499.75,-1487418.5,0.010420570942206246,No,,,,,,,
,,,,,,,2_60_1.25_75_4.csv,0.4313360421769582,-0.07131006759529344,950521.312,-1078079.375,0.881680267744664,No,,,,,,,,,,,,,,,,,,,,,,3_100_1_50_14.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_175_8.csv,0.3269253627241973,0.05130847936868799,2546836.625,-1311259.0,1.942283427606598,Yes,2_120_1.25_200_6.csv,0.12005168536221819,-0.08702032339059432,20194.25,-1937951.75,0.010420409073652118,No,,,,,,,
,,,,,,,2_100_1.75_225_10.csv,0.4300270636541773,-0.032238160811754554,661182.813,-621846.376,1.0632574837100923,No,,,,,,,,,,,,,,,,,,,,,,3_100_1_50_16.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_175_14.csv,0.32692536448418485,0.15139520105461723,3475849.812,-1292749.0,2.6887275194179225,Yes,2_120_1_225_6.csv,0.11956496995036427,-0.09625114015237636,-103050.25,-2514926.75,-0.04097544789326369,No,,,,,,,
,,,,,,,2_100_1.75_225_12.csv,0.4300270636541773,-0.04274149172232825,616534.329,-652944.688,0.9442366870132192,No,,,,,,,,,,,,,,,,,,,,,,3_100_1_50_18.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_175_16.csv,0.32692534549236835,0.15139522544032552,3059888.125,-1138043.375,2.688727154182502,Yes,2_80_1_175_4.csv,0.11899588692064422,-0.04184932833202083,494348.25,-1551429.875,0.3186404090613506,No,,,,,,,
,,,,,,,2_60_0.75_200_10.csv,0.4296776900499336,-0.016510663211498664,976961.375,-799835.781,1.221452450875038,No,,,,,,,,,,,,,,,,,,,,,,3_100_1_50_20.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_175_18.csv,0.32692534549236835,0.15139522544032552,3059888.125,-1138043.375,2.688727154182502,Yes,2_80_1_200_4.csv,0.11899584655498192,-0.02035031390156021,814946.0,-1507503.25,0.5405931960677365,No,,,,,,,
,,,,,,,2_60_0.75_200_12.csv,0.4296776900499336,-0.016510663211498664,976961.375,-799835.781,1.221452450875038,No,,,,,,,,,,,,,,,,,,,,,,3_100_1_50_4.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_100_8.csv,0.3269253745164263,0.05130843590050824,4257765.0,-2192144.5,1.9422830018732797,Yes,2_80_1_150_4.csv,0.11899583911247519,-0.06502745887269595,325067.75,-2361920.75,0.13762855929861323,No,,,,,,,
,,,,,,,2_60_0.75_200_14.csv,0.4296776900499336,-0.016510663211498664,976961.375,-799835.781,1.221452450875038,No,,,,,,,,,,,,,,,,,,,,,,3_100_1_50_6.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_50_8.csv,0.3269253745164263,0.05130843590050824,4257765.0,-2192144.5,1.9422830018732797,Yes,2_80_2_200_8.csv,0.11898892842613572,-0.06691952414270931,303620.5,-1524991.25,0.19909655219333225,No,,,,,,,
,,,,,,,2_60_0.75_200_16.csv,0.4296776900499336,-0.016510663211498664,976961.375,-799835.781,1.221452450875038,No,,,,,,,,,,,,,,,,,,,,,,3_100_1_50_8.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_75_8.csv,0.3269253745164263,0.05130843590050824,4257765.0,-2192144.5,1.9422830018732797,Yes,2_80_2_225_8.csv,0.11898890993250442,-0.06691952815035039,277423.75,-1393414.0,0.19909642791015447,No,,,,,,,
,,,,,,,2_60_0.75_200_18.csv,0.4296776900499336,-0.016510663211498664,976961.375,-799835.781,1.221452450875038,No,,,,,,,,,,,,,,,,,,,,,,3_100_1_75_10.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_150_20.csv,0.3269253317062082,0.15139521674266326,4060246.0,-1510099.5,2.6887274646471973,Yes,2_100_1.5_225_4.csv,0.11870774175109652,-0.06045124731568293,490204.0,-1900328.5,0.2579575057680817,No,,,,,,,
,,,,,,,2_60_0.75_200_20.csv,0.4296776900499336,-0.016510663211498664,976961.375,-799835.781,1.221452450875038,No,,,,,,,,,,,,,,,,,,,,,,3_100_1_75_12.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_150_14.csv,0.32692537014730744,0.1513952426951688,4754353.5,-1768254.0,2.688727694098246,Yes,2_40_1.25_100_10.csv,0.11839809225189615,0.0010560991292902998,2523230.0,-2227262.5,1.1328839775284683,No,,,,,,,
,,,,,,,2_120_1.25_100_10.csv,0.4293828068859864,0.023763666533137353,959223.7509999999,-544473.2270000001,1.7617464063113608,Yes,,,,,,,,,,,,,,,,,,,,,,3_100_1_75_14.csv,0.11829531289658136,0.2946299859803396,3117403.187,-888623.75,3.5081249932831526,Yes,2_100_1.75_100_16.csv,0.3269253522912307,0.1513952299433927,5115477.875,-1902564.75,2.6887273481756666,Yes,2_40_1.25_100_12.csv,0.11839809225189615,0.0010560991292902998,2523230.0,-2227262.5,1.1328839775284683,No,,,,,,,
