Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5
2_40_1.25_50_8.csv,0.324801175,0.2056927654554127,Yes,2_120_1.25_150_16.csv,0.5436168145326383,-0.04430831993702323,No,2_20_1.25_150_4.csv,0.22779280442497898,0.10513204747105794,Yes,2_80_1.5_125_6.csv,0.24169140310381193,0.009485520043817475,Yes,2_100_0.75_50_4.csv,0.15129038985695895,0.019545028914608964,Yes
2_40_1.25_50_6.csv,0.317652775,0.07653486451415237,Yes,2_120_1.25_150_18.csv,0.5436168145326383,-0.04430831993702323,No,2_20_1.25_150_6.csv,0.2185809440193338,0.09622603598608157,Yes,2_80_1.5_100_6.csv,0.24169139945132406,0.00948550967848202,Yes,2_100_0.75_100_4.csv,0.15129034759127297,0.01954500282102076,Yes
2_40_1.25_50_4.csv,0.31641985,0.043777558124460166,Yes,2_120_1.25_150_20.csv,0.5436168145326383,-0.04430831993702323,No,2_20_1.25_225_4.csv,0.1843540468154966,0.10513206957738264,Yes,2_80_1.5_150_6.csv,0.2416913841122119,0.009485533117789489,Yes,2_100_0.75_125_4.csv,0.15129034759127297,0.01954500282102076,Yes
2_60_1.25_50_4.csv,0.3105514,0.143454429857601,Yes,2_120_1.25_175_16.csv,0.5436168145326383,-0.04430831993702323,No,2_20_1_200_10.csv,0.15445093883246722,0.1185288769590441,Yes,2_80_1.5_175_6.csv,0.24169137621614992,0.006327736046468009,Yes,2_100_0.75_75_4.csv,0.15129034759127297,0.01954500282102076,Yes
2_40_1.25_50_10.csv,0.29957817499999995,0.19469680596034844,Yes,2_120_1.25_175_18.csv,0.5436168145326383,-0.04430831993702323,No,2_20_1_200_12.csv,0.15445093883246722,0.1185288769590441,Yes,2_80_1.5_200_6.csv,0.24169137696342682,-0.021146241838574557,No,2_100_0.75_150_4.csv,0.14928237594086086,0.019544974367190368,Yes
2_40_1.75_50_6.csv,0.2646349,0.08275336183312962,Yes,2_120_1.25_175_20.csv,0.5436168145326383,-0.04430831993702323,No,2_20_1_200_14.csv,0.15445093883246722,0.1185288769590441,Yes,2_80_1.5_225_6.csv,0.24169137646850203,-0.021146243015050307,No,2_40_1.75_75_6.csv,0.1425491550128693,-0.019463807945245982,No
2_40_1.25_50_12.csv,0.26454285,0.1871732177128547,Yes,2_120_1.25_150_14.csv,0.5436168035161031,-0.044308314346772695,No,2_20_1_200_16.csv,0.15445093883246722,0.1185288769590441,Yes,2_80_1.5_50_6.csv,0.24169135014850154,0.009485519835020658,Yes,2_40_1.75_50_6.csv,0.14254912933023012,-0.026894274525176155,No
2_40_1.25_50_14.csv,0.26454285,0.1871732177128547,Yes,2_120_1.25_175_14.csv,0.5436168035161031,-0.044308314346772695,No,2_20_1_200_18.csv,0.15445093883246722,0.1185288769590441,Yes,2_80_1.5_75_6.csv,0.24169135014850154,0.009485519835020658,Yes,2_40_1.75_100_6.csv,0.1333818557377845,-0.019463807097882882,No
2_40_1.25_50_16.csv,0.26454285,0.1871732177128547,Yes,2_120_1.25_100_16.csv,0.5436167999189451,-0.04430830116532417,No,2_20_1_200_20.csv,0.15445093883246722,0.1185288769590441,Yes,2_120_0.75_50_4.csv,0.2354239663624929,0.10456515418964205,Yes,2_40_1.75_50_4.csv,0.12868653637566146,-0.018941324477266507,No
2_40_1.25_50_18.csv,0.26454285,0.1871732177128547,Yes,2_120_1.25_100_18.csv,0.5436167999189451,-0.04430830116532417,No,2_20_1_200_8.csv,0.15445093883246722,0.1185288769590441,Yes,2_120_1_200_4.csv,0.23188763890760772,0.08774190974090848,Yes,2_40_1.75_75_4.csv,0.12868652281930645,-0.011169485879983381,No
2_40_1.25_50_20.csv,0.26454285,0.1871732177128547,Yes,2_120_1.25_100_20.csv,0.5436167999189451,-0.04430830116532417,No,2_20_1.25_200_4.csv,0.15241945262691042,0.10513206556581105,Yes,2_120_1_225_4.csv,0.2318876377714988,0.08148159053142015,Yes,2_40_0.75_75_4.csv,0.12634964569376733,-0.0020877261224947286,No
1_60_1.25_50_10.csv,0.24402877499999998,0.12437555426447307,Yes,2_120_1.25_125_16.csv,0.5436167999189451,-0.04430830116532417,No,2_20_1.25_150_10.csv,0.1475320949603135,0.09622603295430035,Yes,2_120_1_175_4.csv,0.231887635594485,0.0853680158521284,Yes,2_40_0.75_75_6.csv,0.12634963463996193,-0.0020877262289562644,No
1_60_1.25_50_12.csv,0.24402877499999998,0.12437555426447307,Yes,2_120_1.25_125_18.csv,0.5436167999189451,-0.04430830116532417,No,2_20_1.25_150_12.csv,0.1475320949603135,0.09622603295430035,Yes,2_120_1_50_4.csv,0.231887610778693,0.0963389605874221,Yes,2_20_1.25_100_4.csv,0.11265590950674882,-0.007759290128458669,No
1_60_1.25_50_14.csv,0.24402877499999998,0.12437555426447307,Yes,2_120_1.25_125_20.csv,0.5436167999189451,-0.04430830116532417,No,2_20_1.25_150_14.csv,0.1475320949603135,0.09622603295430035,Yes,2_120_1_100_4.csv,0.23188760941552974,0.09633895631886749,Yes,2_40_1.75_100_4.csv,0.11989019964180672,-0.011169468207390124,No
