Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5
,,,,,,,2_80_1.75_150_14.csv,0.2283942973164555,0.0961586262531923,1979099.477,-1082926.437,1.8275474763388753,Yes,,,,,,,,2_100_0.75_100_16.csv,0.37210222997899595,0.11667938207155765,7972846.875,-4464477.0,1.7858411802771075,Yes,,,,,,,
,,,,,,,2_80_1.75_150_16.csv,0.2283942973164555,0.09649628397830554,1982394.852,-1150010.375,1.7238060587062094,Yes,,,,,,,,2_100_0.75_100_18.csv,0.37210222997899595,0.11667938207155765,7972846.875,-4464477.0,1.7858411802771075,Yes,,,,,,,
,,,,,,,2_80_1.75_150_12.csv,0.22839429344902965,0.10857425760507639,2495069.828,-1286490.375,1.9394391722518718,Yes,,,,,,,,2_100_0.75_100_20.csv,0.37210222997899595,0.11667938207155765,7972846.875,-4464477.0,1.7858411802771075,Yes,,,,,,,
,,,,,,,2_80_1.75_150_10.csv,0.22839428463975436,0.1324438004793713,2693210.695,-1162608.75,2.3165236757421614,Yes,,,,,,,,2_100_0.75_125_12.csv,0.37210222997899595,0.11667938207155765,7972846.875,-4464477.0,1.7858411802771075,Yes,,,,,,,
,,,,,,,2_80_1.25_225_8.csv,0.22838483277704652,0.1129085476397522,2344692.219,-981650.75,2.3885197653034953,Yes,,,,,,,,2_100_0.75_125_14.csv,0.37210222997899595,0.11667938207155765,7972846.875,-4464477.0,1.7858411802771075,Yes,,,,,,,
,,,,,,,2_80_1.25_175_8.csv,0.22838482728663967,0.12058728599148058,2212645.266,-917024.625,2.412852616689546,Yes,,,,,,,,2_100_0.75_125_16.csv,0.37210222997899595,0.11667938207155765,7972846.875,-4464477.0,1.7858411802771075,Yes,,,,,,,
,,,,,,,2_80_1.25_200_8.csv,0.22838481588555615,0.1205872807447402,2316873.891,-960222.125,2.412852016922647,Yes,,,,,,,,2_100_0.75_125_18.csv,0.37210222997899595,0.11667938207155765,7972846.875,-4464477.0,1.7858411802771075,Yes,,,,,,,
,,,,,,,2_40_1.5_225_10.csv,0.22803910759709897,0.08247026690403879,2132640.395,-796837.625,2.6763801408097416,Yes,,,,,,,,2_100_0.75_125_20.csv,0.37210222997899595,0.11667938207155765,7972846.875,-4464477.0,1.7858411802771075,Yes,,,,,,,
,,,,,,,2_40_1.5_225_12.csv,0.22803910759709897,0.11264671279904959,2473108.145,-887204.25,2.7875296415678803,Yes,,,,,,,,2_100_0.75_75_12.csv,0.37210222997899595,0.11667938207155765,7972846.875,-4464477.0,1.7858411802771075,Yes,,,,,,,
,,,,,,,2_40_1.5_225_14.csv,0.22803910759709897,0.11264671279904959,2473108.145,-887204.25,2.7875296415678803,Yes,,,,,,,,2_100_0.75_75_14.csv,0.37210222997899595,0.11667938207155765,7972846.875,-4464477.0,1.7858411802771075,Yes,,,,,,,
,,,,,,,2_40_1.5_225_16.csv,0.22803910759709897,0.11264671279904959,2473108.145,-887204.25,2.7875296415678803,Yes,,,,,,,,2_100_0.75_75_16.csv,0.37210222997899595,0.11667938207155765,7972846.875,-4464477.0,1.7858411802771075,Yes,,,,,,,
,,,,,,,2_40_1.5_225_18.csv,0.22803910759709897,0.11264671279904959,2473108.145,-887204.25,2.7875296415678803,Yes,,,,,,,,2_100_0.75_75_18.csv,0.37210222997899595,0.11667938207155765,7972846.875,-4464477.0,1.7858411802771075,Yes,,,,,,,
,,,,,,,2_40_1.5_225_20.csv,0.22803910759709897,0.11264671279904959,2473108.145,-887204.25,2.7875296415678803,Yes,,,,,,,,2_100_0.75_75_20.csv,0.37210222997899595,0.11667938207155765,7972846.875,-4464477.0,1.7858411802771075,Yes,,,,,,,
,,,,,,,2_120_1.5_225_18.csv,0.22802839317575546,0.0016778537765613877,1071410.1409999998,-894116.687,1.1982889443601221,No,,,,,,,,2_100_0.75_50_10.csv,0.3721022092656166,0.11667941478515212,7730592.5,-4328823.0,1.7858416710500753,Yes,,,,,,,
,,,,,,,2_120_1.5_225_20.csv,0.22802839317575546,0.0016778537765613877,1071410.1409999998,-894116.687,1.1982889443601221,No,,,,,,,,2_100_0.75_225_10.csv,0.3721021814043968,0.09706499267377208,9053369.0,-4552554.0,1.9886351704998997,Yes,,,,,,,
,,,,,,,2_80_1_100_4.csv,0.22782405220774826,0.021863577211665965,1558544.656,-1159226.75,1.3444691955219288,No,,,,,,,,2_100_0.75_225_12.csv,0.3721021814043968,0.09706499267377208,9053369.0,-4552554.0,1.9886351704998997,Yes,,,,,,,
,,,,,,,2_80_1_50_4.csv,0.22782405220774826,0.021863577211665965,1558544.656,-1159226.75,1.3444691955219288,No,,,,,,,,2_100_0.75_225_14.csv,0.3721021814043968,0.09706499267377208,9053369.0,-4552554.0,1.9886351704998997,Yes,,,,,,,
,,,,,,,2_80_1_75_4.csv,0.22782405220774826,0.021863577211665965,1558544.656,-1159226.75,1.3444691955219288,No,,,,,,,,2_100_0.75_225_16.csv,0.3721021814043968,0.09706499267377208,9053369.0,-4552554.0,1.9886351704998997,Yes,,,,,,,
,,,,,,,2_100_1.5_100_18.csv,0.22772546925487785,0.06466899441745393,1772353.148,-1187010.125,1.4931238669931313,No,,,,,,,,2_100_0.75_225_18.csv,0.3721021814043968,0.09706499267377208,9053369.0,-4552554.0,1.9886351704998997,Yes,,,,,,,
,,,,,,,2_100_1.5_100_20.csv,0.22772546925487785,0.06466899441745393,1772353.148,-1187010.125,1.4931238669931313,No,,,,,,,,2_100_0.75_225_20.csv,0.3721021814043968,0.09706499267377208,9053369.0,-4552554.0,1.9886351704998997,Yes,,,,,,,
,,,,,,,2_100_1.5_50_18.csv,0.22772546925487785,0.06466899441745393,1772353.148,-1187010.125,1.4931238669931313,No,,,,,,,,2_100_0.75_50_12.csv,0.37210217977392307,0.11667946474952282,7797622.5,-4366355.0,1.785842539143061,Yes,,,,,,,
