Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window2_GrossProfit,Window2_GrossLoss,Score_2,Pass2,Para3,Pass3,Para4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window6_GrossProfit,Window6_GrossLoss,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Window7_GrossProfit,Window7_GrossLoss,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Window8_GrossProfit,Window8_GrossLoss,Score_8,Pass8,Para9,Pass9
2_20_0.75_100_10.csv,0.4236336666666667,0.029318484161132523,8730012.245,-7259373.12,1.2025848652066529,No,2_20_1.25_100_4.csv,0.13375481718344842,-0.081235851827922,5263296.933,-5164409.746,1.019147819763254,No,No Plateau,No,No Plateau,No,2_40_1.75_200_6.csv,0.22933989273115393,0.0406112736445262,3162700.878,-2590779.018,1.2207528531096046,No,2_20_1_75_4.csv,0.31327989732859357,0.10551425260094066,7889205.878,-6486148.393999999,1.216315970398996,No,2_100_0.75_50_6.csv,0.5461598678481115,0.15236653346481055,10911884.635,-9054755.604,1.2050998516381382,No,2_120_0.75_50_4.csv,0.23247785815864536,0.03248521996151255,5030370.774,-4450523.805,1.1302873536702722,No,No Plateau,No
2_20_0.75_100_12.csv,0.4236336666666667,0.029318484161132523,8730012.245,-7259373.12,1.2025848652066529,No,2_40_0.75_75_10.csv,0.12348606568191962,0.008803287562735337,5771520.566000001,-5237533.659,1.1019538855053306,No,,,,,2_40_1.75_225_6.csv,0.22933987553751511,0.06023517132766516,3806216.684,-3068355.903,1.2404743140385301,No,2_20_1_50_4.csv,0.30705569525553,0.12965912594374335,7792385.252,-6414738.3610000005,1.2147627562451724,No,2_100_0.75_125_6.csv,0.5461598201381492,0.15236651802588475,13269485.229,-11011108.822999999,1.2050998171303788,No,2_120_1_150_8.csv,0.2196801469698086,0.04158035986330583,3551972.2189999996,-3142142.7660000003,1.1304299274477967,No,,
2_20_0.75_100_14.csv,0.4236336666666667,0.029318484161132523,8730012.245,-7259373.12,1.2025848652066529,No,2_40_0.75_75_12.csv,0.12348606568191962,0.008803287562735337,5771520.566000001,-5237533.659,1.1019538855053306,No,,,,,2_120_0.75_225_4.csv,0.10559737806333233,0.19442940992761626,5210166.919,-4558207.95,1.1430296678325085,No,2_20_0.75_50_4.csv,0.24764152997738983,0.24596404950023615,8956318.856,-7158089.7,1.251216348406475,No,2_100_0.75_100_6.csv,0.546159785224894,0.15236657306308948,14698508.48,-12196922.214000002,1.205099796662522,No,2_120_1_100_8.csv,0.21968011818913652,0.04158035509131148,4431743.105,-3920404.972,1.1304299266662599,No,,
2_20_0.75_100_16.csv,0.4236336666666667,0.029318484161132523,8730012.245,-7259373.12,1.2025848652066529,No,2_40_0.75_75_14.csv,0.12348606568191962,0.008803287562735337,5771520.566000001,-5237533.659,1.1019538855053306,No,,,,,2_120_0.75_225_6.csv,0.10313145855605005,0.06535707442337664,3220937.978,-2988217.978,1.077879191448998,No,2_20_0.75_75_4.csv,0.24215434605732006,0.16693367484827362,6976114.595,-5725084.469,1.218517321931936,No,2_100_0.75_75_6.csv,0.546159785224894,0.15236657306308948,14698508.48,-12196922.214000002,1.205099796662522,No,2_120_1_125_8.csv,0.21968011818913652,0.04158035509131148,4431743.105,-3920404.972,1.1304299266662599,No,,
2_20_0.75_100_18.csv,0.4236336666666667,0.029318484161132523,8730012.245,-7259373.12,1.2025848652066529,No,2_40_0.75_75_16.csv,0.12348606568191962,0.008803287562735337,5771520.566000001,-5237533.659,1.1019538855053306,No,,,,,,,,,,,,2_100_0.75_125_6.csv,0.25040375277397814,0.5461598201381492,7640410.89,-5998988.2020000005,1.2736165887862165,No,2_100_0.75_225_6.csv,0.5461597532172581,0.014114261405675625,13698199.156,-11398069.437,1.201799939166312,No,2_120_1_50_8.csv,0.21968011818913652,0.04158035509131148,4431743.105,-3920404.972,1.1304299266662599,No,,
2_20_0.75_100_20.csv,0.4236336666666667,0.029318484161132523,8730012.245,-7259373.12,1.2025848652066529,No,2_40_0.75_75_18.csv,0.12348606568191962,0.008803287562735337,5771520.566000001,-5237533.659,1.1019538855053306,No,,,,,,,,,,,,2_100_0.75_100_6.csv,0.2504036959469454,0.546159785224894,8463224.639,-6645033.607999999,1.2736165290136485,No,2_100_0.75_200_6.csv,0.5461597415382572,0.014114258555442506,12338193.810999999,-10266429.03,1.2017999418245624,No,2_120_1_75_8.csv,0.21968011818913652,0.04158035509131148,4431743.105,-3920404.972,1.1304299266662599,No,,
2_20_0.75_100_4.csv,0.4236336666666667,0.05903499315910293,8799289.87,-7126200.995,1.2347799165605768,No,2_40_0.75_75_20.csv,0.12348606568191962,0.008803287562735337,5771520.566000001,-5237533.659,1.1019538855053306,No,,,,,,,,,,,,2_100_0.75_75_6.csv,0.2504036959469454,0.546159785224894,8463224.639,-6645033.607999999,1.2736165290136485,No,2_100_0.75_150_6.csv,0.5461597302586639,0.03969785534750226,7889262.817000001,-6573632.097999999,1.2001375646501844,No,2_120_1_150_14.csv,0.2196800582034283,0.041580344244139984,3596065.83,-3181148.861,1.1304299129433288,No,,
2_20_0.75_100_6.csv,0.4236336666666667,0.029318484161132523,8730012.245,-7259373.12,1.2025848652066529,No,2_40_0.75_75_8.csv,0.12348606568191962,0.008803287562735337,5771520.566000001,-5237533.659,1.1019538855053306,No,,,,,,,,,,,,2_100_0.75_175_6.csv,0.2504036486568201,0.5461596842214524,7989415.8,-6273015.05,1.2736165522191758,No,2_100_0.75_175_6.csv,0.5461596842214524,0.014114234825121814,8653333.135,-7200311.3379999995,1.2017998568105805,No,2_120_1_150_16.csv,0.2196800582034283,0.041580344244139984,3596065.83,-3181148.861,1.1304299129433288,No,,
2_20_0.75_100_8.csv,0.4236336666666667,0.029318484161132523,8730012.245,-7259373.12,1.2025848652066529,No,2_40_0.75_75_6.csv,0.12348606482500438,0.008803267339398454,6250912.847999999,-5672572.067000001,1.1019538886715035,No,,,,,,,,,,,,2_100_0.75_150_6.csv,0.25040356821508997,0.5461597302586639,6483772.38,-5090835.442,1.2736165711639595,No,2_120_0.75_50_6.csv,0.5085345851601834,0.20963866739184506,4962956.66,-4179208.9260000004,1.1875349492876728,No,2_120_1_150_18.csv,0.2196800582034283,0.041580344244139984,3596065.83,-3181148.861,1.1304299129433288,No,,
2_20_0.75_150_10.csv,0.4135048333333333,0.002301517501151335,7845287.068,-6589302.818,1.190609581118207,No,2_80_2_100_20.csv,0.11729825825078417,-0.05329202633521497,3658263.5519999997,-3529533.6139999996,1.036472223267513,No,,,,,,,,,,,,2_100_0.75_225_6.csv,0.2504036044278597,0.5461597532172581,12647221.379,-9930163.91,1.2736165780973498,No,2_120_1_200_6.csv,0.47741475192096616,0.0515757054585327,4559899.868,-3948114.9930000002,1.1549561945598579,No,2_120_1_150_20.csv,0.2196800582034283,0.041580344244139984,3596065.83,-3181148.861,1.1304299129433288,No,,
