Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window_3_NetProfit,Window_3_MDD,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,Pass5
2_60_1.25_50_8.csv,0.22791587500000002,0.15318383549102965,2778324.25,-708759.125,3.9199837462410096,Yes,1_60_0.75_150_10.csv,0.3715126933226539,0.01650825961993318,1913171.906,-790622.0,2.419831355565618,Yes,2_60_1.25_200_12.csv,0.11796059714081915,0.28775964302593293,5594176.625,-1787548.0,3.1295252630978303,Yes,2_80_0.75_150_4.csv,0.6289575196385612,0.054330829894486156,7542226.625,-1792855.5,4.206823486332278,Yes,No Plateau,No
2_60_1.25_75_8.csv,0.22791587500000002,0.15318383549102965,2778324.25,-708759.125,3.9199837462410096,Yes,1_60_0.75_150_12.csv,0.3715126933226539,0.01650825961993318,1913171.906,-790622.0,2.419831355565618,Yes,2_60_1.25_200_8.csv,0.11796058543980537,0.2877596826580958,6342723.125,-2026736.0,3.1295260581545894,Yes,2_80_0.75_175_4.csv,0.6289575195325561,0.040008445685781706,5882735.812000001,-1418196.0,4.1480414639443355,Yes,,
2_60_1.25_150_8.csv,0.17872116259999998,0.15318382812759138,2343954.75,-627277.75,3.7367095357678477,Yes,1_60_0.75_150_14.csv,0.3715126933226539,0.01650825961993318,1913171.906,-790622.0,2.419831355565618,Yes,2_60_1.25_200_10.csv,0.1179605842342072,0.28775968263023877,5859167.687000001,-1872222.0,3.129526138994201,Yes,2_80_0.75_200_4.csv,0.6289574050185518,0.028000579274197347,5666027.937000001,-1457205.0,3.8882847210927776,Yes,,
2_60_1.25_175_8.csv,0.17872116259999998,0.15318382812759138,2343954.75,-627277.75,3.7367095357678477,Yes,1_60_0.75_150_16.csv,0.3715126933226539,0.01650825961993318,1913171.906,-790622.0,2.419831355565618,Yes,2_60_1.25_200_14.csv,0.11796058267759746,0.2877596984684751,5662399.0,-1809347.0,3.1295262876606866,Yes,2_20_0.75_50_10.csv,0.5688274421916271,0.018001675838718034,4039330.0939999996,-1012339.5,3.9900943250757277,Yes,,
2_60_1.5_50_8.csv,0.17515308759999998,0.19922976766138706,2744307.0,-686655.0,3.996631496166197,Yes,1_60_0.75_150_18.csv,0.3715126933226539,0.01650825961993318,1913171.906,-790622.0,2.419831355565618,Yes,2_60_1.25_200_16.csv,0.11796058267759746,0.2877596984684751,5662399.0,-1809347.0,3.1295262876606866,Yes,2_20_0.75_50_12.csv,0.5688274421916271,0.018001675838718034,4039330.0939999996,-1012339.5,3.9900943250757277,Yes,,
2_60_1.5_75_8.csv,0.17515308759999998,0.19922976766138706,2744307.0,-686655.0,3.996631496166197,Yes,1_60_0.75_150_20.csv,0.3715126933226539,0.01650825961993318,1913171.906,-790622.0,2.419831355565618,Yes,2_60_1.25_200_18.csv,0.11796058267759746,0.2877596984684751,5662399.0,-1809347.0,3.1295262876606866,Yes,2_20_0.75_50_14.csv,0.5688274421916271,0.018001675838718034,4039330.0939999996,-1012339.5,3.9900943250757277,Yes,,
2_60_1.25_100_8.csv,0.17442970000000002,0.14060756932476243,2188339.75,-709954.094,3.0823679565963595,Yes,1_60_0.75_150_4.csv,0.3715126933226539,0.01650825961993318,1913171.906,-790622.0,2.419831355565618,Yes,2_60_1.25_200_20.csv,0.11796058267759746,0.2877596984684751,5662399.0,-1809347.0,3.1295262876606866,Yes,2_20_0.75_50_16.csv,0.5688274421916271,0.018001675838718034,4039330.0939999996,-1012339.5,3.9900943250757277,Yes,,
2_60_1.25_125_8.csv,0.17442970000000002,0.15318386869417677,2306063.25,-709954.094,3.2481864242901315,Yes,1_60_0.75_150_6.csv,0.3715126933226539,0.01650825961993318,1913171.906,-790622.0,2.419831355565618,Yes,2_60_1.25_225_12.csv,0.1114598249289179,0.27947915695174974,5495580.625,-1779860.5,3.087646826815922,Yes,2_20_0.75_50_18.csv,0.5688274421916271,0.018001675838718034,4039330.0939999996,-1012339.5,3.9900943250757277,Yes,,
2_60_1.25_50_6.csv,0.17223765,0.2215619510815201,2923030.75,-769573.125,3.7982495165745296,Yes,1_60_0.75_150_8.csv,0.3715126933226539,0.01650825961993318,1913171.906,-790622.0,2.419831355565618,Yes,2_60_1.25_225_8.csv,0.1114597934702631,0.2794791860482641,6230933.25,-2018020.0,3.0876469261949833,Yes,2_20_0.75_50_20.csv,0.5688274421916271,0.018001675838718034,4039330.0939999996,-1012339.5,3.9900943250757277,Yes,,
2_60_1.25_75_6.csv,0.17223765,0.2215619510815201,2923030.75,-769573.125,3.7982495165745296,Yes,3_60_0.75_150_10.csv,0.3715126933226539,0.01650825961993318,1913171.906,-790622.0,2.419831355565618,Yes,2_60_1.25_225_10.csv,0.11145977812201242,0.27947920740600124,5755900.875,-1864171.0,3.0876463988550404,Yes,2_20_0.75_50_8.csv,0.5688274421916271,0.018001675838718034,4039330.0939999996,-1012339.5,3.9900943250757277,Yes,,
