Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,OutSamplePass3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,OutSamplePass6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,OutSamplePass7,Pass7
1_40_1_50_20.csv,0.11654011724999999,0.05176060404340366,No,,,,,,,2_80_1.25_50_12.csv,0.2685221122495419,0.07855579157698418,No,,2_20_0.75_50_18.csv,0.10588060565367974,0.22696791439216096,Yes,,1_60_0.75_125_18.csv,0.26753825550119675,0.02988502203556114,No,,1_120_0.75_75_16.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_40_1_50_4.csv,0.11654011724999999,0.05176060404340366,No,,,,,,,2_80_1.25_75_10.csv,0.2685221122495419,0.09822418886446897,No,,2_20_0.75_50_20.csv,0.10588060565367974,0.22696791439216096,Yes,,1_60_0.75_125_20.csv,0.26753825550119675,0.02988502203556114,No,,1_120_0.75_75_18.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_40_1_50_6.csv,0.11654011724999999,0.05176060404340366,No,,,,,,,2_80_1.25_75_12.csv,0.2685221122495419,0.07855579157698418,No,,2_20_0.75_50_8.csv,0.10588060565367974,0.22696791439216096,Yes,,1_60_0.75_125_4.csv,0.26753825550119675,0.02988502203556114,No,,1_120_0.75_75_20.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_40_1_50_8.csv,0.11654011724999999,0.05176060404340366,No,,,,,,,2_20_1.25_100_10.csv,0.2682584518871081,0.048894579072316174,No,,2_20_1_225_4.csv,0.10579186707754995,0.21814312279972992,Yes,,1_60_0.75_125_6.csv,0.26753825550119675,0.02988502203556114,No,,1_120_0.75_75_4.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_40_1_50_10.csv,0.11654011724999999,0.05176060404340366,No,,,,,,,2_20_1.25_100_12.csv,0.2682584518871081,0.048894579072316174,No,,1_100_1_125_10.csv,0.105664004570001,0.22524516344284634,Yes,,1_60_0.75_125_8.csv,0.26753825550119675,0.02988502203556114,No,,1_120_0.75_75_6.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_40_1_50_12.csv,0.11654011724999999,0.05176060404340366,No,,,,,,,2_20_1.25_100_14.csv,0.2682584518871081,0.048894579072316174,No,,1_100_1_125_12.csv,0.105664004570001,0.22524516344284634,Yes,,3_60_0.75_125_10.csv,0.26753825550119675,0.02988502203556114,No,,1_120_0.75_75_8.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_40_1_50_14.csv,0.11654011724999999,0.05176060404340366,No,,,,,,,2_20_1.25_100_16.csv,0.2682584518871081,0.048894579072316174,No,,1_100_1_125_14.csv,0.105664004570001,0.22524516344284634,Yes,,3_60_0.75_125_12.csv,0.26753825550119675,0.02988502203556114,No,,3_120_0.75_100_10.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_40_1_50_16.csv,0.11654011724999999,0.05176060404340366,No,,,,,,,2_20_1.25_100_18.csv,0.2682584518871081,0.048894579072316174,No,,1_100_1_125_16.csv,0.105664004570001,0.22524516344284634,Yes,,3_60_0.75_125_14.csv,0.26753825550119675,0.02988502203556114,No,,3_120_0.75_100_12.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_40_1_50_18.csv,0.11654011724999999,0.05176060404340366,No,,,,,,,2_20_1.25_100_20.csv,0.2682584518871081,0.048894579072316174,No,,1_100_1_125_18.csv,0.105664004570001,0.22524516344284634,Yes,,3_60_0.75_125_16.csv,0.26753825550119675,0.02988502203556114,No,,3_120_0.75_100_14.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_40_1_50_20.csv,0.11654011724999999,0.05176060404340366,No,,,,,,,2_20_1.25_100_8.csv,0.2682584518871081,0.048894579072316174,No,,1_100_1_125_20.csv,0.105664004570001,0.22524516344284634,Yes,,3_60_0.75_125_18.csv,0.26753825550119675,0.02988502203556114,No,,3_120_0.75_100_16.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_40_1_50_4.csv,0.11654011724999999,0.05176060404340366,No,,,,,,,2_120_1_100_8.csv,0.2678118899780597,-0.0035212424448940044,No,,1_100_1_125_4.csv,0.105664004570001,0.22524516344284634,Yes,,3_60_0.75_125_20.csv,0.26753825550119675,0.02988502203556114,No,,3_120_0.75_100_18.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_40_1_50_6.csv,0.11654011724999999,0.05176060404340366,No,,,,,,,2_120_1_125_8.csv,0.2678118899780597,-0.0035212424448940044,No,,1_100_1_125_6.csv,0.105664004570001,0.22524516344284634,Yes,,3_60_0.75_125_4.csv,0.26753825550119675,0.02988502203556114,No,,3_120_0.75_100_20.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
3_40_1_50_8.csv,0.11654011724999999,0.05176060404340366,No,,,,,,,2_120_1_150_8.csv,0.2678118899780597,-0.0035212424448940044,No,,1_100_1_125_8.csv,0.105664004570001,0.22524516344284634,Yes,,3_60_0.75_125_6.csv,0.26753825550119675,0.02988502203556114,No,,3_120_0.75_100_4.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_20_0.75_75_10.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_120_1_50_8.csv,0.2678118899780597,-0.0035212424448940044,No,,3_100_1_125_10.csv,0.105664004570001,0.22524516344284634,Yes,,3_60_0.75_125_8.csv,0.26753825550119675,0.02988502203556114,No,,3_120_0.75_100_6.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_20_0.75_75_12.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_120_1_75_8.csv,0.2678118899780597,-0.0035212424448940044,No,,3_100_1_125_12.csv,0.105664004570001,0.22524516344284634,Yes,,1_60_0.75_175_10.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_100_8.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_20_0.75_75_14.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_80_1.25_125_8.csv,0.2677904772552615,0.11416062870855295,Yes,,3_100_1_125_14.csv,0.105664004570001,0.22524516344284634,Yes,,1_60_0.75_175_12.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_125_10.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
1_20_0.75_75_16.csv,0.1153221015,0.007427151926640278,No,,,,,,,2_40_1.25_100_6.csv,0.26773484430826644,0.05665199788222859,No,,3_100_1_125_16.csv,0.105664004570001,0.22524516344284634,Yes,,1_60_0.75_175_14.csv,0.26753824304786317,0.012761938744355753,No,,3_120_0.75_125_12.csv,0.15499211242038377,-0.06666014827680634,No,,,,,,
