Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window2_GrossProfit,Window2_GrossLoss,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window3_GrossProfit,Window3_GrossLoss,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,Pass5
2_60_1.25_50_8.csv,0.22791587500000002,0.15318383549102965,22164274.003000002,-19385949.753,1.1433163855988049,No,1_60_0.75_150_10.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,2_60_1.25_200_12.csv,0.11796059714081915,0.28775964302593293,33672695.254,-28078518.629,1.1992333249098917,No,2_80_0.75_150_4.csv,0.6289575196385612,0.054330829894486156,45152717.562,-37610490.937,1.2005351814639622,No,No Plateau,No
2_60_1.25_75_8.csv,0.22791587500000002,0.15318383549102965,22164274.003000002,-19385949.753,1.1433163855988049,No,1_60_0.75_150_12.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,2_60_1.25_200_8.csv,0.11796058543980537,0.2877596826580958,38178376.875,-31835653.75,1.199233324209653,No,2_80_0.75_175_4.csv,0.6289575195325561,0.040008445685781706,34232548.375,-28349812.563,1.2075052806408213,No,,
2_60_1.25_150_8.csv,0.17872116259999998,0.15318382812759138,18110706.324,-15766751.574000001,1.1486644055371098,No,1_60_0.75_150_14.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,2_60_1.25_200_10.csv,0.1179605842342072,0.28775968263023877,35267733.812,-29408566.125,1.1992333683354648,No,2_80_0.75_200_4.csv,0.6289574050185518,0.028000579274197347,34085991.873,-28419963.936,1.1993678792048978,No,,
2_60_1.25_175_8.csv,0.17872116259999998,0.15318382812759138,18401499.949,-16057545.199000001,1.1459721720195422,No,1_60_0.75_150_16.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,2_60_1.25_200_14.csv,0.11796058267759746,0.2877596984684751,34083334.875,-28420935.875,1.1992333758784077,No,2_20_0.75_50_10.csv,0.5688274421916271,0.018001675838718034,25012101.277,-20972771.183,1.1925987776605402,No,,
2_60_1.5_50_8.csv,0.17515308759999998,0.19922976766138706,21073567.627,-18329260.627,1.1497227332758577,No,1_60_0.75_150_18.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,2_60_1.25_200_16.csv,0.11796058267759746,0.2877596984684751,34083334.875,-28420935.875,1.1992333758784077,No,2_20_0.75_50_12.csv,0.5688274421916271,0.018001675838718034,25012101.277,-20972771.183,1.1925987776605402,No,,
2_60_1.5_75_8.csv,0.17515308759999998,0.19922976766138706,21073567.627,-18329260.627,1.1497227332758577,No,1_60_0.75_150_20.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,2_60_1.25_200_18.csv,0.11796058267759746,0.2877596984684751,34083334.875,-28420935.875,1.1992333758784077,No,2_20_0.75_50_14.csv,0.5688274421916271,0.018001675838718034,25012101.277,-20972771.183,1.1925987776605402,No,,
2_60_1.25_100_8.csv,0.17442970000000002,0.14060756932476243,17623222.231,-15434882.480999999,1.1417788410565353,No,1_60_0.75_150_4.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,2_60_1.25_200_20.csv,0.11796058267759746,0.2877596984684751,34083334.875,-28420935.875,1.1992333758784077,No,2_20_0.75_50_16.csv,0.5688274421916271,0.018001675838718034,25012101.277,-20972771.183,1.1925987776605402,No,,
2_60_1.25_125_8.csv,0.17442970000000002,0.15318386869417677,18382720.981,-16076657.730999999,1.1434417083815442,No,1_60_0.75_150_6.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,2_60_1.25_225_12.csv,0.1114598249289179,0.27947915695174974,33111710.376,-27616129.751,1.1989989428117096,No,2_20_0.75_50_18.csv,0.5688274421916271,0.018001675838718034,25012101.277,-20972771.183,1.1925987776605402,No,,
2_60_1.25_50_6.csv,0.17223765,0.2215619510815201,20230981.755,-17307951.005,1.1688836968140008,No,1_60_0.75_150_8.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,2_60_1.25_225_8.csv,0.1114597934702631,0.2794791860482641,37542326.625,-31311393.375,1.198998913123265,No,2_20_0.75_50_20.csv,0.5688274421916271,0.018001675838718034,25012101.277,-20972771.183,1.1925987776605402,No,,
2_60_1.25_75_6.csv,0.17223765,0.2215619510815201,20230981.755,-17307951.005,1.1688836968140008,No,3_60_0.75_150_10.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,2_60_1.25_225_10.csv,0.11145977812201242,0.27947920740600124,34680178.247,-28924277.371999998,1.1989989516755213,No,2_20_0.75_50_8.csv,0.5688274421916271,0.018001675838718034,25012101.277,-20972771.183,1.1925987776605402,No,,
2_60_1.5_175_10.csv,0.1700334,0.17931484022793617,19151413.387000002,-16642434.387,1.150757932502943,No,3_60_0.75_150_12.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,2_60_1.25_225_14.csv,0.11145977586135834,0.27947920324211334,33515509.249,-27952909.374,1.1989989593059667,No,2_20_0.75_50_6.csv,0.5688274071973115,0.022713720557822944,24797899.249,-20599118.249,1.203833045145213,No,,
2_40_0.75_50_4.csv,0.16710840000000002,0.29013332301848715,25408576.58,-21910275.08,1.159664882673851,No,3_60_0.75_150_14.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,2_60_1.25_225_16.csv,0.11145977586135834,0.27947920324211334,33515509.249,-27952909.374,1.1989989593059667,No,2_20_0.75_50_4.csv,0.5650885225971132,0.059286312279942854,26790718.53,-21514790.28,1.2452233176032614,No,,
1_20_2_150_10.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,3_60_0.75_150_16.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,2_60_1.25_225_18.csv,0.11145977586135834,0.27947920324211334,33515509.249,-27952909.374,1.1989989593059667,No,2_80_0.75_225_4.csv,0.5579039655195913,0.028396439083933384,24250277.187,-20189213.156,1.2011501884506628,No,,
1_20_2_150_12.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,3_60_0.75_150_18.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,2_60_1.25_225_20.csv,0.11145977586135834,0.27947920324211334,33515509.249,-27952909.374,1.1989989593059667,No,2_20_0.75_75_6.csv,0.5348272339040212,0.023897199573010175,14131574.222000001,-11517739.316,1.2269399258211169,No,,
1_20_2_150_14.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,3_60_0.75_150_20.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,,,,,,,,2_20_0.75_75_10.csv,0.5348271780622955,0.01916008260386098,14014646.033,-11551855.455,1.2131943727649421,No,,
1_20_2_150_16.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,3_60_0.75_150_4.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,,,,,,,,2_20_0.75_75_12.csv,0.5348271780622955,0.01916008260386098,14014646.033,-11551855.455,1.2131943727649421,No,,
1_20_2_150_18.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,3_60_0.75_150_6.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,,,,,,,,2_20_0.75_75_14.csv,0.5348271780622955,0.01916008260386098,14014646.033,-11551855.455,1.2131943727649421,No,,
1_20_2_150_20.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,3_60_0.75_150_8.csv,0.3715126933226539,0.01650825961993318,15496420.173,-13583248.267,1.1408478935519408,No,,,,,,,,2_20_0.75_75_16.csv,0.5348271780622955,0.01916008260386098,14014646.033,-11551855.455,1.2131943727649421,No,,
1_20_2_150_4.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,1_60_0.75_50_10.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_20_0.75_75_18.csv,0.5348271780622955,0.01916008260386098,14014646.033,-11551855.455,1.2131943727649421,No,,
1_20_2_150_6.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,1_60_0.75_50_12.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_20_0.75_75_20.csv,0.5348271780622955,0.01916008260386098,14014646.033,-11551855.455,1.2131943727649421,No,,
1_20_2_150_8.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,1_60_0.75_50_14.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_20_0.75_75_8.csv,0.5348271780622955,0.01916008260386098,14014646.033,-11551855.455,1.2131943727649421,No,,
3_20_2_150_10.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,1_60_0.75_50_16.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_20_0.75_75_4.csv,0.5312535593268147,0.023897187299140053,15163312.002,-12342389.533,1.2285556181368011,No,,
3_20_2_150_12.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,1_60_0.75_50_18.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_80_0.75_200_6.csv,0.5386588224337221,0.028000613434723255,36366505.875,-30661630.625,1.1860590951529018,No,,
3_20_2_150_14.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,1_60_0.75_50_20.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_80_0.75_175_6.csv,0.5386587876126328,0.04000842696415574,37562638.5,-31453418.938,1.1942306995001817,No,,
3_20_2_150_16.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,1_60_0.75_50_6.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_80_0.75_150_6.csv,0.5386587772327204,0.05433079502336942,51059838.875,-42951742.625,1.1887722302861978,No,,
3_20_2_150_18.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,1_60_0.75_50_8.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_80_0.75_125_4.csv,0.5373759709172914,0.044564128031188054,36431927.749,-30877891.999,1.1798709494216726,No,,
3_20_2_150_20.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,3_60_0.75_50_10.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_80_0.75_100_4.csv,0.5373759702098395,0.0253083422374418,31930810.781,-27414490.125,1.16474209935721,No,,
3_20_2_150_4.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,3_60_0.75_50_12.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_80_0.75_50_4.csv,0.5373759702098395,0.0253083422374418,31930810.781,-27414490.125,1.16474209935721,No,,
3_20_2_150_6.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,3_60_0.75_50_14.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_80_0.75_75_4.csv,0.5373759702098395,0.0253083422374418,31930810.781,-27414490.125,1.16474209935721,No,,
3_20_2_150_8.csv,0.16627675,0.024743025594717652,3168130.5960000004,-2110176.971,1.5013577721391977,Yes,3_60_0.75_50_16.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_100_1_150_4.csv,0.5071404095998022,0.02969310573159501,29536111.033000004,-25190036.564,1.1725314871202346,No,,
2_60_1.5_50_10.csv,0.1653878876,0.1793148725053687,20786251.684,-18321325.184,1.134538657834239,No,3_60_0.75_50_18.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_100_1_125_4.csv,0.5071404119194998,0.026217001189596002,28468322.905,-24253769.749,1.1737689934231263,No,,
2_60_1.5_75_10.csv,0.1653878876,0.1793148725053687,20786251.684,-18321325.184,1.134538657834239,No,3_60_0.75_50_20.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_100_1_100_4.csv,0.5071404024995085,0.00840584430827994,26139732.875,-22570135.438,1.1581557827513111,No,,
1_20_2_175_10.csv,0.16405015,0.02341523551082179,3148471.8419999997,-2115113.0919999997,1.488559573437693,No,3_60_0.75_50_6.csv,0.3713265994426064,-0.0074604960647371,17930445.428,-16251386.819,1.1033178662043144,No,,,,,,,,2_100_1_50_4.csv,0.5071404024995085,0.00840584430827994,26139732.875,-22570135.438,1.1581557827513111,No,,
