Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Pass8,Para9,Pass9
2_40_1.25_50_4.csv,0.4554242083333333,0.0458448865333089,Yes,2_100_0.75_175_6.csv,0.4719198603044543,-0.006175992810470412,No,2_120_2_200_18.csv,0.3550944671397572,-0.04885007767894117,No,2_20_1.25_50_4.csv,0.27276965034188244,0.04130922331931979,Yes,1_80_0.75_150_4.csv,0.14335309736741356,0.0005215053953889165,Yes,1_20_1_50_10.csv,0.14261824759881392,0.016226025806844444,Yes,2_120_1.75_175_4.csv,0.3187907014324876,0.007120250006887416,Yes,2_120_0.75_50_4.csv,0.3788148539365778,-0.03874981131075938,No,No Plateau,No
2_40_1.25_50_6.csv,0.4055051666666667,0.12550823954686235,Yes,2_100_0.75_200_6.csv,0.4719198603044543,0.006645034428008897,Yes,2_120_2_200_20.csv,0.3550944671397572,-0.04885007767894117,No,2_20_1.5_150_4.csv,0.25988038782003053,-0.02931767594325862,No,3_80_0.75_150_4.csv,0.14335309736741356,0.0005215053953889165,Yes,1_20_1_50_12.csv,0.14261824759881392,0.016226025806844444,Yes,2_120_1.75_100_4.csv,0.3187906662311821,0.007120263476091815,Yes,2_120_0.75_100_4.csv,0.37881479615826535,-0.03874984973659405,No,,
2_60_1.25_50_4.csv,0.3990995416666666,0.218453598525629,Yes,2_120_1_200_8.csv,0.46101108080769937,0.16280852362405804,Yes,2_120_2_225_18.csv,0.3550944671397572,-0.04885007767894117,No,2_20_1.5_50_4.csv,0.2597417531911701,-0.10121284887783011,No,2_20_0.75_50_4.csv,0.14668328486754836,0.05864974430493754,Yes,1_20_1_50_14.csv,0.14261824759881392,0.016226025806844444,Yes,2_120_1.75_125_4.csv,0.3187906662311821,0.007120263476091815,Yes,2_120_0.75_125_4.csv,0.37881479615826535,-0.03874984973659405,No,,
2_40_1.25_75_4.csv,0.38129783333333334,0.004781059942265478,Yes,2_120_1_225_8.csv,0.45957594583722705,0.19191373647903692,Yes,2_120_2_225_20.csv,0.3550944671397572,-0.04885007767894117,No,2_20_1.25_50_6.csv,0.2526895576214544,0.013007985477511958,Yes,2_20_1.25_150_4.csv,0.1402159489238825,0.04652354312045847,Yes,1_20_1_50_16.csv,0.14261824759881392,0.016226025806844444,Yes,2_120_1.75_50_4.csv,0.3187906662311821,0.007120263476091815,Yes,2_120_0.75_150_4.csv,0.37881479615826535,-0.040433676957151846,No,,
2_40_1.25_50_8.csv,0.3725075,0.3411917307450885,Yes,2_100_0.75_175_10.csv,0.45616921438333063,0.11919195834783039,Yes,2_120_2_125_18.csv,0.35509446849499965,-0.04885008550980541,No,2_20_1.5_150_6.csv,0.2462758741919352,-0.045235567007230214,No,2_40_1_225_4.csv,0.13917706392386572,-0.03196355340064964,No,1_20_1_50_18.csv,0.14261824759881392,0.016226025806844444,Yes,2_120_1.75_75_4.csv,0.3187906662311821,0.007120263476091815,Yes,2_120_0.75_75_4.csv,0.37881479615826535,-0.03874984973659405,No,,
2_40_1.75_50_6.csv,0.36535416666666665,0.066374054526841,Yes,2_100_0.75_175_12.csv,0.45616921438333063,0.11919195834783039,Yes,2_120_2_125_20.csv,0.35509446849499965,-0.04885008550980541,No,2_20_1.5_50_6.csv,0.24614042895737384,-0.10123047894468767,No,2_20_1.25_150_6.csv,0.13627646311919123,0.034508609523354064,Yes,1_20_1_50_20.csv,0.14261824759881392,0.016226025806844444,Yes,2_120_1.75_225_4.csv,0.3187906662119075,0.007120307464633343,Yes,2_120_0.75_175_4.csv,0.3680799897631246,-0.04043369973737854,No,,
2_40_1.25_50_10.csv,0.33858335433333336,0.3411917603067109,Yes,2_100_0.75_175_14.csv,0.45616921438333063,0.11919195834783039,Yes,2_120_2_150_18.csv,0.35509446849499965,-0.04885008550980541,No,2_20_1_150_4.csv,0.23909748371374023,0.0376908075264448,Yes,2_20_1_225_10.csv,0.13506757981612597,0.020430843523163076,Yes,1_20_1_50_4.csv,0.14261824759881392,0.016226025806844444,Yes,2_120_1.75_200_4.csv,0.31879063678453223,0.007120266850543433,Yes,2_40_1.75_100_6.csv,0.3594143775477296,-0.029465216547290007,No,,
2_40_1.25_75_6.csv,0.33607004166666665,0.07581714089804223,Yes,2_100_0.75_175_16.csv,0.45616921438333063,0.11919195834783039,Yes,2_120_2_150_20.csv,0.35509446849499965,-0.04885008550980541,No,2_20_1.25_150_4.csv,0.23011188177989583,0.1402159489238825,Yes,2_20_1_225_12.csv,0.13506757981612597,0.020430843523163076,Yes,1_20_1_50_6.csv,0.14261824759881392,0.016226025806844444,Yes,2_120_1.75_150_4.csv,0.3187905571079005,0.007120218791477954,Yes,2_40_1.75_75_6.csv,0.3594142757226615,-0.021109449230790958,No,,
2_80_1.5_50_4.csv,0.3238805,0.2103304953427554,Yes,2_100_0.75_175_18.csv,0.45616921438333063,0.11919195834783039,Yes,2_120_2_100_18.csv,0.3550944569637787,-0.04885007658236546,No,2_20_1_150_6.csv,0.2276077734168392,0.03660749703966484,Yes,2_20_1_225_14.csv,0.13506757981612597,0.020430843523163076,Yes,1_20_1_50_8.csv,0.14261824759881392,0.016226025806844444,Yes,2_100_1.75_225_4.csv,0.31095643906867876,0.08030617830279246,Yes,2_40_1.75_50_6.csv,0.3594142155527219,-0.033959879091761014,No,,
2_80_1.5_75_4.csv,0.3238805,0.2103304953427554,Yes,2_100_0.75_175_20.csv,0.45616921438333063,0.11919195834783039,Yes,2_120_2_100_20.csv,0.3550944569637787,-0.04885007658236546,No,2_20_1.25_50_10.csv,0.22721873463692588,-0.027865797309630402,No,2_20_1_225_16.csv,0.13506757981612597,0.020430843523163076,Yes,3_20_1_50_10.csv,0.14261824759881392,0.016226025806844444,Yes,2_100_1.75_125_4.csv,0.31095643126557193,0.0911272393876097,Yes,2_100_0.75_50_4.csv,0.35515054315583305,-0.04557046647731058,No,,
2_40_1.5_50_6.csv,0.3090229583333333,0.0005473987015643123,Yes,2_100_0.75_175_8.csv,0.45616921438333063,0.11919195834783039,Yes,2_120_2_50_18.csv,0.3550944569637787,-0.04885007658236546,No,2_20_1.25_50_12.csv,0.22721873463692588,-0.027865797309630402,No,2_20_1_225_18.csv,0.13506757981612597,0.020430843523163076,Yes,3_20_1_50_12.csv,0.14261824759881392,0.016226025806844444,Yes,2_100_1.75_100_4.csv,0.31095641547688957,0.0911272077651218,Yes,2_100_0.75_150_4.csv,0.3551505261217751,-0.04721539373535853,No,,
2_40_1.25_75_8.csv,0.30617347933333333,0.26814292782286914,Yes,2_100_0.75_200_10.csv,0.45616921438333063,0.13692607935759615,Yes,2_120_2_50_20.csv,0.3550944569637787,-0.04885007658236546,No,2_20_1.25_50_14.csv,0.22721873463692588,-0.027865797309630402,No,2_20_1_225_20.csv,0.13506757981612597,0.020430843523163076,Yes,3_20_1_50_14.csv,0.14261824759881392,0.016226025806844444,Yes,2_100_1.75_50_4.csv,0.31095641547688957,0.0911272077651218,Yes,2_100_0.75_100_4.csv,0.35515051953454685,-0.04557051035120214,No,,
2_40_1_50_4.csv,0.300299896,0.07841761541004928,Yes,2_100_0.75_200_12.csv,0.45616921438333063,0.13692607935759615,Yes,2_120_2_75_18.csv,0.3550944569637787,-0.04885007658236546,No,2_20_1.25_50_16.csv,0.22721873463692588,-0.027865797309630402,No,2_20_1_225_8.csv,0.13506757981612597,0.020430843523163076,Yes,3_20_1_50_16.csv,0.14261824759881392,0.016226025806844444,Yes,2_100_1.75_75_4.csv,0.31095641547688957,0.0911272077651218,Yes,2_100_0.75_125_4.csv,0.35515051953454685,-0.04557051035120214,No,,
1_40_1_50_10.csv,0.29447254166666664,0.13370496714273164,Yes,2_100_0.75_200_14.csv,0.45616921438333063,0.13692607935759615,Yes,2_120_2_75_20.csv,0.3550944569637787,-0.04885007658236546,No,2_20_1.25_50_18.csv,0.22721873463692588,-0.027865797309630402,No,1_60_1_200_10.csv,0.10888257160051318,0.016376135690573838,Yes,3_20_1_50_18.csv,0.14261824759881392,0.016226025806844444,Yes,2_100_1.75_150_4.csv,0.31095640620325965,0.09112725611791839,Yes,2_100_0.75_75_4.csv,0.35515051953454685,-0.04557051035120214,No,,
1_40_1_50_12.csv,0.29447254166666664,0.13370496714273164,Yes,2_100_0.75_200_16.csv,0.45616921438333063,0.13692607935759615,Yes,2_120_2_175_18.csv,0.35509444098090087,-0.04885006853947835,No,2_20_1.25_50_20.csv,0.22721873463692588,-0.027865797309630402,No,1_60_1_200_12.csv,0.10888257160051318,0.016376135690573838,Yes,3_20_1_50_20.csv,0.14261824759881392,0.016226025806844444,Yes,2_100_1.75_175_4.csv,0.3109563771864801,0.09112724345114925,Yes,2_40_1.75_50_4.csv,0.3313794690142246,-0.029789049972552807,No,,
1_40_1_50_14.csv,0.29447254166666664,0.13370496714273164,Yes,2_100_0.75_200_18.csv,0.45616921438333063,0.13692607935759615,Yes,2_120_2_175_20.csv,0.35509444098090087,-0.04885006853947835,No,2_20_1.25_50_8.csv,0.22721873463692588,-0.027865797309630402,No,1_60_1_200_14.csv,0.10888257160051318,0.016376135690573838,Yes,3_20_1_50_4.csv,0.14261824759881392,0.016226025806844444,Yes,2_100_1.75_200_4.csv,0.31095638012503785,0.11155161712044288,Yes,2_40_1.75_100_4.csv,0.3313794674628634,-0.02523174603830699,No,,
1_40_1_50_16.csv,0.29447254166666664,0.13370496714273164,Yes,2_100_0.75_200_20.csv,0.45616921438333063,0.13692607935759615,Yes,2_120_1.25_100_14.csv,0.3388468876198351,-0.00024869666537410344,No,2_20_1.5_50_10.csv,0.22697607123671454,-0.07675706220112348,No,1_60_1_200_16.csv,0.10888257160051318,0.016376135690573838,Yes,3_20_1_50_6.csv,0.14261824759881392,0.016226025806844444,Yes,2_80_0.75_100_4.csv,0.27287377676051017,0.1980030141380612,Yes,2_40_1.75_75_4.csv,0.3313794282296697,-0.016759589874646808,No,,
1_40_1_50_18.csv,0.29447254166666664,0.13370496714273164,Yes,2_100_0.75_200_8.csv,0.45616921438333063,0.13692607935759615,Yes,2_120_1.25_125_14.csv,0.3388468876198351,-0.00024869666537410344,No,2_20_1.5_50_12.csv,0.22697607123671454,-0.07675706220112348,No,1_60_1_200_18.csv,0.10888257160051318,0.016376135690573838,Yes,3_20_1_50_8.csv,0.14261824759881392,0.016226025806844444,Yes,2_80_0.75_50_4.csv,0.27287377676051017,0.1980030141380612,Yes,2_40_1.75_100_18.csv,0.30863596317088143,-0.02946524150987013,No,,
1_40_1_50_20.csv,0.29447254166666664,0.13370496714273164,Yes,2_100_0.75_225_10.csv,0.4561691682187877,0.13692606673878607,Yes,2_120_1.25_50_14.csv,0.3388468876198351,-0.00024869666537410344,No,2_20_1.5_50_14.csv,0.22697607123671454,-0.07675706220112348,No,1_60_1_200_20.csv,0.10888257160051318,0.016376135690573838,Yes,,,,,2_80_0.75_75_4.csv,0.27287377676051017,0.1980030141380612,Yes,2_40_1.75_100_20.csv,0.30863596317088143,-0.02946524150987013,No,,
1_40_1_50_4.csv,0.29447254166666664,0.13370496714273164,Yes,2_100_0.75_225_12.csv,0.4561691682187877,0.13692606673878607,Yes,2_120_1.25_75_14.csv,0.3388468876198351,-0.00024869666537410344,No,2_20_1.5_50_16.csv,0.22697607123671454,-0.07675706220112348,No,1_60_1_200_4.csv,0.10888257160051318,0.016376135690573838,Yes,,,,,2_80_0.75_175_4.csv,0.27287372234178164,0.14250977356761005,Yes,2_40_1.75_75_16.csv,0.3086359554390631,-0.021109492228908115,No,,
1_40_1_50_6.csv,0.29447254166666664,0.13370496714273164,Yes,2_100_0.75_225_14.csv,0.4561691682187877,0.13692606673878607,Yes,2_120_1.25_150_16.csv,0.3388468794473939,-0.0002486931800929653,No,2_20_1.5_50_18.csv,0.22697607123671454,-0.07675706220112348,No,1_60_1_200_6.csv,0.10888257160051318,0.016376135690573838,Yes,,,,,2_80_0.75_150_4.csv,0.2728737058541023,0.19800300374358526,Yes,2_40_1.75_50_18.csv,0.30863593557445324,-0.03395986178455617,No,,
1_40_1_50_8.csv,0.29447254166666664,0.13370496714273164,Yes,2_100_0.75_225_16.csv,0.4561691682187877,0.13692606673878607,Yes,2_120_1.25_150_18.csv,0.3388468794473939,-0.0002486931800929653,No,2_20_1.5_50_20.csv,0.22697607123671454,-0.07675706220112348,No,1_60_1_200_8.csv,0.10888257160051318,0.016376135690573838,Yes,,,,,2_80_0.75_125_4.csv,0.2728736518626844,0.1980029682686945,Yes,2_40_1.75_50_20.csv,0.30863593557445324,-0.03395986178455617,No,,
3_40_1_50_10.csv,0.29447254166666664,0.13370496714273164,Yes,2_100_0.75_225_18.csv,0.4561691682187877,0.13692606673878607,Yes,2_120_1.25_150_20.csv,0.3388468794473939,-0.0002486931800929653,No,2_20_1.5_50_8.csv,0.22697591229869635,-0.07675706066948133,No,3_60_1_200_10.csv,0.10888257160051318,0.016376135690573838,Yes,,,,,2_80_0.75_200_4.csv,0.27287364486984983,0.1425098260602377,Yes,2_40_1.75_100_12.csv,0.30863592908798937,-0.029465238149105538,No,,
