Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Score_5,Pass5
2_20_1_50_4.csv,0.35860095,-0.004610214143030011,-0.008368858289109713,No,2_120_1.25_225_6.csv,0.5485740085491533,-0.07048233412807522,-0.7891372341113883,No,No Plateau,No,2_120_0.75_225_6.csv,0.5629604820249565,0.012492166434986886,0.0938560961216535,No,2_40_1_50_4.csv,0.13309914807013823,0.003790695758366809,0.045468213691080006,No
2_20_1_75_4.csv,0.341016875,-0.003748062387148275,-0.006803806071396626,No,2_100_1.25_225_6.csv,0.5284783228389589,-0.03255576901329447,-0.36450225196624064,No,,,2_120_0.75_150_6.csv,0.5629603679606972,0.025450453221732817,0.19121424585159308,No,2_100_1.5_125_12.csv,0.12772727669358602,0.01860889962634496,0.223207948804378,No
2_20_1_125_4.csv,0.32502905,-0.003177100390921226,-0.005767346617096552,No,2_100_1.25_200_6.csv,0.4858059133658146,-0.04062138770239271,-0.45480686662537384,No,,,2_120_0.75_200_6.csv,0.562960362595271,0.025450492641213445,0.19121454201788116,No,2_100_1.5_175_12.csv,0.12772727571610853,0.018608834344581632,0.2232071657699816,No
2_20_1_150_4.csv,0.3196866,0.0013078555421671446,0.0023741321672814835,No,2_120_1.25_225_4.csv,0.4717897841276058,-0.07301158085899459,-0.8174552913141497,No,,,2_120_0.75_100_6.csv,0.562960282345118,0.02545050656037203,0.19121464659524914,No,2_100_1.5_150_14.csv,0.12772726887887287,0.018608848985043013,0.223207341377751,No
2_40_0.75_150_10.csv,0.301511975,0.17047444105048745,0.30945990680794067,No,2_100_1_100_4.csv,0.4643484815536759,-0.04766012541127399,-0.5336142738421784,No,,,2_120_0.75_125_6.csv,0.562960282345118,0.02545050656037203,0.19121464659524914,No,2_100_1.5_175_18.csv,0.1277272659448006,0.018608839456745567,0.22320722708879404,No
2_40_0.75_150_12.csv,0.301511975,0.17047444105048745,0.30945990680794067,No,2_100_1_50_4.csv,0.4643484815536759,-0.04766012541127399,-0.5336142738421784,No,,,2_120_0.75_75_6.csv,0.562960282345118,0.02545050656037203,0.19121464659524914,No,2_100_1.5_175_20.csv,0.1277272659448006,0.018608839456745567,0.22320722708879404,No
2_40_0.75_150_14.csv,0.301511975,0.17047444105048745,0.30945990680794067,No,2_100_1_75_4.csv,0.4643484815536759,-0.04766012541127399,-0.5336142738421784,No,,,2_120_0.75_175_6.csv,0.5629601349854276,0.025450506599328588,0.19121464688793738,No,2_100_1.5_150_12.csv,0.12772726150014388,0.01860885033274784,0.22320735754305018,No
2_40_0.75_150_16.csv,0.301511975,0.17047444105048745,0.30945990680794067,No,2_100_1_125_4.csv,0.4643484388114726,-0.047660104548485474,-0.5336140402573599,No,,,2_40_1_75_4.csv,0.5073051284632477,0.10033611538816645,0.753844910677013,Yes,2_100_1.5_125_10.csv,0.12772726035942683,0.018608839035159412,0.22320722203199955,No
2_40_0.75_150_18.csv,0.301511975,0.17047444105048745,0.30945990680794067,No,2_100_1_150_4.csv,0.4643484388114726,-0.047660104548485474,-0.5336140402573599,No,,,2_120_0.75_100_4.csv,0.5133538021532129,0.030034012325230675,0.22565142422541984,No,2_100_1.5_100_16.csv,0.12772725366622262,0.01860884658414134,0.22320731257968404,No
2_40_0.75_150_20.csv,0.301511975,0.17047444105048745,0.30945990680794067,No,2_100_1.25_175_6.csv,0.4630539702942946,-0.040621382595187217,-0.4548068094438678,No,,,2_120_0.75_125_4.csv,0.5133538021532129,0.030034012325230675,0.22565142422541984,No,2_100_1.5_50_16.csv,0.12772725366622262,0.01860884658414134,0.22320731257968404,No
2_40_0.75_150_6.csv,0.301511975,0.20014578769759045,0.3633218940460114,No,2_100_1.5_100_10.csv,0.4535231470763873,-0.059324528541242524,-0.6642117481939399,No,,,2_120_0.75_75_4.csv,0.5133538021532129,0.030034012325230675,0.22565142422541984,No,2_100_1.5_75_16.csv,0.12772725366622262,0.01860884658414134,0.22320731257968404,No
2_40_0.75_150_8.csv,0.301511975,0.17047444105048745,0.30945990680794067,No,2_100_1.5_50_10.csv,0.4535231470763873,-0.059324528541242524,-0.6642117481939399,No,,,2_120_0.75_150_4.csv,0.5133537864538669,0.03003402855984401,0.2256515461992534,No,2_100_1.5_100_12.csv,0.12772725126862733,0.01860886487614332,0.22320753198654436,No
1_20_0.75_50_10.csv,0.294342025,0.10875667509757034,0.19742449561965794,No,2_100_1.5_75_10.csv,0.4535231470763873,-0.059324528541242524,-0.6642117481939399,No,,,2_120_0.75_200_4.csv,0.5077457316138014,0.03003400047198116,0.22565133516963184,No,2_100_1.5_50_12.csv,0.12772725126862733,0.01860886487614332,0.22320753198654436,No
1_20_0.75_50_12.csv,0.294342025,0.10875667509757034,0.19742449561965794,No,2_100_1.5_125_10.csv,0.45352313573475844,-0.059324527686955175,-0.6642117386291324,No,,,2_120_0.75_225_4.csv,0.5077456054966674,0.016812238972569702,0.12631364825642974,No,2_100_1.5_75_12.csv,0.12772725126862733,0.01860886487614332,0.22320753198654436,No
