Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5
2_40_0.75_150_6.csv,0.301511975,0.20014578769759045,4001558.25,-1141866.25,3.5044018947052686,Yes,2_100_1.5_100_10.csv,0.4535231470763873,-0.059324528541242524,1700774.0,-2326573.25,0.7310210413534154,No,,,2_120_0.75_75_4.csv,0.5133538021532129,0.030034012325230675,7441292.125,-3143083.5,2.3675133431867144,Yes,2_100_1.5_75_16.csv,0.12772725366622262,0.01860884658414134,4537096.5,-1858419.0,2.4413743617558796,Yes
2_40_0.75_150_8.csv,0.301511975,0.17047444105048745,3630686.0,-1185102.75,3.0636044005467036,Yes,2_100_1.5_50_10.csv,0.4535231470763873,-0.059324528541242524,1700774.0,-2326573.25,0.7310210413534154,No,,,2_120_0.75_150_4.csv,0.5133537864538669,0.03003402855984401,7579095.0,-3201289.5,2.3675131536838516,Yes,2_100_1.5_100_12.csv,0.12772725126862733,0.01860886487614332,6015919.0,-2464152.0,2.4413749638820983,Yes
1_20_0.75_50_10.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_100_1.5_75_10.csv,0.4535231470763873,-0.059324528541242524,1700774.0,-2326573.25,0.7310210413534154,No,,,2_120_0.75_200_4.csv,0.5077457316138014,0.03003400047198116,5547603.625,-2349219.75,2.361466450722628,Yes,2_100_1.5_50_12.csv,0.12772725126862733,0.01860886487614332,6015919.0,-2464152.0,2.4413749638820983,Yes
1_20_0.75_50_12.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_100_1.5_125_10.csv,0.45352313573475844,-0.059324527686955175,1640391.344,-2243973.25,0.7310208996475337,No,,,2_120_0.75_225_4.csv,0.5077456054966674,0.016812238972569702,5022597.75,-2364036.75,2.1245853094288827,Yes,2_100_1.5_75_12.csv,0.12772725126862733,0.01860886487614332,6015919.0,-2464152.0,2.4413749638820983,Yes
1_20_0.75_50_14.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_100_1.5_150_10.csv,0.4535231291901633,-0.05932451563326763,1557450.5159999998,-2130513.625,0.731021148010729,No,,,2_120_0.75_175_4.csv,0.5077454923328806,0.030033995110924524,3129743.633,-1325339.25,2.361466041996417,Yes,2_100_1.5_200_12.csv,0.12772725074586344,0.021313609532460233,4969469.5,-1980056.0,2.5097620976376427,Yes
1_20_0.75_50_16.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_100_1.5_225_10.csv,0.45054040895257763,-0.06942721671764107,1291484.9840000002,-1886268.625,0.6846771275750824,No,,,2_40_1_50_4.csv,0.47769912427376315,0.13309914807013823,12143816.875,-3097769.0,3.9201815483982183,Yes,2_100_1.5_150_16.csv,0.1277272501811501,0.018608838668497815,4154756.5,-1701811.0,2.4413736307968392,Yes
1_20_0.75_50_18.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_100_1.5_125_8.csv,0.44865478120096736,-0.06784719199481712,1238407.164,-2059691.25,0.6012586420416167,No,,,2_40_1_100_4.csv,0.4420962490787754,0.04630366874083551,9428666.5,-2648966.0,3.5593761867838243,Yes,2_100_1.5_225_14.csv,0.12772724985428388,0.008134753447885897,3798296.0,-1745106.5,2.1765410878934897,Yes
1_20_0.75_50_20.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_100_1.5_150_8.csv,0.4486546983450644,-0.06784718883338765,1308067.344,-2175548.625,0.6012586108021374,No,,,2_60_1.25_50_6.csv,0.4254955452110699,0.003038351418378204,4572424.375,-3682517.0,1.2416573704887173,No,2_100_1.5_200_10.csv,0.12772724814422134,0.021313600235073983,5428495.0,-2162951.0,2.5097632817386986,Yes
1_20_0.75_50_4.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_100_1.5_100_8.csv,0.44865464133515687,-0.06784719580327063,1283992.203,-2135508.125,0.6012584021425814,No,,,2_60_1.25_75_6.csv,0.4254955452110699,0.003038351418378204,4572424.375,-3682517.0,1.2416573704887173,No,2_100_1.5_175_16.csv,0.12772724569011085,0.018608864062844354,3448001.75,-1412320.0,2.4413742990257163,Yes
1_20_0.75_50_6.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_100_1.5_50_8.csv,0.44865464133515687,-0.06784719580327063,1283992.203,-2135508.125,0.6012584021425814,No,,,2_40_0.75_75_4.csv,0.4217993836955955,0.05399386503231037,10671656.25,-4322216.0,2.469024280600507,Yes,2_100_1.5_200_18.csv,0.12772724478231207,0.021313623591596945,3111961.75,-1239942.5,2.5097629527175656,Yes
1_20_0.75_50_8.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_100_1.5_75_8.csv,0.44865464133515687,-0.06784719580327063,1283992.203,-2135508.125,0.6012584021425814,No,,,2_60_1.5_50_6.csv,0.41834032404827387,0.04821514415371646,11021643.0,-5546232.0,1.9872307902013475,Yes,2_100_1.5_200_20.csv,0.12772724478231207,0.021313623591596945,3111961.75,-1239942.5,2.5097629527175656,Yes
3_20_0.75_50_10.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_100_1.5_225_8.csv,0.4456941673824485,-0.07733786461078525,1074711.062,-1926141.25,0.5579606698106901,No,,,2_60_1.5_75_6.csv,0.41834017265097445,0.04821510036215307,11171591.0,-5621691.0,1.9872296431803171,Yes,2_100_1.5_225_18.csv,0.12772724350014794,0.008134791265871945,2722988.25,-1251061.0,2.1765431501741324,Yes
3_20_0.75_50_12.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_120_1.5_225_8.csv,0.4284387784741774,-0.08061699603651773,878081.43,-1589600.875,0.5523911340323087,No,,,2_60_1_50_4.csv,0.41827070725069404,0.0017192416138622517,4801933.5,-3346621.0,1.434860266519573,No,2_100_1.5_225_20.csv,0.12772724350014794,0.008134791265871945,2722988.25,-1251061.0,2.1765431501741324,Yes
3_20_0.75_50_14.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_120_1.5_225_6.csv,0.4206457501415653,-0.02595232404022144,1971029.5159999998,-1021755.0,1.9290627557486872,Yes,,,2_60_1_75_4.csv,0.418270700456456,0.0017192526099003833,4694747.875,-3271920.0,1.4348602273282964,No,2_100_1.5_225_12.csv,0.12772724249959044,0.00813478887346622,4348321.0,-1997810.5,2.1765432707456487,Yes
3_20_0.75_50_16.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_80_1.25_150_8.csv,0.4205965110271803,-0.06871674435105503,1344755.062,-2522829.25,0.5330345135327728,No,,,2_60_1.5_225_6.csv,0.4110899647335221,0.02640866406123902,5930766.375,-2945231.5,2.013684280845156,Yes,2_100_1.5_125_14.csv,0.12772723948817408,0.018608864457489903,5068391.5,-2076040.5,2.4413740965072694,Yes
3_20_0.75_50_18.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_100_0.75_125_4.csv,0.41680032856538013,-0.07168312209048765,1436491.094,-3498108.625,0.41064793806967614,No,,,2_80_2_225_8.csv,0.41052958176355814,0.024641185631162018,3625082.562,-1181482.75,3.0682484039652715,Yes,2_100_1.5_125_16.csv,0.12772723936490812,0.018608863239484737,4376017.0,-1792439.5,2.441375008752039,Yes
3_20_0.75_50_20.csv,0.294342025,0.10875667509757034,2815785.0,-1751371.75,1.6077597460390691,Yes,2_100_0.75_100_4.csv,0.41680030758512226,-0.07168314548033897,1490697.656,-3630113.125,0.41064771390561,No,,,2_80_2_50_8.csv,0.4105295593006024,0.04053886708604447,4685932.0,-1149997.5,4.074732336374645,Yes,2_100_1.5_100_14.csv,0.12772723851274653,0.018608841783732358,5254957.0,-2152459.0,2.44137379620239,Yes
