Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window_6_NetProfit,Window_6_MDD,Score_6,Pass6,Para7,Pass7
2_20_0.75_100_10.csv,0.23562403125000003,-0.0038698633486658595,937627.75,-780683.375,1.2010346063793147,No,No Plateau,No,No Plateau,No,2_120_0.75_225_4.csv,0.20291749901884576,0.493161453537791,2635484.438,-784220.5,3.3606421127731294,Yes,2_100_0.75_175_4.csv,0.5503950662835877,0.007825356567893476,1568963.125,-993867.812,1.5786436647371773,Yes,2_100_0.75_100_6.csv,0.1860465502435543,0.02652064115477424,1801238.375,-1082457.5,1.6640268786534345,Yes,No Plateau,No
2_20_0.75_100_12.csv,0.23562403125000003,-0.0038698633486658595,937627.75,-780683.375,1.2010346063793147,No,,,,,2_100_0.75_225_4.csv,0.15302068084679032,0.5503949661014853,2638753.656,-1016196.25,2.596696903772278,Yes,2_100_0.75_100_4.csv,0.5503950728441926,0.11041618997983862,2885490.3910000003,-1179314.5,2.4467522369986976,Yes,2_100_0.75_75_6.csv,0.1860465502435543,0.02652064115477424,1801238.375,-1082457.5,1.6640268786534345,Yes,,
2_20_0.75_100_14.csv,0.23562403125000003,-0.0038698633486658595,937627.75,-780683.375,1.2010346063793147,No,,,,,2_100_0.75_225_6.csv,0.1485002278414028,0.4920354355205141,2284507.0,-600879.125,3.8019410309852253,Yes,2_100_0.75_75_4.csv,0.5503950728441926,0.11041618997983862,2885490.3910000003,-1179314.5,2.4467522369986976,Yes,2_100_0.75_50_6.csv,0.1860465444535205,0.02652063204010148,1337204.25,-803595.25,1.6640270708419445,Yes,,
2_20_0.75_100_16.csv,0.23562403125000003,-0.0038698633486658595,937627.75,-780683.375,1.2010346063793147,No,,,,,2_120_0.75_225_6.csv,0.14305998275919432,0.27421632102205695,944141.032,-325226.0,2.903030606409082,Yes,2_100_0.75_200_4.csv,0.5503949740354419,0.007825371076966571,2212455.391,-1401491.25,1.578643741800029,Yes,2_100_0.75_125_6.csv,0.18604653446852826,0.026520639465716787,1626117.875,-977218.25,1.6640273296164905,Yes,,
2_20_0.75_100_18.csv,0.23562403125000003,-0.0038698633486658595,937627.75,-780683.375,1.2010346063793147,No,,,,,2_40_1.75_200_6.csv,0.13665378291950306,0.34914375762439387,1732114.438,-426272.07899999997,4.063401107723033,Yes,2_100_0.75_225_4.csv,0.5503949661014853,0.007825359570024578,2353058.969,-1490557.375,1.5786436728072948,Yes,2_120_0.75_50_6.csv,0.18110451365195057,0.008149621311073352,468733.07,-258113.146,1.8159984381423175,Yes,,
2_20_0.75_100_20.csv,0.23562403125000003,-0.0038698633486658595,937627.75,-780683.375,1.2010346063793147,No,,,,,2_40_1.75_225_6.csv,0.13665376383665753,0.3805857364927623,2155575.625,-429545.0,5.018276606641912,Yes,2_100_0.75_125_4.csv,0.5503949381507148,0.11041621386235795,2744110.4839999997,-1121531.5,2.4467529302565283,Yes,2_120_0.75_100_6.csv,0.16943204827837743,0.008149626760200696,689785.04,-447361.68700000003,1.5418956518732905,Yes,,
2_20_0.75_100_4.csv,0.23562403125000003,0.01629858399712107,1096401.25,-780683.375,1.404412192074668,No,,,,,2_120_0.75_200_4.csv,0.1080099120899933,0.4931614114523865,2469074.188,-781972.875,3.1574933951513344,Yes,2_100_0.75_150_4.csv,0.5503949173455835,0.026809803138121636,1407771.813,-806568.625,1.7453838016572987,Yes,2_120_0.75_125_6.csv,0.16943204827837743,0.008149626760200696,689785.04,-447361.68700000003,1.5418956518732905,Yes,,
2_20_0.75_100_6.csv,0.23562403125000003,-0.0038698633486658595,937627.75,-780683.375,1.2010346063793147,No,,,,,2_100_0.75_225_10.csv,0.10582310757550076,0.4999833188501086,1824797.156,-739858.0,2.4664153878176625,Yes,2_100_1.25_200_12.csv,0.520008521506283,-0.03262105066994839,677930.7420000001,-664202.375,1.0206689519892187,No,2_120_0.75_75_6.csv,0.16943204827837743,0.008149626760200696,689785.04,-447361.68700000003,1.5418956518732905,Yes,,
2_20_0.75_100_8.csv,0.23562403125000003,-0.0038698633486658595,937627.75,-780683.375,1.2010346063793147,No,,,,,2_100_0.75_225_12.csv,0.10582310757550076,0.4999833188501086,1824797.156,-739858.0,2.4664153878176625,Yes,2_100_1.25_200_14.csv,0.520008521506283,-0.025518822196827946,713278.9770000001,-637746.938,1.11843575327366,No,2_120_0.75_150_6.csv,0.16943196458190893,0.00814961030627722,537494.781,-348593.485,1.541895658204857,Yes,,
2_20_0.75_150_10.csv,0.2356075625,-0.0339486510848942,700778.688,-812014.437,0.8630125969053428,No,,,,,2_100_0.75_225_14.csv,0.10582310757550076,0.4999833188501086,1824797.156,-739858.0,2.4664153878176625,Yes,2_100_1.25_175_12.csv,0.5200084258478401,0.01023695982666469,669045.562,-466986.06299999997,1.4326884997422291,No,2_60_1.25_125_6.csv,0.13673796680437914,-0.017340118511472675,322993.37100000004,-351451.035,0.9190280831012493,No,,
2_20_0.75_150_12.csv,0.2356075625,-0.0339486510848942,700778.688,-812014.437,0.8630125969053428,No,,,,,2_100_0.75_225_16.csv,0.10582310757550076,0.4999833188501086,1824797.156,-739858.0,2.4664153878176625,Yes,2_100_1.25_175_14.csv,0.5200084258478401,0.01873945322530001,700812.953,-446704.06299999997,1.5688528738544294,Yes,2_60_1.25_50_6.csv,0.13629371239042146,-0.015661069015864226,479297.805,-508200.375,0.9431276098527082,No,,
2_20_0.75_150_14.csv,0.2356075625,-0.0339486510848942,700778.688,-812014.437,0.8630125969053428,No,,,,,2_100_0.75_225_18.csv,0.10582310757550076,0.4999833188501086,1824797.156,-739858.0,2.4664153878176625,Yes,2_100_1.25_125_12.csv,0.5200085698162246,0.028014052492948777,1006951.563,-617981.453,1.6294203622321333,Yes,2_60_1.25_100_6.csv,0.13629370103809374,-0.015661066973668248,417043.328,-442191.81200000003,0.9431276579133038,No,,
2_20_0.75_150_16.csv,0.2356075625,-0.0339486510848942,700778.688,-812014.437,0.8630125969053428,No,,,,,2_100_0.75_225_20.csv,0.10582310757550076,0.4999833188501086,1824797.156,-739858.0,2.4664153878176625,Yes,2_100_1.25_125_14.csv,0.5200085698162246,0.03709735234121733,1053416.501,-611598.39,1.7223990746607425,Yes,2_60_1.25_75_6.csv,0.13629369841970895,-0.01566107517319553,476678.61799999996,-505423.31299999997,0.9431274849009587,No,,
2_20_0.75_150_18.csv,0.2356075625,-0.0339486510848942,700778.688,-812014.437,0.8630125969053428,No,,,,,2_80_1_200_8.csv,0.10219773967808243,0.3177827477911337,1225076.375,-463831.81200000003,2.6412081778470164,Yes,2_100_1.25_225_12.csv,0.520008538113558,-0.041787635049266046,788940.344,-828735.422,0.9519809616632992,No,2_40_0.75_50_4.csv,0.12947216638631381,-0.019739258717175783,600746.375,-893873.0,0.6720712841757163,No,,
2_20_0.75_150_20.csv,0.2356075625,-0.0339486510848942,700778.688,-812014.437,0.8630125969053428,No,,,,,2_80_1_225_10.csv,0.10219773332582016,0.3177827612704387,1059862.156,-401279.219,2.641208679186549,Yes,2_100_1.25_225_14.csv,0.520008538113558,-0.034984894578963206,831185.063,-795726.532,1.0445612023403035,No,2_60_1_125_6.csv,0.12251713854454527,-0.0002698938019271108,456410.501,-408636.56200000003,1.116910583737732,No,,
