Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,OutSamplePass2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,OutSamplePass3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,OutSamplePass6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,OutSamplePass7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,OutSamplePass8,Pass8,Para9,Pass9
2_40_0.75_50_4.csv,0.276502625,0.24253919923684392,Yes,No,2_80_0.75_150_6.csv,0.5028667079173715,0.006714658223284715,No,No,2_20_2_50_6.csv,0.2948487909912948,0.05731679651943744,No,No,2_20_1.5_50_4.csv,0.20819663705991925,0.002681430147276538,No,No,2_60_1.25_200_6.csv,0.18215485139298193,0.22407991359524992,Yes,Yes,2_80_0.75_150_4.csv,0.41928139602223896,0.32249404730406805,Yes,Yes,2_20_0.75_50_4.csv,0.37058126943011427,0.04274968421148808,No,No,2_120_1_100_12.csv,0.11863432000971291,-0.008133967335758526,No,No,No Plateau,No
2_40_2_100_4.csv,0.26172704166666666,0.15451310297715587,Yes,,2_80_0.75_125_6.csv,0.4893795570254017,0.006714655239985315,No,,2_20_2_125_4.csv,0.2788195744077748,-0.023273767100595165,No,,2_20_1.5_150_4.csv,0.15530119016942892,-0.010446333296537515,No,,2_60_1.25_225_6.csv,0.1678189568579706,0.22407989368977693,Yes,,2_80_0.75_175_4.csv,0.4192813781122145,0.3224940596618559,Yes,,2_20_0.75_75_10.csv,0.33335889720652967,0.006283617302215701,No,,2_120_1_100_14.csv,0.11863432000971291,-0.008133967335758526,No,,,
2_20_1.75_50_4.csv,0.23756170833333334,0.043740648669050204,No,,2_80_0.75_100_6.csv,0.47324801179916703,0.006714653875001619,No,,2_20_2_225_6.csv,0.2744328877871693,-0.01954561813746137,No,,2_20_1.75_50_6.csv,0.1395349513057061,-0.06591245305141533,No,,2_60_1_100_6.csv,0.16348426039912772,0.0854217445775068,No,,2_80_0.75_225_4.csv,0.41928130064193436,0.2662803242856635,Yes,,2_20_0.75_75_12.csv,0.33335889720652967,0.006283617302215701,No,,2_120_1_50_12.csv,0.11863432000971291,-0.008133967335758526,No,,,
2_60_1.25_50_8.csv,0.227666021,0.28974888507244423,Yes,,2_80_0.75_50_6.csv,0.47324801179916703,0.006714653875001619,No,,2_20_2_150_6.csv,0.26493769441053955,-0.007516101928837912,No,,2_20_1.75_50_10.csv,0.136622002524771,-0.05749366654215286,No,,2_60_1_125_6.csv,0.1477499490026621,0.21250662997751857,Yes,,2_80_0.75_200_4.csv,0.4192812167526597,0.322494152131924,Yes,,2_20_0.75_75_14.csv,0.33335889720652967,0.006283617302215701,No,,2_120_1_50_14.csv,0.11863432000971291,-0.008133967335758526,No,,,
2_60_1.25_75_8.csv,0.227666021,0.28974888507244423,Yes,,2_80_0.75_75_6.csv,0.47324801179916703,0.006714653875001619,No,,2_20_2_200_6.csv,0.2630015601576616,-0.04480169750416594,No,,2_20_1.75_50_12.csv,0.136622002524771,-0.05749366654215286,No,,2_60_1.25_200_10.csv,0.1476451633031448,0.22349381950899855,Yes,,2_20_0.75_225_10.csv,0.38079771835058007,0.18237075447662246,Yes,,2_20_0.75_75_16.csv,0.33335889720652967,0.006283617302215701,No,,2_120_1_75_12.csv,0.11863432000971291,-0.008133967335758526,No,,,
2_20_2_50_4.csv,0.22203510433333332,0.14705096595935688,Yes,,2_100_1.25_200_6.csv,0.45060593637005075,-0.007443334507635356,No,,2_20_2_175_6.csv,0.26300154299272605,-0.02048774546012727,No,,2_20_1.75_50_14.csv,0.136622002524771,-0.05749366654215286,No,,2_60_1.25_200_12.csv,0.14764516194473293,0.22349378599395026,Yes,,2_20_0.75_225_12.csv,0.38079771835058007,0.18237075447662246,Yes,,2_20_0.75_75_18.csv,0.33335889720652967,0.006283617302215701,No,,2_120_1_75_14.csv,0.11863432000971291,-0.008133967335758526,No,,,
2_40_1_50_6.csv,0.21865329166666664,0.21498661513965328,Yes,,2_100_1.25_100_6.csv,0.4506059263280851,-0.007443316379995247,No,,2_20_2_75_6.csv,0.26104878320113,-0.009179808643180232,No,,2_20_1.75_50_16.csv,0.136622002524771,-0.05749366654215286,No,,2_60_1.25_200_14.csv,0.14764514763269565,0.2234938385749054,Yes,,2_20_0.75_225_14.csv,0.38079771835058007,0.18237075447662246,Yes,,2_20_0.75_75_20.csv,0.33335889720652967,0.006283617302215701,No,,2_120_1_125_12.csv,0.1186342938072329,-0.00813397677445302,No,,,
2_40_1_50_8.csv,0.21814618766666666,0.20516006855190788,Yes,,2_100_1.25_125_6.csv,0.4506059263280851,-0.007443316379995247,No,,2_20_2_125_6.csv,0.21644456338883855,-0.03372383695132305,No,,2_20_1.75_50_18.csv,0.136622002524771,-0.05749366654215286,No,,2_60_1.25_200_16.csv,0.14764514763269565,0.2234938385749054,Yes,,2_20_0.75_225_16.csv,0.38079771835058007,0.18237075447662246,Yes,,2_20_0.75_75_8.csv,0.33335889720652967,0.006283617302215701,No,,2_120_1_125_14.csv,0.1186342938072329,-0.00813397677445302,No,,,
2_60_1.75_125_10.csv,0.21552820833333333,0.19832675873957384,Yes,,2_100_1.25_150_6.csv,0.4506059263280851,-0.007443316379995247,No,,1_40_1.25_225_10.csv,0.24384189037154025,-0.013908622462442583,No,,2_20_1.75_50_20.csv,0.136622002524771,-0.05749366654215286,No,,2_60_1.25_200_18.csv,0.14764514763269565,0.2234938385749054,Yes,,2_20_0.75_225_18.csv,0.38079771835058007,0.18237075447662246,Yes,,2_20_0.75_75_6.csv,0.3333588635240604,0.013624415418563462,No,,2_120_1_100_8.csv,0.11863429290812638,-0.008133971389494272,No,,,
2_60_1.75_150_10.csv,0.21552820833333333,0.19832675873957384,Yes,,2_100_1.25_175_6.csv,0.4506059263280851,-0.007443316379995247,No,,1_40_1.25_225_12.csv,0.24384189037154025,-0.013908622462442583,No,,2_20_1.75_50_8.csv,0.136622002524771,-0.05749366654215286,No,,2_60_1.25_200_20.csv,0.14764514763269565,0.2234938385749054,Yes,,2_20_0.75_225_20.csv,0.38079771835058007,0.18237075447662246,Yes,,2_20_0.75_75_4.csv,0.33011669730250254,0.0136243814240518,No,,2_120_1_50_8.csv,0.11863429290812638,-0.008133971389494272,No,,,
