Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window2_GrossProfit,Window2_GrossLoss,Score_2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5
2_20_1_50_4.csv,0.35860095,-0.004610214143030011,22355990.781999998,-20627367.782,1.0838024035964704,No,2_120_1.25_225_6.csv,0.5485740085491533,-0.07048233412807522,22304947.694000002,-20793927.733,1.072666404365829,No,No Plateau,No,2_120_0.75_225_6.csv,0.5629604820249565,0.012492166434986886,42682553.562,-38262596.687,1.1155163856535046,No,2_40_1_50_4.csv,0.13309914807013823,0.003790695758366809,88354198.5,-82177076.5,1.0751684321600319,No
2_20_1_75_4.csv,0.341016875,-0.003748062387148275,19662874.59,-18008484.34,1.09186726760371,No,2_100_1.25_225_6.csv,0.5284783228389589,-0.03255576901329447,24275226.148000002,-21995152.617,1.1036625465029846,No,,,2_120_0.75_150_6.csv,0.5629603679606972,0.025450453221732817,63458653.75,-56498072.375,1.1232003337883791,No,2_100_1.5_125_12.csv,0.12772727669358602,0.01860889962634496,72731500.5,-66929162.5,1.086693718900188,No
2_20_1_125_4.csv,0.32502905,-0.003177100390921226,17668636.077999998,-16085192.578,1.0984410657392876,No,2_100_1.25_200_6.csv,0.4858059133658146,-0.04062138770239271,25106175.154,-23102921.779,1.0867099579076145,No,,,2_120_0.75_200_6.csv,0.562960362595271,0.025450492641213445,43871942.747,-39059766.372,1.123200336867596,No,2_100_1.5_175_12.csv,0.12772727571610853,0.018608834344581632,57307449.5,-52735606.5,1.086693664933957,No
2_20_1_150_4.csv,0.3196866,0.0013078555421671446,17770282.265,-16154857.39,1.0999962324644204,No,2_120_1.25_225_4.csv,0.4717897841276058,-0.07301158085899459,21184544.639000002,-19695040.983,1.0756283603210415,No,,,2_120_0.75_100_6.csv,0.562960282345118,0.02545050656037203,62304865.376,-55470839.001,1.123200342703971,No,2_100_1.5_150_14.csv,0.12772726887887287,0.018608848985043013,60319354.0,-55507229.5,1.086693653121347,No
2_40_0.75_150_10.csv,0.301511975,0.17047444105048745,28437160.255999997,-24806474.255999997,1.1463604203697686,No,2_100_1_100_4.csv,0.4643484815536759,-0.04766012541127399,44155495.124,-41043541.624,1.0758207839008782,No,,,2_120_0.75_125_6.csv,0.562960282345118,0.02545050656037203,62304865.376,-55470839.001,1.123200342703971,No,2_100_1.5_175_18.csv,0.1277272659448006,0.018608839456745567,35886854.0,-33023892.5,1.0866936415808646,No
2_40_0.75_150_12.csv,0.301511975,0.17047444105048745,28437160.255999997,-24806474.255999997,1.1463604203697686,No,2_100_1_50_4.csv,0.4643484815536759,-0.04766012541127399,44155495.124,-41043541.624,1.0758207839008782,No,,,2_120_0.75_75_6.csv,0.562960282345118,0.02545050656037203,62304865.376,-55470839.001,1.123200342703971,No,2_100_1.5_175_20.csv,0.1277272659448006,0.018608839456745567,35886854.0,-33023892.5,1.0866936415808646,No
2_40_0.75_150_14.csv,0.301511975,0.17047444105048745,28437160.255999997,-24806474.255999997,1.1463604203697686,No,2_100_1_75_4.csv,0.4643484815536759,-0.04766012541127399,44155495.124,-41043541.624,1.0758207839008782,No,,,2_120_0.75_175_6.csv,0.5629601349854276,0.025450506599328588,26480176.603,-23575648.603,1.1232003432402025,No,2_100_1.5_150_12.csv,0.12772726150014388,0.01860885033274784,69054073.5,-63545114.5,1.0866936670638936,No
2_40_0.75_150_16.csv,0.301511975,0.17047444105048745,28437160.255999997,-24806474.255999997,1.1463604203697686,No,2_100_1_125_4.csv,0.4643484388114726,-0.047660104548485474,40071744.499,-37247601.124,1.0758208123416653,No,,,2_40_1_75_4.csv,0.5073051284632477,0.10033611538816645,91255459.0,-76706729.25,1.1896669287329833,No,2_100_1.5_125_10.csv,0.12772726035942683,0.018608839035159412,79449658.0,-73111367.0,1.086693646420262,No
2_40_0.75_150_18.csv,0.301511975,0.17047444105048745,28437160.255999997,-24806474.255999997,1.1463604203697686,No,2_100_1_150_4.csv,0.4643484388114726,-0.047660104548485474,40071744.499,-37247601.124,1.0758208123416653,No,,,2_120_0.75_100_4.csv,0.5133538021532129,0.030034012325230675,64462902.5,-57021610.375,1.1304995084506153,No,2_100_1.5_100_16.csv,0.12772725366622262,0.01860884658414134,56871916.5,-52334820.0,1.0866936487027183,No
2_40_0.75_150_20.csv,0.301511975,0.17047444105048745,28437160.255999997,-24806474.255999997,1.1463604203697686,No,2_100_1.25_175_6.csv,0.4630539702942946,-0.040621382595187217,22671588.114,-20917109.192,1.0838776958085117,No,,,2_120_0.75_125_4.csv,0.5133538021532129,0.030034012325230675,64462902.5,-57021610.375,1.1304995084506153,No,2_100_1.5_50_16.csv,0.12772725366622262,0.01860884658414134,56871916.5,-52334820.0,1.0866936487027183,No
2_40_0.75_150_6.csv,0.301511975,0.20014578769759045,28598257.005999997,-24596698.755999997,1.1626868015783574,No,2_100_1.5_100_10.csv,0.4535231470763873,-0.059324528541242524,27583323.875,-25882549.875,1.065711222743273,No,,,2_120_0.75_75_4.csv,0.5133538021532129,0.030034012325230675,64462902.5,-57021610.375,1.1304995084506153,No,2_100_1.5_75_16.csv,0.12772725366622262,0.01860884658414134,56871916.5,-52334820.0,1.0866936487027183,No
2_40_0.75_150_8.csv,0.301511975,0.17047444105048745,28437160.255999997,-24806474.255999997,1.1463604203697686,No,2_100_1.5_50_10.csv,0.4535231470763873,-0.059324528541242524,27583323.875,-25882549.875,1.065711222743273,No,,,2_120_0.75_150_4.csv,0.5133537864538669,0.03003402855984401,65656656.125,-58077561.125,1.1304995398082842,No,2_100_1.5_100_12.csv,0.12772725126862733,0.01860886487614332,75408739.5,-69392820.5,1.0866936803642389,No
1_20_0.75_50_10.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_1.5_75_10.csv,0.4535231470763873,-0.059324528541242524,27583323.875,-25882549.875,1.065711222743273,No,,,2_120_0.75_200_4.csv,0.5077457316138014,0.03003400047198116,48146380.748,-42598777.123,1.1302291755695666,No,2_100_1.5_50_12.csv,0.12772725126862733,0.01860886487614332,75408739.5,-69392820.5,1.0866936803642389,No
1_20_0.75_50_12.csv,0.294342025,0.10875667509757034,21401988.105,-18586203.105,1.1514986672690835,No,2_100_1.5_125_10.csv,0.45352313573475844,-0.059324527686955175,26604034.309,-24963642.965,1.0657112163597233,No,,,2_120_0.75_225_4.csv,0.5077456054966674,0.016812238972569702,46381153.873,-41358556.123,1.1214403552934207,No,2_100_1.5_75_12.csv,0.12772725126862733,0.01860886487614332,75408739.5,-69392820.5,1.0866936803642389,No
