Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,InSample2_RateOfReturn,OutSample2_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample2_AvgTrade,OutSample2_AvgTrade,Score_2,Pass2,Para3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,InSample5_RateOfReturn,OutSample5_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample5_AvgTrade,OutSample5_AvgTrade,Score_5,Pass5
2_20_1_50_4.csv,1.79300475,-0.023051070715150054,32.0,43.0,0.0560313984375,-0.0005360714119802338,-0.009567339508368555,No,2_120_1.25_225_6.csv,2.7428700427457664,-0.35241167064037615,5,10,0.5485740085491533,-0.03524116706403761,-0.06424140866105205,No,No Plateau,No,2_120_0.75_225_6.csv,2.814802410124783,0.062460832174934436,13.0,12.0,0.216523262317291,0.005205069347911203,0.024039307796331587,No,2_40_1_50_4.csv,0.6654957403506911,0.018953478791834046,28.0,33.0,0.023767705012524683,0.0005743478421767893,0.024165052615476742,No
2_20_1_75_4.csv,1.705084375,-0.018740311935741376,30.0,39.0,0.05683614583333333,-0.00048052081886516346,-0.008454493383035607,No,2_100_1.25_225_6.csv,2.6423916141947945,-0.16277884506647233,6,10,0.4403986023657991,-0.016277884506647234,-0.03696170791461022,No,,,2_120_0.75_150_6.csv,2.814801839803486,0.12725226610866408,13.0,13.0,0.216523218446422,0.00978863585451262,0.04520825029642162,No,2_100_1.5_125_12.csv,0.6386363834679302,0.0930444981317248,6.0,10.0,0.10643939724465502,0.00930444981317248,0.08741546883984927,No
2_20_1_125_4.csv,1.62514525,-0.01588550195460613,29.0,40.0,0.05603949137931035,-0.00039713754886515324,-0.007086744349213981,No,2_100_1.25_200_6.csv,2.429029566829073,-0.20310693851196354,7,11,0.3470042238327247,-0.01846426713745123,-0.053210496787359084,No,,,2_120_0.75_200_6.csv,2.814801812976355,0.12725246320606723,13.0,13.0,0.21652321638279654,0.009788651015851326,0.04520832074905879,No,2_100_1.5_175_12.csv,0.6386363785805427,0.09304417172290817,6.0,10.0,0.10643939643009044,0.009304417172290818,0.08741516284716978,No
2_20_1_150_4.csv,1.598433,0.006539277710835723,28.0,40.0,0.05708689285714286,0.00016348194277089308,0.0028637386725530608,No,2_120_1.25_225_4.csv,2.358948920638029,-0.365057904294973,10,12,0.23589489206380293,-0.03042149202458108,-0.12896206339369537,No,,,2_120_0.75_100_6.csv,2.8148014117255897,0.12725253280186016,13.0,13.0,0.21652318551735306,0.00978865636937386,0.04520835191845705,No,2_100_1.5_150_14.csv,0.6386363443943643,0.09304424492521507,6.0,10.0,0.10643939073239406,0.009304424492521507,0.08741523630019965,No
2_40_0.75_150_10.csv,1.507559875,0.8523722052524373,19.0,22.0,0.07934525657894738,0.03874419114783806,0.4882987694329043,No,2_100_1_100_4.csv,2.3217424077683795,-0.23830062705636995,10,11,0.23217424077683796,-0.021663693368760905,-0.09330791088742565,No,,,2_120_0.75_125_6.csv,2.8148014117255897,0.12725253280186016,13.0,13.0,0.21652318551735306,0.00978865636937386,0.04520835191845705,No,2_100_1.5_175_18.csv,0.6386363297240031,0.09304419728372784,6.0,10.0,0.10643938828733385,0.009304419728372783,0.08741519354898433,No
2_40_0.75_150_12.csv,1.507559875,0.8523722052524373,19.0,22.0,0.07934525657894738,0.03874419114783806,0.4882987694329043,No,2_100_1_50_4.csv,2.3217424077683795,-0.23830062705636995,10,11,0.23217424077683796,-0.021663693368760905,-0.09330791088742565,No,,,2_120_0.75_75_6.csv,2.8148014117255897,0.12725253280186016,13.0,13.0,0.21652318551735306,0.00978865636937386,0.04520835191845705,No,2_100_1.5_175_20.csv,0.6386363297240031,0.09304419728372784,6.0,10.0,0.10643938828733385,0.009304419728372783,0.08741519354898433,No
2_40_0.75_150_14.csv,1.507559875,0.8523722052524373,19.0,22.0,0.07934525657894738,0.03874419114783806,0.4882987694329043,No,2_100_1_75_4.csv,2.3217424077683795,-0.23830062705636995,10,11,0.23217424077683796,-0.021663693368760905,-0.09330791088742565,No,,,2_120_0.75_175_6.csv,2.8148006749271386,0.12725253299664294,13.0,13.0,0.2165231288405491,0.009788656384357148,0.04520836382133413,No,2_100_1.5_150_12.csv,0.6386363075007194,0.0930442516637392,6.0,10.0,0.10643938458345324,0.00930442516637392,0.08741524768098254,No
2_40_0.75_150_16.csv,1.507559875,0.8523722052524373,19.0,22.0,0.07934525657894738,0.03874419114783806,0.4882987694329043,No,2_100_1_125_4.csv,2.321742194057363,-0.23830052274242736,10,11,0.2321742194057363,-0.021663683885675213,-0.09330787863150654,No,,,2_40_1_75_4.csv,2.5365256423162386,0.5016805769408322,31.0,26.0,0.08182340781665286,0.019295406805416623,0.23581768738663542,No,2_100_1.5_125_10.csv,0.6386363017971343,0.09304419517579705,6.0,10.0,0.10643938363285571,0.009304419517579706,0.08741519539115047,No
2_40_0.75_150_18.csv,1.507559875,0.8523722052524373,19.0,22.0,0.07934525657894738,0.03874419114783806,0.4882987694329043,No,2_100_1_150_4.csv,2.321742194057363,-0.23830052274242736,10,11,0.2321742194057363,-0.021663683885675213,-0.09330787863150654,No,,,2_120_0.75_100_4.csv,2.5667690107660643,0.15017006162615337,17.0,16.0,0.15098641239800378,0.009385628851634586,0.062162076060816945,No,2_100_1.5_100_16.csv,0.638636268331113,0.0930442329207067,6.0,10.0,0.1064393780551855,0.009304423292070669,0.08741523543332445,No
2_40_0.75_150_20.csv,1.507559875,0.8523722052524373,19.0,22.0,0.07934525657894738,0.03874419114783806,0.4882987694329043,No,2_100_1.25_175_6.csv,2.315269851471473,-0.20310691297593605,7,11,0.33075283592449617,-0.018464264815994186,-0.05582496296482001,No,,,2_120_0.75_125_4.csv,2.5667690107660643,0.15017006162615337,17.0,16.0,0.15098641239800378,0.009385628851634586,0.062162076060816945,No,2_100_1.5_50_16.csv,0.638636268331113,0.0930442329207067,6.0,10.0,0.1064393780551855,0.009304423292070669,0.08741523543332445,No
