Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5
2_20_1_50_4.csv,0.35860095,-0.004610214143030011,Yes,2_120_1.25_225_6.csv,0.5485740085491533,-0.07048233412807522,No,No Plateau,No,2_120_0.75_225_6.csv,0.5629604820249565,0.012492166434986886,No,2_40_1_50_4.csv,0.13309914807013823,0.003790695758366809,No
2_20_1_75_4.csv,0.341016875,-0.003748062387148275,,2_100_1.25_225_6.csv,0.5284783228389589,-0.03255576901329447,,,,2_120_0.75_150_6.csv,0.5629603679606972,0.025450453221732817,,2_100_1.5_125_12.csv,0.12772727669358602,0.01860889962634496,
2_20_1_125_4.csv,0.32502905,-0.003177100390921226,,2_100_1.25_200_6.csv,0.4858059133658146,-0.04062138770239271,,,,2_120_0.75_200_6.csv,0.562960362595271,0.025450492641213445,,2_100_1.5_175_12.csv,0.12772727571610853,0.018608834344581632,
2_20_1_150_4.csv,0.3196866,0.0013078555421671446,,2_120_1.25_225_4.csv,0.4717897841276058,-0.07301158085899459,,,,2_120_0.75_100_6.csv,0.562960282345118,0.02545050656037203,,2_100_1.5_150_14.csv,0.12772726887887287,0.018608848985043013,
2_40_0.75_150_10.csv,0.301511975,0.17047444105048745,,2_100_1_100_4.csv,0.4643484815536759,-0.04766012541127399,,,,2_120_0.75_125_6.csv,0.562960282345118,0.02545050656037203,,2_100_1.5_175_18.csv,0.1277272659448006,0.018608839456745567,
2_40_0.75_150_12.csv,0.301511975,0.17047444105048745,,2_100_1_50_4.csv,0.4643484815536759,-0.04766012541127399,,,,2_120_0.75_75_6.csv,0.562960282345118,0.02545050656037203,,2_100_1.5_175_20.csv,0.1277272659448006,0.018608839456745567,
2_40_0.75_150_14.csv,0.301511975,0.17047444105048745,,2_100_1_75_4.csv,0.4643484815536759,-0.04766012541127399,,,,2_120_0.75_175_6.csv,0.5629601349854276,0.025450506599328588,,2_100_1.5_150_12.csv,0.12772726150014388,0.01860885033274784,
2_40_0.75_150_16.csv,0.301511975,0.17047444105048745,,2_100_1_125_4.csv,0.4643484388114726,-0.047660104548485474,,,,2_40_1_75_4.csv,0.5073051284632477,0.10033611538816645,,2_100_1.5_125_10.csv,0.12772726035942683,0.018608839035159412,
2_40_0.75_150_18.csv,0.301511975,0.17047444105048745,,2_100_1_150_4.csv,0.4643484388114726,-0.047660104548485474,,,,2_120_0.75_100_4.csv,0.5133538021532129,0.030034012325230675,,2_100_1.5_100_16.csv,0.12772725366622262,0.01860884658414134,
2_40_0.75_150_20.csv,0.301511975,0.17047444105048745,,2_100_1.25_175_6.csv,0.4630539702942946,-0.040621382595187217,,,,2_120_0.75_125_4.csv,0.5133538021532129,0.030034012325230675,,2_100_1.5_50_16.csv,0.12772725366622262,0.01860884658414134,
2_40_0.75_150_6.csv,0.301511975,0.20014578769759045,,2_100_1.5_100_10.csv,0.4535231470763873,-0.059324528541242524,,,,2_120_0.75_75_4.csv,0.5133538021532129,0.030034012325230675,,2_100_1.5_75_16.csv,0.12772725366622262,0.01860884658414134,
2_40_0.75_150_8.csv,0.301511975,0.17047444105048745,,2_100_1.5_50_10.csv,0.4535231470763873,-0.059324528541242524,,,,2_120_0.75_150_4.csv,0.5133537864538669,0.03003402855984401,,2_100_1.5_100_12.csv,0.12772725126862733,0.01860886487614332,
1_20_0.75_50_10.csv,0.294342025,0.10875667509757034,,2_100_1.5_75_10.csv,0.4535231470763873,-0.059324528541242524,,,,2_120_0.75_200_4.csv,0.5077457316138014,0.03003400047198116,,2_100_1.5_50_12.csv,0.12772725126862733,0.01860886487614332,
1_20_0.75_50_12.csv,0.294342025,0.10875667509757034,,2_100_1.5_125_10.csv,0.45352313573475844,-0.059324527686955175,,,,2_120_0.75_225_4.csv,0.5077456054966674,0.016812238972569702,,2_100_1.5_75_12.csv,0.12772725126862733,0.01860886487614332,
1_20_0.75_50_14.csv,0.294342025,0.10875667509757034,,2_100_1.5_150_10.csv,0.4535231291901633,-0.05932451563326763,,,,2_120_0.75_175_4.csv,0.5077454923328806,0.030033995110924524,,2_100_1.5_200_12.csv,0.12772725074586344,0.021313609532460233,
1_20_0.75_50_16.csv,0.294342025,0.10875667509757034,,2_100_1.5_225_10.csv,0.45054040895257763,-0.06942721671764107,,,,2_40_1_50_4.csv,0.47769912427376315,0.13309914807013823,,2_100_1.5_150_16.csv,0.1277272501811501,0.018608838668497815,
1_20_0.75_50_18.csv,0.294342025,0.10875667509757034,,2_100_1.5_125_8.csv,0.44865478120096736,-0.06784719199481712,,,,2_40_1_100_4.csv,0.4420962490787754,0.04630366874083551,,2_100_1.5_225_14.csv,0.12772724985428388,0.008134753447885897,
1_20_0.75_50_20.csv,0.294342025,0.10875667509757034,,2_100_1.5_150_8.csv,0.4486546983450644,-0.06784718883338765,,,,2_60_1.25_50_6.csv,0.4254955452110699,0.003038351418378204,,2_100_1.5_200_10.csv,0.12772724814422134,0.021313600235073983,
1_20_0.75_50_4.csv,0.294342025,0.10875667509757034,,2_100_1.5_100_8.csv,0.44865464133515687,-0.06784719580327063,,,,2_60_1.25_75_6.csv,0.4254955452110699,0.003038351418378204,,2_100_1.5_175_16.csv,0.12772724569011085,0.018608864062844354,
