AllPara,isExist1,Pass1,Score_1,isExist2,Pass2,Score_2,isExist3,Pass3,Score_3,isExist4,Pass4,Score_4,isExist5,Pass5,Score_5,isExist6,Pass6,Score_6,isExist7,Pass7,Score_7,isExist8,Pass8,Score_8,isExist9,CountExist,CountPass,TotalExistPercent,ExistPassPercent
1_40_1_100_8.csv,N,,,Y,Yes,4.39675610871486,Y,No,0.4140012553609336,N,,,N,,,Y,Yes,2.5872659308245667,Y,No,0.45856243260486823,N,,,N,4,2,0.4444444444444444,0.5
3_40_1_100_10.csv,N,,,Y,Yes,4.39675610871486,Y,No,0.4140012553609336,N,,,N,,,Y,Yes,2.5872659308245667,Y,No,0.45856243260486823,N,,,N,4,2,0.4444444444444444,0.5
3_40_1_100_12.csv,N,,,Y,Yes,4.39675610871486,Y,No,0.4140012553609336,N,,,N,,,Y,Yes,2.5872659308245667,Y,No,0.45856243260486823,N,,,N,4,2,0.4444444444444444,0.5
3_40_1_100_14.csv,N,,,Y,Yes,4.39675610871486,Y,No,0.4140012553609336,N,,,N,,,Y,Yes,2.5872659308245667,Y,No,0.45856243260486823,N,,,N,4,2,0.4444444444444444,0.5
3_40_1_100_16.csv,N,,,Y,Yes,4.39675610871486,Y,No,0.4140012553609336,N,,,N,,,Y,Yes,2.5872659308245667,Y,No,0.45856243260486823,N,,,N,4,2,0.4444444444444444,0.5
3_40_1_100_18.csv,N,,,Y,Yes,4.39675610871486,Y,No,0.4140012553609336,N,,,N,,,Y,Yes,2.5872659308245667,Y,No,0.45856243260486823,N,,,N,4,2,0.4444444444444444,0.5
3_40_1_100_20.csv,N,,,Y,Yes,4.39675610871486,Y,No,0.4140012553609336,N,,,N,,,Y,Yes,2.5872659308245667,Y,No,0.45856243260486823,N,,,N,4,2,0.4444444444444444,0.5
3_40_1_100_4.csv,N,,,Y,Yes,4.39675610871486,Y,No,0.4140012553609336,N,,,N,,,Y,Yes,2.5872659308245667,Y,No,0.45856243260486823,N,,,N,4,2,0.4444444444444444,0.5
3_40_1_100_6.csv,N,,,Y,Yes,4.39675610871486,Y,No,0.4140012553609336,N,,,N,,,Y,Yes,2.5872659308245667,Y,No,0.45856243260486823,N,,,N,4,2,0.4444444444444444,0.5
3_40_1_100_8.csv,N,,,Y,Yes,4.39675610871486,Y,No,0.4140012553609336,N,,,N,,,Y,Yes,2.5872659308245667,Y,No,0.45856243260486823,N,,,N,4,2,0.4444444444444444,0.5
2_120_1_200_10.csv,N,,,Y,No,0.46330606678606867,N,,,N,,,N,,,Y,Yes,1.85032540808367,Y,Yes,1.9116578251868623,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_120_1_225_10.csv,N,,,Y,No,0.4188910003856535,N,,,N,,,N,,,Y,Yes,1.8503255765035496,Y,Yes,1.9116580401346273,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_80_1.75_225_4.csv,N,,,N,,,Y,No,0.9616034584538862,N,,,N,,,Y,Yes,1.9053517529125343,Y,No,1.0432432947449544,N,,,N,3,1,0.3333333333333333,0.3333333333333333
2_40_1_100_4.csv,N,,,Y,Yes,2.5813279764413544,N,,,N,,,N,,,Y,Yes,1.6071683110109043,Y,No,1.1064010034069665,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_100_1.5_100_10.csv,N,,,Y,Yes,1.7123436516318928,N,,,N,,,N,,,Y,Yes,3.7572466363765047,Y,Yes,3.281160818133735,N,,,N,3,3,0.3333333333333333,1.0
2_100_1.5_125_10.csv,N,,,Y,Yes,1.7123436516318928,N,,,N,,,N,,,Y,Yes,3.7572466363765047,Y,Yes,3.281160818133735,N,,,N,3,3,0.3333333333333333,1.0
2_100_1.5_150_10.csv,N,,,Y,Yes,1.7123436516318928,N,,,N,,,N,,,Y,Yes,3.757245975426753,Y,Yes,4.051715953715177,N,,,N,3,3,0.3333333333333333,1.0
2_100_1.5_175_10.csv,N,,,Y,Yes,1.7123436516318928,N,,,N,,,N,,,Y,Yes,3.757245399862374,Y,Yes,3.1521512134790455,N,,,N,3,3,0.3333333333333333,1.0
2_100_1.5_50_10.csv,N,,,Y,Yes,1.7123436516318928,N,,,N,,,N,,,Y,Yes,3.7572466363765047,Y,Yes,3.281160818133735,N,,,N,3,3,0.3333333333333333,1.0
2_100_1.5_75_10.csv,N,,,Y,Yes,1.7123436516318928,N,,,N,,,N,,,Y,Yes,3.7572466363765047,Y,Yes,3.281160818133735,N,,,N,3,3,0.3333333333333333,1.0
2_40_1.75_225_4.csv,N,,,Y,Yes,3.670936636914501,Y,Yes,1.8151977343067796,N,,,N,,,Y,No,1.396193935494713,N,,,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_80_1.75_125_8.csv,N,,,Y,No,1.2294160078845489,N,,,N,,,N,,,Y,Yes,2.9433922025507417,Y,Yes,2.516890448507984,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_100_1.25_100_8.csv,N,,,Y,Yes,1.6540939644453427,N,,,N,,,N,,,Y,Yes,2.676338576897451,Y,Yes,2.8379369745563183,N,,,N,3,3,0.3333333333333333,1.0
2_100_1.25_125_8.csv,N,,,Y,Yes,1.6540939644453427,N,,,N,,,N,,,Y,Yes,2.676338576897451,Y,Yes,2.8379369745563183,N,,,N,3,3,0.3333333333333333,1.0
2_100_1.25_150_8.csv,N,,,Y,Yes,1.6540939644453427,N,,,N,,,N,,,Y,Yes,2.676338858505923,Y,Yes,2.810477452075906,N,,,N,3,3,0.3333333333333333,1.0
2_100_1.25_175_8.csv,N,,,Y,Yes,1.6540939644453427,N,,,N,,,N,,,Y,Yes,2.67633744784141,Y,Yes,2.4766867118198896,N,,,N,3,3,0.3333333333333333,1.0
2_100_1.25_50_8.csv,N,,,Y,Yes,1.6540939644453427,N,,,N,,,N,,,Y,Yes,2.676338576897451,Y,Yes,2.8379369745563183,N,,,N,3,3,0.3333333333333333,1.0
2_100_1.25_75_8.csv,N,,,Y,Yes,1.6540939644453427,N,,,N,,,N,,,Y,Yes,2.676338576897451,Y,Yes,2.8379369745563183,N,,,N,3,3,0.3333333333333333,1.0
2_120_1.5_200_10.csv,N,,,Y,No,0.5922698052166837,N,,,N,,,N,,,N,,,Y,Yes,2.164583359940266,N,,,N,2,1,0.2222222222222222,0.5
2_120_1.5_225_10.csv,N,,,N,,,N,,,N,,,N,,,N,,,Y,Yes,2.164583186441343,N,,,N,1,1,0.1111111111111111,1.0
2_100_1.25_200_4.csv,N,,,Y,Yes,2.1679264760783026,N,,,N,,,N,,,Y,Yes,2.6920085769308115,Y,Yes,1.8989037046488877,N,,,N,3,3,0.3333333333333333,1.0
2_100_1.25_225_4.csv,N,,,Y,Yes,1.9098724952465664,N,,,N,,,N,,,Y,Yes,2.692010507248372,Y,Yes,1.898904133037257,N,,,N,3,3,0.3333333333333333,1.0
2_120_1_125_12.csv,N,,,Y,No,0.46330600535537575,N,,,N,,,N,,,Y,Yes,1.8503253544139242,Y,Yes,1.8919989918079163,Y,No,1.2663985392544777,N,4,2,0.4444444444444444,0.5
2_120_1_125_14.csv,N,,,Y,No,0.46330600535537575,N,,,N,,,N,,,Y,Yes,1.8503253544139242,Y,Yes,1.8919989918079163,Y,No,1.2663985392544777,N,4,2,0.4444444444444444,0.5
2_120_1_150_12.csv,N,,,Y,No,0.46330600535537575,N,,,N,,,N,,,Y,Yes,1.8503253544139242,Y,Yes,2.0523527106931683,Y,No,1.1394571670512916,N,4,2,0.4444444444444444,0.5
2_120_1_150_14.csv,N,,,Y,No,0.46330600535537575,N,,,N,,,N,,,Y,Yes,1.8503253544139242,Y,Yes,2.0523527106931683,Y,No,1.1394571670512916,N,4,2,0.4444444444444444,0.5
2_120_1_175_12.csv,N,,,Y,No,0.46330600535537575,N,,,N,,,N,,,Y,Yes,1.8503253544139242,Y,Yes,1.9116575948132764,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_120_1_175_14.csv,N,,,Y,No,0.46330600535537575,N,,,N,,,N,,,Y,Yes,1.8503253544139242,Y,Yes,1.9116575948132764,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_100_1_200_10.csv,N,,,Y,No,0.8019587928697407,N,,,N,,,N,,,Y,Yes,2.531754530355467,Y,Yes,2.242106741933011,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_100_1_200_12.csv,N,,,Y,No,0.8665176230934916,N,,,N,,,N,,,Y,Yes,2.5317539436025607,Y,Yes,2.242106326356746,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_100_1_200_14.csv,N,,,Y,No,0.8665176230934916,N,,,N,,,N,,,Y,Yes,2.5317539436025607,Y,Yes,2.242106326356746,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_100_1_200_16.csv,N,,,Y,No,0.8665176230934916,N,,,N,,,N,,,Y,Yes,2.5317539436025607,Y,Yes,2.242106326356746,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_100_1_200_18.csv,N,,,Y,No,0.8665176230934916,N,,,N,,,N,,,Y,Yes,2.5317539436025607,Y,Yes,2.242106326356746,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_100_1_200_20.csv,N,,,Y,No,0.8665176230934916,N,,,N,,,N,,,Y,Yes,2.5317539436025607,Y,Yes,2.242106326356746,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_100_1_225_10.csv,N,,,Y,No,0.605549293662279,N,,,N,,,N,,,Y,Yes,2.5317533657782425,Y,Yes,2.2421056809073994,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_100_1_225_12.csv,N,,,Y,No,0.6682117871536026,N,,,N,,,N,,,Y,Yes,2.5317543386333314,Y,Yes,2.2421061147697325,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_100_1_225_14.csv,N,,,Y,No,0.6682117871536026,N,,,N,,,N,,,Y,Yes,2.5317543386333314,Y,Yes,2.2421061147697325,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_100_1_225_16.csv,N,,,Y,No,0.6682117871536026,N,,,N,,,N,,,Y,Yes,2.5317543386333314,Y,Yes,2.2421061147697325,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_100_1_225_18.csv,N,,,Y,No,0.6682117871536026,N,,,N,,,N,,,Y,Yes,2.5317543386333314,Y,Yes,2.2421061147697325,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_100_1_225_20.csv,N,,,Y,No,0.6682117871536026,N,,,N,,,N,,,Y,Yes,2.5317543386333314,Y,Yes,2.2421061147697325,N,,,N,3,2,0.3333333333333333,0.6666666666666666
2_80_2_200_6.csv,N,,,N,,,N,,,N,,,N,,,Y,Yes,2.369440507421077,Y,Yes,2.40266063524827,N,,,N,2,2,0.2222222222222222,1.0
2_20_1.25_225_10.csv,N,,,N,,,N,,,N,,,N,,,Y,Yes,1.7182705762901496,N,,,N,,,N,1,1,0.1111111111111111,1.0
2_20_1.25_225_12.csv,N,,,N,,,N,,,N,,,N,,,Y,Yes,1.7182705762901496,N,,,N,,,N,1,1,0.1111111111111111,1.0
2_20_1.25_225_14.csv,N,,,N,,,N,,,N,,,N,,,Y,Yes,1.7182705762901496,N,,,N,,,N,1,1,0.1111111111111111,1.0
2_20_1.25_225_16.csv,N,,,N,,,N,,,N,,,N,,,Y,Yes,1.7182705762901496,N,,,N,,,N,1,1,0.1111111111111111,1.0
2_20_1.25_225_18.csv,N,,,N,,,N,,,N,,,N,,,Y,Yes,1.7182705762901496,N,,,N,,,N,1,1,0.1111111111111111,1.0
2_20_1.25_225_20.csv,N,,,N,,,N,,,N,,,N,,,Y,Yes,1.7182705762901496,N,,,N,,,N,1,1,0.1111111111111111,1.0
2_20_1.25_225_6.csv,N,,,N,,,Y,No,1.225885272941533,N,,,N,,,Y,Yes,1.7775171992567376,N,,,N,,,N,2,1,0.2222222222222222,0.5
2_20_1.25_225_8.csv,N,,,N,,,N,,,N,,,N,,,Y,Yes,1.7182705762901496,N,,,N,,,N,1,1,0.1111111111111111,1.0
2_60_0.75_125_4.csv,N,,,Y,Yes,3.0752307649166886,N,,,Y,No,1.168323651051035,N,,,Y,Yes,2.3480870659391786,Y,Yes,1.8378892134839704,N,,,N,4,3,0.4444444444444444,0.75
1_40_1.5_200_10.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
1_40_1.5_200_12.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
1_40_1.5_200_14.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
1_40_1.5_200_16.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
1_40_1.5_200_18.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
1_40_1.5_200_20.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
1_40_1.5_200_4.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
1_40_1.5_200_6.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
1_40_1.5_200_8.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
3_40_1.5_200_10.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
3_40_1.5_200_12.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
3_40_1.5_200_14.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
3_40_1.5_200_16.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
3_40_1.5_200_18.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
3_40_1.5_200_20.csv,N,,,N,,,Y,No,1.2132001029771322,N,,,N,,,Y,Yes,1.7646452382842412,N,,,N,,,N,2,1,0.2222222222222222,0.5
