Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Score_4,Pass4,Para5,Pass5
2_60_1.25_50_8.csv,0.22791587500000002,0.15318383549102965,0.41232463451325774,No,1_60_0.75_150_10.csv,0.3715126933226539,0.01650825961993318,0.13994723678982912,No,2_60_1.25_200_12.csv,0.11796059714081915,0.28775964302593293,0.4575184079070309,No,2_80_0.75_150_4.csv,0.6289575196385612,0.054330829894486156,0.6991372014556654,Yes,No Plateau,No
2_60_1.25_75_8.csv,0.22791587500000002,0.15318383549102965,0.41232463451325774,No,1_60_0.75_150_12.csv,0.3715126933226539,0.01650825961993318,0.13994723678982912,No,2_60_1.25_200_8.csv,0.11796058543980537,0.2877596826580958,0.45751847091949466,No,2_80_0.75_175_4.csv,0.6289575195325561,0.040008445685781706,0.5148346308287688,Yes,,
2_60_1.25_150_8.csv,0.17872116259999998,0.15318382812759138,0.4123246146931051,No,1_60_0.75_150_14.csv,0.3715126933226539,0.01650825961993318,0.13994723678982912,No,2_60_1.25_200_10.csv,0.1179605842342072,0.28775968263023877,0.4575184708752038,No,2_80_0.75_200_4.csv,0.6289574050185518,0.028000579274197347,0.36031561952795726,No,,
2_60_1.25_175_8.csv,0.17872116259999998,0.15318382812759138,0.4123246146931051,No,1_60_0.75_150_16.csv,0.3715126933226539,0.01650825961993318,0.13994723678982912,No,2_60_1.25_200_14.csv,0.11796058267759746,0.2877596984684751,0.45751849605693046,No,2_20_0.75_50_10.csv,0.5688274421916271,0.018001675838718034,0.23164824266140407,No,,
2_60_1.5_50_8.csv,0.17515308759999998,0.19922976766138706,0.5362663813177153,Yes,1_60_0.75_150_18.csv,0.3715126933226539,0.01650825961993318,0.13994723678982912,No,2_60_1.25_200_16.csv,0.11796058267759746,0.2877596984684751,0.45751849605693046,No,2_20_0.75_50_12.csv,0.5688274421916271,0.018001675838718034,0.23164824266140407,No,,
2_60_1.5_75_8.csv,0.17515308759999998,0.19922976766138706,0.5362663813177153,Yes,1_60_0.75_150_20.csv,0.3715126933226539,0.01650825961993318,0.13994723678982912,No,2_60_1.25_200_18.csv,0.11796058267759746,0.2877596984684751,0.45751849605693046,No,2_20_0.75_50_14.csv,0.5688274421916271,0.018001675838718034,0.23164824266140407,No,,
2_60_1.25_100_8.csv,0.17442970000000002,0.14060756932476243,0.3784731231320112,No,1_60_0.75_150_4.csv,0.3715126933226539,0.01650825961993318,0.13994723678982912,No,2_60_1.25_200_20.csv,0.11796058267759746,0.2877596984684751,0.45751849605693046,No,2_20_0.75_50_16.csv,0.5688274421916271,0.018001675838718034,0.23164824266140407,No,,
2_60_1.25_125_8.csv,0.17442970000000002,0.15318386869417677,0.4123247238861048,No,1_60_0.75_150_6.csv,0.3715126933226539,0.01650825961993318,0.13994723678982912,No,2_60_1.25_225_12.csv,0.1114598249289179,0.27947915695174974,0.44435299400284695,No,2_20_0.75_50_18.csv,0.5688274421916271,0.018001675838718034,0.23164824266140407,No,,
2_60_1.25_50_6.csv,0.17223765,0.2215619510815201,0.5963778763528987,Yes,1_60_0.75_150_8.csv,0.3715126933226539,0.01650825961993318,0.13994723678982912,No,2_60_1.25_225_8.csv,0.1114597934702631,0.2794791860482641,0.4443530402643407,No,2_20_0.75_50_20.csv,0.5688274421916271,0.018001675838718034,0.23164824266140407,No,,
2_60_1.25_75_6.csv,0.17223765,0.2215619510815201,0.5963778763528987,Yes,3_60_0.75_150_10.csv,0.3715126933226539,0.01650825961993318,0.13994723678982912,No,2_60_1.25_225_10.csv,0.11145977812201242,0.27947920740600124,0.44435307422170106,No,2_20_0.75_50_8.csv,0.5688274421916271,0.018001675838718034,0.23164824266140407,No,,
2_60_1.5_175_10.csv,0.1700334,0.17931484022793617,0.4826614095592131,No,3_60_0.75_150_12.csv,0.3715126933226539,0.01650825961993318,0.13994723678982912,No,2_60_1.25_225_14.csv,0.11145977586135834,0.27947920324211334,0.44435306760140036,No,2_20_0.75_50_6.csv,0.5688274071973115,0.022713720557822944,0.2922835350809533,No,,
2_40_0.75_50_4.csv,0.16710840000000002,0.29013332301848715,0.7809513059275766,Yes,3_60_0.75_150_14.csv,0.3715126933226539,0.01650825961993318,0.13994723678982912,No,2_60_1.25_225_16.csv,0.11145977586135834,0.27947920324211334,0.44435306760140036,No,2_20_0.75_50_4.csv,0.5650885225971132,0.059286312279942854,0.7629050859801506,Yes,,
1_20_2_150_10.csv,0.16627675,0.024743025594717652,0.06660075426621348,No,3_60_0.75_150_16.csv,0.3715126933226539,0.01650825961993318,0.13994723678982912,No,2_60_1.25_225_18.csv,0.11145977586135834,0.27947920324211334,0.44435306760140036,No,2_80_0.75_225_4.csv,0.5579039655195913,0.028396439083933384,0.3654096024486141,No,,
1_20_2_150_12.csv,0.16627675,0.024743025594717652,0.06660075426621348,No,3_60_0.75_150_18.csv,0.3715126933226539,0.01650825961993318,0.13994723678982912,No,2_60_1.25_225_20.csv,0.11145977586135834,0.27947920324211334,0.44435306760140036,No,2_20_0.75_75_6.csv,0.5348272339040212,0.023897199573010175,0.3075127191053165,No,,
