Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,InSample2_RateOfReturn,OutSample2_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample2_AvgTrade,OutSample2_AvgTrade,Score_2,Pass2,Para3,InSample3_RateOfReturn,OutSample3_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample3_AvgTrade,OutSample3_AvgTrade,Score_3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,Pass5
2_60_1.25_50_8.csv,1.139579375,0.7659191774551481,12.0,11.0,0.09496494791666667,0.0696290161322862,0.733207542991408,Yes,1_60_0.75_150_10.csv,1.8575634666132694,0.08254129809966589,40.0,41.0,0.04643908666533174,0.0020132023926747776,0.04335146397652341,No,2_60_1.25_200_12.csv,0.5898029857040957,1.4387982151296648,11.0,12.0,0.05361845324582688,0.11989985126080539,2.236167662485437,Yes,2_80_0.75_150_4.csv,3.144787598192806,0.2716541494724308,9,13,0.3494208442436451,0.02089647303634083,0.059803166813282835,No,No Plateau,No
2_60_1.25_75_8.csv,1.139579375,0.7659191774551481,12.0,11.0,0.09496494791666667,0.0696290161322862,0.733207542991408,Yes,1_60_0.75_150_12.csv,1.8575634666132694,0.08254129809966589,40.0,41.0,0.04643908666533174,0.0020132023926747776,0.04335146397652341,No,2_60_1.25_200_8.csv,0.5898029271990268,1.4387984132904792,11.0,12.0,0.05361844792718426,0.1198998677742066,2.236168192280292,Yes,2_80_0.75_175_4.csv,3.1447875976627806,0.2000422284289085,9,13,0.3494208441847534,0.015387863725300654,0.044038196293648836,No,,
2_60_1.25_150_8.csv,0.893605813,0.765919140637957,8.0,11.0,0.111700726625,0.06962901278526881,0.6233532662596394,Yes,1_60_0.75_150_14.csv,1.8575634666132694,0.08254129809966589,40.0,41.0,0.04643908666533174,0.0020132023926747776,0.04335146397652341,No,2_60_1.25_200_10.csv,0.589802921171036,1.438798413151194,11.0,12.0,0.05361844737918509,0.11989986776259949,2.2361682149182323,Yes,2_80_0.75_200_4.csv,3.1447870250927594,0.14000289637098673,9,13,0.3494207805658622,0.010769453566998979,0.03082087318778984,No,,
2_60_1.25_175_8.csv,0.893605813,0.765919140637957,8.0,11.0,0.111700726625,0.06962901278526881,0.6233532662596394,Yes,1_60_0.75_150_16.csv,1.8575634666132694,0.08254129809966589,40.0,41.0,0.04643908666533174,0.0020132023926747776,0.04335146397652341,No,2_60_1.25_200_14.csv,0.5898029133879873,1.4387984923423756,11.0,12.0,0.053618446671635206,0.11989987436186463,2.2361683675050044,Yes,2_20_0.75_50_10.csv,2.8441372109581353,0.09000837919359019,32,39,0.08887928784244173,0.0023079071588100047,0.025966760252414293,No,,
2_60_1.5_50_8.csv,0.875765438,0.9961488383069353,10.0,11.0,0.08757654379999999,0.09055898530063049,1.0340552546517656,Yes,1_60_0.75_150_18.csv,1.8575634666132694,0.08254129809966589,40.0,41.0,0.04643908666533174,0.0020132023926747776,0.04335146397652341,No,2_60_1.25_200_16.csv,0.5898029133879873,1.4387984923423756,11.0,12.0,0.053618446671635206,0.11989987436186463,2.2361683675050044,Yes,2_20_0.75_50_12.csv,2.8441372109581353,0.09000837919359019,32,39,0.08887928784244173,0.0023079071588100047,0.025966760252414293,No,,
2_60_1.5_75_8.csv,0.875765438,0.9961488383069353,10.0,11.0,0.08757654379999999,0.09055898530063049,1.0340552546517656,Yes,1_60_0.75_150_20.csv,1.8575634666132694,0.08254129809966589,40.0,41.0,0.04643908666533174,0.0020132023926747776,0.04335146397652341,No,2_60_1.25_200_18.csv,0.5898029133879873,1.4387984923423756,11.0,12.0,0.053618446671635206,0.11989987436186463,2.2361683675050044,Yes,2_20_0.75_50_14.csv,2.8441372109581353,0.09000837919359019,32,39,0.08887928784244173,0.0023079071588100047,0.025966760252414293,No,,
2_60_1.25_100_8.csv,0.8721485,0.7030378466238122,9.0,11.0,0.09690538888888889,0.06391253151125566,0.6595353699528245,Yes,1_60_0.75_150_4.csv,1.8575634666132694,0.08254129809966589,40.0,41.0,0.04643908666533174,0.0020132023926747776,0.04335146397652341,No,2_60_1.25_200_20.csv,0.5898029133879873,1.4387984923423756,11.0,12.0,0.053618446671635206,0.11989987436186463,2.2361683675050044,Yes,2_20_0.75_50_16.csv,2.8441372109581353,0.09000837919359019,32,39,0.08887928784244173,0.0023079071588100047,0.025966760252414293,No,,
2_60_1.25_125_8.csv,0.8721485,0.7659193434708839,9.0,11.0,0.09690538888888889,0.06962903122462581,0.7185258944109086,Yes,1_60_0.75_150_6.csv,1.8575634666132694,0.08254129809966589,40.0,41.0,0.04643908666533174,0.0020132023926747776,0.04335146397652341,No,2_60_1.25_225_12.csv,0.5572991246445895,1.3973957847587486,10.0,12.0,0.05572991246445895,0.11644964872989572,2.089535826997037,Yes,2_20_0.75_50_18.csv,2.8441372109581353,0.09000837919359019,32,39,0.08887928784244173,0.0023079071588100047,0.025966760252414293,No,,
2_60_1.25_50_6.csv,0.86118825,1.1078097554076005,15.0,12.0,0.05741255,0.09231747961730004,1.6079668925574642,Yes,1_60_0.75_150_8.csv,1.8575634666132694,0.08254129809966589,40.0,41.0,0.04643908666533174,0.0020132023926747776,0.04335146397652341,No,2_60_1.25_225_8.csv,0.5572989673513155,1.3973959302413204,10.0,12.0,0.05572989673513155,0.11644966085344337,2.0895366342933617,Yes,2_20_0.75_50_20.csv,2.8441372109581353,0.09000837919359019,32,39,0.08887928784244173,0.0023079071588100047,0.025966760252414293,No,,
2_60_1.25_75_6.csv,0.86118825,1.1078097554076005,15.0,12.0,0.05741255,0.09231747961730004,1.6079668925574642,Yes,3_60_0.75_150_10.csv,1.8575634666132694,0.08254129809966589,40.0,41.0,0.04643908666533174,0.0020132023926747776,0.04335146397652341,No,2_60_1.25_225_10.csv,0.5572988906100621,1.3973960370300063,10.0,12.0,0.05572988906100621,0.11644966975250053,2.089537081708987,Yes,2_20_0.75_50_8.csv,2.8441372109581353,0.09000837919359019,32,39,0.08887928784244173,0.0023079071588100047,0.025966760252414293,No,,
