Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5
2_20_0.75_150_10.csv,0.19677992500000002,-0.02815748553811033,No,No Plateau,No,No Plateau,No,2_100_0.75_100_4.csv,0.6409025593978601,0.11940375045332643,No,2_100_0.75_100_6.csv,0.19389180720124177,-0.05143823299099419,No
2_20_0.75_150_12.csv,0.19677992500000002,-0.02815748553811033,,,,,,2_100_0.75_75_4.csv,0.6409025593978601,0.11940375045332643,,2_100_0.75_75_6.csv,0.19389180720124177,-0.05143823299099419,
2_20_0.75_150_14.csv,0.19677992500000002,-0.02815748553811033,,,,,,2_100_0.75_175_4.csv,0.6409025554598248,0.028486928182819744,,2_100_0.75_50_6.csv,0.1938917863996239,-0.05143823707671001,
2_20_0.75_150_16.csv,0.19677992500000002,-0.02815748553811033,,,,,,2_100_0.75_200_4.csv,0.6409024503308486,0.02848693941904365,,2_100_0.75_125_6.csv,0.19389177600340574,-0.05143822521111393,
2_20_0.75_150_18.csv,0.19677992500000002,-0.02815748553811033,,,,,,2_100_0.75_225_4.csv,0.6409023947576326,0.028486933430821235,,2_120_0.75_50_6.csv,0.17757064304234912,-0.01904591059537608,
2_20_0.75_150_20.csv,0.19677992500000002,-0.02815748553811033,,,,,,2_100_0.75_125_4.csv,0.640902349713734,0.11940377729461504,,2_120_0.75_100_6.csv,0.16734765302592627,-0.01904591257836344,
2_20_0.75_150_4.csv,0.19677992500000002,-0.014076266585311744,,,,,,2_100_0.75_150_4.csv,0.6409023099926374,0.0453110873912535,,2_120_0.75_125_6.csv,0.16734765302592627,-0.01904591257836344,
2_20_0.75_150_6.csv,0.19677992500000002,-0.02815748553811033,,,,,,2_120_0.75_225_4.csv,0.6179655832724906,0.005563697204803418,,2_120_0.75_75_6.csv,0.16734765302592627,-0.01904591257836344,
2_20_0.75_150_8.csv,0.19677992500000002,-0.02815748553811033,,,,,,2_120_0.75_100_4.csv,0.6179655782768871,0.0854167388381248,,2_120_0.75_150_6.csv,0.1673475677485795,-0.019045915072460083,
2_20_0.75_100_10.csv,0.18879835,-0.023308445110428067,,,,,,2_120_0.75_125_4.csv,0.6179655782768871,0.0854167388381248,,2_100_0.75_50_4.csv,0.11940378171234807,-0.051438240500479536,
2_20_0.75_100_12.csv,0.18879835,-0.023308445110428067,,,,,,2_120_0.75_75_4.csv,0.6179655782768871,0.0854167388381248,,2_100_0.75_125_4.csv,0.11940377729461504,-0.05143821508992795,
2_20_0.75_100_14.csv,0.18879835,-0.023308445110428067,,,,,,2_120_0.75_175_4.csv,0.6179655361347571,0.005563698408442924,,2_100_0.75_100_4.csv,0.11940375045332643,-0.05143820733579847,
2_20_0.75_100_16.csv,0.18879835,-0.023308445110428067,,,,,,2_120_0.75_200_4.csv,0.6179655147652716,0.005563684455322916,,2_100_0.75_75_4.csv,0.11940375045332643,-0.05143820733579847,
2_20_0.75_100_18.csv,0.18879835,-0.023308445110428067,,,,,,2_120_0.75_150_4.csv,0.6179653480919777,0.08541671834373316,,2_120_0.75_50_4.csv,0.11904759871639704,-0.015268887563865383,
2_20_0.75_100_20.csv,0.18879835,-0.023308445110428067,,,,,,2_100_0.75_125_12.csv,0.5802715396954747,0.08931234786236646,,2_40_0.75_50_4.csv,0.10947488295164763,-0.010294112215917835,
2_20_0.75_100_4.csv,0.18879835,-0.008829943542713077,,,,,,2_100_0.75_125_14.csv,0.5802715396954747,0.08931234786236646,,2_120_1_100_6.csv,0.10641733727503361,-0.012689859884572363,
2_20_0.75_100_6.csv,0.18879835,-0.023308445110428067,,,,,,2_100_0.75_125_16.csv,0.5802715396954747,0.08931234786236646,,2_120_1_125_6.csv,0.10641733727503361,-0.012689859884572363,
2_20_0.75_100_8.csv,0.18879835,-0.023308445110428067,,,,,,2_100_0.75_125_18.csv,0.5802715396954747,0.08931234786236646,,2_120_1_75_6.csv,0.10641733727503361,-0.012689859884572363,
2_20_0.75_125_10.csv,0.17621935,-0.013870757790634639,,,,,,2_100_0.75_125_20.csv,0.5802715396954747,0.08931234786236646,,2_120_1_150_6.csv,0.10641732978912591,-0.012689866793011987,
2_20_0.75_125_12.csv,0.17621935,-0.013870757790634639,,,,,,2_100_0.75_125_8.csv,0.5802714394804496,0.0893123495374343,,2_120_1_50_6.csv,0.10641731631658238,-0.012689859881665322,
2_20_0.75_125_14.csv,0.17621935,-0.013870757790634639,,,,,,2_100_0.75_125_10.csv,0.5802714811972717,0.08931234752872057,,2_100_0.75_150_6.csv,0.10252000240265836,-0.034905041335393294,
2_20_0.75_125_16.csv,0.17621935,-0.013870757790634639,,,,,,2_100_0.75_100_8.csv,0.5802712051611196,0.08931234828064136,,2_60_1_125_6.csv,0.10084629041189848,-0.01845785518372839,
2_20_0.75_125_18.csv,0.17621935,-0.013870757790634639,,,,,,2_100_0.75_75_8.csv,0.5802712051611196,0.08931234828064136,,2_60_1.25_125_6.csv,0.10032008746991136,-0.03665301021700852,
