Para1,InSample1_RateOfReturn,OutSample1_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample1_AvgTrade,OutSample1_AvgTrade,Score_1,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_RateOfReturn,OutSample4_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample4_AvgTrade,OutSample4_AvgTrade,Score_4,Pass4,Para5,InSample5_RateOfReturn,OutSample5_RateOfReturn,Number_of_Transactions,Number_of_Transactions,InSample5_AvgTrade,OutSample5_AvgTrade,Score_5,Pass5
2_20_0.75_150_10.csv,0.983899625,-0.14078742769055164,27.0,38.0,0.03644072685185185,-0.003704932307646096,-0.10167009902706751,No,No Plateau,No,No Plateau,No,2_100_0.75_100_4.csv,3.204512796989301,0.5970187522666321,10,13,0.3204512796989301,0.04592451940512555,0.14331201750316766,No,2_100_0.75_100_6.csv,0.9694590360062089,-0.25719116495497096,11.0,18.0,0.08813263963692808,-0.014288398053053942,-0.1621237955871575,No
2_20_0.75_150_12.csv,0.983899625,-0.14078742769055164,27.0,38.0,0.03644072685185185,-0.003704932307646096,-0.10167009902706751,No,,,,,2_100_0.75_75_4.csv,3.204512796989301,0.5970187522666321,10,13,0.3204512796989301,0.04592451940512555,0.14331201750316766,No,2_100_0.75_75_6.csv,0.9694590360062089,-0.25719116495497096,11.0,18.0,0.08813263963692808,-0.014288398053053942,-0.1621237955871575,No
2_20_0.75_150_14.csv,0.983899625,-0.14078742769055164,27.0,38.0,0.03644072685185185,-0.003704932307646096,-0.10167009902706751,No,,,,,2_100_0.75_175_4.csv,3.204512777299124,0.14243464091409871,10,12,0.3204512777299124,0.011869553409508226,0.037040118839882744,No,2_100_0.75_50_6.csv,0.9694589319981196,-0.25719118538355,11.0,18.0,0.08813263018164724,-0.014288399187975,-0.16212382585797852,No
2_20_0.75_150_16.csv,0.983899625,-0.14078742769055164,27.0,38.0,0.03644072685185185,-0.003704932307646096,-0.10167009902706751,No,,,,,2_100_0.75_200_4.csv,3.204512251654243,0.14243469709521825,10,12,0.3204512251654243,0.011869558091268188,0.037040139525573196,No,2_100_0.75_125_6.csv,0.9694588800170286,-0.25719112605556965,11.0,18.0,0.08813262545609352,-0.014288395891976093,-0.16212379715267167,No
2_20_0.75_150_18.csv,0.983899625,-0.14078742769055164,27.0,38.0,0.03644072685185185,-0.003704932307646096,-0.10167009902706751,No,,,,,2_100_0.75_225_4.csv,3.2045119737881627,0.1424346671541062,10,12,0.3204511973788163,0.011869555596175516,0.03704013495117046,No,2_120_0.75_50_6.csv,0.8878532152117455,-0.0952295529768804,8.0,13.0,0.11098165190146819,-0.007325350228990801,-0.0660050567231996,No
2_20_0.75_150_20.csv,0.983899625,-0.14078742769055164,27.0,38.0,0.03644072685185185,-0.003704932307646096,-0.10167009902706751,No,,,,,2_100_0.75_125_4.csv,3.2045117485686703,0.5970188864730752,10,13,0.320451174856867,0.045924529728698094,0.14331209660632632,No,2_120_0.75_100_6.csv,0.8367382651296315,-0.09522956289181718,9.0,13.0,0.09297091834773683,-0.007325350991678244,-0.07879185364480767,No
2_20_0.75_150_4.csv,0.983899625,-0.07038133292655872,27.0,38.0,0.03644072685185185,-0.001852140340172598,-0.050826108592794864,No,,,,,2_100_0.75_150_4.csv,3.204511549963187,0.2265554369562675,10,13,0.3204511549963187,0.01742734130432827,0.05438376811133189,No,2_120_0.75_125_6.csv,0.8367382651296315,-0.09522956289181718,9.0,13.0,0.09297091834773683,-0.007325350991678244,-0.07879185364480767,No
2_20_0.75_150_6.csv,0.983899625,-0.14078742769055164,27.0,38.0,0.03644072685185185,-0.003704932307646096,-0.10167009902706751,No,,,,,2_120_0.75_225_4.csv,3.089827916362453,0.027818486024017094,10,13,0.3089827916362453,0.002139883540309007,0.006925575139563816,No,2_120_0.75_75_6.csv,0.8367382651296315,-0.09522956289181718,9.0,13.0,0.09297091834773683,-0.007325350991678244,-0.07879185364480767,No
2_20_0.75_150_8.csv,0.983899625,-0.14078742769055164,27.0,38.0,0.03644072685185185,-0.003704932307646096,-0.10167009902706751,No,,,,,2_120_0.75_100_4.csv,3.089827891384436,0.427083694190624,10,13,0.3089827891384436,0.03285259186081723,0.1063249896617938,No,2_120_0.75_150_6.csv,0.8367378387428975,-0.09522957536230041,9.0,13.0,0.09297087097143306,-0.007325351950946185,-0.07879190411367695,No
2_20_0.75_100_10.csv,0.94399175,-0.11654222555214033,30.0,38.0,0.03146639166666667,-0.0030669006724247457,-0.09746591553659485,No,,,,,2_120_0.75_125_4.csv,3.089827891384436,0.427083694190624,10,13,0.3089827891384436,0.03285259186081723,0.1063249896617938,No,2_100_0.75_50_4.csv,0.5970189085617403,-0.2571912025023977,13.0,18.0,0.04592453142782618,-0.014288400139022094,-0.31112783723177184,No
