Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5
,,,,,,,,,,,2_80_2_200_16.csv,0.2473198203069809,0.001979095387166896,7528491.199,-6890918.808999999,1.092523567273393,No,,,,,,,
,,,,,,,,,,,2_20_1.5_75_6.csv,0.23609054413349875,0.07396866550279554,11728617.890999999,-9957251.688,1.177897100375073,No,,,,,,,
,,,,,,,,,,,2_60_1_225_6.csv,0.2462637822091207,0.030303930317991,7419823.8270000005,-6705213.607999999,1.1065753100165816,No,,,,,,,
,,,,,,,,,,,2_40_1_75_8.csv,0.234446220319745,0.022889077462505472,11220285.140999999,-10213222.203,1.0986038409801941,No,,,,,,,
,,,,,,,,,,,2_60_1.5_125_16.csv,0.24502585714238423,-0.0033991840439134445,8556535.649,-7978729.446,1.0724183226051953,No,,,,,,,
,,,,,,,,,,,2_60_1.5_125_18.csv,0.24502585714238423,-0.0033991840439134445,8556535.649,-7978729.446,1.0724183226051953,No,,,,,,,
,,,,,,,,,,,2_60_1.5_125_20.csv,0.24502585714238423,-0.0033991840439134445,8556535.649,-7978729.446,1.0724183226051953,No,,,,,,,
,,,,,,,,,,,2_60_1.5_75_16.csv,0.24502575051225545,-0.0033991823100348235,9643385.552000001,-8992186.505,1.0724183207986075,No,,,,,,,
,,,,,,,,,,,2_60_1.5_75_18.csv,0.24502575051225545,-0.0033991823100348235,9643385.552000001,-8992186.505,1.0724183207986075,No,,,,,,,
,,,,,,,,,,,2_60_1.5_75_20.csv,0.24502575051225545,-0.0033991823100348235,9643385.552000001,-8992186.505,1.0724183207986075,No,,,,,,,
,,,,,,,,,,,2_60_1.5_50_16.csv,0.2450257586984294,-0.0033991842254590615,10332198.719,-9634485.468,1.0724183199318102,No,,,,,,,
,,,,,,,,,,,2_60_1.5_50_18.csv,0.2450257586984294,-0.0033991842254590615,10332198.719,-9634485.468,1.0724183199318102,No,,,,,,,
,,,,,,,,,,,2_60_1.5_50_20.csv,0.2450257586984294,-0.0033991842254590615,10332198.719,-9634485.468,1.0724183199318102,No,,,,,,,
,,,,,,,,,,,2_60_1.5_100_16.csv,0.2450257011525246,-0.003399181645607144,9801685.805,-9139797.086000001,1.0724183165963121,No,,,,,,,
,,,,,,,,,,,2_60_1.5_100_18.csv,0.2450257011525246,-0.003399181645607144,9801685.805,-9139797.086000001,1.0724183165963121,No,,,,,,,
,,,,,,,,,,,2_60_1.5_100_20.csv,0.2450257011525246,-0.003399181645607144,9801685.805,-9139797.086000001,1.0724183165963121,No,,,,,,,
