Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window_2_NetProfit,Window_2_MDD,Score_2,Pass2,Para3,Pass3,Para4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Window_6_NetProfit,Window_6_MDD,Score_6,Pass6,Para7,InSample7_Annual_RateOfReturn,OutSample7_Annual_RateOfReturn,Window_7_NetProfit,Window_7_MDD,Score_7,Pass7,Para8,InSample8_Annual_RateOfReturn,OutSample8_Annual_RateOfReturn,Window_8_NetProfit,Window_8_MDD,Score_8,Pass8,Para9,Pass9
2_20_0.75_100_10.csv,0.4236336666666667,0.029318484161132523,1470639.125,-780683.375,1.883784351114176,Yes,2_20_1.25_100_4.csv,0.13375481718344842,-0.081235851827922,98887.18699999999,-780257.125,0.1267366664546639,No,No Plateau,No,No Plateau,No,2_40_1.75_200_6.csv,0.22933989273115393,0.0406112736445262,571921.86,-398839.282,1.4339657245697277,No,2_20_1_75_4.csv,0.31327989732859357,0.10551425260094066,1403057.4840000002,-512360.875,2.7384165194112455,Yes,2_100_0.75_50_6.csv,0.5461598678481115,0.15236653346481055,1857129.031,-803595.25,2.3110253961804776,Yes,2_120_0.75_50_4.csv,0.23247785815864536,0.03248521996151255,579846.969,-257588.625,2.2510581319342036,Yes,No Plateau,No
2_20_0.75_100_12.csv,0.4236336666666667,0.029318484161132523,1470639.125,-780683.375,1.883784351114176,Yes,2_40_0.75_75_10.csv,0.12348606568191962,0.008803287562735337,533986.907,-399774.672,1.3357197051242906,No,,,,,2_40_1.75_225_6.csv,0.22933987553751511,0.06023517132766516,737860.781,-390014.282,1.8918814388443344,Yes,2_20_1_50_4.csv,0.30705569525553,0.12965912594374335,1377646.8909999998,-549111.125,2.5088672006053416,Yes,2_100_0.75_125_6.csv,0.5461598201381492,0.15236651802588475,2258376.406,-977218.25,2.3110256137766565,Yes,2_120_1_150_8.csv,0.2196801469698086,0.04158035986330583,409829.453,-205214.875,1.9970747880727455,Yes,,
2_20_0.75_100_14.csv,0.4236336666666667,0.029318484161132523,1470639.125,-780683.375,1.883784351114176,Yes,2_40_0.75_75_12.csv,0.12348606568191962,0.008803287562735337,533986.907,-399774.672,1.3357197051242906,No,,,,,2_120_0.75_225_4.csv,0.10559737806333233,0.19442940992761626,651958.969,-387304.234,1.6833251789341401,Yes,2_20_0.75_50_4.csv,0.24764152997738983,0.24596404950023615,1798229.156,-726920.75,2.4737623131544946,Yes,2_100_0.75_100_6.csv,0.546159785224894,0.15236657306308948,2501586.266,-1082457.5,2.3110249279994823,Yes,2_120_1_100_8.csv,0.21968011818913652,0.04158035509131148,511338.133,-256043.59399999998,1.997074502086547,Yes,,
2_20_0.75_100_16.csv,0.4236336666666667,0.029318484161132523,1470639.125,-780683.375,1.883784351114176,Yes,2_40_0.75_75_14.csv,0.12348606568191962,0.008803287562735337,533986.907,-399774.672,1.3357197051242906,No,,,,,2_120_0.75_225_6.csv,0.10313145855605005,0.06535707442337664,232720.0,-325226.0,0.7155639463019562,No,2_20_0.75_75_4.csv,0.24215434605732006,0.16693367484827362,1251030.126,-580809.5,2.1539422581758734,Yes,2_100_0.75_75_6.csv,0.546159785224894,0.15236657306308948,2501586.266,-1082457.5,2.3110249279994823,Yes,2_120_1_125_8.csv,0.21968011818913652,0.04158035509131148,511338.133,-256043.59399999998,1.997074502086547,Yes,,
2_20_0.75_100_18.csv,0.4236336666666667,0.029318484161132523,1470639.125,-780683.375,1.883784351114176,Yes,2_40_0.75_75_16.csv,0.12348606568191962,0.008803287562735337,533986.907,-399774.672,1.3357197051242906,No,,,,,,,,,,,,2_100_0.75_125_6.csv,0.25040375277397814,0.5461598201381492,1641422.688,-363001.81299999997,4.5218030026753615,Yes,2_100_0.75_225_6.csv,0.5461597532172581,0.014114261405675625,2300129.719,-1157154.5,1.9877464236625273,Yes,2_120_1_50_8.csv,0.21968011818913652,0.04158035509131148,511338.133,-256043.59399999998,1.997074502086547,Yes,,
2_20_0.75_100_20.csv,0.4236336666666667,0.029318484161132523,1470639.125,-780683.375,1.883784351114176,Yes,2_40_0.75_75_18.csv,0.12348606568191962,0.008803287562735337,533986.907,-399774.672,1.3357197051242906,No,,,,,,,,,,,,2_100_0.75_100_6.csv,0.2504036959469454,0.546159785224894,1818191.031,-402094.375,4.521801706378011,Yes,2_100_0.75_200_6.csv,0.5461597415382572,0.014114258555442506,2071764.781,-1042268.25,1.9877462265592374,Yes,2_120_1_75_8.csv,0.21968011818913652,0.04158035509131148,511338.133,-256043.59399999998,1.997074502086547,Yes,,
2_20_0.75_100_4.csv,0.4236336666666667,0.05903499315910293,1673088.875,-780683.375,2.143108113452525,Yes,2_40_0.75_75_20.csv,0.12348606568191962,0.008803287562735337,533986.907,-399774.672,1.3357197051242906,No,,,,,,,,,,,,2_100_0.75_75_6.csv,0.2504036959469454,0.546159785224894,1818191.031,-402094.375,4.521801706378011,Yes,2_100_0.75_150_6.csv,0.5461597302586639,0.03969785534750226,1315630.719,-636912.625,2.0656376830338385,Yes,2_120_1_150_14.csv,0.2196800582034283,0.041580344244139984,414916.969,-207762.391,1.9970744801449651,Yes,,
2_20_0.75_100_6.csv,0.4236336666666667,0.029318484161132523,1470639.125,-780683.375,1.883784351114176,Yes,2_40_0.75_75_8.csv,0.12348606568191962,0.008803287562735337,533986.907,-399774.672,1.3357197051242906,No,,,,,,,,,,,,2_100_0.75_175_6.csv,0.2504036486568201,0.5461596842214524,1716400.75,-379583.31299999997,4.521802437611371,Yes,2_100_0.75_175_6.csv,0.5461596842214524,0.014114234825121814,1453021.7969999998,-730989.75,1.987745788501138,Yes,2_120_1_150_16.csv,0.2196800582034283,0.041580344244139984,414916.969,-207762.391,1.9970744801449651,Yes,,
2_20_0.75_100_8.csv,0.4236336666666667,0.029318484161132523,1470639.125,-780683.375,1.883784351114176,Yes,2_40_0.75_75_6.csv,0.12348606482500438,0.008803267339398454,578340.781,-432980.625,1.3357197703707873,No,,,,,,,,,,,,2_100_0.75_150_6.csv,0.25040356821508997,0.5461597302586639,1392936.938,-308049.0,4.521803148200449,Yes,2_120_0.75_50_6.csv,0.5085345851601834,0.20963866739184506,783747.734,-243655.5,3.216622378727343,Yes,2_120_1_150_18.csv,0.2196800582034283,0.041580344244139984,414916.969,-207762.391,1.9970744801449651,Yes,,
2_20_0.75_150_10.csv,0.4135048333333333,0.002301517501151335,1255984.25,-736529.5,1.7052735158605323,Yes,2_80_2_100_20.csv,0.11729825825078417,-0.05329202633521497,128729.93800000001,-444711.805,0.28946822763115093,No,,,,,,,,,,,,2_100_0.75_225_6.csv,0.2504036044278597,0.5461597532172581,2717057.4689999996,-600879.125,4.521803730492384,Yes,2_120_1_200_6.csv,0.47741475192096616,0.0515757054585327,611784.875,-365057.859,1.6758572919806665,Yes,2_120_1_150_20.csv,0.2196800582034283,0.041580344244139984,414916.969,-207762.391,1.9970744801449651,Yes,,
