Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Pass5,Para6,InSample6_Annual_RateOfReturn,OutSample6_Annual_RateOfReturn,Pass6,Para7,Pass7
2_20_0.75_100_10.csv,0.23562403125000003,-0.0038698633486658595,No,No Plateau,No,No Plateau,No,2_120_0.75_225_4.csv,0.20291749901884576,0.493161453537791,Yes,2_100_0.75_175_4.csv,0.5503950662835877,0.007825356567893476,No,2_100_0.75_100_6.csv,0.1860465502435543,0.02652064115477424,No,No Plateau,No
2_20_0.75_100_12.csv,0.23562403125000003,-0.0038698633486658595,,,,,,2_100_0.75_225_4.csv,0.15302068084679032,0.5503949661014853,,2_100_0.75_100_4.csv,0.5503950728441926,0.11041618997983862,,2_100_0.75_75_6.csv,0.1860465502435543,0.02652064115477424,,,
2_20_0.75_100_14.csv,0.23562403125000003,-0.0038698633486658595,,,,,,2_100_0.75_225_6.csv,0.1485002278414028,0.4920354355205141,,2_100_0.75_75_4.csv,0.5503950728441926,0.11041618997983862,,2_100_0.75_50_6.csv,0.1860465444535205,0.02652063204010148,,,
2_20_0.75_100_16.csv,0.23562403125000003,-0.0038698633486658595,,,,,,2_120_0.75_225_6.csv,0.14305998275919432,0.27421632102205695,,2_100_0.75_200_4.csv,0.5503949740354419,0.007825371076966571,,2_100_0.75_125_6.csv,0.18604653446852826,0.026520639465716787,,,
2_20_0.75_100_18.csv,0.23562403125000003,-0.0038698633486658595,,,,,,2_40_1.75_200_6.csv,0.13665378291950306,0.34914375762439387,,2_100_0.75_225_4.csv,0.5503949661014853,0.007825359570024578,,2_120_0.75_50_6.csv,0.18110451365195057,0.008149621311073352,,,
2_20_0.75_100_20.csv,0.23562403125000003,-0.0038698633486658595,,,,,,2_40_1.75_225_6.csv,0.13665376383665753,0.3805857364927623,,2_100_0.75_125_4.csv,0.5503949381507148,0.11041621386235795,,2_120_0.75_100_6.csv,0.16943204827837743,0.008149626760200696,,,
2_20_0.75_100_4.csv,0.23562403125000003,0.01629858399712107,,,,,,2_120_0.75_200_4.csv,0.1080099120899933,0.4931614114523865,,2_100_0.75_150_4.csv,0.5503949173455835,0.026809803138121636,,2_120_0.75_125_6.csv,0.16943204827837743,0.008149626760200696,,,
2_20_0.75_100_6.csv,0.23562403125000003,-0.0038698633486658595,,,,,,2_100_0.75_225_10.csv,0.10582310757550076,0.4999833188501086,,2_100_1.25_200_12.csv,0.520008521506283,-0.03262105066994839,,2_120_0.75_75_6.csv,0.16943204827837743,0.008149626760200696,,,
2_20_0.75_100_8.csv,0.23562403125000003,-0.0038698633486658595,,,,,,2_100_0.75_225_12.csv,0.10582310757550076,0.4999833188501086,,2_100_1.25_200_14.csv,0.520008521506283,-0.025518822196827946,,2_120_0.75_150_6.csv,0.16943196458190893,0.00814961030627722,,,
2_20_0.75_150_10.csv,0.2356075625,-0.0339486510848942,,,,,,2_100_0.75_225_14.csv,0.10582310757550076,0.4999833188501086,,2_100_1.25_175_12.csv,0.5200084258478401,0.01023695982666469,,2_60_1.25_125_6.csv,0.13673796680437914,-0.017340118511472675,,,
2_20_0.75_150_12.csv,0.2356075625,-0.0339486510848942,,,,,,2_100_0.75_225_16.csv,0.10582310757550076,0.4999833188501086,,2_100_1.25_175_14.csv,0.5200084258478401,0.01873945322530001,,2_60_1.25_50_6.csv,0.13629371239042146,-0.015661069015864226,,,
2_20_0.75_150_14.csv,0.2356075625,-0.0339486510848942,,,,,,2_100_0.75_225_18.csv,0.10582310757550076,0.4999833188501086,,2_100_1.25_125_12.csv,0.5200085698162246,0.028014052492948777,,2_60_1.25_100_6.csv,0.13629370103809374,-0.015661066973668248,,,
2_20_0.75_150_16.csv,0.2356075625,-0.0339486510848942,,,,,,2_100_0.75_225_20.csv,0.10582310757550076,0.4999833188501086,,2_100_1.25_125_14.csv,0.5200085698162246,0.03709735234121733,,2_60_1.25_75_6.csv,0.13629369841970895,-0.01566107517319553,,,
2_20_0.75_150_18.csv,0.2356075625,-0.0339486510848942,,,,,,2_80_1_200_8.csv,0.10219773967808243,0.3177827477911337,,2_100_1.25_225_12.csv,0.520008538113558,-0.041787635049266046,,2_40_0.75_50_4.csv,0.12947216638631381,-0.019739258717175783,,,
2_20_0.75_150_20.csv,0.2356075625,-0.0339486510848942,,,,,,2_80_1_225_10.csv,0.10219773332582016,0.3177827612704387,,2_100_1.25_225_14.csv,0.520008538113558,-0.034984894578963206,,2_60_1_125_6.csv,0.12251713854454527,-0.0002698938019271108,,,
2_20_0.75_150_4.csv,0.2356075625,-0.016244870748658807,,,,,,2_80_1_200_10.csv,0.10219772889917088,0.31778278076186456,,2_100_1.25_150_12.csv,0.5200085218644882,0.028014050422678932,,2_120_0.75_50_4.csv,0.12131985850587806,0.0032579816394779663,,,
2_20_0.75_150_6.csv,0.2356075625,-0.0339486510848942,,,,,,2_80_1_225_8.csv,0.1021977249949797,0.3177827991743844,,2_100_1.25_150_14.csv,0.5200085218644882,0.03709735019823225,,2_80_0.75_125_4.csv,0.12026421469394952,0.012882178818174373,,,
2_20_0.75_150_8.csv,0.2356075625,-0.0339486510848942,,,,,,2_100_0.75_200_4.csv,0.10077444637291343,0.5503949740354419,,2_100_1.25_100_12.csv,0.5200084538751782,0.028014050843965566,,2_120_1_100_6.csv,0.11202995572339416,0.020989128362360544,,,
