Symbol,Fullname
1731,1731美吾華股份有限公司
1732,1732毛寶股份有限公司
1733,1733五鼎生物技術股份有限公司
1734,1734杏輝藥品工業股份有限公司
1735,1735日勝化工股份有限公司
1736,1736喬山健康科技股份有限公司
1737,1737臺鹽實業股份有限公司
1760,1760寶齡富錦生技股份有限公司
1762,1762中化合成生技股份有限公司
1773,1773勝一化工股份有限公司
1776,1776展宇科技材料股份有限公司
1783,1783和康生物科技股份有限公司
1786,1786科妍生物科技股份有限公司
1789,1789台灣神隆股份有限公司
1802,1802台灣玻璃工業股份有限公司
1805,1805寶徠建設股份有限公司
1806,1806冠軍建材股份有限公司
1808,1808潤隆建設股份有限公司
1809,1809中國製釉股份有限公司
1810,1810和成欣業股份有限公司
1817,1817凱撒衛浴股份有限公司
1902,1902台灣紙業股份有限公司
1903,1903士林紙業股份有限公司
1904,1904正隆股份有限公司
1905,1905中華紙漿股份有限公司
1906,1906寶隆國際股份有限公司
1907,1907永豐餘投資控股股份有限公司
1909,1909榮成紙業股份有限公司
2002,2002中國鋼鐵股份有限公司
2006,2006東和鋼鐵企業股份有限公司
2007,2007燁興企業股份有限公司
2008,2008高興昌鋼鐵股份有限公司
2009,2009第一伸銅科技股份有限公司
2010,2010春源鋼鐵工業股份有限公司
2012,2012春雨工廠股份有限公司
2013,2013中國鋼鐵結構股份有限公司
2014,2014中鴻鋼鐵股份有限公司
2015,2015豐興鋼鐵股份有限公司
2017,2017官田鋼鐵股份有限公司
2020,2020美亞鋼管廠股份有限公司
2022,2022聚亨企業股份有限公司
2023,2023燁輝企業股份有限公司
2024,2024志聯工業股份有限公司
2025,2025千興不銹鋼(股)公司
2027,2027大成不銹鋼工業股份有限公司
2028,2028威致鋼鐵工業股份有限公司
2029,2029盛餘股份有限公司
2030,2030彰源企業股份有限公司
2031,2031新光鋼鐵股份有限公司
2032,2032新鋼工業股份有限公司
2033,2033佳大世界股份有限公司
2034,2034允強實業股份有限公司
2038,2038海光企業股份有限公司
2049,2049上銀科技股份有限公司
2059,2059川湖科技股份有限公司
2062,2062橋椿金屬股份有限公司
2069,2069運錩鋼鐵股份有限公司
2101,2101南港輪胎股份有限公司
2102,2102泰豐輪胎股份有限公司
2103,2103台橡股份有限公司
2104,2104中國合成橡膠股份有限公司
2105,2105正新橡膠工業股份有限公司
2106,2106建大工業股份有限公司
2107,2107厚生股份有限公司
2108,2108南帝化學工業股份有限公司
2109,2109華豐橡膠工業股份有限公司
2114,2114鑫永銓股份有限公司
2115,2115六暉控股股份有限公司
2201,2201裕隆汽車製造股份有限公司
2204,2204中華汽車工業股份有限公司
2206,2206三陽工業股份有限公司
2207,2207和泰汽車股份有限公司
2208,2208台灣國際造船股份有限公司
2227,2227裕隆日產汽車股份有限公司
2228,2228劍麟股份有限公司
2231,2231為升電裝工業股份有限公司
2236,2236百達精密工業股份有限公司
2239,2239開曼英利工業股份有限公司
2243,2243宏旭控股股份有限公司
2301,2301光寶科技股份有限公司
2302,2302麗正國際科技股份有限公司
2303,2303聯華電子股份有限公司
2305,2305全友電腦股份有限公司
2308,2308台達電子工業股份有限公司
2312,2312金寶電子工業股份有限公司
2313,2313華通電腦股份有限公司
2314,2314台揚科技股份有限公司
2316,2316楠梓電子股份有限公司
2317,2317鴻海精密工業股份有限公司
2321,2321東訊股份有限公司
2323,2323中環股份有限公司
2324,2324仁寶電腦工業股份有限公司
2327,2327國巨股份有限公司
2328,2328廣宇科技股份有限公司
2329,2329華泰電子股份有限公司
2330,2330台灣積體電路製造股份有限公司
2331,2331精英電腦股份有限公司
2332,2332友訊科技股份有限公司
2337,2337旺宏電子股份有限公司
2338,2338台灣光罩股份有限公司
2340,2340光磊科技股份有限公司
2342,2342台灣茂矽電子股份有限公司
2344,2344華邦電子股份有限公司
2345,2345智邦科技股份有限公司
2347,2347聯強國際股份有限公司
2348,2348海悅國際開發股份有限公司
2349,2349錸德科技股份有限公司
2351,2351順德工業股份有限公司
2352,2352佳世達科技股份有限公司
2353,2353宏碁股份有限公司
2354,2354鴻準精密工業股份有限公司
2355,2355敬鵬工業股份有限公司
2356,2356英業達股份有限公司
2357,2357華碩電腦股份有限公司
2358,2358廷鑫興業股份有限公司
2359,2359所羅門股份有限公司
2360,2360致茂電子股份有限公司
2362,2362藍天電腦股份有限公司
2363,2363矽統科技股份有限公司
2364,2364倫飛電腦實業股份有限公司
2365,2365昆盈企業股份有限公司
2367,2367燿華電子股份有限公司
2368,2368金像電子(股)公司
2369,2369菱生精密工業股份有限公司
2371,2371大同股份有限公司
2373,2373震旦行股份有限公司
2374,2374佳能企業股份有限公司
2375,2375智寶電子股份有限公司
2376,2376技嘉科技股份有限公司
2377,2377微星科技股份有限公司
2379,2379瑞昱半導體股份有限公司
2380,2380虹光精密工業股份有限公司
2382,2382廣達電腦股份有限公司
2383,2383台光電子材料股份有限公司
2385,2385群光電子股份有限公司
2387,2387精元電腦股份有限公司
2388,2388威盛電子股份有限公司
