Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,OutSamplePass1,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,OutSamplePass4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,OutSamplePass5,Pass5
2_20_0.75_150_10.csv,0.19677992500000002,-0.02815748553811033,No,No,No Plateau,No,No Plateau,No,2_100_0.75_100_4.csv,0.6409025593978601,0.11940375045332643,Yes,No,2_100_0.75_100_6.csv,0.19389180720124177,-0.05143823299099419,No,No
2_20_0.75_150_12.csv,0.19677992500000002,-0.02815748553811033,No,,,,,,2_100_0.75_75_4.csv,0.6409025593978601,0.11940375045332643,Yes,,2_100_0.75_75_6.csv,0.19389180720124177,-0.05143823299099419,No,
2_20_0.75_150_14.csv,0.19677992500000002,-0.02815748553811033,No,,,,,,2_100_0.75_175_4.csv,0.6409025554598248,0.028486928182819744,No,,2_100_0.75_50_6.csv,0.1938917863996239,-0.05143823707671001,No,
2_20_0.75_150_16.csv,0.19677992500000002,-0.02815748553811033,No,,,,,,2_100_0.75_200_4.csv,0.6409024503308486,0.02848693941904365,No,,2_100_0.75_125_6.csv,0.19389177600340574,-0.05143822521111393,No,
2_20_0.75_150_18.csv,0.19677992500000002,-0.02815748553811033,No,,,,,,2_100_0.75_225_4.csv,0.6409023947576326,0.028486933430821235,No,,2_120_0.75_50_6.csv,0.17757064304234912,-0.01904591059537608,No,
2_20_0.75_150_20.csv,0.19677992500000002,-0.02815748553811033,No,,,,,,2_100_0.75_125_4.csv,0.640902349713734,0.11940377729461504,Yes,,2_120_0.75_100_6.csv,0.16734765302592627,-0.01904591257836344,No,
2_20_0.75_150_4.csv,0.19677992500000002,-0.014076266585311744,No,,,,,,2_100_0.75_150_4.csv,0.6409023099926374,0.0453110873912535,No,,2_120_0.75_125_6.csv,0.16734765302592627,-0.01904591257836344,No,
2_20_0.75_150_6.csv,0.19677992500000002,-0.02815748553811033,No,,,,,,2_120_0.75_225_4.csv,0.6179655832724906,0.005563697204803418,No,,2_120_0.75_75_6.csv,0.16734765302592627,-0.01904591257836344,No,
2_20_0.75_150_8.csv,0.19677992500000002,-0.02815748553811033,No,,,,,,2_120_0.75_100_4.csv,0.6179655782768871,0.0854167388381248,No,,2_120_0.75_150_6.csv,0.1673475677485795,-0.019045915072460083,No,
2_20_0.75_100_10.csv,0.18879835,-0.023308445110428067,No,,,,,,2_120_0.75_125_4.csv,0.6179655782768871,0.0854167388381248,No,,2_100_0.75_50_4.csv,0.11940378171234807,-0.051438240500479536,No,
