Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window1_GrossProfit,Window1_GrossLoss,Score_1,Pass1,Para2,InSample2_Annual_RateOfReturn,OutSample2_Annual_RateOfReturn,Window2_GrossProfit,Window2_GrossLoss,Score_2,Pass2,Para3,InSample3_Annual_RateOfReturn,OutSample3_Annual_RateOfReturn,Window3_GrossProfit,Window3_GrossLoss,Score_3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window4_GrossProfit,Window4_GrossLoss,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window5_GrossProfit,Window5_GrossLoss,Score_5,Pass5
2_20_2_50_6.csv,0.53992365,0.16393038660137432,26863950.719,-21131933.219,1.2712490826369953,No,2_60_0.75_100_4.csv,0.29064182306111275,-0.035379864280874494,34840786.375,-32569577.375,1.0697340642112032,No,1_40_0.75_200_10.csv,0.22378061051365233,0.2664620121375768,38963817.686,-31841125.811,1.2236947247807222,No,2_80_0.75_50_6.csv,0.9325758245303228,0.12779950242450822,111171515.375,-95640297.125,1.1623919907912978,No,2_60_0.75_100_4.csv,0.20894643032121465,-0.0002719105382971938,258844254.0,-237003116.0,1.0921554887911262,No
2_20_1.25_50_10.csv,0.5255194999999999,0.15408547943921563,30340377.696999997,-24917979.696999997,1.2176098570564624,No,2_60_1.5_125_6.csv,0.27978348406936693,-0.06472866490342355,16138315.627,-15334456.095999999,1.0524217830725466,No,1_40_0.75_200_12.csv,0.22378061051365233,0.2664620121375768,38963817.686,-31841125.811,1.2236947247807222,No,2_80_0.75_75_6.csv,0.9325758245303228,0.12779950242450822,111171515.375,-95640297.125,1.1623919907912978,No,2_60_0.75_50_4.csv,0.19408527481583054,0.01808447272663907,276363516.0,-252813368.0,1.093152305142345,No
2_20_1.25_50_12.csv,0.5255194999999999,0.15408547943921563,30340377.696999997,-24917979.696999997,1.2176098570564624,No,2_60_1_100_12.csv,0.2788238248801672,-0.06077627681002702,27847035.563,-26699768.813,1.0429691641914667,No,1_40_0.75_200_14.csv,0.22378061051365233,0.2664620121375768,38963817.686,-31841125.811,1.2236947247807222,No,2_80_0.75_50_8.csv,0.9187966895078234,0.06361619428343743,77771073.094,-68326610.25,1.1382252508860558,No,2_60_0.75_75_4.csv,0.1940852445774141,0.0022346410196788,265182560.0,-244561594.0,1.0843180879823673,No
2_20_1.25_50_14.csv,0.5255194999999999,0.15408547943921563,30340377.696999997,-24917979.696999997,1.2176098570564624,No,2_60_1_100_14.csv,0.2788238248801672,-0.06077627681002702,27847035.563,-26699768.813,1.0429691641914667,No,1_40_0.75_200_16.csv,0.22378061051365233,0.2664620121375768,38963817.686,-31841125.811,1.2236947247807222,No,2_80_0.75_75_8.csv,0.9187966895078234,0.06361619428343743,77771073.094,-68326610.25,1.1382252508860558,No,2_60_1.25_50_6.csv,0.18109975257347682,-0.02649884705149016,98279822.5,-92155078.5,1.0664612748390203,No
2_20_1.25_50_16.csv,0.5255194999999999,0.15408547943921563,30340377.696999997,-24917979.696999997,1.2176098570564624,No,2_60_1_100_16.csv,0.2788238248801672,-0.06077627681002702,27847035.563,-26699768.813,1.0429691641914667,No,1_40_0.75_200_18.csv,0.22378061051365233,0.2664620121375768,38963817.686,-31841125.811,1.2236947247807222,No,2_60_1_100_4.csv,0.892962602418139,-0.039784453415818,48202469.936000004,-43175611.686000004,1.1164281883614864,No,2_60_1.25_75_6.csv,0.18109975257347682,-0.02649884705149016,98279822.5,-92155078.5,1.0664612748390203,No
2_20_1.25_50_18.csv,0.5255194999999999,0.15408547943921563,30340377.696999997,-24917979.696999997,1.2176098570564624,No,2_60_1_100_18.csv,0.2788238248801672,-0.06077627681002702,27847035.563,-26699768.813,1.0429691641914667,No,1_40_0.75_200_20.csv,0.22378061051365233,0.2664620121375768,38963817.686,-31841125.811,1.2236947247807222,No,2_60_1_50_4.csv,0.8357812174450145,-0.03916788863853878,52511752.5,-47318958.313,1.10974024729478,No,2_60_0.75_100_6.csv,0.178395493247769,-0.0007544119538925075,239847068.0,-222906196.0,1.076000004952756,No
2_20_1.25_50_20.csv,0.5255194999999999,0.15408547943921563,30340377.696999997,-24917979.696999997,1.2176098570564624,No,2_60_1_100_20.csv,0.2788238248801672,-0.06077627681002702,27847035.563,-26699768.813,1.0429691641914667,No,1_40_0.75_200_6.csv,0.22378061051365233,0.2664620121375768,38963817.686,-31841125.811,1.2236947247807222,No,2_60_1_75_4.csv,0.8357812174450145,-0.03916788863853878,52511752.5,-47318958.313,1.10974024729478,No,2_60_0.75_50_6.csv,0.16771070473651076,0.01755768258107132,230786581.0,-213910428.0,1.0788935497805652,No
2_20_1.5_50_10.csv,0.5214401,0.15553593430695078,30079149.87,-24666702.87,1.2194232049789961,No,2_60_1_100_10.csv,0.2788237945884021,-0.06374997326532111,28420675.437,-27305449.062,1.0408426308048535,No,1_40_0.75_200_8.csv,0.22378061051365233,0.2664620121375768,38963817.686,-31841125.811,1.2236947247807222,No,2_80_0.75_50_4.csv,0.8057276980144044,0.11217764261733934,112151671.25,-96615895.625,1.160799374932048,No,2_60_0.75_75_6.csv,0.16771070473651076,0.0017461321230777438,219006959.0,-204583892.0,1.0704995239801187,No
2_20_1.5_50_12.csv,0.5214401,0.15553593430695078,30079149.87,-24666702.87,1.2194232049789961,No,2_60_1_100_8.csv,0.27882377317087753,-0.06374997283483984,24261529.965,-23309508.403,1.040842627203475,No,3_40_0.75_200_10.csv,0.22378061051365233,0.2664620121375768,38963817.686,-31841125.811,1.2236947247807222,No,2_80_0.75_75_4.csv,0.8057276980144044,0.11217764261733934,112151671.25,-96615895.625,1.160799374932048,No,2_100_0.75_150_4.csv,0.1603829556705859,-0.027919893332600615,23106048.0,-21816585.25,1.0591047010897363,No
2_20_1.5_50_14.csv,0.5214401,0.15553593430695078,30079149.87,-24666702.87,1.2194232049789961,No,2_60_1.25_125_6.csv,0.2628388087539576,-0.0639976906975701,19173274.095,-18384491.595,1.0429047763395602,No,3_40_0.75_200_12.csv,0.22378061051365233,0.2664620121375768,38963817.686,-31841125.811,1.2236947247807222,No,2_80_1_100_6.csv,0.7665043644576346,0.029276352947654648,75402512.75,-66445533.625,1.134801823935235,No,2_100_0.75_150_6.csv,0.14894223122749167,-0.017098430824511318,56059302.75,-53065943.25,1.0564082972368536,No
