Para1,InSample1_Annual_RateOfReturn,OutSample1_Annual_RateOfReturn,Window_1_NetProfit,Window_1_MDD,Score_1,Pass1,Para2,Pass2,Para3,Pass3,Para4,InSample4_Annual_RateOfReturn,OutSample4_Annual_RateOfReturn,Window_4_NetProfit,Window_4_MDD,Score_4,Pass4,Para5,InSample5_Annual_RateOfReturn,OutSample5_Annual_RateOfReturn,Window_5_NetProfit,Window_5_MDD,Score_5,Pass5
2_20_0.75_150_10.csv,0.19677992500000002,-0.02815748553811033,704591.5,-821989.687,0.8571780292907738,No,No Plateau,No,No Plateau,No,2_100_0.75_100_4.csv,0.6409025593978601,0.11940375045332643,3472799.188,-1179314.5,2.9447608657402244,Yes,2_100_0.75_100_6.csv,0.19389180720124177,-0.05143823299099419,897371.5,-1727985.625,0.5193165307726446,No
2_20_0.75_150_12.csv,0.19677992500000002,-0.02815748553811033,704591.5,-821989.687,0.8571780292907738,No,,,,,2_100_0.75_75_4.csv,0.6409025593978601,0.11940375045332643,3472799.188,-1179314.5,2.9447608657402244,Yes,2_100_0.75_75_6.csv,0.19389180720124177,-0.05143823299099419,897371.5,-1727985.625,0.5193165307726446,No
2_20_0.75_150_14.csv,0.19677992500000002,-0.02815748553811033,704591.5,-821989.687,0.8571780292907738,No,,,,,2_100_0.75_175_4.csv,0.6409025554598248,0.028486928182819744,1974080.156,-993867.812,1.986260277438183,Yes,2_100_0.75_50_6.csv,0.1938917863996239,-0.05143823707671001,666191.0,-1282823.0,0.5193163826965996,No
2_20_0.75_150_16.csv,0.19677992500000002,-0.02815748553811033,704591.5,-821989.687,0.8571780292907738,No,,,,,2_100_0.75_200_4.csv,0.6409024503308486,0.02848693941904365,2783726.5310000004,-1401491.25,1.9862603715863374,Yes,2_100_0.75_125_6.csv,0.19389177600340574,-0.05143822521111393,810127.0,-1559987.125,0.5193164655124958,No
2_20_0.75_150_18.csv,0.19677992500000002,-0.02815748553811033,704591.5,-821989.687,0.8571780292907738,No,,,,,2_100_0.75_225_4.csv,0.6409023947576326,0.028486933430821235,2960634.9689999996,-1490557.375,1.9862603202375886,Yes,2_120_0.75_50_6.csv,0.17757064304234912,-0.01904591059537608,425165.545,-315646.12899999996,1.3469689818372523,No
2_20_0.75_150_20.csv,0.19677992500000002,-0.02815748553811033,704591.5,-821989.687,0.8571780292907738,No,,,,,2_100_0.75_125_4.csv,0.640902349713734,0.11940377729461504,3302643.063,-1121531.5,2.944761750338711,Yes,2_120_0.75_100_6.csv,0.16734765302592627,-0.01904591257836344,623301.165,-490653.375,1.2703492868055783,No
2_20_0.75_150_4.csv,0.19677992500000002,-0.014076266585311744,844270.125,-736529.5,1.1462814795605607,No,,,,,2_100_0.75_150_4.csv,0.6409023099926374,0.0453110873912535,1751034.875,-806568.625,2.170968248362004,Yes,2_120_0.75_125_6.csv,0.16734765302592627,-0.01904591257836344,623301.165,-490653.375,1.2703492868055783,No
2_20_0.75_150_6.csv,0.19677992500000002,-0.02815748553811033,704591.5,-821989.687,0.8571780292907738,No,,,,,2_120_0.75_225_4.csv,0.6179655832724906,0.005563697204803418,2535137.859,-1246866.625,2.033206927003921,Yes,2_120_0.75_75_6.csv,0.16734765302592627,-0.01904591257836344,623301.165,-490653.375,1.2703492868055783,No
2_20_0.75_150_8.csv,0.19677992500000002,-0.02815748553811033,704591.5,-821989.687,0.8571780292907738,No,,,,,2_120_0.75_100_4.csv,0.6179655782768871,0.0854167388381248,2577322.656,-821571.125,3.137065772607332,Yes,2_120_0.75_150_6.csv,0.1673475677485795,-0.019045915072460083,485689.172,-382327.344,1.2703490336804162,No
2_20_0.75_100_10.csv,0.18879835,-0.023308445110428067,717434.625,-934957.875,0.7673443308876349,No,,,,,2_120_0.75_125_4.csv,0.6179655782768871,0.0854167388381248,2577322.656,-821571.125,3.137065772607332,Yes,2_100_0.75_50_4.csv,0.11940378171234807,-0.051438240500479536,322136.562,-1250035.125,0.2577020081735703,No
2_20_0.75_100_12.csv,0.18879835,-0.023308445110428067,717434.625,-934957.875,0.7673443308876349,No,,,,,2_120_0.75_75_4.csv,0.6179655782768871,0.0854167388381248,2577322.656,-821571.125,3.137065772607332,Yes,2_100_0.75_125_4.csv,0.11940377729461504,-0.05143821508992795,452637.875,-1756437.125,0.2577022932147372,No
2_20_0.75_100_14.csv,0.18879835,-0.023308445110428067,717434.625,-934957.875,0.7673443308876349,No,,,,,2_120_0.75_175_4.csv,0.6179655361347571,0.005563698408442924,1849834.625,-909811.375,2.0332067457389176,Yes,2_100_0.75_100_4.csv,0.11940375045332643,-0.05143820733579847,475958.25,-1846930.875,0.2577022542871292,No
2_20_0.75_100_16.csv,0.18879835,-0.023308445110428067,717434.625,-934957.875,0.7673443308876349,No,,,,,2_120_0.75_200_4.csv,0.6179655147652716,0.005563684455322916,2527871.609,-1243293.0,2.033206660859508,Yes,2_100_0.75_75_4.csv,0.11940375045332643,-0.05143820733579847,475958.25,-1846930.875,0.2577022542871292,No
2_20_0.75_100_18.csv,0.18879835,-0.023308445110428067,717434.625,-934957.875,0.7673443308876349,No,,,,,2_120_0.75_150_4.csv,0.6179653480919777,0.08541671834373316,2008303.375,-640185.375,3.1370653773526143,Yes,2_120_0.75_50_4.csv,0.11904759871639704,-0.015268887563865383,363607.782,-329227.977,1.104425526995842,No
2_20_0.75_100_20.csv,0.18879835,-0.023308445110428067,717434.625,-934957.875,0.7673443308876349,No,,,,,2_100_0.75_125_12.csv,0.5802715396954747,0.08931234786236646,1601863.001,-724073.446,2.2122935316150234,Yes,2_40_0.75_50_4.csv,0.10947488295164763,-0.010294112215917835,705925.875,-994507.0,0.709824943414174,No
2_20_0.75_100_4.csv,0.18879835,-0.008829943542713077,858165.063,-920083.187,0.932703776272786,No,,,,,2_100_0.75_125_14.csv,0.5802715396954747,0.08931234786236646,1601863.001,-724073.446,2.2122935316150234,Yes,2_120_1_100_6.csv,0.10641733727503361,-0.012689859884572363,271467.055,-236274.75100000002,1.148946528780809,No
2_20_0.75_100_6.csv,0.18879835,-0.023308445110428067,717434.625,-934957.875,0.7673443308876349,No,,,,,2_100_0.75_125_16.csv,0.5802715396954747,0.08931234786236646,1601863.001,-724073.446,2.2122935316150234,Yes,2_120_1_125_6.csv,0.10641733727503361,-0.012689859884572363,271467.055,-236274.75100000002,1.148946528780809,No
2_20_0.75_100_8.csv,0.18879835,-0.023308445110428067,717434.625,-934957.875,0.7673443308876349,No,,,,,2_100_0.75_125_18.csv,0.5802715396954747,0.08931234786236646,1601863.001,-724073.446,2.2122935316150234,Yes,2_120_1_75_6.csv,0.10641733727503361,-0.012689859884572363,271467.055,-236274.75100000002,1.148946528780809,No
2_20_0.75_125_10.csv,0.17621935,-0.013870757790634639,750635.563,-854233.937,0.8787236499127755,No,,,,,2_100_0.75_125_20.csv,0.5802715396954747,0.08931234786236646,1601863.001,-724073.446,2.2122935316150234,Yes,2_120_1_150_6.csv,0.10641732978912591,-0.012689866793011987,217576.5,-189370.5,1.1489461135710155,No
2_20_0.75_125_12.csv,0.17621935,-0.013870757790634639,750635.563,-854233.937,0.8787236499127755,No,,,,,2_100_0.75_125_8.csv,0.5802714394804496,0.0893123495374343,1426709.063,-644900.414,2.212293606932,Yes,2_120_1_50_6.csv,0.10641731631658238,-0.012689859881665322,267297.735,-232645.985,1.1489462627089826,No
2_20_0.75_125_14.csv,0.17621935,-0.013870757790634639,750635.563,-854233.937,0.8787236499127755,No,,,,,2_100_0.75_125_10.csv,0.5802714811972717,0.08931234752872057,1547616.563,-699552.945,2.2122936856480537,Yes,2_100_0.75_150_6.csv,0.10252000240265836,-0.034905041335393294,369208.406,-837299.812,0.44095125868725266,No
2_20_0.75_125_16.csv,0.17621935,-0.013870757790634639,750635.563,-854233.937,0.8787236499127755,No,,,,,2_100_0.75_100_8.csv,0.5802712051611196,0.08931234828064136,1580354.688,-714351.25,2.212293585263552,Yes,2_60_1_125_6.csv,0.10084629041189848,-0.01845785518372839,341431.501,-510801.094,0.6684235899463442,No
2_20_0.75_125_18.csv,0.17621935,-0.013870757790634639,750635.563,-854233.937,0.8787236499127755,No,,,,,2_100_0.75_75_8.csv,0.5802712051611196,0.08931234828064136,1580354.688,-714351.25,2.212293585263552,Yes,2_60_1.25_125_6.csv,0.10032008746991136,-0.03665301021700852,166332.375,-550713.312,0.3020307869369244,No
2_20_0.75_125_20.csv,0.17621935,-0.013870757790634639,750635.563,-854233.937,0.8787236499127755,No,,,,,2_100_0.75_100_10.csv,0.5802713415965808,0.08931229915512257,1714282.875,-774889.5,2.2122933334365738,Yes,2_80_0.75_125_4.csv,0.10007907059938524,-0.0016046049295046026,576087.188,-474177.06200000003,1.2149199827806094,No
2_20_0.75_125_4.csv,0.17621935,0.0013811224754920236,894086.875,-816049.437,1.0956283215964033,No,,,,,2_100_0.75_50_10.csv,0.5802713415965808,0.08931229915512257,1714282.875,-774889.5,2.2122933334365738,Yes,,,,,,,
2_20_0.75_125_6.csv,0.17621935,-0.013870757790634639,750635.563,-854233.937,0.8787236499127755,No,,,,,2_100_0.75_75_10.csv,0.5802713415965808,0.08931229915512257,1714282.875,-774889.5,2.2122933334365738,Yes,,,,,,,
2_20_0.75_125_8.csv,0.17621935,-0.013870757790634639,750635.563,-854233.937,0.8787236499127755,No,,,,,2_100_0.75_175_10.csv,0.5802712020641098,0.00696087997298217,1132666.001,-816352.625,1.3874714998313382,No,,,,,,,
1_100_1.75_150_10.csv,0.16551844999999998,-0.006925416432467363,764308.063,-503403.75,1.518280431959436,Yes,,,,,2_100_0.75_175_12.csv,0.5802712020641098,0.00696087997298217,1132666.001,-816352.625,1.3874714998313382,No,,,,,,,
1_100_1.75_150_12.csv,0.16551844999999998,-0.006925416432467363,764308.063,-503403.75,1.518280431959436,Yes,,,,,2_100_0.75_175_14.csv,0.5802712020641098,0.00696087997298217,1132666.001,-816352.625,1.3874714998313382,No,,,,,,,
1_100_1.75_150_14.csv,0.16551844999999998,-0.006925416432467363,764308.063,-503403.75,1.518280431959436,Yes,,,,,2_100_0.75_175_16.csv,0.5802712020641098,0.00696087997298217,1132666.001,-816352.625,1.3874714998313382,No,,,,,,,
1_100_1.75_150_16.csv,0.16551844999999998,-0.006925416432467363,764308.063,-503403.75,1.518280431959436,Yes,,,,,2_100_0.75_175_18.csv,0.5802712020641098,0.00696087997298217,1132666.001,-816352.625,1.3874714998313382,No,,,,,,,
1_100_1.75_150_18.csv,0.16551844999999998,-0.006925416432467363,764308.063,-503403.75,1.518280431959436,Yes,,,,,2_100_0.75_175_20.csv,0.5802712020641098,0.00696087997298217,1132666.001,-816352.625,1.3874714998313382,No,,,,,,,
1_100_1.75_150_20.csv,0.16551844999999998,-0.006925416432467363,764308.063,-503403.75,1.518280431959436,Yes,,,,,2_100_0.75_100_12.csv,0.580271178221485,0.08931232902569017,1774371.375,-802050.547,2.2122937034790153,Yes,,,,,,,
1_100_1.75_150_4.csv,0.16551844999999998,-0.006925416432467363,764308.063,-503403.75,1.518280431959436,Yes,,,,,2_100_0.75_100_14.csv,0.580271178221485,0.08931232902569017,1774371.375,-802050.547,2.2122937034790153,Yes,,,,,,,
